Date,Open,High,Low,Close,Volume,Currency
2007-01-02,497.91,501.39,497.86,501.0,68535232,EUR
2007-01-03,501.48,501.8,499.85,501.35,96484336,EUR
2007-01-04,498.2,500.96,497.93,500.33,117535352,EUR
2007-01-05,498.39,499.21,494.04,494.05,125123344,EUR
2007-01-08,495.37,495.88,491.42,492.81,113168104,EUR
2007-01-09,495.04,497.97,494.36,495.87,139352768,EUR
2007-01-10,493.9,494.2,490.93,492.49,122569424,EUR
2007-01-11,495.5,500.32,493.22,500.16,137645408,EUR
2007-01-12,499.44,503.31,499.18,502.84,119340240,EUR
2007-01-15,504.88,506.11,504.75,505.38,113805656,EUR
2007-01-16,505.94,506.72,504.25,504.81,111554536,EUR
2007-01-17,505.88,506.05,502.47,505.26,127747624,EUR
2007-01-18,506.71,508.64,504.24,505.53,141957456,EUR
2007-01-19,504.5,507.19,502.75,507.12,131767816,EUR
2007-01-22,508.4,509.0,502.33,503.51,118759368,EUR
2007-01-23,503.84,504.27,498.97,502.82,120595136,EUR
2007-01-24,504.44,507.01,503.26,506.55,105489272,EUR
2007-01-25,506.79,508.52,502.15,503.03,130900256,EUR
2007-01-26,499.65,501.61,496.62,499.8,155112496,EUR
2007-01-29,499.69,501.77,498.47,500.31,89481296,EUR
2007-01-30,500.01,503.57,499.13,502.83,108027600,EUR
2007-01-31,502.0,502.96,499.31,499.81,133050584,EUR
2007-02-01,505.09,507.92,504.47,505.59,153543488,EUR
2007-02-02,507.23,508.39,505.91,506.78,133909944,EUR
2007-02-05,506.88,506.88,505.39,506.19,93891520,EUR
2007-02-06,506.21,509.35,506.21,507.4,133345416,EUR
2007-02-07,507.81,509.88,507.5,509.08,117011656,EUR
2007-02-08,508.35,508.71,503.81,504.78,147673360,EUR
2007-02-09,507.32,508.66,507.03,507.3,114508440,EUR
2007-02-12,504.63,505.5,502.5,503.77,112818216,EUR
2007-02-13,504.07,507.0,504.07,506.66,117255136,EUR
2007-02-14,508.01,508.64,506.34,508.07,127858816,EUR
2007-02-15,508.67,509.18,506.18,507.77,133146544,EUR
2007-02-16,507.07,508.5,505.79,506.1,131989312,EUR
2007-02-19,507.0,510.87,507.0,509.22,103708256,EUR
2007-02-20,509.47,509.55,504.91,508.02,115672896,EUR
2007-02-21,509.84,511.25,507.35,508.78,240897856,EUR
2007-02-22,510.7,512.47,509.33,509.33,168291264,EUR
2007-02-23,510.56,511.45,508.73,510.61,127564792,EUR
2007-02-26,511.03,512.38,510.24,511.17,126222376,EUR
2007-02-27,507.4,507.4,499.01,500.33,213662304,EUR
2007-02-28,491.76,496.22,490.05,490.21,283289504,EUR
2007-03-01,489.58,493.71,477.49,481.96,355417600,EUR
2007-03-02,484.06,486.19,477.07,480.2,215757088,EUR
2007-03-05,471.16,476.77,469.85,475.59,201966224,EUR
2007-03-06,479.56,479.77,476.49,478.16,170620912,EUR
2007-03-07,480.28,483.52,477.51,481.9,171946640,EUR
2007-03-08,486.03,489.37,484.77,489.03,179275520,EUR
2007-03-09,489.04,492.02,486.16,490.35,160777760,EUR
2007-03-12,493.85,494.4,488.25,489.54,154905888,EUR
2007-03-13,489.98,490.29,484.38,484.38,162629968,EUR
2007-03-14,476.56,478.87,473.08,473.38,232179328,EUR
2007-03-15,480.24,483.39,477.13,483.39,216574032,EUR
2007-03-16,482.42,485.7,480.63,482.14,236076032,EUR
2007-03-19,490.05,492.44,486.97,492.44,206039728,EUR
2007-03-20,494.82,498.96,490.88,498.29,205115120,EUR
2007-03-21,497.94,501.93,497.93,500.89,155302448,EUR
2007-03-22,507.92,511.06,505.89,509.01,197468640,EUR
2007-03-23,508.85,515.33,507.35,513.84,177462496,EUR
2007-03-26,514.73,515.86,507.25,508.8,183330032,EUR
2007-03-27,511.65,511.98,506.71,508.21,131042816,EUR
2007-03-28,505.9,506.72,503.0,505.11,137438176,EUR
2007-03-29,507.5,511.88,507.42,511.85,121546336,EUR
2007-03-30,510.54,514.46,509.11,510.5,139576208,EUR
2007-04-02,510.5,513.33,509.76,512.02,140558304,EUR
