Date,Open,High,Low,Close,Volume,Currency
2007-01-04,391.17,392.98,388.09,390.06,194402416,TRY
2007-01-05,390.06,390.06,381.84,384.35,220267280,TRY
2007-01-08,384.35,384.35,373.98,378.32,221722112,TRY
2007-01-09,378.32,381.37,369.76,370.83,304170464,TRY
2007-01-10,370.83,371.93,363.44,366.3,278505952,TRY
2007-01-11,366.3,376.4,366.3,376.4,304281536,TRY
2007-01-12,376.4,382.54,376.4,381.38,345929600,TRY
2007-01-15,381.38,390.43,380.77,390.43,286611392,TRY
2007-01-16,390.43,390.76,386.56,388.88,239826768,TRY
2007-01-17,388.88,393.96,387.89,392.18,293772864,TRY
2007-01-18,392.18,402.56,392.18,402.56,377574976,TRY
2007-01-19,402.56,408.12,398.06,402.01,441612672,TRY
2007-01-22,402.01,412.97,402.01,412.47,349328288,TRY
2007-01-23,412.47,413.11,406.22,412.5,276249056,TRY
2007-01-24,412.5,421.18,412.5,420.36,422216672,TRY
2007-01-25,420.36,425.17,417.93,421.23,500706208,TRY
2007-01-26,421.23,421.23,413.19,418.46,363209728,TRY
2007-01-29,418.46,419.63,411.28,413.97,313598336,TRY
2007-01-30,413.97,414.54,406.88,413.57,315395328,TRY
2007-01-31,413.57,417.64,410.56,411.83,317495296,TRY
2007-02-01,411.83,425.4,411.83,423.02,555552192,TRY
2007-02-02,423.02,433.19,422.26,431.13,461164928,TRY
2007-02-05,431.13,431.46,423.76,427.01,296790048,TRY
2007-02-06,427.01,430.96,423.51,425.01,335923552,TRY
2007-02-07,425.01,425.7,417.73,420.99,277707040,TRY
2007-02-08,420.99,420.99,410.92,416.45,334410080,TRY
2007-02-09,416.45,423.8,416.45,421.85,459494432,TRY
2007-02-12,421.85,422.86,417.85,420.26,376118816,TRY
2007-02-13,420.26,427.56,419.61,425.52,429016096,TRY
2007-02-14,425.52,434.83,425.52,432.56,449877152,TRY
2007-02-15,432.56,442.36,432.56,438.14,509761312,TRY
2007-02-16,438.14,439.84,433.85,436.36,313196768,TRY
2007-02-19,436.36,442.59,436.36,442.53,377963840,TRY
2007-02-20,442.53,446.16,437.95,440.61,409123648,TRY
2007-02-21,440.61,441.6,424.86,428.89,376817888,TRY
2007-02-22,428.89,439.49,428.89,438.29,409641280,TRY
2007-02-23,438.29,438.29,431.49,435.92,230847808,TRY
2007-02-26,435.92,437.6,431.82,437.37,326798464,TRY
2007-02-27,437.37,437.37,415.16,417.74,442126208,TRY
2007-02-28,417.74,417.74,404.68,414.31,483522176,TRY
2007-03-01,414.31,415.68,394.25,395.88,507981856,TRY
2007-03-02,395.88,406.52,395.12,405.5,488065408,TRY
2007-03-05,405.5,405.5,388.24,397.29,350716992,TRY
2007-03-06,397.29,405.37,397.29,402.31,326105504,TRY
2007-03-07,402.31,409.12,401.03,404.07,318139648,TRY
2007-03-08,404.07,414.68,404.07,414.07,356652960,TRY
2007-03-09,414.07,420.56,409.21,420.56,280135104,TRY
2007-03-12,420.56,426.33,415.89,419.78,307262016,TRY
2007-03-13,419.78,423.01,412.45,416.66,317141248,TRY
2007-03-14,416.66,416.66,401.83,405.02,329422080,TRY
2007-03-15,405.02,414.91,405.02,411.95,365892384,TRY
2007-03-16,411.95,418.2,408.62,418.2,327018304,TRY
2007-03-19,418.2,421.55,415.71,419.22,362197344,TRY
2007-03-20,419.22,424.47,416.78,418.18,264612080,TRY
2007-03-21,418.18,424.67,418.18,424.19,307755232,TRY
2007-03-22,424.19,435.39,424.19,432.4,445791040,TRY
2007-03-23,432.4,436.28,430.03,434.09,399315328,TRY
2007-03-26,434.09,436.46,429.01,432.64,255028576,TRY
2007-03-27,432.64,433.19,427.65,430.97,263214800,TRY
2007-03-28,430.97,432.87,425.82,430.8,357268544,TRY
2007-03-29,430.8,436.66,430.35,436.66,380789376,TRY
2007-03-30,436.66,439.1,434.31,436.61,430458752,TRY
2007-04-02,436.61,437.36,432.41,435.42,302438464,TRY
2007-04-03,435.42,444.0,435.42,443.09,502912032,TRY
2007-04-04,443.09,450.9,443.09,446.61,462219552,TRY
2007-04-05,446.61,457.51,446.61,457.14,584383808,TRY
2007-04-06,457.14,460.15,455.36,458.45,326532896,TRY
2007-04-09,458.45,459.39,454.7,458.89,342007136,TRY
2007-04-10,458.89,458.89,450.22,453.4,397961120,TRY
2007-04-11,453.4,463.26,453.4,461.06,395139072,TRY
2007-04-12,461.06,461.06,452.73,455.66,332724736,TRY
2007-04-13,455.66,462.52,455.66,460.44,337235264,TRY
2007-04-16,460.44,469.46,460.44,466.97,354355424,TRY
2007-04-17,466.97,468.65,462.43,466.21,409514304,TRY
2007-04-18,466.21,470.78,455.26,456.34,390908640,TRY
2007-04-19,456.34,463.9,448.43,463.08,490287328,TRY
2007-04-20,463.08,475.57,463.08,473.56,634325440,TRY
2007-04-24,473.56,475.02,464.37,470.15,544001152,TRY
2007-04-25,470.15,480.38,468.38,480.33,380250752,TRY
2007-04-26,480.33,485.7,476.38,478.26,442567488,TRY
2007-04-27,478.26,480.05,465.48,468.61,349371264,TRY
2007-04-30,431.16,468.61,431.16,449.84,525717984,TRY
2007-05-01,449.84,449.84,434.48,435.29,375155392,TRY
2007-05-02,435.29,453.23,435.29,442.56,446112608,TRY
2007-05-03,442.56,452.71,442.56,450.78,362539328,TRY
2007-05-04,450.78,453.11,441.83,448.18,314310240,TRY
2007-05-07,448.18,453.59,445.61,446.81,311620928,TRY
2007-05-08,446.81,450.09,443.95,447.07,233043648,TRY
2007-05-09,447.07,455.33,447.07,451.03,305225728,TRY
2007-05-10,451.03,456.24,446.2,450.56,275494048,TRY
2007-05-11,450.56,450.56,442.69,448.21,320302528,TRY
2007-05-14,448.21,453.49,448.21,451.42,290631904,TRY
2007-05-15,451.42,452.3,447.82,448.98,280248672,TRY
2007-05-16,448.98,455.44,448.83,455.4,256919328,TRY
2007-05-17,455.4,462.35,455.4,458.6,315008768,TRY
2007-05-18,458.6,461.65,456.31,460.73,196335888,TRY
2007-05-21,460.73,465.3,458.9,462.09,248979008,TRY
2007-05-22,462.09,467.3,462.09,463.69,290888736,TRY
2007-05-23,463.69,466.18,460.23,464.25,243233424,TRY
2007-05-24,464.25,464.82,455.89,462.37,219669696,TRY
2007-05-25,462.37,462.92,457.67,461.94,194814912,TRY
2007-05-28,461.94,469.28,461.94,469.28,165537776,TRY
2007-05-29,469.28,471.12,466.51,470.03,304021504,TRY
2007-05-30,470.03,470.03,461.37,462.75,221003456,TRY
2007-05-31,462.75,470.82,462.75,470.81,296646560,TRY
2007-06-01,470.81,470.81,463.38,464.9,183289008,TRY
2007-06-04,464.9,466.79,458.72,461.11,167303696,TRY
2007-06-05,461.11,467.37,460.91,464.52,240949904,TRY
2007-06-06,464.52,467.0,457.12,458.61,275393472,TRY
2007-06-07,458.61,459.75,445.47,448.44,249186704,TRY
2007-06-08,448.44,448.44,435.16,443.32,308421536,TRY
2007-06-11,443.32,449.85,443.32,448.94,177488672,TRY
2007-06-12,448.94,452.13,442.46,443.72,164131520,TRY
2007-06-13,443.72,447.3,438.04,446.3,258717312,TRY
2007-06-14,446.3,452.97,445.52,446.76,213211824,TRY
2007-06-15,446.76,460.15,446.76,459.72,328831328,TRY
2007-06-18,459.72,465.54,459.72,463.68,220996768,TRY
2007-06-19,463.68,465.13,460.36,462.32,172372272,TRY
2007-06-20,462.32,465.16,460.67,462.51,193977056,TRY
2007-06-21,462.51,462.51,455.75,459.52,249546016,TRY
2007-06-22,459.52,461.23,455.44,457.05,126662952,TRY
2007-06-25,457.05,457.05,451.68,454.17,187632592,TRY
2007-06-26,454.17,460.24,451.16,460.1,245998320,TRY
2007-06-27,460.1,460.1,450.29,451.62,201966400,TRY
2007-06-28,451.62,462.13,451.62,461.81,247971904,TRY
2007-06-29,461.81,470.94,459.25,470.94,249969056,TRY
2007-07-02,470.94,477.64,469.17,477.31,244171520,TRY
2007-07-03,477.31,488.26,477.31,486.8,383091840,TRY
2007-07-04,486.8,497.33,486.14,494.76,514496736,TRY
2007-07-05,494.76,500.54,494.17,498.5,458890432,TRY
2007-07-06,498.5,501.77,494.11,498.95,414954240,TRY
2007-07-09,498.95,513.88,498.95,512.82,488098432,TRY
2007-07-10,512.82,515.01,504.97,505.58,452997056,TRY
2007-07-11,505.58,505.58,493.69,500.56,318500896,TRY
2007-07-12,505.34,520.63,500.56,520.06,478414560,TRY
