Date,Open,High,Low,Close,Volume,Currency
2007-01-04,9403.71,9831.19,9282.7,9353.6,0,CNY
2007-01-05,9238.85,9377.06,9113.58,9187.16,0,CNY
2007-01-08,9168.77,9405.83,9097.9,9370.42,0,CNY
2007-01-09,9375.95,9740.53,9337.64,9739.71,0,CNY
2007-01-10,9820.19,9958.9,9694.75,9957.53,0,CNY
2007-01-11,9960.22,10043.87,9785.89,9803.73,0,CNY
2007-01-12,9736.73,9902.15,9524.78,9594.81,0,CNY
2007-01-15,9574.77,10101.75,9574.77,10101.75,0,CNY
2007-01-16,10231.63,10321.55,10083.76,10318.91,0,CNY
2007-01-17,10318.47,10496.23,9937.8,10069.1,0,CNY
2007-01-18,9975.99,10082.73,9640.21,9929.52,0,CNY
2007-01-19,9927.68,10191.73,9927.68,10191.42,0,CNY
2007-01-22,10300.65,10582.98,10300.65,10582.98,0,CNY
2007-01-23,10666.21,10743.66,10309.76,10697.31,0,CNY
2007-01-24,10708.94,11026.67,10680.17,10890.15,0,CNY
2007-01-25,10771.15,10942.31,10598.96,10619.9,0,CNY
2007-01-26,10465.31,10989.91,10261.59,10919.62,0,CNY
2007-01-29,11000.36,11239.41,10934.9,11144.06,0,CNY
2007-01-30,11194.09,11273.17,10940.2,11027.52,0,CNY
2007-01-31,10992.08,11011.73,10201.29,10290.61,0,CNY
2007-02-01,10119.11,10337.94,9934.86,10276.91,0,CNY
2007-02-02,10272.3,10287.41,9732.3,9772.91,0,CNY
2007-02-05,9701.87,9767.39,9473.78,9528.32,0,CNY
2007-02-06,9501.04,9714.26,9076.41,9712.29,0,CNY
2007-02-07,9779.34,10102.74,9779.34,9953.89,0,CNY
2007-02-08,9981.54,10077.38,9846.65,10046.37,0,CNY
2007-02-09,10059.81,10069.13,9858.19,9943.72,0,CNY
2007-02-12,9934.33,10372.01,9922.63,10372.01,0,CNY
2007-02-13,10426.58,10546.08,10367.74,10497.63,0,CNY
2007-02-14,10522.79,10852.55,10496.19,10829.7,0,CNY
2007-02-15,10920.11,11139.07,10920.11,11115.44,0,CNY
2007-02-26,11040.39,11087.8,10873.02,11062.96,0,CNY
2007-02-27,11091.27,11095.79,10010.75,10024.12,0,CNY
2007-02-28,9833.65,10385.59,9833.65,10341.02,0,CNY
2007-03-01,10343.34,10343.34,9894.58,10027.81,0,CNY
2007-03-02,9994.1,10239.06,9944.91,10194.18,0,CNY
2007-03-05,10146.91,10285.38,9744.18,9966.92,0,CNY
2007-03-06,9939.32,10358.48,9883.04,10237.07,0,CNY
2007-03-07,10281.29,10583.19,10276.07,10510.77,0,CNY
2007-03-08,10536.92,10617.59,10404.3,10614.61,0,CNY
2007-03-09,10632.52,10706.42,10490.94,10581.58,0,CNY
2007-03-12,10584.1,10593.32,10383.46,10537.52,0,CNY
2007-03-13,10549.6,10578.48,10459.14,10576.25,0,CNY
2007-03-14,10427.47,10427.47,10208.83,10312.31,0,CNY
2007-03-15,10311.3,10503.39,10311.3,10502.38,0,CNY
2007-03-16,10543.22,10580.59,10274.32,10384.72,0,CNY
2007-03-19,10156.24,10813.9,10126.52,10741.45,0,CNY
2007-03-20,10783.48,10790.32,10621.48,10739.39,0,CNY
2007-03-21,10793.52,10898.65,10735.98,10820.42,0,CNY
2007-03-22,10911.96,10984.51,10844.71,10884.13,0,CNY
2007-03-23,10865.49,10935.45,10624.64,10852.95,0,CNY
2007-03-26,10870.1,10992.8,10803.97,10992.27,0,CNY
2007-03-27,11023.84,11033.04,10910.6,10986.67,0,CNY
2007-03-28,10994.54,11155.33,10709.29,11141.78,0,CNY
2007-03-29,11178.94,11539.41,11163.78,11321.67,0,CNY
2007-03-30,11258.56,11364.18,11188.86,11247.64,0,CNY
2007-04-02,11306.26,11543.16,11306.26,11542.77,0,CNY
2007-04-03,11590.59,11683.91,11537.52,11662.65,0,CNY
2007-04-04,11689.23,11791.75,11619.24,11721.8,0,CNY
2007-04-05,11699.97,11827.73,11619.15,11803.22,0,CNY
2007-04-06,11695.89,11820.33,11663.56,11770.3,0,CNY
2007-04-09,11792.22,12006.79,11792.22,12006.79,0,CNY
2007-04-10,12089.46,12211.44,11917.39,12191.46,0,CNY
2007-04-11,12256.49,12368.97,12142.22,12364.35,0,CNY
2007-04-12,12387.74,12513.03,12323.94,12496.57,0,CNY
2007-04-13,12517.0,12604.07,12423.58,12465.17,0,CNY
2007-04-16,12485.11,12795.48,12473.67,12794.12,0,CNY
2007-04-17,12850.25,12900.86,12381.88,12707.63,0,CNY
2007-04-18,12699.06,12699.06,12459.38,12573.07,0,CNY
2007-04-19,12553.86,12570.06,11668.05,12009.59,0,CNY
2007-04-20,12060.89,12482.77,12060.89,12449.45,0,CNY
2007-04-23,12559.72,12887.74,12539.51,12880.78,0,CNY
2007-04-24,12978.87,13013.91,12772.98,12824.17,0,CNY
2007-04-25,12788.17,13048.51,12621.24,12952.81,0,CNY
2007-04-26,13054.69,13119.2,12916.45,13110.84,0,CNY
2007-04-27,13125.24,13160.35,12875.76,12975.94,0,CNY
2007-05-08,13577.15,13677.85,13423.18,13588.69,0,CNY
2007-05-09,13646.17,13842.88,13330.77,13817.32,0,CNY
2007-05-10,13841.71,13979.13,13713.91,13889.26,0,CNY
2007-05-11,13791.6,13893.29,13529.83,13837.82,0,CNY
2007-05-14,13652.43,14170.4,13557.19,14011.27,0,CNY
2007-05-15,14043.77,14080.94,13451.11,13458.27,0,CNY
2007-05-16,13426.85,13706.4,13266.46,13706.39,0,CNY
2007-05-17,13750.73,13997.88,13694.3,13948.03,0,CNY
2007-05-18,13898.97,13970.06,13764.53,13858.31,0,CNY
2007-05-21,13401.43,13966.84,13377.18,13895.2,0,CNY
2007-05-22,13923.44,14064.22,13920.62,14007.35,0,CNY
2007-05-23,14034.89,14190.78,13906.9,14190.73,0,CNY
2007-05-24,14226.6,14335.57,13917.17,14104.13,0,CNY
2007-05-25,14049.74,14301.79,13997.47,14242.16,0,CNY
2007-05-28,14405.12,14598.81,14377.12,14525.7,0,CNY
2007-05-29,14580.82,14791.87,14542.97,14790.99,0,CNY
2007-05-30,13947.67,14522.06,13665.79,13800.1,0,CNY
2007-05-31,13681.35,14449.81,13246.08,14241.25,0,CNY
2007-06-01,14347.16,14750.17,13963.26,14085.29,0,CNY
2007-06-04,14162.84,14210.51,13022.87,13067.07,0,CNY
2007-06-05,12833.56,13536.94,12147.91,13536.94,0,CNY
2007-06-06,13602.66,13688.34,13305.65,13583.29,0,CNY
2007-06-07,13653.33,13902.14,13616.72,13902.14,0,CNY
2007-06-08,13917.49,13983.8,13700.72,13896.09,0,CNY
2007-06-11,14011.35,14241.51,13960.39,14218.41,0,CNY
2007-06-12,14294.18,14485.74,13947.41,14481.91,0,CNY
2007-06-13,14595.0,14848.31,14595.0,14785.42,0,CNY
2007-06-14,14734.89,14785.91,14506.98,14568.24,0,CNY
2007-06-15,14470.99,14677.86,14420.03,14661.15,0,CNY
2007-06-18,14917.32,15185.69,14893.99,15128.74,0,CNY
2007-06-19,15084.58,15263.65,14965.96,15132.74,0,CNY
2007-06-20,15248.59,15313.38,14823.93,14880.25,0,CNY
2007-06-21,14815.52,15203.68,14809.55,15126.28,0,CNY
2007-06-22,15146.33,15272.31,14486.33,14745.84,0,CNY
2007-06-25,14814.4,14988.23,14269.87,14363.88,0,CNY
2007-06-26,14144.39,14498.68,14030.08,14451.49,0,CNY
2007-06-27,14515.59,14919.14,14406.52,14863.9,0,CNY
2007-06-28,14889.57,15035.57,14400.17,14400.17,0,CNY
2007-06-29,14106.29,14499.04,14023.14,14173.63,0,CNY
2007-07-02,14126.21,14310.32,13789.09,14163.98,0,CNY
2007-07-03,14221.53,14412.24,14139.27,14373.21,0,CNY
2007-07-04,14406.51,14437.1,13984.39,14043.99,0,CNY
2007-07-05,13879.37,13970.1,13412.02,13419.5,0,CNY
2007-07-06,13378.61,13978.22,13243.49,13978.22,0,CNY
2007-07-09,14090.1,14438.15,14005.58,14372.87,0,CNY
2007-07-10,14472.24,14676.78,14371.79,14408.32,0,CNY
2007-07-11,14344.26,14492.25,14253.8,14423.32,0,CNY
2007-07-12,14455.82,14671.65,14415.78,14583.59,0,CNY
2007-07-13,14615.83,14640.98,14452.42,14590.46,0,CNY
2007-07-16,14608.39,14638.32,14167.76,14174.06,0,CNY
2007-07-17,14157.11,14685.44,14032.62,14638.95,0,CNY
