Date,Open,High,Low,Close,Volume,Currency
2007-01-02,1813.45,1836.52,1813.45,1836.52,2359586560,IDR
2007-01-03,1832.07,1837.08,1829.6,1834.71,153126208,IDR
2007-01-04,1839.56,1843.35,1820.82,1824.1,3466741504,IDR
2007-01-05,1817.57,1832.55,1813.9,1832.55,3987254016,IDR
2007-01-08,1818.01,1818.83,1804.33,1813.39,3490257408,IDR
2007-01-09,1821.3,1823.09,1770.6,1780.88,126089200,IDR
2007-01-10,1746.5,1747.27,1703.65,1710.37,4069707520,IDR
2007-01-11,1729.4,1732.09,1698.84,1703.84,2114816000,IDR
2007-01-12,1711.21,1711.21,1627.76,1678.04,2852719104,IDR
2007-01-15,1694.16,1730.47,1694.16,1730.47,1979273984,IDR
2007-01-16,1741.8,1755.74,1737.18,1754.29,1857846016,IDR
2007-01-17,1755.16,1761.42,1753.27,1758.48,2367297536,IDR
2007-01-18,1764.92,1783.65,1764.92,1777.71,3141372928,IDR
2007-01-19,1775.49,1795.56,1768.66,1795.56,2481132032,IDR
2007-01-22,1804.58,1817.41,1801.35,1817.41,2469735936,IDR
2007-01-23,1811.7,1811.7,1789.3,1808.58,1614656000,IDR
2007-01-24,1815.51,1819.31,1798.29,1805.69,2553382400,IDR
2007-01-25,1804.12,1805.38,1764.06,1773.96,2491414016,IDR
2007-01-26,1747.42,1759.21,1736.32,1759.21,1883567488,IDR
2007-01-29,1756.05,1771.12,1756.05,1764.99,1495123456,IDR
2007-01-30,1771.58,1773.98,1753.45,1765.52,1553432960,IDR
2007-01-31,1767.74,1767.74,1742.56,1757.26,1655743488,IDR
2007-02-01,1765.87,1772.21,1754.12,1771.33,3328254464,IDR
2007-02-02,1774.8,1786.4,1771.46,1780.38,2128717440,IDR
2007-02-05,1770.82,1776.07,1762.54,1768.54,1155840512,IDR
2007-02-06,1764.64,1770.38,1757.38,1761.29,1748797440,IDR
2007-02-07,1758.72,1773.05,1753.19,1764.91,2303749120,IDR
2007-02-08,1759.15,1759.24,1740.4,1751.32,3152133376,IDR
2007-02-09,1742.9,1744.35,1732.27,1740.32,2694921984,IDR
2007-02-12,1727.1,1745.55,1722.76,1734.46,1897597440,IDR
2007-02-13,1734.21,1742.29,1721.78,1727.36,1459165952,IDR
2007-02-14,1753.18,1761.16,1744.69,1750.99,2095716480,IDR
2007-02-15,1774.55,1790.4,1774.55,1790.4,2793695488,IDR
2007-02-16,1793.87,1803.0,1789.85,1794.36,1849912448,IDR
2007-02-19,1798.46,1804.47,1794.69,1799.29,998420480,IDR
2007-02-20,1799.12,1806.48,1794.14,1806.48,2353967616,IDR
2007-02-21,1813.61,1817.9,1806.54,1816.57,4204371968,IDR
2007-02-22,1819.37,1824.99,1802.38,1808.44,3826709504,IDR
2007-02-23,1807.26,1807.26,1784.89,1791.55,1883442560,IDR
2007-02-26,1790.48,1790.89,1774.36,1783.95,2063013504,IDR
2007-02-27,1788.68,1794.17,1760.98,1764.01,3044436480,IDR
2007-02-28,1672.23,1740.97,1664.2,1740.97,3315645440,IDR
2007-03-01,1752.11,1774.49,1750.63,1759.49,3120174592,IDR
2007-03-02,1752.72,1765.11,1752.05,1760.02,1723101440,IDR
2007-03-05,1728.24,1739.83,1692.22,1698.82,2547905536,IDR
2007-03-06,1714.82,1733.99,1706.97,1732.44,2610208512,IDR
2007-03-07,1745.66,1755.3,1737.88,1743.19,2834692096,IDR
2007-03-08,1747.29,1774.15,1747.29,1771.56,2267562496,IDR
2007-03-09,1782.05,1784.05,1759.82,1764.58,1881324032,IDR
2007-03-12,1770.57,1794.52,1770.57,1794.52,2132027520,IDR
2007-03-13,1798.55,1798.62,1786.54,1797.4,2035458560,IDR
2007-03-14,1757.15,1776.62,1757.08,1762.28,1841861504,IDR
2007-03-15,1778.21,1785.72,1771.03,1776.36,1594551552,IDR
2007-03-16,1776.32,1786.94,1771.7,1777.89,1607593984,IDR
2007-03-20,1790.94,1792.22,1768.9,1775.42,2178547456,IDR
2007-03-21,1775.69,1781.24,1768.02,1779.24,2404353024,IDR
2007-03-22,1794.86,1809.07,1790.27,1809.07,2403589120,IDR
2007-03-23,1813.43,1813.43,1801.11,1805.96,1645047040,IDR
2007-03-26,1805.59,1813.72,1803.98,1813.72,1589962496,IDR
2007-03-27,1819.28,1824.96,1812.47,1819.66,1811182976,IDR
2007-03-28,1811.2,1811.2,1794.11,1800.39,1903872000,IDR
2007-03-29,1787.46,1817.72,1787.19,1817.72,2543787520,IDR
2007-03-30,1830.22,1833.41,1823.66,1830.92,1833959040,IDR
2007-04-02,1837.18,1852.97,1837.18,1849.38,1628045952,IDR
