Date,Open,High,Low,Close,Volume,Currency
2007-01-02,26448.32,26666.92,26448.32,26664.45,37688336,MXN
2007-01-03,26666.84,26699.1,26319.5,26619.37,134658080,MXN
2007-01-04,26622.11,26623.06,26335.42,26566.28,103649056,MXN
2007-01-05,26566.28,26566.28,26112.77,26135.6,105575496,MXN
2007-01-08,26135.6,26282.39,26071.66,26281.64,122179840,MXN
2007-01-09,26287.22,26342.47,25627.93,25783.04,180993936,MXN
2007-01-10,25780.84,25954.13,25400.33,25885.8,138084720,MXN
2007-01-11,25882.74,26290.7,25851.15,26247.9,140544864,MXN
2007-01-12,26247.9,26335.29,26091.36,26324.38,100066848,MXN
2007-01-15,26324.38,26484.06,26313.02,26480.03,27718848,MXN
2007-01-16,26479.83,26487.17,26333.56,26480.33,91065928,MXN
2007-01-17,26480.33,26610.61,26381.94,26558.5,133658296,MXN
2007-01-18,26556.66,26594.6,26112.8,26112.87,155636784,MXN
2007-01-19,26112.87,26304.51,25939.44,26213.38,137020496,MXN
2007-01-22,26213.27,26432.25,26042.06,26432.25,124941888,MXN
2007-01-23,26432.63,26811.12,26419.22,26810.0,164098896,MXN
2007-01-24,26813.69,27338.37,26813.69,27338.3,249127376,MXN
2007-01-25,27341.48,27453.92,26793.7,26899.34,153883424,MXN
2007-01-26,26899.34,27049.72,26595.7,27045.71,174052352,MXN
2007-01-29,27036.86,27036.86,26721.5,26834.05,137731664,MXN
2007-01-30,26838.18,27154.18,26823.62,27135.37,145672896,MXN
2007-01-31,27136.72,27621.98,27074.0,27561.49,180003888,MXN
2007-02-01,27561.49,27945.3,27561.49,27842.76,181712816,MXN
2007-02-02,27842.62,28005.95,27818.04,27933.07,128897344,MXN
2007-02-06,27926.42,28139.72,27923.74,28067.4,150348320,MXN
2007-02-07,28067.29,28293.44,28012.26,28123.76,157970160,MXN
2007-02-08,28225.34,28291.49,27921.28,28197.26,276774176,MXN
2007-02-09,28228.71,28346.01,27862.63,27906.89,164346560,MXN
2007-02-12,27906.89,27975.73,27624.97,27972.23,119112208,MXN
2007-02-13,27972.69,28278.97,27866.43,28262.65,176896032,MXN
2007-02-14,28262.65,28678.31,28256.41,28539.69,187197728,MXN
2007-02-15,28539.69,28619.23,28388.85,28498.75,145614336,MXN
2007-02-16,28500.2,28525.99,28301.32,28491.07,102281664,MXN
2007-02-19,28491.07,28601.23,28491.07,28590.17,211632080,MXN
2007-02-20,28590.46,28646.16,28355.92,28589.66,130141160,MXN
2007-02-21,28594.02,28715.96,28425.65,28715.96,189293760,MXN
2007-02-22,28715.96,28940.11,28505.58,28676.48,129334672,MXN
2007-02-23,28676.51,28691.46,28353.48,28505.72,114420224,MXN
2007-02-26,28505.72,28639.13,28029.18,28046.16,134842208,MXN
2007-02-27,28040.66,28040.66,26418.82,26418.82,332633920,MXN
2007-02-28,26420.64,26804.79,26320.26,26638.95,225400448,MXN
2007-03-01,26581.59,26689.8,25691.58,26647.65,196228448,MXN
2007-03-02,26642.25,26801.48,26320.97,26321.12,125166240,MXN
2007-03-05,26319.73,26352.85,25780.58,25788.37,135085504,MXN
2007-03-06,25806.27,26432.39,25806.27,26355.64,116339232,MXN
2007-03-07,26355.64,26566.28,26184.39,26184.39,98693296,MXN
2007-03-08,26207.5,26776.2,26207.5,26773.79,126534456,MXN
2007-03-09,26773.62,27118.05,26752.63,27106.53,119177240,MXN
2007-03-12,27105.13,27261.28,26927.31,27261.17,74253888,MXN
2007-03-13,27259.55,27259.55,26568.63,26589.2,131984800,MXN
2007-03-14,26588.57,26745.32,26295.33,26719.32,136174896,MXN
2007-03-15,26718.44,26998.51,26685.03,26883.53,81389664,MXN
2007-03-16,26883.53,26944.97,26657.09,26901.42,86823952,MXN
2007-03-20,26901.42,27409.74,26901.42,27407.46,122848528,MXN
2007-03-21,27408.72,28229.73,27408.72,28219.55,220316416,MXN
2007-03-22,28231.65,28390.73,28134.77,28258.8,156877824,MXN
2007-03-23,28283.0,28391.52,28212.7,28272.03,95159872,MXN
2007-03-26,28272.03,28325.51,28020.62,28158.97,71195640,MXN
2007-03-27,28158.97,28164.41,27853.66,28124.33,121930432,MXN
2007-03-28,28107.92,28161.34,27811.04,28098.28,110999488,MXN
2007-03-29,28099.47,28704.24,28099.47,28704.24,167303952,MXN
2007-03-30,28704.24,28756.47,28487.59,28747.69,142322688,MXN
2007-04-02,28749.46,29268.4,28746.75,29171.52,131640904,MXN
2007-04-03,29171.52,29516.61,29171.52,29348.09,117003208,MXN
2007-04-04,29348.09,29427.61,29203.05,29370.94,70744688,MXN
2007-04-09,29366.51,29726.23,29366.51,29632.2,78483040,MXN
2007-04-10,29668.76,29938.68,29515.64,29515.64,147400560,MXN
2007-04-11,29506.68,29572.95,29248.02,29278.75,96812328,MXN
2007-04-12,29278.75,29664.16,28990.49,29606.97,153650464,MXN
2007-04-13,29606.97,29771.66,29556.66,29762.22,86409200,MXN
2007-04-16,29811.5,30057.74,29606.55,29718.66,92298784,MXN
2007-04-17,29717.64,29852.93,29383.13,29598.99,91090536,MXN
2007-04-18,29597.84,29597.84,29408.98,29559.52,63680456,MXN
2007-04-19,29558.75,29615.78,29117.04,29614.05,92968632,MXN
2007-04-20,29614.26,29970.5,29614.26,29832.48,83544440,MXN
2007-04-23,29832.48,29835.39,29527.09,29593.85,71264328,MXN
2007-04-24,29593.85,29677.25,29447.91,29544.18,121479456,MXN
2007-04-25,29545.94,29545.94,29346.63,29444.15,136940256,MXN
2007-04-26,29652.32,29839.21,29281.75,29342.7,184025216,MXN
2007-04-27,29352.74,29376.22,28738.22,29372.93,165218192,MXN
2007-04-30,29363.98,29413.52,28988.8,28996.71,90074024,MXN
2007-05-02,28996.71,29310.27,28921.18,29259.92,128393208,MXN
2007-05-03,29267.91,29755.46,29267.91,29752.95,144567664,MXN
2007-05-04,29752.95,30053.92,29741.01,30013.85,139624272,MXN
2007-05-07,30013.85,30159.13,29776.57,29776.57,78632192,MXN
2007-05-08,29759.41,29759.41,29296.1,29572.4,95790992,MXN
2007-05-09,29572.7,29992.87,29551.76,29992.83,93486544,MXN
2007-05-10,29992.08,29993.15,29637.6,29653.82,128558344,MXN
2007-05-11,29653.82,30125.3,29653.82,30058.75,90473104,MXN
2007-05-14,30058.75,30172.81,29665.99,29766.33,91215376,MXN
2007-05-15,29766.86,29927.35,29619.23,29619.91,122696960,MXN
2007-05-16,29618.58,30341.25,29611.31,30341.25,160769696,MXN
2007-05-17,30341.25,30535.89,30102.84,30478.37,140742944,MXN
2007-05-18,30490.31,30879.14,30490.31,30676.34,125242824,MXN
2007-05-21,30677.18,30894.27,30677.18,30708.73,86548240,MXN
2007-05-22,30707.27,30802.44,30566.23,30802.25,104796224,MXN
2007-05-23,30801.03,31171.6,30691.26,30869.84,185620640,MXN
2007-05-24,30869.84,30978.01,30299.47,30338.58,105354632,MXN
2007-05-25,30338.58,30700.35,30338.58,30700.01,135084512,MXN
2007-05-28,30687.56,30928.43,30625.61,30928.43,26107032,MXN
2007-05-29,30932.16,31053.34,30492.59,30664.73,180394336,MXN
2007-05-30,30575.22,31383.96,30324.37,31380.0,183613600,MXN
2007-05-31,31376.65,32029.45,31376.65,31398.96,231538848,MXN
2007-06-01,31402.97,31950.44,31380.59,31946.4,205132528,MXN
2007-06-04,31946.4,32096.21,31822.27,32096.21,81201728,MXN
2007-06-05,32096.21,32274.51,31816.65,32271.38,113046280,MXN
2007-06-06,32271.38,32273.81,31588.45,31681.76,124936216,MXN
2007-06-07,31669.55,31870.86,30647.24,31184.49,155096800,MXN
2007-06-08,31184.49,31479.5,31020.71,31466.6,125946688,MXN
2007-06-11,31466.6,31916.76,31444.99,31833.44,97858320,MXN
2007-06-12,31831.77,31885.04,31448.06,31608.59,116788752,MXN
2007-06-13,31638.37,31888.53,31513.37,31884.06,115976464,MXN
2007-06-14,31884.06,32216.61,31884.06,32114.09,145288512,MXN
2007-06-15,32129.08,32564.35,32124.02,32128.97,183445840,MXN
2007-06-18,32128.97,32382.35,32109.05,32218.17,89658568,MXN
2007-06-19,32156.32,32156.61,31913.63,32064.99,121020696,MXN
2007-06-20,32134.16,32256.44,31505.48,31550.76,150530048,MXN
2007-06-21,31533.96,31831.52,31248.29,31830.84,125661040,MXN
2007-06-22,31830.08,31873.86,31565.6,31642.26,95325104,MXN
2007-06-25,31643.79,31655.54,31235.48,31296.01,79390880,MXN
2007-06-26,31298.09,31394.62,30744.64,30744.71,117668544,MXN
2007-06-27,30646.95,30892.44,30267.0,30804.21,177508192,MXN
2007-06-28,30801.92,31112.35,30792.04,31079.24,124544192,MXN
2007-06-29,31037.23,31377.78,30927.58,31151.05,119476024,MXN
2007-07-02,31151.05,31434.4,31151.05,31420.69,138462592,MXN
