Date,Open,High,Low,Close,Volume,Currency
2007-01-03,677.55,677.55,653.14,659.25,2077398016,THB
2007-01-04,658.4,660.3,648.22,648.22,1967309056,THB
2007-01-05,644.17,644.17,626.85,628.19,2359442944,THB
2007-01-08,625.38,639.13,621.25,633.82,1888841984,THB
2007-01-09,633.15,636.59,615.66,616.75,2878704896,THB
2007-01-10,609.83,622.27,608.14,622.27,2130242944,THB
2007-01-11,625.65,639.47,625.65,637.63,2939830016,THB
2007-01-12,647.14,648.48,641.91,645.71,2896621056,THB
2007-01-15,648.66,656.97,648.19,656.31,2379250944,THB
2007-01-16,657.85,660.91,652.75,655.9,3149008896,THB
2007-01-17,654.89,658.1,650.63,651.47,2411696896,THB
2007-01-18,653.74,655.41,650.23,654.89,1889634944,THB
2007-01-19,655.41,660.09,653.96,658.17,2252573952,THB
2007-01-22,660.09,661.03,654.01,655.12,2592616960,THB
2007-01-23,651.41,651.99,647.35,650.76,2021634944,THB
2007-01-24,656.62,657.63,653.08,657.16,1999202048,THB
2007-01-25,660.69,662.13,658.74,660.71,2843440896,THB
2007-01-26,658.24,660.12,655.87,657.65,2546906112,THB
2007-01-29,658.95,660.57,653.64,653.92,2496689920,THB
2007-01-30,653.43,655.0,650.11,653.49,2175858944,THB
2007-01-31,654.98,656.78,652.94,654.04,2322053888,THB
2007-02-01,655.96,659.98,655.96,657.0,2550711040,THB
2007-02-02,659.77,671.08,659.77,670.6,4191059968,THB
2007-02-05,673.88,676.77,670.72,674.42,2767453952,THB
2007-02-06,677.36,677.42,671.77,673.63,2333886976,THB
2007-02-07,676.07,679.0,675.08,675.33,2181460992,THB
2007-02-08,676.7,692.89,676.7,691.28,3445760000,THB
2007-02-09,694.96,697.83,691.76,695.27,2622593024,THB
2007-02-12,695.33,697.58,692.68,697.46,2246169088,THB
2007-02-13,698.59,698.59,690.27,692.48,2639333888,THB
2007-02-14,696.08,698.61,696.03,697.84,3016265984,THB
2007-02-15,698.12,701.85,693.86,693.86,2512474112,THB
2007-02-16,693.97,693.97,687.89,688.01,1166359040,THB
2007-02-19,685.42,687.41,682.51,685.38,819916032,THB
2007-02-20,686.48,691.44,686.48,690.67,1328844032,THB
2007-02-21,691.28,693.9,688.28,692.38,1696672000,THB
2007-02-22,693.27,698.86,693.27,693.61,2052166016,THB
2007-02-23,694.99,695.63,688.37,690.76,1972572032,THB
2007-02-26,692.08,692.42,686.04,688.7,1361794048,THB
2007-02-27,688.51,690.47,682.26,683.95,1807851008,THB
2007-02-28,667.46,677.13,665.04,677.13,2677896960,THB
2007-03-01,678.79,682.57,677.84,680.6,2366076928,THB
2007-03-02,680.61,683.58,677.92,679.02,2164485120,THB
2007-03-06,678.71,678.71,671.0,674.24,1486119040,THB
2007-03-07,676.61,679.25,670.37,670.37,1529735936,THB
2007-03-08,671.65,673.15,671.03,671.98,1078196992,THB
2007-03-09,672.64,673.98,670.69,671.17,1199496960,THB
2007-03-12,672.5,675.31,671.54,672.36,1226947968,THB
2007-03-13,672.96,677.15,672.87,675.2,1558333952,THB
2007-03-14,671.32,673.53,668.76,670.62,1767707008,THB
2007-03-15,672.19,675.71,672.19,674.31,2129479936,THB
2007-03-16,673.45,674.61,671.05,671.05,1641257984,THB
2007-03-19,671.24,672.12,669.14,669.14,1577686016,THB
2007-03-20,672.72,672.99,668.52,671.76,1842669056,THB
2007-03-21,671.94,672.18,667.1,669.56,1702717952,THB
2007-03-22,672.83,674.99,671.99,674.84,1941472000,THB
2007-03-23,675.86,678.11,674.95,677.79,1675650944,THB
2007-03-26,678.46,680.87,676.77,679.04,1166919040,THB
2007-03-27,680.0,680.81,677.07,678.57,1197336064,THB
2007-03-28,679.47,679.47,667.9,669.04,1845848064,THB
2007-03-29,667.22,671.62,666.3,671.62,985913984,THB
2007-03-30,671.42,674.39,671.13,673.71,1219730048,THB
2007-04-02,675.19,681.28,675.19,679.62,1971344000,THB
