Date,Open,High,Low,Close,Volume,Currency
2007-01-03,8889.54,8921.95,8869.26,8920.17,67560248,CHF
2007-01-04,8880.75,8925.21,8865.88,8925.21,69266808,CHF
2007-01-05,8917.7,8949.02,8899.37,8900.17,66975724,CHF
2007-01-08,8917.39,8932.44,8837.0,8850.25,61669284,CHF
2007-01-09,8893.59,8920.43,8874.0,8874.0,55620644,CHF
2007-01-10,8846.58,8874.4,8814.6,8861.6,63554496,CHF
2007-01-11,8906.52,8987.91,8884.98,8987.91,74392360,CHF
2007-01-12,8979.07,9032.81,8967.57,9032.81,67942344,CHF
2007-01-15,9063.37,9112.86,9048.31,9101.65,52641852,CHF
2007-01-16,9103.95,9115.09,9067.3,9073.0,49724444,CHF
2007-01-17,9080.43,9119.01,9063.96,9104.6,56255976,CHF
2007-01-18,9116.83,9151.17,9074.72,9099.35,62548316,CHF
2007-01-19,9077.19,9155.12,9054.28,9155.12,81146696,CHF
2007-01-22,9154.48,9182.07,9085.15,9102.15,64020448,CHF
2007-01-23,9104.45,9147.58,9070.93,9105.5,80601576,CHF
2007-01-24,9135.35,9155.76,9116.39,9153.1,60854272,CHF
2007-01-25,9183.67,9200.82,9114.92,9134.1,66832176,CHF
2007-01-26,9109.22,9114.28,9041.1,9041.1,71346848,CHF
2007-01-29,9045.33,9128.15,9022.89,9110.76,55247204,CHF
2007-01-30,9106.12,9148.73,9091.87,9147.0,52009344,CHF
2007-01-31,9131.97,9159.26,9092.54,9135.11,64541280,CHF
2007-02-01,9205.6,9252.52,9200.65,9217.87,74224104,CHF
2007-02-02,9230.66,9264.44,9226.2,9260.49,62324880,CHF
2007-02-05,9249.64,9261.31,9225.32,9257.94,49954036,CHF
2007-02-06,9259.3,9303.16,9259.29,9266.16,51028992,CHF
2007-02-07,9271.87,9288.2,9235.13,9288.2,62215772,CHF
2007-02-08,9291.95,9301.23,9201.69,9229.33,90127208,CHF
2007-02-09,9268.52,9309.42,9260.39,9292.06,55548980,CHF
2007-02-12,9247.94,9272.56,9227.31,9261.58,65006360,CHF
2007-02-13,9273.7,9287.58,9231.08,9240.01,78499024,CHF
2007-02-14,9275.75,9299.22,9231.84,9299.22,83849208,CHF
2007-02-15,9332.05,9335.66,9262.28,9305.39,111237352,CHF
2007-02-16,9279.46,9337.02,9271.95,9336.34,85844112,CHF
2007-02-19,9338.38,9376.65,9335.79,9345.62,46294356,CHF
2007-02-20,9358.59,9359.26,9273.56,9315.35,61846376,CHF
2007-02-21,9334.06,9357.94,9197.71,9207.09,76534648,CHF
2007-02-22,9239.21,9286.34,9233.42,9251.8,86086240,CHF
2007-02-23,9258.72,9272.42,9205.81,9258.05,75591696,CHF
2007-02-26,9243.19,9267.02,9223.03,9223.03,88657320,CHF
2007-02-27,9129.72,9135.76,8891.66,8909.8,156165520,CHF
2007-02-28,8741.68,8862.93,8703.83,8789.7,168841984,CHF
2007-03-01,8785.28,8905.72,8622.14,8781.91,247608672,CHF
2007-03-02,8843.65,8878.33,8738.4,8798.71,117217816,CHF
2007-03-05,8640.78,8708.07,8609.43,8676.86,109098760,CHF
2007-03-06,8781.0,8792.2,8691.82,8775.6,191269744,CHF
2007-03-07,8798.8,8878.75,8770.86,8878.43,95308528,CHF
2007-03-08,8903.97,8966.16,8898.75,8955.7,80431672,CHF
2007-03-09,8937.74,8964.7,8869.18,8933.87,76967992,CHF
2007-03-12,8968.62,9000.88,8875.42,8899.4,59900400,CHF
2007-03-13,8900.35,8905.69,8822.71,8829.09,64956672,CHF
2007-03-14,8649.28,8690.74,8573.54,8577.66,125798352,CHF
2007-03-15,8685.41,8722.02,8646.14,8706.78,93447504,CHF
2007-03-16,8697.39,8760.93,8671.93,8717.63,132023424,CHF
2007-03-19,8803.18,8845.36,8775.19,8841.7,61836192,CHF
2007-03-20,8845.8,8886.03,8787.8,8882.39,62200396,CHF
2007-03-21,8880.85,8960.92,8871.41,8942.16,55648120,CHF
2007-03-22,9053.51,9100.83,9030.64,9074.25,111369928,CHF
2007-03-23,9068.83,9107.07,9038.53,9089.85,49151156,CHF
2007-03-26,9092.25,9092.25,8973.97,9006.03,50881680,CHF
