Date,Open,High,Low,Close,Volume,Currency
2007-01-04,6730.12,6954.64,6659.8,6705.34,1408099968,CNY
2007-01-05,6667.72,6777.81,6585.06,6706.24,1151200000,CNY
2007-01-08,6693.3,6872.62,6691.39,6870.5,1064200000,CNY
2007-01-09,6894.2,7095.73,6848.7,7078.59,1041699968,CNY
2007-01-10,7110.86,7346.02,7100.06,7346.02,1104700032,CNY
2007-01-11,7343.94,7494.08,7259.85,7289.59,989900032,CNY
2007-01-12,7254.57,7395.89,7113.78,7187.02,994700032,CNY
2007-01-15,7177.22,7639.52,7175.44,7636.45,917699968,CNY
2007-01-16,7696.24,8020.98,7669.02,8002.89,946200000,CNY
2007-01-17,7998.32,8044.52,7593.81,7775.65,1220400000,CNY
2007-01-18,7672.74,7830.7,7499.25,7790.87,1011500032,CNY
2007-01-19,7784.28,8065.31,7784.28,8065.31,1165900032,CNY
2007-01-22,8156.76,8357.41,8145.79,8343.07,1204499968,CNY
2007-01-23,8365.31,8392.24,8001.98,8311.26,1228899968,CNY
2007-01-24,8278.96,8463.82,8166.44,8366.58,994000000,CNY
2007-01-25,8271.84,8293.2,8000.99,8013.25,1000899968,CNY
2007-01-26,7899.05,8263.34,7704.08,8223.3,1031800000,CNY
2007-01-29,8258.35,8413.36,8212.08,8359.99,1046499968,CNY
2007-01-30,8391.33,8410.74,8224.83,8262.33,941400000,CNY
2007-01-31,8281.16,8281.16,7579.92,7632.94,1029400000,CNY
2007-02-01,7513.44,7763.68,7393.67,7700.64,856099968,CNY
2007-02-02,7684.19,7711.99,7339.86,7348.03,733400000,CNY
2007-02-05,7280.94,7373.98,7144.5,7292.95,647699968,CNY
2007-02-06,7282.98,7343.62,6985.78,7341.53,833299968,CNY
2007-02-07,7414.39,7615.35,7414.39,7541.74,892200000,CNY
2007-02-08,7568.03,7693.39,7484.85,7691.46,873500032,CNY
2007-02-09,7713.2,7722.31,7557.51,7627.94,704899968,CNY
2007-02-12,7616.8,7951.58,7605.84,7951.58,712800000,CNY
