Date,Open,High,Low,Close,Volume,Currency
2007-01-01,926.3,942.57,926.93,941.13,0,ILS
2007-01-02,941.13,948.42,938.2,940.37,0,ILS
2007-01-03,940.37,946.45,937.65,945.86,0,ILS
2007-01-04,945.86,946.54,938.91,941.07,0,ILS
2007-01-07,939.07,939.68,930.81,932.72,0,ILS
2007-01-08,936.25,937.13,931.6,933.2,0,ILS
2007-01-09,934.24,935.07,922.35,922.98,0,ILS
2007-01-10,913.83,914.04,906.44,909.61,0,ILS
2007-01-11,914.67,915.7,903.44,913.99,0,ILS
2007-01-14,923.76,929.74,923.26,928.87,0,ILS
2007-01-15,930.96,936.16,930.96,934.24,0,ILS
2007-01-16,937.31,938.59,930.3,933.32,0,ILS
2007-01-17,926.45,940.2,924.64,934.05,0,ILS
2007-01-18,937.57,938.64,932.68,933.86,0,ILS
2007-01-21,935.69,936.93,930.88,934.76,0,ILS
2007-01-22,938.56,941.56,938.42,938.7,0,ILS
2007-01-23,938.71,942.36,935.62,940.54,0,ILS
2007-01-24,945.42,950.03,944.79,946.35,0,ILS
2007-01-25,949.78,950.1,944.3,946.38,0,ILS
2007-01-28,947.64,955.01,944.21,954.01,0,ILS
2007-01-29,955.16,956.31,951.47,953.81,0,ILS
2007-01-30,955.62,959.38,954.2,956.0,0,ILS
2007-01-31,954.42,955.57,946.31,951.11,0,ILS
2007-02-01,956.32,963.2,956.32,962.74,0,ILS
2007-02-04,966.23,970.59,965.39,969.12,0,ILS
2007-02-05,969.0,972.54,966.58,970.89,0,ILS
2007-02-06,974.13,975.6,965.97,967.53,0,ILS
2007-02-07,969.53,975.67,966.07,973.76,0,ILS
2007-02-08,976.01,977.53,968.2,970.71,0,ILS
2007-02-11,968.86,975.2,967.84,972.95,0,ILS
2007-02-12,975.24,976.93,965.6,966.29,0,ILS
2007-02-13,968.72,982.04,968.72,981.64,0,ILS
2007-02-14,984.2,993.14,982.42,992.48,0,ILS
2007-02-15,997.16,997.16,987.73,990.32,0,ILS
2007-02-18,988.2,991.32,983.39,990.49,0,ILS
2007-02-19,993.73,1004.19,993.59,1003.69,0,ILS
2007-02-20,1004.54,1006.01,991.78,992.5,0,ILS
2007-02-21,998.41,1002.21,986.27,999.08,0,ILS
2007-02-22,1007.28,1007.28,994.98,999.86,0,ILS
2007-02-25,996.21,999.32,993.53,996.46,0,ILS
2007-02-26,998.58,1000.31,993.65,996.88,0,ILS
2007-02-27,992.54,992.61,970.03,975.66,0,ILS
2007-02-28,967.49,979.51,961.7,971.6,0,ILS
2007-03-01,967.31,981.41,953.38,965.72,0,ILS
2007-03-05,946.16,954.2,943.04,952.03,0,ILS
2007-03-06,962.35,964.06,956.91,960.71,0,ILS
2007-03-07,966.39,966.8,954.48,955.73,0,ILS
2007-03-08,962.3,968.13,959.92,966.27,0,ILS
2007-03-11,968.22,975.28,967.59,974.61,0,ILS
2007-03-12,979.63,985.09,961.23,977.98,0,ILS
