Date,Predict
2011-02-24,17978.688
2011-02-25,17978.688
2011-02-28,17642.545
2011-03-01,17676.115
2011-03-03,17835.879
2011-03-04,18150.078
2011-03-07,18435.363
2011-03-08,18190.652
2011-03-09,18111.719
2011-03-10,18341.66
2011-03-11,18255.465
2011-03-14,18084.365
2011-03-15,18008.588
2011-03-16,17958.748
2011-03-17,18098.938
2011-03-18,18064.766
2011-03-21,18087.24
2011-03-22,17838.158
2011-03-23,17786.219
2011-03-24,17826.316
2011-03-25,18120.219
2011-03-28,18302.182
2011-03-29,18601.568
2011-03-30,18742.45
2011-03-31,18958.219
2011-04-01,19109.986
2011-04-04,19226.408
2011-04-05,19236.625
2011-04-06,19479.955
2011-04-07,19448.955
2011-04-08,19375.459
2011-04-11,19358.379
2011-04-13,19150.709
2011-04-15,18965.984
2011-04-18,19421.967
2011-04-19,19157.154
2011-04-20,18876.283
2011-04-21,19048.176
2011-04-25,19339.184
2011-04-26,19297.629
2011-04-27,19352.244
2011-04-28,19365.848
2011-04-29,19292.271
2011-05-02,19065.488
2011-05-03,19000.89
2011-05-04,18770.426
2011-05-05,18374.979
2011-05-06,18305.951
2011-05-09,18123.361
2011-05-10,18440.93
2011-05-11,18381.186
2011-05-12,18388.37
2011-05-13,18344.021
2011-05-16,18191.4
2011-05-17,18313.422
2011-05-18,18202.639
2011-05-19,18018.146
2011-05-20,18008.162
2011-05-23,18039.322
2011-05-24,18103.973
2011-05-25,17867.773
2011-05-26,17830.352
2011-05-27,17775.037
2011-05-30,17951.102
2011-05-31,18151.408
2011-06-01,18101.678
2011-06-02,18345.707
2011-06-03,18250.79
2011-06-06,18371.291
2011-06-07,18174.375
2011-06-08,18184.705
2011-06-09,18271.92
2011-06-10,18221.486
2011-06-13,18217.588
2011-06-14,18078.885
2011-06-15,18111.195
2011-06-16,18131.611
2011-06-17,17908.58
2011-06-20,17908.637
2011-06-21,17782.562
2011-06-22,17455.555
2011-06-23,17534.709
2011-06-24,17411.39
2011-06-27,17670.387
2011-06-28,17976.424
2011-06-29,18314.275
2011-06-30,18369.219
2011-07-01,18546.51
2011-07-04,18766.334
2011-07-05,18692.295
2011-07-06,18637.436
2011-07-07,18536.357
2011-07-08,18579.871
2011-07-11,18869.016
2011-07-12,18623.629
2011-07-13,18352.264
2011-07-14,18291.057
2011-07-15,18380.004
2011-07-18,18502.46
2011-07-19,18406.736
2011-07-20,18340.328
2011-07-21,18560.797
2011-07-22,18334.018
2011-07-25,18381.27
2011-07-26,18558.014
2011-07-27,18694.129
2011-07-28,18387.002
2011-07-29,18133.445
2011-08-01,18033.889
2011-08-02,18181.83
2011-08-03,18117.533
2011-08-04,17824.59
2011-08-05,17837.355
2011-08-08,17247.205
2011-08-09,16836.4
2011-08-10,16476.016
2011-08-11,17149.053
2011-08-12,16974.514
2011-08-16,17151.068
2011-08-17,16936.857
2011-08-18,16720.379
2011-08-19,16838.898
2011-08-22,16217.678
2011-08-23,16142.347
2011-08-24,16410.459
2011-08-25,16451.006
2011-08-26,16310.179
2011-08-29,16141.941
2011-08-30,16073.081
2011-09-02,16538.111
2011-09-05,16888.367
2011-09-06,16624.281
2011-09-07,16610.777
2011-09-08,16850.05
2011-09-09,17031.523
2011-09-12,17098.027
2011-09-13,16614.957
2011-09-14,16568.668
2011-09-15,16480.488
2011-09-16,16771.76
2011-09-19,16966.28
2011-09-20,16797.84
2011-09-21,16707.787
2011-09-22,17041.498
2011-09-23,16762.588
2011-09-26,16203.481
2011-09-27,16191.34
2011-09-28,16265.173
2011-09-29,16610.342
2011-09-30,16356.079
2011-10-03,16551.639
2011-10-04,16234.438
2011-10-05,16074.028
2011-10-07,15969.127
2011-10-10,16203.592
2011-10-11,16247.432
2011-10-12,16614.863
2011-10-13,16607.725
2011-10-14,16966.531
2011-10-17,16770.898
2011-10-18,17085.314
2011-10-19,16752.898
2011-10-20,16813.979
2011-10-21,16840.361
2011-10-24,16899.596
2011-10-25,16932.285
2011-10-26,16933.889
2011-10-28,17234.168
2011-10-31,17546.346
2011-11-01,17671.574
2011-11-02,17424.076
2011-11-03,17244.723
2011-11-04,17321.871
2011-11-08,17548.99
2011-11-09,17473.523
2011-11-11,17518.512
2011-11-14,17096.303
2011-11-15,17245.486
2011-11-16,16997.705
2011-11-17,16803.738
2011-11-18,16694.88
2011-11-21,16355.885
2011-11-22,16272.28
2011-11-23,15994.844
2011-11-24,15970.8545
2011-11-25,15737.756
2011-11-28,15797.815
2011-11-29,15898.429
2011-11-30,16192.428
2011-12-01,15878.364
2011-12-02,16511.166
2011-12-05,16453.963
2011-12-07,16748.195
2011-12-08,16764.613
2011-12-09,16755.08
2011-12-12,16236.715
2011-12-13,16325.69
2011-12-14,15795.401
2011-12-15,15965.476
2011-12-16,15759.082
2011-12-19,15878.199
2011-12-20,15485.056
2011-12-21,15481.412
2011-12-22,15528.69
2011-12-23,15582.657
2011-12-26,15873.284
2011-12-27,15798.659
2011-12-28,15984.076
2011-12-29,15864.952
2011-12-30,15685.587
2012-01-02,15616.466
2012-01-03,15571.672
2012-01-04,15668.7295
2012-01-05,15968.915
2012-01-06,15900.516
2012-01-07,15805.005
2012-01-09,15900.725
2012-01-10,15851.964
2012-01-11,15905.339
2012-01-12,16203.481
2012-01-13,16106.626
2012-01-16,16131.831
2012-01-17,16078.602
2012-01-18,16248.168
2012-01-19,16461.754
2012-01-20,16527.736
2012-01-23,16685.936
2012-01-24,16613.816
2012-01-25,16743.033
2012-01-27,16985.863
2012-01-30,17108.777
2012-01-31,17050.041
2012-02-01,16890.137
2012-02-02,17088.646
2012-02-03,17328.734
2012-02-06,17334.484
2012-02-07,17611.623
2012-02-08,17678.594
2012-02-09,17508.926
2012-02-10,17523.934
2012-02-13,17682.186
2012-02-14,17630.07
2012-02-15,17635.441
2012-02-16,17852.709
2012-02-17,18004.803
2012-02-21,18162.139
2012-02-22,18136.422
2012-02-23,18311.725
2012-02-24,17971.424
2012-02-27,17926.24
2012-02-28,17829.26
2012-02-29,17428.318
2012-03-01,17777.668
2012-03-02,17586.186
2012-03-03,17536.592
2012-03-05,17524.557
2012-03-06,17477.945
2012-03-07,17234.447
2012-03-09,17039.967
2012-03-12,17224.393
2012-03-13,17639.766
2012-03-14,17554.145
2012-03-15,17855.371
2012-03-16,17774.795
2012-03-19,17532.326
2012-03-20,17415.625
2012-03-21,17208.664
2012-03-22,17201.482
2012-03-23,17466.44
2012-03-26,17161.135
2012-03-27,17272.504
2012-03-28,17116.02
2012-03-29,17139.555
2012-03-30,16958.973
2012-04-02,17030.902
2012-04-03,17321.195
2012-04-04,17457.27
2012-04-09,17435.904
2012-04-10,17300.46
2012-04-11,17162.562
2012-04-12,17038.836
2012-04-13,17178.918
2012-04-16,17137.771
2012-04-17,16966.41
2012-04-18,17108.445
2012-04-19,17337.281
2012-04-20,17323.918
2012-04-23,17348.873
2012-04-24,17244.781
2012-04-25,17065.545
2012-04-26,17131.252
2012-04-27,17099.207
2012-04-30,17056.863
2012-05-02,17103.375
2012-05-03,17266.314
2012-05-04,17174.184
2012-05-07,16984.0
2012-05-08,16570.766
2012-05-09,16843.938
2012-05-10,16400.826
2012-05-11,16473.94
2012-05-14,16326.2705
2012-05-15,16291.943
2012-05-16,16133.977
2012-05-17,16120.884
2012-05-18,16108.365
2012-05-21,15877.546
2012-05-22,16171.51
2012-05-23,16315.896
2012-05-24,15994.338
2012-05-25,16029.985
2012-05-28,16195.071
2012-05-29,16265.634
2012-05-30,16459.557
2012-05-31,16359.76
2012-06-01,16205.774
2012-06-04,16198.977
2012-06-05,15823.184
2012-06-06,16058.9375
2012-06-07,16091.136
2012-06-08,16531.56
2012-06-11,16562.521
2012-06-12,16741.338
2012-06-13,16524.635
2012-06-14,16797.645
2012-06-15,16789.785
2012-06-18,16645.492
2012-06-19,16958.686
2012-06-20,16627.564
2012-06-21,16833.055
2012-06-22,16788.275
2012-06-25,16813.404
2012-06-26,16957.973
2012-06-27,16804.469
2012-06-28,16899.57
2012-06-29,16908.67
2012-07-02,17046.86
2012-07-03,17329.303
2012-07-04,17347.225
2012-07-05,17361.465
2012-07-06,17366.023
2012-07-09,17429.184
2012-07-10,17339.766
2012-07-11,17322.793
2012-07-12,17436.568
2012-07-13,17197.676
2012-07-16,17171.797
2012-07-17,17146.518
2012-07-18,17086.13
2012-07-19,17027.154
2012-07-20,17189.572
2012-07-23,17177.37
2012-07-24,16966.28
2012-07-25,16836.557
2012-07-26,16828.47
2012-07-27,16818.125
2012-07-30,16792.498
2012-07-31,16847.117
2012-08-01,17095.113
2012-08-02,17148.8
2012-08-03,17149.953
2012-08-06,17074.576
2012-08-07,17212.53
2012-08-08,17345.756
2012-08-09,17515.297
2012-08-10,17490.666
2012-08-13,17400.69
2012-08-14,17434.443
2012-08-16,17508.883
2012-08-17,17621.232
2012-08-21,17573.682
2012-08-22,17577.355
2012-08-23,17691.195
2012-08-24,17718.283
2012-08-27,17656.69
2012-08-28,17637.287
2012-08-29,17550.324
2012-08-30,17527.045
2012-08-31,17324.486
2012-09-03,17439.963
2012-09-04,17354.34
2012-09-05,17273.518
2012-09-06,17256.12
2012-09-07,17219.664
2012-09-08,17456.877
2012-09-10,17573.56
2012-09-11,17647.998
2012-09-12,17583.56
2012-09-13,17774.123
2012-09-14,17874.799
2012-09-17,18118.656
2012-09-18,18432.734
2012-09-20,18334.084
2012-09-21,18125.648
2012-09-24,18237.062
2012-09-25,18560.797
2012-09-26,18515.438
2012-09-27,18455.857
2012-09-28,18470.133
2012-10-01,18512.592
2012-10-03,18587.408
2012-10-04,18640.828
2012-10-05,18733.213
2012-10-08,18898.988
2012-10-09,18760.904
2012-10-10,18598.314
2012-10-11,18507.156
2012-10-12,18439.744
2012-10-15,18533.363
2012-10-16,18499.457
2012-10-17,18587.51
2012-10-18,18477.615
2012-10-19,18464.361
2012-10-22,18571.777
2012-10-23,18466.547
2012-10-25,18605.24
2012-10-26,18519.57
2012-10-29,18522.33
2012-10-30,18466.613
2012-10-31,18453.482
2012-11-01,18261.037
2012-11-02,18308.94
2012-11-05,18500.547
2012-11-06,18554.277
2012-11-07,18545.45
2012-11-08,18604.488
2012-11-09,18582.805
2012-11-12,18632.611
2012-11-13,18499.486
2012-11-15,18535.098
2012-11-16,18404.75
2012-11-19,18312.307
2012-11-20,18179.3
2012-11-21,18247.828
2012-11-22,18207.744
2012-11-23,18330.54
2012-11-26,18361.49
2012-11-27,18390.012
2012-11-29,18429.594
2012-11-30,18671.04
