Date,Predict
2011-03-07,22610.273
2011-03-08,22610.273
2011-03-09,22664.816
2011-03-10,22434.846
2011-03-11,21974.445
2011-03-16,21621.13
2011-03-17,21732.598
2011-03-18,21730.146
2011-03-21,22168.162
2011-03-22,22167.604
2011-03-23,22281.016
2011-03-24,22175.834
2011-03-25,22190.393
2011-03-28,22603.295
2011-03-29,22632.826
2011-03-30,22527.293
2011-03-31,22540.586
2011-04-01,22662.213
2011-04-04,22765.363
2011-04-05,23261.896
2011-04-06,23187.516
2011-04-07,23313.174
2011-04-08,23942.533
2011-04-11,24062.2
2011-04-12,24066.592
2011-04-13,23720.105
2011-04-14,23497.04
2011-04-15,23523.709
2011-04-18,23499.41
2011-04-19,23780.96
2011-04-20,23153.336
2011-04-21,23568.564
2011-04-22,23752.96
2011-04-26,23714.682
2011-04-27,23580.004
2011-04-28,23834.496
2011-04-29,23931.48
2011-05-02,23795.023
2011-05-03,23897.674
2011-05-04,23819.7
2011-05-05,23377.725
2011-05-06,23336.078
2011-05-09,23179.91
2011-05-10,23436.45
2011-05-11,23307.94
2011-05-12,23445.875
2011-05-13,23078.887
2011-05-16,23073.164
2011-05-17,22942.135
2011-05-18,22841.254
2011-05-19,22799.223
2011-05-20,22862.793
2011-05-23,22514.68
2011-05-24,22149.195
2011-05-25,22231.08
2011-05-26,22478.664
2011-05-27,22710.86
2011-05-30,22635.295
2011-05-31,22604.342
2011-06-01,22555.361
2011-06-02,23072.822
2011-06-03,22772.006
2011-06-06,23056.066
2011-06-07,22794.97
2011-06-08,22709.07
2011-06-09,22757.082
2011-06-10,22887.496
2011-06-14,22902.832
2011-06-15,22764.39
2011-06-16,22792.316
2011-06-17,22318.96
2011-06-20,22372.85
2011-06-21,22323.678
2011-06-22,22291.84
2011-06-23,22282.191
2011-06-24,22214.672
2011-06-27,22114.3
2011-06-28,22009.959
2011-06-29,22215.068
2011-06-30,22398.656
2011-07-01,22472.803
2011-07-04,22406.473
2011-07-05,22478.703
2011-07-06,22179.945
2011-07-07,22104.932
2011-07-08,21949.281
2011-07-11,22274.787
2011-07-12,21911.436
2011-07-13,21509.549
2011-07-14,21695.832
2011-07-15,21907.559
2011-07-18,21886.117
2011-07-19,21644.943
2011-07-20,21237.244
2011-07-21,21321.963
2011-07-22,21357.229
2011-07-25,21841.256
2011-07-26,21245.547
2011-07-27,21664.305
2011-07-28,21470.6
2011-07-29,21113.535
2011-08-01,21024.684
2011-08-02,21476.504
2011-08-03,20813.963
2011-08-04,20272.928
2011-08-05,20414.902
2011-08-08,19079.592
2011-08-09,19121.275
2011-08-10,19094.916
2011-08-11,18930.354
2011-08-12,17634.555
2011-08-15,17760.729
2011-08-16,18390.314
2011-08-17,18749.19
2011-08-18,18369.871
2011-08-19,18406.545
2011-08-22,17968.3
2011-08-23,17761.307
2011-08-24,18356.178
2011-08-25,18353.42
2011-08-26,18282.37
2011-08-29,17816.938
2011-08-30,18056.014
2011-08-31,18517.594
2011-09-01,18273.918
2011-09-02,18495.65
2011-09-05,18145.305
2011-09-06,18215.674
2011-09-07,17746.182
2011-09-08,18107.988
2011-09-09,18523.1
2011-09-12,18132.135
2011-09-13,16943.96
2011-09-14,16799.934
2011-09-15,16682.523
2011-09-16,16844.531
2011-09-19,17079.291
2011-09-20,16666.379
2011-09-21,16486.234
2011-09-22,16631.96
2011-09-23,15976.395
2011-09-26,15608.428
2011-09-27,15200.269
2011-09-28,15637.988
2011-09-29,15790.41
2011-09-30,15906.6045
2011-10-03,16023.441
2011-10-04,15728.162
2011-10-05,15669.77
2011-10-06,16131.318
2011-10-07,16700.205
2011-10-10,16984.967
2011-10-11,16669.494
2011-10-12,17079.922
2011-10-13,17109.25
2011-10-14,17390.879
2011-10-17,17454.465
2011-10-18,17763.469
2011-10-19,17321.082
2011-10-20,17654.07
2011-10-21,17407.525
2011-10-24,17284.443
2011-10-25,17730.232
2011-10-26,17788.133
2011-10-27,17841.385
2011-10-28,17871.805
2011-11-02,18150.436
2011-11-03,17228.95
2011-11-04,16837.057
2011-11-07,17046.924
2011-11-08,16907.732
2011-11-09,16767.285
2011-11-10,16891.049
2011-11-11,16171.914
2011-11-14,16605.004
2011-11-15,16913.611
2011-11-16,16600.213
2011-11-17,16728.45
2011-11-18,16869.686
2011-11-21,17409.87
2011-11-22,17075.611
2011-11-23,17114.67
2011-11-24,16873.275
2011-11-25,17111.467
2011-11-28,16629.691
2011-11-29,16709.043
2011-11-30,17001.947
2011-12-01,17027.502
2011-12-02,17656.947
2011-12-05,17413.47
2011-12-06,17561.748
2011-12-07,17680.797
2011-12-08,17613.367
2011-12-09,17334.658
2011-12-12,16910.705
2011-12-13,17099.473
2011-12-14,17248.633
2011-12-15,17029.54
2011-12-16,16992.406
2011-12-19,17249.19
2011-12-20,17344.045
2011-12-21,17482.086
2011-12-22,17828.82
2011-12-23,17399.545
2011-12-27,17620.816
2011-12-28,17589.76
2011-12-29,17330.371
2011-12-30,17288.22
2012-01-02,17354.371
2012-01-03,17114.525
2012-01-04,17288.021
2012-01-05,17105.02
2012-01-06,16683.422
2012-01-09,16578.53
2012-01-10,16481.736
2012-01-11,16902.695
2012-01-13,17184.846
2012-01-16,17218.793
2012-01-17,17300.303
2012-01-18,17559.5
2012-01-19,17769.545
