Date,Predict
2007-01-02,6657.401
2007-01-03,6657.401
2007-01-04,6722.914
2007-01-05,6704.1987
2007-01-08,6703.8623
2007-01-09,6646.395
2007-01-10,6667.7896
2007-01-11,6621.999
2007-01-12,6633.788
2007-01-15,6731.984
2007-01-16,6760.6807
2007-01-17,6776.761
2007-01-18,6757.8594
2007-01-19,6762.219
2007-01-22,6720.5273
2007-01-23,6794.426
2007-01-24,6734.3496
2007-01-25,6734.172
2007-01-26,6784.261
2007-01-29,6731.845
2007-01-30,6743.835
2007-01-31,6761.1143
2007-02-01,6813.282
2007-02-02,6861.1704
2007-02-05,6893.2563
2007-02-06,6917.8833
2007-02-07,6921.0776
2007-02-08,6925.144
2007-02-09,6950.112
2007-02-12,6929.7344
2007-02-13,6931.1006
2007-02-14,6908.0015
2007-02-15,6951.418
2007-02-16,6996.552
2007-02-19,6994.1445
2007-02-20,7005.854
2007-02-21,7016.7437
2007-02-22,7037.22
2007-02-23,6997.769
2007-02-26,7024.226
2007-02-27,7030.222
2007-02-28,7026.475
2007-03-01,6769.4307
2007-03-02,6755.4727
2007-03-05,6705.5376
2007-03-06,6555.3223
2007-03-07,6602.4526
2007-03-08,6648.708
2007-03-09,6686.0493
2007-03-12,6747.7803
2007-03-13,6768.612
2007-03-14,6757.544
2007-03-15,6610.6655
2007-03-16,6540.4863
2007-03-19,6608.256
2007-03-20,6665.308
2007-03-21,6715.4717
2007-03-22,6737.721
2007-03-23,6783.6187
2007-03-26,6898.4277
2007-03-27,6938.3237
2007-03-28,6877.982
2007-03-29,6870.48
2007-03-30,6873.8003
2007-04-02,6942.826
2007-04-03,6950.0024
2007-04-04,6983.8926
2007-04-05,7109.9575
2007-04-10,7112.024
2007-04-11,7139.7026
2007-04-12,7204.915
2007-04-13,7187.7476
2007-04-16,7190.788
2007-04-17,7265.5503
2007-04-18,7363.597
2007-04-19,7377.3057
2007-04-20,7242.1377
2007-04-23,7293.7007
2007-04-24,7384.046
2007-04-25,7378.133
2007-04-26,7327.9917
2007-04-27,7404.521
2007-04-30,7419.9644
2007-05-02,7405.2197
2007-05-03,7465.7876
2007-05-04,7507.9497
2007-05-07,7512.4854
2007-05-08,7559.738
2007-05-09,7550.799
2007-05-10,7507.7593
2007-05-11,7513.244
2007-05-14,7422.7373
2007-05-15,7540.791
2007-05-16,7468.514
2007-05-17,7519.2305
2007-05-18,7537.9116
2007-05-21,7534.3633
2007-05-22,7649.894
2007-05-23,7659.5083
2007-05-24,7700.997
2007-05-25,7752.2627
2007-05-29,7708.9165
2007-05-30,7795.088
2007-05-31,7778.1177
2007-06-01,7827.2856
2007-06-04,7928.0537
2007-06-05,8011.0586
2007-06-06,8024.5845
2007-06-07,7953.7153
2007-06-08,7786.5767
2007-06-11,7611.82
2007-06-12,7659.198
2007-06-13,7729.6187
2007-06-14,7688.511
2007-06-15,7789.3867
2007-06-18,7897.9087
2007-06-19,8082.643
2007-06-20,8082.502
2007-06-21,8104.2695
2007-06-22,8088.611
2007-06-25,8014.6646
2007-06-26,7933.797
2007-06-27,7919.1943
2007-06-28,7856.8354
2007-06-29,7884.057
2007-07-02,7984.359
2007-07-03,8006.6187
2007-07-04,8022.7207
2007-07-05,8095.6997
2007-07-06,8140.2876
2007-07-09,8024.594
2007-07-10,8115.363
2007-07-11,8119.9517
2007-07-12,7959.269
2007-07-13,7958.7964
2007-07-16,8127.849
2007-07-17,8139.924
2007-07-18,8128.303
2007-07-19,8024.998
2007-07-20,7971.134
2007-07-23,8024.3223
2007-07-24,7917.083
2007-07-25,7953.3623
2007-07-26,7784.1177
2007-07-27,7744.379
2007-07-30,7472.9575
2007-07-31,7496.5293
2007-08-01,7543.7495
2007-08-02,7508.169
2007-08-03,7554.6987
2007-08-06,7585.614
2007-08-07,7426.8086
2007-08-08,7517.1514
2007-08-09,7574.76
2007-08-10,7613.932
2007-08-13,7409.8784
2007-08-14,7416.1333
2007-08-15,7477.3413
2007-08-16,7427.407
2007-08-17,7396.2812
2007-08-20,7278.051
2007-08-21,7436.3594
2007-08-22,7463.382
2007-08-23,7464.8687
2007-08-24,7596.71
2007-08-27,7526.6167
2007-08-28,7561.3784
2007-08-29,7512.7954
2007-08-30,7419.035
2007-08-31,7505.261
2007-09-03,7590.396
2007-09-04,7679.5435
2007-09-05,7671.298
2007-09-06,7736.7983
2007-09-07,7654.1997
2007-09-10,7648.7725
2007-09-11,7473.536
2007-09-12,7445.142
2007-09-13,7494.503
2007-09-14,7495.251
2007-09-17,7550.408
2007-09-18,7532.883
2007-09-19,7495.86
2007-09-20,7664.9873
2007-09-21,7764.903
2007-09-24,7759.0747
2007-09-25,7813.499
2007-09-26,7791.385
2007-09-27,7833.7217
2007-09-28,7881.022
2007-10-01,7887.575
2007-10-02,7887.9263
2007-10-03,7974.3555
2007-10-04,7989.6143
2007-10-05,7977.806
2007-10-08,7991.4966
2007-10-09,8046.393
2007-10-10,8012.2583
2007-10-11,8023.446
2007-10-12,8023.145
2007-10-15,8033.1265
2007-10-16,8077.6733
2007-10-17,7983.3125
2007-10-18,7981.7124
2007-10-19,8035.2812
2007-10-22,7932.4087
2007-10-23,7855.7593
2007-10-24,7859.3877
2007-10-25,7878.7207
2007-10-26,7899.3057
2007-10-29,7981.521
2007-10-30,8026.891
2007-10-31,8042.1914
2007-11-01,8012.408
2007-11-02,8062.1636
2007-11-05,7883.5254
2007-11-06,7827.2446
2007-11-07,7859.7183
2007-11-08,7875.6353
2007-11-09,7807.837
2007-11-12,7866.652
2007-11-13,7816.8027
2007-11-14,7817.735
2007-11-15,7857.9106
2007-11-16,7818.127
2007-11-19,7671.539
2007-11-20,7644.0454
2007-11-21,7586.1436
2007-11-22,7605.6655
2007-11-23,7574.5894
2007-11-26,7600.811
2007-11-27,7678.0005
2007-11-28,7573.3394
2007-11-29,7588.0547
2007-11-30,7791.5146
2007-12-03,7808.719
2007-12-04,7896.0693
2007-12-05,7878.4604
2007-12-06,7887.575
2007-12-07,7995.4526
2007-12-10,8000.557
2007-12-11,8010.0728
2007-12-12,8088.3296
2007-12-13,8006.2764
2007-12-14,8052.147
2007-12-17,7986.212
2007-12-18,7920.9844
2007-12-19,7847.523
2007-12-20,7902.0405
2007-12-21,7878.8516
2007-12-27,7950.3647
2007-12-28,8076.595
2008-01-02,8048.5396
2008-01-03,8083.893
2008-01-04,7978.683
2008-01-07,7950.516
2008-01-08,7847.2617
2008-01-09,7881.103
2008-01-10,7875.8057
2008-01-11,7835.4995
2008-01-14,7753.537
2008-01-15,7728.556
2008-01-16,7750.679
2008-01-17,7572.269
2008-01-18,7540.6406
2008-01-21,7453.4272
2008-01-22,7328.8984
2008-01-23,6634.427
2008-01-24,6851.783
2008-01-25,6593.8174
2008-01-28,6923.3145
2008-01-29,6790.0444
2008-01-30,6874.3047
2008-01-31,6926.045
2008-02-01,6896.332
2008-02-04,6935.2163
2008-02-05,7056.5137
2008-02-06,7036.784
2008-02-07,6767.596
2008-02-08,6868.8394
2008-02-11,6817.9326
2008-02-12,6765.0605
2008-02-13,6833.6655
2008-02-14,6953.0513
2008-02-15,7062.3945
2008-02-18,7005.0806
2008-02-19,6904.926
2008-02-20,6986.191
2008-02-21,6971.6724
2008-02-22,6967.039
2008-02-25,6928.588
