Date,Predict
2013-05-06,291.5794
2013-05-07,291.5794
2013-05-08,292.687
2013-05-09,295.04416
2013-05-10,294.89612
2013-05-13,292.7424
2013-05-14,295.71054
2013-05-15,294.3319
2013-05-16,291.9577
2013-05-17,292.55774
2013-05-20,296.9981
2013-05-21,301.576
2013-05-22,302.6463
2013-05-23,303.75488
2013-05-24,302.44147
2013-05-27,301.45502
2013-05-28,301.96677
2013-05-29,303.38214
2013-05-30,307.7597
2013-05-31,306.41397
2013-06-03,307.8719
2013-06-04,304.79916
2013-06-05,303.68036
2013-06-06,300.21844
2013-06-07,298.77887
2013-06-13,296.40512
2013-06-14,287.48105
2013-06-17,284.02942
2013-06-18,286.29572
2013-06-19,285.63464
2013-06-20,284.47864
2013-06-21,282.3807
2013-06-24,272.0302
2013-06-25,274.5089
2013-06-26,257.88293
2013-06-27,260.11438
2013-06-28,261.46982
2013-07-01,257.55173
2013-07-02,261.20938
2013-07-03,264.44705
2013-07-04,264.2219
2013-07-05,262.3774
2013-07-08,266.54773
2013-07-09,262.62918
2013-07-10,258.9577
2013-07-11,259.7466
2013-07-12,266.7553
2013-07-15,274.49072
2013-07-16,272.53818
2013-07-17,273.54584
2013-07-18,274.8726
2013-07-19,271.26862
2013-07-22,269.97333
2013-07-23,261.66745
2013-07-24,266.9178
2013-07-25,270.3989
2013-07-26,271.36832
2013-07-29,267.54993
2013-07-30,265.58255
2013-07-31,264.28494
2013-08-01,266.52066
2013-08-02,265.68173
2013-08-05,271.64935
2013-08-06,270.36267
2013-08-07,272.35672
2013-08-08,274.38165
2013-08-09,272.95566
2013-08-12,274.32715
2013-08-13,275.2272
2013-08-14,280.43277
2013-08-15,281.8957
2013-08-16,280.32312
2013-08-19,276.69257
2013-08-20,273.42776
2013-08-21,278.0321
2013-08-22,277.57632
2013-08-23,276.36472
2013-08-26,278.04126
2013-08-27,276.18268
2013-08-28,280.43277
2013-08-29,280.14038
2013-08-30,282.2068
2013-09-02,280.57895
2013-09-03,281.59378
2013-09-04,280.9354
2013-09-05,284.03857
2013-09-06,283.92862
2013-09-09,283.1498
2013-09-10,288.0696
2013-09-11,294.7851
2013-09-12,299.63315
2013-09-13,298.00876
2013-09-16,300.36716
2013-09-17,300.07904
2013-09-18,298.37982
2013-09-19,292.59467
2013-09-20,292.59467
2013-09-23,292.59467
2013-09-24,295.0164
2013-09-25,297.28546
2013-09-26,295.20145
2013-09-27,293.26892
2013-09-30,288.42838
2013-10-01,291.38565
2013-10-02,291.38565
2013-10-03,291.38565
2013-10-04,291.38565
2013-10-07,291.38565
2013-10-08,291.38565
2013-10-09,291.63474
2013-10-10,294.05453
2013-10-11,297.8789
2013-10-14,296.51627
2013-10-15,300.48795
2013-10-16,301.19458
2013-10-17,299.63315
2013-10-18,296.37732
2013-10-21,294.073
2013-10-22,295.79388
2013-10-23,300.09766
2013-10-24,297.9345
2013-10-25,292.71472
2013-10-28,291.6901
2013-10-29,288.1156
2013-10-30,287.7661
2013-10-31,285.26752
2013-11-01,288.33636
2013-11-04,285.62546
2013-11-05,288.226
2013-11-06,285.24
2013-11-07,286.35083
2013-11-08,284.3411
2013-11-11,281.81332
2013-11-12,279.15424
2013-11-13,280.76172
2013-11-14,281.59378
2013-11-15,277.57632
2013-11-18,279.78415
2013-11-19,286.6999
2013-11-20,292.98257
2013-11-21,293.37982
2013-11-22,292.36383
2013-11-25,293.15808
2013-11-26,289.96597
2013-11-27,290.4175
2013-11-28,290.39908
2013-11-29,294.08224
2013-12-02,296.21988
2013-12-03,293.5184
2013-12-04,290.99832
2013-12-05,294.77585
2013-12-06,299.2338
2013-12-09,298.10153
2013-12-10,298.06442
2013-12-11,297.88818
2013-12-12,296.4329
2013-12-13,292.95486
2013-12-16,291.3949
2013-12-17,293.4722
2013-12-18,289.0082
2013-12-19,287.71094
2013-12-20,288.60324
2013-12-23,284.79962
2013-12-24,280.03073
2013-12-25,280.21344
2013-12-26,280.40533
2013-12-27,281.40173
2013-12-30,277.78598
2013-12-31,282.87506
2014-01-01,280.43277
2014-01-02,280.43277
2014-01-03,283.4154
2014-01-06,282.5546
2014-01-07,279.13593
2014-01-08,272.71063
2014-01-09,274.89072
2014-01-10,274.56345
2014-01-13,272.1753
2014-01-14,271.18704
2014-01-15,269.6294
2014-01-16,271.604
2014-01-17,272.02112
2014-01-20,271.44086
2014-01-21,268.553
2014-01-22,268.35413
2014-01-23,270.7612
2014-01-24,275.93692
2014-01-27,274.72705
2014-01-28,275.80948
2014-01-29,275.62747
2014-01-30,276.07343
2014-01-31,276.2464
2014-02-03,276.2464
2014-02-04,276.2464
2014-02-05,276.2464
2014-02-06,276.2464
2014-02-07,276.2464
2014-02-10,272.91937
2014-02-11,277.97742
2014-02-12,282.87506
2014-02-13,284.99225
2014-02-14,285.3868
2014-02-17,284.20358
2014-02-18,288.53882
2014-02-19,288.91614
2014-02-20,286.8469
2014-02-21,290.19632
2014-02-24,286.53452
2014-02-25,282.52713
2014-02-26,280.8166
2014-02-27,272.80136
2014-02-28,275.6002
2014-03-03,273.48227
2014-03-04,275.55472
2014-03-05,277.76773
2014-03-06,279.0812
2014-03-07,275.91867
2014-03-10,276.82916
2014-03-11,274.0818
2014-03-12,267.69443
2014-03-13,268.2366
2014-03-14,269.95523
2014-03-17,270.45325
2014-03-18,271.5043
2014-03-19,273.4369
2014-03-20,272.58356
2014-03-21,271.81253
2014-03-24,267.35123
2014-03-25,275.764
2014-03-26,277.25735
2014-03-27,278.62497
2014-03-28,277.20267
2014-03-31,275.57288
2014-04-01,274.3453
2014-04-02,272.63803
2014-04-03,275.4273
2014-04-04,277.2482
2014-04-07,274.04544
2014-04-08,274.04544
2014-04-09,276.54684
2014-04-10,282.79263
2014-04-11,283.4979
2014-04-14,285.92838
2014-04-15,285.9559
2014-04-16,285.57034
2014-04-17,282.16104
2014-04-18,283.98358
2014-04-21,281.1091
2014-04-22,280.83487
2014-04-23,277.97742
2014-04-24,278.33307
2014-04-25,278.13242
2014-04-28,277.66748
2014-04-29,273.63663
2014-04-30,269.2132
2014-05-01,272.0574
2014-05-02,272.0574
2014-05-05,272.0574
2014-05-06,272.12997
2014-05-07,272.32047
2014-05-08,272.1481
2014-05-09,270.0186
2014-05-12,271.15082
2014-05-13,272.26602
2014-05-14,275.39096
2014-05-15,274.94528
2014-05-16,274.0727
2014-05-19,271.05112
2014-05-20,270.48947
2014-05-21,269.6113
2014-05-22,267.47766
2014-05-23,270.19968
2014-05-26,269.90997
2014-05-27,273.23712
2014-05-28,272.94662
2014-05-29,271.89417
2014-05-30,274.46347
2014-06-02,272.63803
2014-06-03,272.63803
2014-06-04,272.95566
2014-06-05,271.93948
2014-06-06,269.71085
2014-06-09,272.52005
2014-06-10,270.34457
2014-06-11,271.36832
2014-06-12,272.84674
2014-06-13,273.32785
2014-06-16,273.04642
2014-06-17,275.673
2014-06-18,276.56506
2014-06-19,274.99982
2014-06-20,273.98184
2014-06-23,269.52084
2014-06-24,271.24146
2014-06-25,270.86084
2014-06-26,271.78537
2014-06-27,271.40457
2014-06-30,272.6017
2014-07-01,273.84555
2014-07-02,275.77307
2014-07-03,275.75488
2014-07-04,276.58325
2014-07-07,278.12332
2014-07-08,277.66748
2014-07-09,277.55807
2014-07-10,277.9227
2014-07-11,274.8089
2014-07-14,273.90005
2014-07-15,276.17355
2014-07-16,278.60672
2014-07-17,278.83484
2014-07-18,277.82242
2014-07-21,275.98242
2014-07-22,277.59454
2014-07-23,277.066
2014-07-24,280.33224
2014-07-25,281.02682
2014-07-28,284.59787
2014-07-29,287.94086
2014-07-30,293.20425
2014-07-31,293.39825
2014-08-01,293.49994
2014-08-04,295.4143
2014-08-05,295.0349
2014-08-06,299.43808
2014-08-07,297.54504
2014-08-08,298.56546
2014-08-11,295.30325
2014-08-12,296.8313
2014-08-13,299.2338
2014-08-14,299.7353
2014-08-15,299.661
2014-08-18,297.86035
2014-08-19,300.9993
2014-08-20,302.67426
2014-08-21,302.1715
2014-08-22,301.8458
2014-08-25,300.4415
2014-08-26,302.14355
2014-08-27,299.18735
2014-08-28,296.90546
2014-08-29,297.47086
2014-09-01,295.84018
2014-09-02,298.70462
2014-09-03,301.62247
2014-09-04,305.43365
2014-09-05,307.73163
2014-09-08,310.67105
2014-09-09,310.67105
2014-09-10,312.70654
2014-09-11,311.21478
2014-09-12,311.3648
2014-09-15,310.4368
2014-09-16,313.12903
2014-09-17,315.21548
2014-09-18,309.23795
2014-09-19,309.54694
2014-09-22,311.56177
2014-09-23,312.83792
2014-09-24,308.87286
2014-09-25,310.6336
2014-09-26,317.72006
2014-09-29,315.3284
2014-09-30,317.94632
2014-10-01,319.09683
2014-10-02,319.09683
2014-10-03,319.09683
2014-10-06,319.09683
2014-10-07,319.09683
2014-10-08,319.09683
2014-10-09,320.44675
2014-10-10,323.09402
2014-10-13,322.2331
2014-10-14,320.42786
2014-10-15,320.33344
2014-10-16,319.7669
2014-10-17,319.79523
2014-10-20,318.58743
2014-10-21,318.54025
2014-10-22,319.4271
2014-10-23,317.35254
2014-10-24,314.37863
2014-10-27,312.05893
2014-10-28,310.29623
2014-10-29,311.67432
2014-10-30,318.14426
2014-10-31,321.39163
2014-11-03,324.5145
2014-11-04,327.82544
2014-11-05,328.23392
2014-11-06,328.5285
2014-11-07,327.00876
2014-11-10,327.9869
2014-11-11,329.93582
2014-11-12,334.98782
2014-11-13,328.33844
2014-11-14,335.6087
2014-11-17,332.06866
2014-11-18,337.1957
2014-11-19,332.75494
2014-11-20,330.66858
2014-11-21,329.80264
2014-11-24,331.03036
2014-11-25,339.5222
2014-11-26,342.66873
2014-11-27,348.72305
2014-11-28,353.9126
2014-12-01,355.66608
2014-12-02,362.92538
2014-12-03,359.25717
2014-12-04,373.308
2014-12-05,376.40152
2014-12-08,394.31686
2014-12-09,387.31235
2014-12-10,400.93246
2014-12-11,388.48096
2014-12-12,394.63504
2014-12-15,397.30255
2014-12-16,395.68958
2014-12-17,403.03027
2014-12-18,413.8204
2014-12-19,416.64954
2014-12-22,415.9343
2014-12-23,422.10928
2014-12-24,412.34232
2014-12-25,410.27298
2014-12-26,404.55035
2014-12-29,414.31345
2014-12-30,432.35724
2014-12-31,424.476
2015-01-01,424.90115
2015-01-02,424.90115
2015-01-05,424.90115
2015-01-06,432.58093
2015-01-07,441.22214
2015-01-08,440.75235
2015-01-09,444.62628
2015-01-12,434.1777
2015-01-13,432.47925
2015-01-14,425.80237
2015-01-15,427.80893
2015-01-16,425.82263
2015-01-19,439.13968
2015-01-20,427.28174
2015-01-21,407.33408
2015-01-22,417.9902
2015-01-23,433.63855
2015-01-26,438.43582
2015-01-27,437.45703
2015-01-28,442.26416
2015-01-29,439.4356
2015-01-30,434.54407
2015-02-02,429.46246
2015-02-03,423.45407
2015-02-04,414.8468
2015-02-05,424.20276
2015-02-06,420.41202
2015-02-09,416.2163
2015-02-10,409.46002
2015-02-11,412.22168
2015-02-12,418.28265
2015-02-13,421.47266
2015-02-16,423.17093
2015-02-17,427.20068
2015-02-18,431.11752
2015-02-19,431.11752
2015-02-20,431.11752
2015-02-23,431.11752
2015-02-24,431.11752
2015-02-25,431.11752
2015-02-26,434.5746
2015-02-27,431.06674
2015-03-02,440.81363
2015-03-03,442.1518
2015-03-04,446.725
2015-03-05,437.89542
2015-03-06,440.94635
2015-03-09,437.59973
2015-03-10,436.14258
2015-03-11,443.77725
2015-03-12,442.8059
2015-03-13,443.39886
2015-03-16,450.8266
2015-03-17,454.6076
2015-03-18,466.56284
2015-03-19,473.78604
2015-03-20,484.25494
2015-03-23,485.07922
2015-03-24,491.37027
2015-03-25,501.7434
2015-03-26,501.57526
2015-03-27,498.94888
2015-03-30,499.98853
2015-03-31,502.5109
2015-04-01,516.14594
2015-04-02,511.4236
2015-04-03,521.35425
2015-04-06,523.97296
2015-04-07,523.97296
2015-04-08,531.4301
2015-04-09,544.0123
2015-04-10,547.51996
2015-04-13,542.8263
2015-04-14,555.353
2015-04-15,567.94446
2015-04-16,571.37286
2015-04-17,560.72284
2015-04-20,576.8897
2015-04-21,587.3881
2015-04-22,577.1599
2015-04-23,590.96716
2015-04-24,608.12177
2015-04-27,609.3868
2015-04-28,605.77826
2015-04-29,619.76276
2015-04-30,608.64514
2015-05-01,614.8225
2015-05-04,614.8225
2015-05-05,612.6495
2015-05-06,618.221
2015-05-07,591.9115
2015-05-08,584.4409
2015-05-11,569.9709
2015-05-12,583.3796
2015-05-13,603.16394
2015-05-14,613.65393
2015-05-15,611.40515
2015-05-18,610.1286
2015-05-19,600.9433
2015-05-20,598.28894
2015-05-21,619.3144
2015-05-22,623.8551
2015-05-25,637.1888
2015-05-26,654.34283
2015-05-27,678.3309
2015-05-28,692.70044
2015-05-29,694.6433
2015-06-01,646.41266
2015-06-02,647.5683
2015-06-03,682.2192
2015-06-04,698.20874
2015-06-05,698.50867
2015-06-08,706.4352
2015-06-09,715.16125
2015-06-10,729.18365
2015-06-11,725.26874
2015-06-12,727.2093
2015-06-15,730.6564
2015-06-16,737.4093
2015-06-17,721.25543
2015-06-18,695.77606
2015-06-19,707.4475
2015-06-22,679.70435
2015-06-23,679.70435
2015-06-24,632.03015
2015-06-25,645.64233
2015-06-26,661.6126
2015-06-29,635.9699
2015-06-30,581.4205
2015-07-01,553.9799
2015-07-02,589.8172
2015-07-03,555.68567
2015-07-06,528.9845
2015-07-07,502.14288
2015-07-08,499.4739
2015-07-09,488.74506
2015-07-10,454.66934
2015-07-13,483.97336
2015-07-14,511.52914
2015-07-15,530.4197
2015-07-16,523.52747
2015-07-17,500.75546
2015-07-20,505.21487
2015-07-21,528.4
2015-07-22,532.1643
2015-07-23,536.7118
2015-07-24,538.23645
2015-07-27,553.5188
2015-07-28,544.504
2015-07-29,496.2521
2015-07-30,488.8182
2015-07-31,508.43848
2015-08-03,494.9311
2015-08-04,490.15662
2015-08-05,483.65002
2015-08-06,504.36234
2015-08-07,495.8641
2015-08-10,492.12384
2015-08-11,504.36234
2015-08-12,531.0047
2015-08-13,530.3985
2015-08-14,524.29114
2015-08-17,534.90045
2015-08-18,537.0956
2015-08-19,543.0934
2015-08-20,503.67844
2015-08-21,513.49316
2015-08-24,494.73196
2015-08-25,470.5807
2015-08-26,428.78262
2015-08-27,396.8045
2015-08-28,390.18585
2015-08-31,412.3322
2015-09-01,433.26224
2015-09-02,431.55438
2015-09-03,421.77573
2015-09-04,421.77573
2015-09-07,421.77573
2015-09-08,418.01038
2015-09-09,410.01196
2015-09-10,423.32257
2015-09-11,433.49606
2015-09-14,428.27545
2015-09-15,429.78726
2015-09-16,418.8173
2015-09-17,401.06223
2015-09-18,422.42264
2015-09-21,413.68964
2015-09-22,416.77048
2015-09-23,425.53906
2015-09-24,429.41174
2015-09-25,419.9375
2015-09-28,423.90933
2015-09-29,416.1055
2015-09-30,417.9398
2015-10-08,409.48007
2015-10-09,412.0307
2015-10-12,424.41534
2015-10-13,430.3558
2015-10-14,445.03558
2015-10-15,446.71472
2015-10-16,441.77374
2015-10-19,453.1067
2015-10-20,460.57123
2015-10-21,460.1587
2015-10-22,465.75604
2015-10-23,448.66187
2015-10-26,456.9951
2015-10-27,464.10208
2015-10-28,466.72836
2015-10-29,468.08414
2015-10-30,458.5402
2015-11-02,460.82913
2015-11-03,460.51965
2015-11-04,452.12033
2015-11-05,451.01132
2015-11-06,472.0117
2015-11-09,480.63818
2015-11-10,491.28653
2015-11-11,497.6893
2015-11-12,497.385
2015-11-13,498.57092
2015-11-16,495.15115
2015-11-17,489.26776
2015-11-18,493.09756
2015-11-19,492.45883
2015-11-20,486.72864
2015-11-23,494.94156
2015-11-24,497.35355
2015-11-25,493.7679
2015-11-26,494.12418
2015-11-27,498.8754
2015-11-30,496.68216
2015-12-01,468.15665
2015-12-02,469.0265
2015-12-03,471.56567
2015-12-04,483.0661
2015-12-07,487.88818
2015-12-08,479.6283
2015-12-09,482.30515
2015-12-10,473.01804
2015-12-11,473.0803
2015-12-14,471.19238
2015-12-15,468.16702
2015-12-16,480.5653
2015-12-17,479.45132
2015-12-18,479.46173
2015-12-21,488.96463
2015-12-22,489.72787
2015-12-23,501.17584
2015-12-24,503.16293
2015-12-25,501.13376
2015-12-28,497.30103
2015-12-29,499.96756
2015-12-30,485.38187
2015-12-31,490.0416
2016-01-04,491.9459
2016-01-05,487.3345
2016-01-06,451.2885
2016-01-07,450.8266
2016-01-08,460.19995
2016-01-11,426.3089
2016-01-12,434.249
2016-01-13,409.54028
2016-01-14,410.55408
2016-01-15,400.78268
2016-01-18,409.33957
2016-01-19,395.61993
2016-01-20,397.91028
2016-01-21,410.5742
2016-01-22,405.23087
2016-01-25,392.02167
2016-01-26,396.58548
2016-01-27,399.35587
2016-01-28,374.12253
2016-01-29,371.35703
2016-02-01,359.66537
2016-02-02,371.19046
2016-02-03,365.25568
2016-02-04,373.89676
2016-02-05,372.9451
2016-02-15,378.802
2016-02-16,376.60797
2016-02-17,374.97675
2016-02-18,387.24304
2016-02-19,390.98938
2016-02-22,390.29492
2016-02-23,390.30487
2016-02-24,398.88715
2016-02-25,395.41098
2016-02-26,399.286
2016-02-29,373.3865
2016-03-01,376.41132
2016-03-02,365.46057
2016-03-03,371.8078
2016-03-04,387.62915
2016-03-07,389.46204
2016-03-08,390.84058
2016-03-09,393.99872
2016-03-10,394.72458
2016-03-11,389.1746
2016-03-14,381.3443
2016-03-15,381.63034
2016-03-16,388.49088
2016-03-17,389.32327
2016-03-18,390.65207
2016-03-21,395.64978
2016-03-22,402.80035
2016-03-23,412.865
2016-03-24,410.35327
2016-03-25,411.66898
2016-03-28,404.6004
2016-03-29,407.4543
2016-03-30,403.94016
2016-03-31,398.80737
2016-04-01,409.8815
2016-04-04,410.3633
2016-04-05,410.3633
2016-04-06,411.00598
2016-04-07,417.34494
2016-04-08,416.90143
2016-04-11,410.73486
2016-04-12,407.63474
2016-04-13,414.11215
2016-04-14,412.47296
2016-04-15,418.08093
2016-04-18,420.6241
2016-04-19,420.85638
2016-04-20,414.88712
2016-04-21,416.36743
2016-04-22,406.71283
2016-04-25,404.19022
2016-04-26,405.91162
2016-04-27,403.8802
2016-04-28,406.6027
2016-04-29,404.96063
2016-05-02,403.81015
2016-05-03,403.81015
2016-05-04,403.11026
2016-05-05,410.8051
2016-05-06,410.6746
2016-05-09,411.4881
2016-05-10,399.30597
2016-05-11,388.70886
2016-05-12,388.51065
2016-05-13,389.06555
2016-05-16,389.46204
2016-05-17,387.92627
2016-05-18,391.1382
2016-05-19,389.62067
2016-05-20,385.25458
2016-05-23,385.0173
2016-05-24,387.6787
2016-05-25,389.73962
2016-05-26,386.31284
2016-05-27,385.7589
2016-05-30,386.60962
2016-05-31,386.5107
2016-06-01,386.9461
2016-06-02,400.16394
2016-06-03,399.41568
2016-06-06,400.7428
2016-06-07,402.6405
2016-06-08,401.7014
2016-06-09,401.7014
2016-06-10,401.7014
2016-06-13,401.7014
2016-06-14,400.33356
2016-06-15,387.71832
2016-06-16,388.97638
2016-06-17,395.30154
2016-06-20,393.59122
2016-06-21,394.61517
2016-06-22,394.83398
2016-06-23,393.39243
2016-06-24,396.84436
2016-06-27,394.61517
2016-06-28,389.5215
2016-06-29,395.3214
2016-06-30,397.52173
2016-07-01,400.10403
2016-07-04,399.80472
2016-07-05,400.2238
2016-07-06,407.9054
2016-07-07,409.741
2016-07-08,410.9959
2016-07-11,411.33746
2016-07-12,408.74777
2016-07-13,410.2429
2016-07-14,417.63727
2016-07-15,418.8173
2016-07-18,418.49442
2016-07-19,418.10114
2016-07-20,417.02243
2016-07-21,416.22638
2016-07-22,414.95755
2016-07-25,417.0627
2016-07-26,413.4483
2016-07-27,414.18262
2016-07-28,419.0897
2016-07-29,411.46805
2016-08-01,411.6891
2016-08-02,409.2393
2016-08-03,405.42102
2016-08-04,407.8653
2016-08-05,408.83798
2016-08-08,409.44998
