Date,Predict
2007-01-04,9216.804
2007-01-05,9216.804
2007-01-08,9062.831
2007-01-09,8997.462
2007-01-10,9190.857
2007-01-11,9606.977
2007-01-12,9738.539
2007-01-15,9528.652
2007-01-16,9376.853
2007-01-17,9994.066
2007-01-18,10075.968
2007-01-19,9753.368
2007-01-22,9707.95
2007-01-23,10059.157
2007-01-24,10404.622
2007-01-25,10445.081
2007-01-26,10504.015
2007-01-29,10214.614
2007-01-30,10721.441
2007-01-31,10905.562
2007-02-01,10713.579
2007-02-02,9888.046
2007-02-05,10032.414
2007-02-06,9495.959
2007-02-07,9307.834
2007-02-08,9568.633
2007-02-09,9758.587
2007-02-12,9832.221
2007-02-13,9714.201
2007-02-14,10178.026
2007-02-15,10268.941
2007-02-26,10645.267
2007-02-27,10759.459
2007-02-28,10807.802
2007-03-01,9619.615
2007-03-02,10099.436
2007-03-05,9770.398
2007-03-06,9914.2295
2007-03-07,9718.892
2007-03-08,10040.893
2007-03-09,10282.302
2007-03-12,10372.733
2007-03-13,10326.919
2007-03-14,10294.291
2007-03-15,10178.867
2007-03-16,10069.202
2007-03-19,10288.258
2007-03-20,9923.019
2007-03-21,10515.699
2007-03-22,10525.214
2007-03-23,10637.531
2007-03-26,10593.448
2007-03-27,10597.822
2007-03-28,10743.739
2007-03-29,10715.914
2007-03-30,10891.152
2007-04-02,10966.904
2007-04-03,11012.3125
2007-04-04,11283.367
2007-04-05,11377.555
2007-04-06,11387.814
2007-04-09,11383.917
2007-04-10,11475.978
2007-04-11,11760.496
2007-04-12,11920.669
2007-04-13,12046.679
2007-04-16,12170.897
2007-04-17,12140.24
2007-04-18,12491.695
2007-04-19,12346.058
2007-04-20,12206.342
2007-04-23,11733.119
2007-04-24,12211.977
2007-04-25,12615.714
2007-04-26,12431.877
2007-04-27,12688.873
2007-05-08,12756.982
2007-05-09,13194.01
2007-05-10,13260.868
2007-05-11,13450.441
2007-05-14,13401.838
2007-05-15,13266.933
2007-05-16,13646.568
2007-05-17,13048.517
2007-05-18,13362.21
2007-05-21,13505.996
2007-05-22,13023.922
2007-05-23,13529.744
2007-05-24,13637.945
2007-05-25,13824.23
2007-05-28,13652.367
2007-05-29,13997.883
2007-05-30,14168.955
2007-05-31,13553.262
2007-06-01,13294.956
2007-06-04,13941.483
2007-06-05,13762.253
2007-06-06,12475.61
2007-06-07,13218.717
2007-06-08,13267.806
2007-06-11,13523.969
2007-06-12,13615.085
2007-06-13,13889.947
2007-06-14,14182.769
2007-06-15,14319.097
2007-06-18,14061.999
2007-06-19,14497.029
2007-06-20,14660.305
2007-06-21,14820.534
2007-06-22,14397.717
2007-06-25,14720.616
2007-06-26,14396.626
2007-06-27,13744.322
2007-06-28,14105.422
2007-06-29,14469.953
2007-07-02,13707.301
2007-07-03,13726.656
2007-07-04,13819.303
2007-07-05,13999.235
2007-07-06,13486.977
2007-07-09,13001.85
2007-07-10,13691.572
2007-07-11,14063.217
2007-07-12,13938.663
2007-07-13,14047.2295
2007-07-16,14203.063
2007-07-17,14195.8125
2007-07-18,13756.684
2007-07-19,14187.884
2007-07-20,14302.252
2007-07-23,14283.058
2007-07-24,15151.236
2007-07-25,15654.881
2007-07-26,15631.431
2007-07-27,16035.755
2007-07-30,15843.784
2007-07-31,15861.835
2007-08-01,16205.058
2007-08-02,16471.23
2007-08-03,16003.777
2007-08-06,16519.482
2007-08-07,17350.291
2007-08-08,17599.197
2007-08-09,17437.621
2007-08-10,17539.543
2007-08-13,18091.928
2007-08-14,18050.979
2007-08-15,18186.76
2007-08-16,18374.568
2007-08-17,18315.998
2007-08-20,17762.555
2007-08-21,17949.127
2007-08-22,18662.873
2007-08-23,18540.701
2007-08-24,19134.23
2007-08-27,19478.41
2007-08-28,19848.639
2007-08-29,19808.564
2007-08-30,19736.215
2007-08-31,19638.371
2007-09-03,19703.889
2007-09-04,19983.293
2007-09-05,20206.764
2007-09-06,19949.953
2007-09-07,19959.729
2007-09-10,20049.934
2007-09-11,19393.703
2007-09-12,20054.465
2007-09-13,19020.74
2007-09-14,19400.25
2007-09-17,19926.463
2007-09-18,20045.629
2007-09-19,20460.51
2007-09-20,20219.719
2007-09-21,20037.062
2007-09-24,20323.39
2007-09-25,20208.287
2007-09-26,20429.834
2007-09-27,20107.42
2007-10-08,19947.385
2007-10-09,21272.018
2007-10-10,21300.947
2007-10-11,21482.719
2007-10-12,21610.873
2007-10-15,22332.25
2007-10-16,22265.209
2007-10-17,22754.906
2007-10-18,22741.285
2007-10-19,22473.184
2007-10-22,21845.303
2007-10-23,21370.219
2007-10-24,21169.752
2007-10-25,21758.584
2007-10-26,21779.164
2007-10-29,21008.86
2007-10-30,21635.23
2007-10-31,22085.574
2007-11-01,22631.518
2007-11-02,22621.707
2007-11-05,22007.3
2007-11-06,21732.727
2007-11-07,21069.365
2007-11-08,21126.785
2007-11-09,21023.758
2007-11-12,19883.111
2007-11-13,19411.627
2007-11-14,20005.842
2007-11-15,19912.896
2007-11-16,20351.787
2007-11-19,19878.527
2007-11-20,19929.723
2007-11-21,19467.748
