Date,Predict
2007-01-02,14311.231
2007-01-03,14311.231
2007-01-04,14533.219
2007-01-05,14444.186
2007-01-08,14435.516
2007-01-09,14458.773
2007-01-10,14526.132
2007-01-11,14378.331
2007-01-12,14321.797
2007-01-15,14447.674
2007-01-16,14566.113
2007-01-17,14567.805
2007-01-18,14516.827
2007-01-19,14502.444
2007-01-22,14381.185
2007-01-23,14568.124
2007-01-24,14502.973
2007-01-25,14571.401
2007-01-26,14728.428
2007-01-29,14642.496
2007-01-30,14554.267
2007-01-31,14648.314
2007-02-01,14682.071
2007-02-02,14802.317
2007-02-05,14734.355
2007-02-06,14765.6875
2007-02-07,14818.939
2007-02-08,14905.455
2007-02-09,15034.478
2007-02-12,15059.588
2007-02-13,15008.202
2007-02-14,14992.735
2007-02-15,15045.389
2007-02-16,15111.72
2007-02-19,14981.823
2007-02-20,15063.721
2007-02-21,15114.369
2007-02-22,15113.839
2007-02-23,15028.225
2007-02-26,15000.258
2007-02-27,14966.465
2007-02-28,14913.503
2007-03-01,14321.162
2007-03-02,14369.771
2007-03-05,14247.851
2007-03-06,13801.237
2007-03-07,13962.803
2007-03-08,14043.066
2007-03-09,14131.392
2007-03-12,14336.482
2007-03-13,14457.1875
2007-03-14,14278.165
2007-03-15,13833.895
2007-03-16,13892.592
2007-03-19,14062.585
2007-03-20,14235.6
2007-03-21,14425.8955
2007-03-22,14481.085
2007-03-23,14689.269
2007-03-26,14642.072
2007-03-27,14726.628
2007-03-28,14722.29
2007-03-29,14649.902
2007-03-30,14687.892
2007-04-02,14737.0
2007-04-03,14783.686
2007-04-04,14964.9795
2007-04-05,15164.178
2007-04-10,15125.71
2007-04-11,15157.715
2007-04-12,15193.538
2007-04-13,15156.549
2007-04-16,15085.652
2007-04-17,15195.658
2007-04-18,15199.473
2007-04-19,15091.376
2007-04-20,14906.304
2007-04-23,15037.973
2007-04-24,15282.896
2007-04-25,15140.016
2007-04-26,14756.691
2007-04-27,14963.497
2007-04-30,14775.427
2007-05-02,14536.18
2007-05-03,14574.046
2007-05-04,14606.734
2007-05-07,14582.933
2007-05-08,14834.292
2007-05-09,14827.621
2007-05-10,14777.121
2007-05-11,14789.929
2007-05-14,14631.175
2007-05-15,14954.177
2007-05-16,14839.4795
2007-05-17,14965.722
2007-05-18,15111.72
2007-05-21,15194.067
2007-05-22,15301.343
2007-05-23,15245.901
2007-05-24,15272.616
2007-05-25,15333.042
2007-05-28,15236.149
2007-05-29,15290.106
2007-05-30,15359.441
2007-05-31,15300.495
2007-06-01,15487.321
2007-06-04,15536.634
2007-06-05,15697.635
2007-06-06,15648.103
2007-06-07,15483.291
2007-06-08,15171.492
2007-06-11,14809.41
2007-06-12,15089.68
2007-06-13,15102.29
2007-06-14,14892.64
2007-06-15,15120.623
2007-06-18,15315.019
2007-06-19,15440.663
2007-06-20,15304.523
2007-06-21,15250.884
2007-06-22,15100.382
2007-06-25,15091.269
2007-06-26,14838.846
2007-06-27,14898.043
2007-06-28,14847.315
2007-06-29,14981.4
2007-07-02,15048.673
2007-07-03,14964.663
2007-07-04,15041.682
2007-07-05,15063.402
2007-07-06,15209.753
2007-07-09,15081.839
2007-07-10,15294.769
2007-07-11,15136.73
2007-07-12,14870.083
2007-07-13,14977.904
2007-07-16,15245.688
2007-07-17,15230.214
2007-07-18,15268.056
2007-07-19,15236.467
2007-07-20,15330.6045
2007-07-23,15394.856
2007-07-24,15116.279
2007-07-25,15208.165
2007-07-26,15023.775
2007-07-27,15170.009
2007-07-30,14539.882
2007-07-31,14766.217
2007-08-01,14781.459
2007-08-02,14666.197
2007-08-03,14844.139
2007-08-06,14881.837
2007-08-07,14556.171
2007-08-08,14742.4
2007-08-09,14891.476
2007-08-10,15139.381
2007-08-13,14767.0625
2007-08-14,14729.484
2007-08-15,14769.71
2007-08-16,14596.368
2007-08-17,14396.722
2007-08-20,14061.635
2007-08-21,14421.878
2007-08-22,14432.556
2007-08-23,14442.705
2007-08-24,14616.045
2007-08-27,14341.132
2007-08-28,14538.93
2007-08-29,14439.214
2007-08-30,14164.325
2007-08-31,14430.336
2007-09-03,14530.047
2007-09-04,14675.512
2007-09-05,14631.28
2007-09-06,14705.354
2007-09-07,14425.368
2007-09-10,14285.453
2007-09-11,13982.733
2007-09-12,13952.997
2007-09-13,14075.986
2007-09-14,14053.301
2007-09-17,14146.802
2007-09-18,13937.709
2007-09-19,13700.992
2007-09-20,14485.947
2007-09-21,14551.093
2007-09-24,14545.912
2007-09-25,14592.665
2007-09-26,14559.555
2007-09-27,14526.237
2007-09-28,14778.18
2007-10-01,14738.272
2007-10-02,14676.887
2007-10-03,14891.897
2007-10-04,14927.379
2007-10-05,14926.001
2007-10-08,14912.763
2007-10-09,15096.462
2007-10-10,14985.85
2007-10-11,15063.721
2007-10-12,15093.072
2007-10-15,15246.43
2007-10-16,15478.837
2007-10-17,15352.55
2007-10-18,15474.702
2007-10-19,15693.925
2007-10-22,15691.377
2007-10-23,15456.25
2007-10-24,15608.54
2007-10-25,15629.437
2007-10-26,15603.236
2007-10-29,15649.057
2007-10-30,15932.483
2007-10-31,15946.272
2007-11-01,16028.801
2007-11-02,16102.733
2007-11-05,15877.852
2007-11-06,15937.999
2007-11-07,16167.858
2007-11-08,16162.555
2007-11-09,15872.655
2007-11-12,16246.027
2007-11-13,15886.765
2007-11-14,15939.908
2007-11-15,16155.556
2007-11-16,16030.392
2007-11-19,15859.078
2007-11-20,16003.234
2007-11-21,15846.03
2007-11-22,15770.294
2007-11-23,15628.375
2007-11-26,15523.483
2007-11-27,15691.906
2007-11-28,15491.033
2007-11-29,15602.601
2007-11-30,15892.703
2007-12-03,15886.765
2007-12-04,15999.842
2007-12-05,15945.106
2007-12-06,16040.893
2007-12-07,16129.674
2007-12-10,16019.996
2007-12-11,15993.266
2007-12-12,16144.523
2007-12-13,15949.242
2007-12-14,15987.643
2007-12-17,15784.507
2007-12-18,15615.116
2007-12-19,15486.262
2007-12-20,15535.785
2007-12-21,15412.668
2007-12-27,15503.546
2007-12-28,15551.2705
2008-01-02,15400.475
2008-01-03,15294.346
2008-01-04,15150.401
2008-01-07,14968.37
2008-01-08,14711.492
2008-01-09,14876.224
2008-01-10,14739.226
2008-01-11,14839.269
2008-01-14,14658.792
2008-01-15,14548.872
2008-01-16,14511.75
2008-01-17,13924.002
2008-01-18,14109.015
2008-01-21,13854.23
2008-01-22,13577.36
2008-01-23,12563.979
2008-01-24,13097.56
2008-01-25,12613.275
2008-01-28,13386.516
2008-01-29,12951.32
2008-01-30,13203.304
2008-01-31,13270.636
2008-02-01,13371.813
2008-02-04,13539.088
2008-02-05,13715.414
2008-02-06,13563.69
2008-02-07,12804.034
2008-02-08,13087.816
2008-02-11,13039.437
2008-02-12,12898.818
2008-02-13,12999.869
2008-02-14,13220.29
2008-02-15,13518.062
2008-02-18,13383.785
2008-02-19,13239.586
2008-02-20,13349.241
2008-02-21,13178.037
2008-02-22,13234.553
2008-02-25,13134.646
2008-02-26,13225.218
2008-02-27,13309.776
2008-02-28,13560.642
2008-02-29,13494.829
2008-03-03,13290.466
2008-03-04,13074.515
2008-03-05,12985.636
2008-03-06,12796.095
2008-03-07,13057.552
2008-03-10,12735.323
2008-03-11,12734.698
2008-03-12,12808.523
2008-03-13,13362.153
2008-03-14,12998.926
2008-03-17,13169.547
2008-03-18,12740.021
2008-03-19,12963.141
2008-03-20,13236.0205
2008-03-25,12909.38
2008-03-26,13465.195
2008-03-27,13472.97
2008-03-28,13451.64
2008-03-31,13661.3125
2008-04-01,13453.532
2008-04-02,13292.1455
2008-04-03,13899.338
2008-04-04,13959.008
2008-04-07,13893.541
2008-04-08,14029.879
2008-04-09,13981.891
2008-04-10,13803.555
2008-04-11,13664.786
2008-04-14,13675.414
2008-04-15,13301.798
2008-04-16,13364.149
2008-04-17,13631.746
2008-04-18,13783.754
2008-04-21,13740.05
2008-04-22,14051.506
2008-04-23,13792.282
2008-04-24,13724.572
2008-04-25,13742.157
2008-04-28,13844.957
2008-04-29,13882.366
2008-04-30,13920.63
2008-05-02,13810.297
