Date,Predict
2011-11-02,4400.318
2011-11-03,4400.318
2011-11-04,4343.1147
2011-11-08,4314.5737
2011-11-09,4354.318
2011-11-10,4393.1787
2011-11-11,4405.0386
2011-11-14,4360.6733
2011-11-15,4383.6543
2011-11-16,4415.2754
2011-11-17,4424.8296
2011-11-18,4405.774
2011-11-21,4392.069
2011-11-22,4373.8994
2011-11-23,4359.3022
2011-11-24,4360.1333
2011-11-25,4347.8345
2011-11-28,4323.6094
2011-11-29,4340.95
2011-12-01,4313.252
2011-12-02,4363.001
2011-12-05,4363.624
2011-12-06,4367.6914
2011-12-07,4363.267
2011-12-08,4359.9004
2011-12-09,4389.3994
2011-12-12,4360.0503
2011-12-13,4374.882
2011-12-14,4353.1885
2011-12-15,4359.427
2011-12-16,4361.6123
2011-12-19,4358.9365
2011-12-20,4376.9717
2011-12-21,4389.2407
2011-12-22,4425.274
2011-12-23,4427.855
2011-12-26,4434.8657
2011-12-27,4435.956
2011-12-28,4445.5186
2011-12-29,4422.576
2012-01-02,4403.4087
2012-01-03,4432.9863
2012-01-04,4455.58
2012-01-05,4475.8677
2012-01-06,4530.7065
2012-01-09,4556.1187
2012-01-10,4527.024
2012-01-11,4577.6123
2012-01-12,4606.216
2012-01-13,4664.5366
2012-01-16,4668.7036
2012-01-17,4632.512
2012-01-18,4610.826
2012-01-19,4663.5103
2012-01-20,4694.457
2012-01-24,4716.8423
2012-01-25,4754.5933
2012-01-26,4726.3403
2012-01-27,4689.4907
2012-01-30,4640.0938
2012-01-31,4696.041
2012-02-01,4665.408
2012-02-02,4692.536
2012-02-03,4726.888
2012-02-06,4800.406
2012-02-07,4785.053
2012-02-08,4814.056
2012-02-09,4762.789
2012-02-10,4806.408
2012-02-13,4773.141
2012-02-14,4796.6396
2012-02-15,4805.453
2012-02-16,4782.5264
2012-02-17,4775.91
2012-02-20,4828.0527
2012-02-21,4883.0386
2012-02-22,4926.243
2012-02-23,4887.956
2012-02-24,4918.731
2012-02-27,4908.414
2012-02-28,4882.279
2012-02-29,4797.4014
2012-03-01,4823.7656
2012-03-02,4888.7607
2012-03-05,4943.3774
2012-03-06,4991.339
2012-03-07,5012.081
2012-03-08,4943.013
2012-03-09,4910.924
2012-03-12,4937.479
2012-03-13,4961.9443
2012-03-14,4956.434
2012-03-15,4982.4956
2012-03-16,5004.6333
2012-03-19,5012.9155
2012-03-20,5108.3955
2012-03-21,5093.9062
2012-03-22,5068.465
2012-03-23,5014.179
2012-03-26,5027.416
2012-03-27,5014.906
2012-03-28,5003.6934
2012-03-29,5047.0586
2012-03-30,5043.136
2012-04-02,5056.1885
2012-04-03,5073.6436
2012-04-04,5068.203
2012-04-10,5027.686
2012-04-11,5010.288
2012-04-12,4991.956
2012-04-13,4993.2446
2012-04-16,5026.3296
2012-04-17,5064.2354
2012-04-18,5082.2476
2012-04-19,5125.737
2012-04-20,5148.7925
2012-04-23,5135.142
2012-04-24,5121.5825
2012-04-25,5120.077
2012-04-26,5141.71
2012-04-27,5168.8765
2012-04-30,5173.1055
2012-05-02,5143.6826
2012-05-03,5163.8286
2012-05-04,5187.558
2012-05-07,5247.371
2012-05-08,5226.743
2012-05-09,5183.797
2012-05-10,5194.692
2012-05-11,5170.3623
2012-05-14,5166.1606
2012-05-15,5118.772
2012-05-16,4997.129
2012-05-17,4970.518
2012-05-18,4856.4385
2012-05-21,4990.0957
2012-05-22,4873.7417
2012-05-23,4936.332
2012-05-24,4920.1333
2012-05-25,4913.868
2012-05-28,4902.6616
2012-05-29,4910.6665
2012-05-30,4936.6157
2012-05-31,5028.189
2012-06-01,4995.9565
2012-06-04,5028.737
2012-06-05,4984.542
2012-06-06,4896.5586
2012-06-07,4916.6987
2012-06-08,4956.3364
2012-06-11,5000.173
2012-06-13,4974.348
2012-06-14,5045.1514
2012-06-15,5075.367
2012-06-18,5010.925
2012-06-19,4973.8125
2012-06-20,5020.907
2012-06-21,5049.642
2012-06-22,5108.658
2012-06-25,5066.427
2012-06-26,5107.255
2012-06-27,5128.051
2012-06-28,5154.5327
2012-06-29,5228.2925
2012-07-02,5210.0913
2012-07-03,5228.787
2012-07-04,5248.842
2012-07-05,5310.0767
2012-07-06,5299.5454
2012-07-09,5313.645
2012-07-10,5296.84
2012-07-11,5226.972
2012-07-12,5155.825
2012-07-13,5189.1104
2012-07-16,5161.4146
2012-07-17,5173.2603
2012-07-18,5245.4517
2012-07-19,5229.3105
2012-07-20,5173.1694
2012-07-23,5139.884
2012-07-24,5166.871
2012-07-25,5103.1807
2012-07-26,5112.2
2012-07-27,5121.4463
2012-07-30,5114.1846
2012-07-31,5175.7593
2012-08-01,5229.1357
2012-08-02,5257.6743
2012-08-03,5247.289
2012-08-06,5240.384
2012-08-08,5236.382
2012-08-09,5233.3184
2012-08-10,5257.3247
2012-08-13,5206.093
2012-08-14,5213.835
2012-08-15,5222.225
2012-08-16,5218.176
2012-08-17,5219.2837
2012-08-22,5173.0327
2012-08-23,5160.7593
2012-08-24,5117.4844
2012-08-28,5136.7036
2012-08-29,5107.309
2012-08-30,5138.8027
2012-08-31,5151.003
2012-09-03,5111.267
2012-09-04,5157.3813
2012-09-05,5174.5913
2012-09-06,5135.287
2012-09-07,5112.6714
2012-09-10,5135.2324
2012-09-11,5159.0205
2012-09-12,5156.426
2012-09-13,5148.119
2012-09-14,5164.193
2012-09-17,5194.5005
2012-09-18,5305.632
2012-09-19,5296.5815
2012-09-20,5278.044
2012-09-21,5264.886
2012-09-24,5249.907
2012-09-25,5243.22
2012-09-26,5269.617
2012-09-27,5264.4443
2012-09-28,5241.9536
2012-10-01,5257.9688
2012-10-02,5289.9834
2012-10-03,5268.6875
2012-10-04,5299.7017
2012-10-05,5326.1724
2012-10-08,5381.6465
2012-10-09,5378.175
2012-10-10,5375.691
2012-10-11,5335.5356
2012-10-12,5318.9634
2012-10-15,5298.1875
2012-10-16,5310.3906
2012-10-17,5326.098
2012-10-18,5341.5054
2012-10-19,5383.098
2012-10-22,5374.388
2012-10-23,5370.985
2012-10-24,5363.3354
2012-10-25,5364.3296
2012-10-29,5344.1577
2012-10-30,5345.456
2012-10-31,5335.5356
2012-11-05,5365.77
2012-11-06,5367.2476
2012-11-07,5396.5493
2012-11-08,5403.374
2012-11-09,5375.449
2012-11-12,5383.6377
2012-11-13,5402.7207
2012-11-14,5407.283
2012-11-15,5403.878
2012-11-16,5388.4897
2012-11-19,5354.7627
2012-11-20,5375.0674
2012-11-21,5391.181
2012-11-22,5439.139
2012-11-23,5469.994
2012-11-26,5447.0977
2012-11-27,5486.4614
2012-11-28,5508.698
2012-11-29,5513.391
2012-12-03,5560.0674
2012-12-04,5549.5757
2012-12-05,5588.6143
2012-12-06,5627.097
2012-12-07,5617.892
2012-12-10,5686.1826
2012-12-11,5709.9897
2012-12-12,5679.349
2012-12-13,5748.9497
2012-12-14,5739.048
2012-12-17,5705.635
2012-12-18,5629.8687
2012-12-19,5550.937
2012-12-20,5563.125
2012-12-21,5672.09
2012-12-26,5716.343
2012-12-27,5743.993
2012-12-28,5752.7437
2013-01-02,5728.4824
2013-01-03,5728.5503
2013-01-04,5778.0015
2013-01-07,5862.778
2013-01-08,5885.616
2013-01-09,5957.855
2013-01-10,5961.2266
2013-01-11,6001.4717
2013-01-14,5945.5244
2013-01-15,5976.754
2013-01-16,6004.1475
2013-01-17,5997.8823
2013-01-18,5965.256
2013-01-21,5981.4355
2013-01-22,6074.147
2013-01-23,6080.8857
2013-01-24,6014.9526
2013-01-25,6002.524
2013-01-28,6030.824
2013-01-29,6076.8975
2013-01-30,6101.4404
2013-01-31,6144.572
2013-02-01,6229.301
2013-02-04,6162.5
2013-02-05,6257.711
2013-02-06,6336.001
2013-02-07,6389.278
2013-02-08,6342.5137
2013-02-11,6370.7026
2013-02-12,6367.8184
2013-02-13,6368.6987
2013-02-14,6374.9346
2013-02-15,6438.9204
2013-02-18,6404.8037
2013-02-19,6432.158
2013-02-20,6495.982
2013-02-21,6557.465
2013-02-22,6550.6646
2013-02-25,6583.639
2013-02-26,6578.47
2013-02-27,6633.1304
2013-02-28,6585.3555
2013-03-01,6575.8916
2013-03-04,6640.7026
2013-03-05,6555.8027
2013-03-06,6550.9507
2013-03-07,6629.109
2013-03-08,6755.172
2013-03-11,6688.3916
2013-03-12,6754.444
2013-03-13,6767.3335
2013-03-14,6731.0024
2013-03-15,6669.552
2013-03-18,6632.4395
2013-03-19,6580.4023
2013-03-20,6442.186
2013-03-21,6325.4653
2013-03-22,6366.1895
2013-03-25,6382.5605
2013-03-26,6442.0127
2013-03-27,6513.3477
2013-04-01,6582.477
2013-04-02,6795.2417
2013-04-03,6757.356
2013-04-04,6667.547
2013-04-05,6735.0312
2013-04-08,6701.514
2013-04-10,6641.4556
2013-04-11,6676.812
2013-04-12,6734.419
2013-04-15,6752.51
2013-04-16,6804.535
2013-04-17,6756.7
2013-04-18,6714.306
2013-04-19,6771.1543
2013-04-22,6781.141
2013-04-23,6893.7314
2013-04-24,6974.148
2013-04-25,6949.683
2013-04-26,6902.7593
2013-04-29,6930.9585
2013-04-30,6953.6123
2013-05-02,6958.733
2013-05-03,7003.3306
2013-05-06,7128.1514
2013-05-07,7157.345
2013-05-08,7108.473
2013-05-09,7094.3965
2013-05-10,7131.4097
2013-05-14,7129.504
2013-05-15,7201.837
2013-05-16,7274.396
2013-05-17,7340.24
2013-05-20,7254.9634
2013-05-21,7233.0127
2013-05-22,7241.417
2013-05-23,7275.0723
2013-05-24,7335.831
2013-05-27,7258.8804
2013-05-28,7213.6387
2013-05-29,7026.913
2013-05-30,7046.643
2013-05-31,7162.3066
2013-06-03,6868.303
2013-06-04,6891.192
2013-06-05,6699.111
2013-06-06,6587.258
2013-06-07,6468.9307
2013-06-10,6523.5273
2013-06-11,6684.106
2013-06-13,6796.4517
2013-06-14,6367.3027
2013-06-17,6164.234
2013-06-18,6157.7695
2013-06-19,6249.4844
2013-06-20,6456.6313
2013-06-21,6402.248
2013-06-24,6223.6543
2013-06-25,6090.064
2013-06-26,5838.0234
2013-06-27,5729.9146
2013-06-28,6154.513
2013-07-01,6296.023
2013-07-02,6374.0234
2013-07-03,6473.3965
2013-07-04,6356.237
2013-07-05,6390.667
2013-07-08,6373.8105
2013-07-09,6409.4116
2013-07-10,6229.851
2013-07-11,6234.2485
2013-07-12,6227.568
2013-07-15,6318.507
2013-07-16,6489.335
2013-07-17,6546.6763
2013-07-18,6495.2886
2013-07-19,6486.099
2013-07-22,6561.456
2013-07-23,6533.0894
2013-07-24,6548.08
2013-07-25,6663.1836
2013-07-26,6722.138
2013-07-29,6717.501
2013-07-30,6680.763
2013-07-31,6640.806
2013-08-01,6643.8604
2013-08-02,6557.5674
2013-08-05,6534.135
2013-08-06,6454.0747
2013-08-07,6420.6636
2013-08-08,6328.4717
2013-08-12,6339.2314
2013-08-13,6325.647
2013-08-14,6356.8535
2013-08-15,6464.497
2013-08-16,6563.539
2013-08-22,6489.2534
2013-08-23,6059.7017
2013-08-27,6046.5566
2013-08-28,6070.5366
2013-08-29,5638.808
2013-08-30,5691.0474
2013-09-02,5896.8325
2013-09-03,5983.822
2013-09-04,5968.4136
2013-09-05,5998.472
2013-09-06,5880.1147
2013-09-09,5871.3555
2013-09-10,5893.86
2013-09-11,5930.527
2013-09-12,6025.2456
2013-09-13,6125.674
2013-09-16,6064.377
2013-09-17,6040.548
2013-09-18,6214.278
2013-09-19,6252.433
2013-09-20,6437.547
2013-09-23,6417.1284
2013-09-24,6337.6562
2013-09-25,6379.2583
2013-09-26,6364.338
2013-09-27,6329.2686
2013-09-30,6316.965
2013-10-01,6268.1113
2013-10-02,6103.562
2013-10-03,6186.1523
2013-10-04,6263.7437
2013-10-07,6296.848
2013-10-08,6304.833
2013-10-09,6353.7505
2013-10-10,6352.8813
2013-10-11,6284.0503
2013-10-14,6429.077
2013-10-16,6401.5786
2013-10-17,6352.7397
2013-10-18,6443.977
2013-10-21,6474.549
2013-10-22,6519.935
2013-10-23,6518.8003
2013-10-24,6535.5986
2013-10-25,6544.062
2013-10-29,6495.82
2013-10-30,6445.666
2013-10-31,6455.6333
2013-11-04,6509.595
2013-11-05,6498.506
2013-11-06,6467.2793
2013-11-07,6430.165
2013-11-08,6388.001
2013-11-11,6326.3525
2013-11-12,6264.7783
2013-11-13,6190.3247
2013-11-14,6229.7715
2013-11-15,6231.7944
2013-11-18,6250.999
2013-11-19,6277.3154
2013-11-20,6255.152
2013-11-21,6176.236
2013-11-22,6064.733
2013-11-25,6035.4185
2013-11-26,5991.671
2013-11-27,5918.9653
2013-11-28,5939.29
2013-11-29,5968.5605
2013-12-02,6074.1567
2013-12-03,6123.956
2013-12-04,6134.707
2013-12-05,6085.598
2013-12-06,6016.8135
2013-12-09,5942.724
2013-12-10,5945.152
2013-12-11,5921.76
2013-12-12,5799.37
2013-12-13,5804.0127
2013-12-16,5661.93
2013-12-17,5687.763
2013-12-18,5747.871
2013-12-19,5842.962
2013-12-20,5934.9956
2013-12-23,5840.071
2013-12-26,5764.2954
2013-12-27,5778.504
2014-01-02,5807.1074
2014-01-03,5837.8975
2014-01-06,5884.204
2014-01-07,5863.799
2014-01-08,5898.6465
2014-01-09,5861.7666
2014-01-10,5902.684
2014-01-13,5852.925
2014-01-14,5801.41
2014-01-15,5858.85
2014-01-16,5852.0796
2014-01-17,5890.634
2014-01-20,5905.386
2014-01-21,5900.802
2014-01-22,5918.565
2014-01-23,5932.061
2014-01-24,6054.674
2014-01-27,6075.8486
2014-01-28,6094.6606
2014-01-29,5990.6396
2014-01-30,5934.8584
2014-02-03,5972.602
2014-02-04,5952.9756
2014-02-05,5923.333
2014-02-06,5821.8438
2014-02-07,5818.6274
2014-02-10,5833.737
2014-02-11,5923.41
2014-02-12,5960.913
2014-02-13,6017.6797
2014-02-14,6028.0044
2014-02-17,6017.4736
2014-02-18,6038.525
2014-02-19,6077.422
2014-02-20,6106.6367
2014-02-21,6221.4624
2014-02-24,6260.4106
2014-02-25,6238.3066
2014-02-26,6204.2
2014-02-27,6203.0215
2014-02-28,6232.015
2014-03-03,6270.744
2014-03-04,6333.972
2014-03-05,6310.081
2014-03-06,6308.5806
2014-03-07,6397.8047
2014-03-10,6439.3584
2014-03-11,6390.09
2014-03-12,6395.351
2014-03-13,6435.1064
2014-03-14,6374.7827
2014-03-17,6332.286
2014-03-18,6298.278
2014-03-19,6308.701
2014-03-20,6385.884
2014-03-21,6358.8857
2014-03-24,6342.473
2014-03-25,6279.135
2014-03-26,6293.537
2014-03-27,6245.272
2014-03-28,6258.3535
2014-03-31,6227.187
