Date,Predict
2010-05-25,6549.905
2010-05-26,6549.905
2010-05-27,6703.0386
2010-05-28,6832.9688
2010-05-31,7092.0166
2010-06-01,7002.8706
2010-06-02,7015.6963
2010-06-03,7118.4443
2010-06-04,7112.9956
2010-06-07,7116.25
2010-06-08,6852.333
2010-06-09,6960.89
2010-06-10,6865.4775
2010-06-11,6812.1196
2010-06-14,7059.8203
2010-06-15,7173.0923
2010-06-16,7077.8403
2010-06-17,7236.3853
2010-06-18,7235.8613
2010-06-21,7233.236
2010-06-22,7477.7075
2010-06-23,7433.884
2010-06-24,7409.4526
2010-06-25,7421.4487
2010-06-28,7215.0044
2010-06-29,7212.9146
2010-06-30,7111.3955
2010-07-01,7079.1875
2010-07-02,6952.453
2010-07-05,7033.2197
2010-07-06,7105.2905
2010-07-07,7099.651
2010-07-08,7182.017
2010-07-09,7412.892
2010-07-12,7471.886
2010-07-13,7281.424
2010-07-14,7285.021
2010-07-15,7349.546
2010-07-16,7210.727
2010-07-19,7286.6606
2010-07-20,7033.403
2010-07-21,7137.8696
2010-07-22,7179.9106
2010-07-23,7069.237
2010-07-26,7252.842
2010-07-27,7326.2314
2010-07-28,7300.4565
2010-07-29,7409.6523
2010-07-30,7431.82
2010-08-02,7419.905
2010-08-03,7406.3574
2010-08-04,7509.2456
2010-08-05,7530.3047
2010-08-06,7592.3726
2010-08-09,7569.9663
2010-08-10,7496.411
2010-08-11,7511.7627
2010-08-12,7428.984
2010-08-13,7292.7207
2010-08-16,7336.9023
2010-08-17,7287.885
2010-08-18,7337.769
2010-08-19,7416.64
2010-08-20,7446.924
2010-08-23,7380.022
2010-08-24,7375.5127
2010-08-25,7335.8496
2010-08-26,7301.1685
2010-08-27,7297.4907
2010-08-30,7303.9697
2010-08-31,7390.046
2010-09-01,7302.2837
2010-09-02,7402.5337
2010-09-03,7462.5293
2010-09-06,7432.9893
2010-09-07,7436.1465
2010-09-08,7460.8823
2010-09-09,7389.342
2010-09-10,7360.001
2010-09-13,7415.5386
2010-09-14,7489.0996
2010-09-15,7545.878
2010-09-16,7569.1436
2010-09-17,7501.452
2010-09-20,7485.0684
2010-09-21,7430.98
2010-09-22,7378.074
2010-09-23,7432.857
2010-09-24,7398.745
2010-09-27,7356.9365
2010-09-28,7464.243
2010-09-29,7415.9355
2010-09-30,7522.513
2010-10-01,7456.88
2010-10-04,7565.26
2010-10-05,7591.671
2010-10-06,7544.1235
2010-10-07,7695.3574
2010-10-08,7722.1924
2010-10-11,7799.9766
2010-10-12,7815.0596
2010-10-13,7763.3765
2010-10-14,7743.2344
2010-10-15,7812.2485
2010-10-18,7811.696
2010-10-19,7827.3423
2010-10-20,7915.456
2010-10-21,7902.6504
2010-10-22,7876.5654
2010-10-25,7978.342
2010-10-26,8021.1035
2010-10-27,8051.5674
2010-10-28,8082.033
2010-10-29,7989.8438
2010-11-01,8131.639
2010-11-02,8245.955
2010-11-03,8255.8
2010-11-04,8279.924
2010-11-05,8249.152
2010-11-08,8085.054
2010-11-09,8059.442
2010-11-10,7902.9453
2010-11-11,7895.248
2010-11-12,7865.1895
2010-11-15,7673.4443
2010-11-16,7814.4834
2010-11-17,7856.4106
2010-11-18,7839.893
2010-11-19,7913.0166
2010-11-22,7952.7217
2010-11-23,8022.29
2010-11-24,7778.779
2010-11-25,7631.0293
2010-11-26,7675.18
2010-11-29,7620.0645
2010-11-30,7655.8745
2010-12-01,7425.519
2010-12-02,7352.1157
2010-12-03,7566.7397
2010-12-06,7719.342
2010-12-07,7793.483
2010-12-08,7797.8677
2010-12-09,7820.1387
2010-12-10,7998.5366
2010-12-13,7998.4116
2010-12-14,8057.442
2010-12-15,8108.0986
2010-12-16,8018.752
2010-12-17,7940.81
2010-12-20,7929.0093
2010-12-21,7874.867
2010-12-22,7940.8784
2010-12-23,7945.288
2010-12-24,7929.0093
2010-12-27,7883.826
2010-12-28,7859.839
2010-12-29,7816.7856
2010-12-30,7795.207
2010-12-31,7801.2285
2011-01-03,7692.163
2011-01-04,7676.501
2011-01-05,7743.504
2011-01-06,7813.818
2011-01-07,7774.747
2011-01-10,7659.2646
2011-01-11,7355.6294
2011-01-12,7330.5845
2011-01-13,7502.638
2011-01-14,7698.3516
2011-01-17,7694.4277
2011-01-18,7580.921
2011-01-19,7576.1772
2011-01-20,7715.5933
2011-01-21,7693.3965
2011-01-24,7817.9487
2011-01-25,7886.171
2011-01-26,7885.593
2011-01-27,7805.2656
2011-01-28,7761.8926
2011-01-31,7756.008
2011-02-01,7760.7114
2011-02-02,7878.117
2011-02-03,7984.297
2011-02-04,7985.1177
2011-02-07,7996.8276
2011-02-08,7995.654
2011-02-09,8034.331
2011-02-10,8119.5723
2011-02-11,8175.698
2011-02-14,8011.5444
2011-02-15,8092.2104
2011-02-16,8091.4204
2011-02-17,8124.1367
2011-02-18,8198.626
