Date,Predict
2007-01-09,1923.079
2007-01-10,1923.079
2007-01-11,1813.4402
2007-01-12,1785.7244
2007-01-15,1814.8053
2007-01-16,1813.8043
2007-01-17,1866.164
2007-01-18,1865.8599
2007-01-19,1829.5647
2007-01-22,1822.5734
2007-01-23,1835.5348
2007-01-24,1856.7745
2007-01-25,1873.7316
2007-01-26,1878.6461
2007-01-29,1896.577
2007-01-30,1880.0751
2007-01-31,1852.5114
2007-02-01,1848.765
2007-02-02,1859.7925
2007-02-05,1911.1089
2007-02-06,1913.2386
2007-02-07,1922.7644
2007-02-08,1941.2544
2007-02-09,1934.0481
2007-02-12,1901.0082
2007-02-13,1901.9309
2007-02-14,1854.2328
2007-02-15,1884.0579
2007-02-16,1906.5653
2007-02-19,1911.8088
2007-02-20,1914.2738
2007-02-21,1921.7805
2007-02-22,1910.4291
2007-02-26,1922.7443
2007-02-27,1954.0353
2007-02-28,1986.7096
2007-03-01,1921.8007
2007-03-02,1873.9038
2007-03-05,1814.0164
2007-03-06,1811.064
2007-03-07,1753.3745
2007-03-09,1779.0875
2007-03-12,1787.9069
2007-03-13,1824.8295
2007-03-14,1827.7228
2007-03-15,1824.2327
2007-03-16,1795.2631
2007-03-19,1824.7888
2007-03-20,1841.4758
2007-03-21,1863.0537
2007-03-22,1846.9832
2007-03-23,1867.5618
2007-03-26,1906.2205
2007-03-27,1932.2517
2007-03-28,1940.351
2007-03-29,1928.2028
2007-03-30,1943.0916
2007-04-02,1958.909
2007-04-03,1952.1976
2007-04-04,1945.294
2007-04-05,1938.1685
2007-04-06,1947.2026
2007-04-09,1961.0111
2007-04-10,1964.3217
2007-04-11,1979.527
2007-04-12,1996.9828
2007-04-13,2001.7694
2007-04-16,1986.8723
2007-04-17,2019.8829
2007-04-18,2025.3424
2007-04-19,2008.7312
2007-04-20,1982.0161
2007-04-23,1946.3804
2007-04-24,1989.4939
2007-04-25,1991.7089
2007-04-26,1983.7633
2007-04-27,1996.617
2007-04-28,1978.0135
2007-05-02,1933.561
2007-05-03,1949.1924
2007-05-04,1929.1266
2007-05-07,1937.8743
2007-05-08,1947.4463
2007-05-10,1944.7256
2007-05-11,1930.4354
2007-05-14,1908.0258
2007-05-15,1861.3625
2007-05-16,1867.1564
2007-05-17,1843.5815
2007-05-18,1873.8025
2007-05-21,1858.7291
2007-05-22,1876.6093
2007-05-23,1883.6627
2007-05-24,1876.8524
2007-05-25,1828.7247
2007-05-28,1805.6442
2007-05-29,1810.7604
2007-05-30,1785.108
2007-05-31,1751.1649
2007-06-01,1741.5717
2007-06-04,1795.5463
2007-06-05,1845.6364
2007-06-06,1842.944
2007-06-07,1849.818
2007-06-08,1838.6826
2007-06-09,1818.5171
2007-06-13,1805.705
2007-06-14,1813.6023
2007-06-15,1822.1282
2007-06-18,1886.8046
2007-06-19,1902.3771
2007-06-20,1912.6808
2007-06-21,1903.3406
2007-06-22,1931.9982
2007-06-25,1909.7903
2007-06-26,1911.2104
2007-06-27,1891.8325
2007-06-28,1913.4519
2007-06-29,1896.1211
2007-07-02,1911.048
2007-07-03,1914.7705
2007-07-04,1928.609
2007-07-05,1957.64
2007-07-06,1960.8588
2007-07-09,1990.6013
2007-07-10,1992.5521
2007-07-11,2012.9702
2007-07-12,1995.2756
2007-07-13,2015.2676
2007-07-16,2069.392
2007-07-17,2080.5635
2007-07-18,2085.5696
2007-07-19,2073.014
2007-07-20,2055.5972
2007-07-23,2090.6885
2007-07-24,2089.04
2007-07-25,2110.5652
2007-07-26,2068.3848
2007-07-27,2068.2014
2007-07-30,2011.8215
2007-07-31,1985.3583
2007-08-01,1978.9785
2007-08-02,2001.8304
2007-08-03,1965.185
2007-08-06,1976.449
2007-08-07,1980.6342
2007-08-08,1964.5349
2007-08-09,1971.0553
2007-08-10,2006.1903
2007-08-13,1952.2688
2007-08-14,1914.8618
2007-08-15,1944.7057
2007-08-16,1940.3407
2007-08-17,1903.2998
2007-08-20,1835.1908
2007-08-21,1872.5563
2007-08-22,1868.1593
2007-08-23,1836.4456
2007-08-24,1871.4113
2007-08-27,1879.8217
2007-08-28,1881.5544
2007-08-29,1912.3158
2007-08-30,1890.4133
2007-08-31,1890.6364
2007-09-03,1898.0168
2007-09-04,1937.2955
2007-09-05,1942.2184
2007-09-06,1926.4375
2007-09-07,1921.9935
2007-09-10,1937.783
2007-09-11,1914.5675
2007-09-12,1915.0446
2007-09-13,1929.0758
2007-09-14,1917.0023
2007-09-17,1950.1162
2007-09-18,1957.2944
2007-09-19,1932.6986
2007-09-20,1961.0619
2007-09-21,2033.9143
2007-09-24,2033.4259
2007-09-25,2044.9584
2007-09-26,2061.2432
2007-09-27,2029.552
2007-09-28,2069.1677
2007-10-01,2083.484
2007-10-02,2091.2585
2007-10-03,2068.2727
2007-10-04,2128.6846
2007-10-05,2112.2854
2007-10-08,2109.9338
2007-10-09,2137.0325
2007-10-10,2150.6755
2007-10-11,2162.5476
2007-10-12,2164.4414
2007-10-15,2193.993
2007-10-16,2184.2576
2007-10-17,2198.2905
2007-10-18,2178.4836
2007-10-19,2179.4304
2007-10-22,2157.1
2007-10-23,2152.9355
2007-10-24,2119.8381
2007-10-25,2148.8525
2007-10-26,2143.8638
2007-10-29,2172.7302
2007-10-30,2217.5283
2007-10-31,2248.2844
2007-11-01,2228.242
2007-11-02,2247.5002
2007-11-06,2242.2654
2007-11-07,2250.2903
2007-11-08,2291.971
2007-11-09,2296.2068
2007-11-12,2311.5508
2007-11-13,2283.906
2007-11-14,2264.7512
2007-11-15,2245.5347
2007-11-16,2266.1772
2007-11-19,2237.6418
2007-11-20,2211.1833
2007-11-21,2187.119
2007-11-22,2201.641
2007-11-23,2172.9036
2007-11-26,2156.54
2007-11-27,2173.4229
2007-11-28,2198.0051
2007-11-29,2176.1414
2007-11-30,2193.9521
2007-12-03,2202.4963
2007-12-04,2240.5647
2007-12-05,2222.9158
2007-12-06,2226.1643
2007-12-07,2285.1995
2007-12-10,2281.839
2007-12-11,2309.6467
2007-12-12,2356.036
2007-12-13,2366.7522
2007-12-14,2384.488
2007-12-17,2341.2058
2007-12-18,2292.592
2007-12-19,2272.8167
2007-12-20,2292.1443
2007-12-21,2288.3154
2007-12-24,2306.8574
2007-12-25,2320.0623
2007-12-26,2326.9543
2007-12-27,2316.5193
2007-12-28,2306.4802
2008-01-09,2314.9207
2008-01-10,2324.4197
2008-01-11,2320.0723
2008-01-14,2327.3923
2008-01-15,2337.7654
2008-01-16,2364.1165
2008-01-17,2352.1272
2008-01-18,2247.4185
2008-01-21,2196.101
2008-01-22,2180.1335
2008-01-23,2006.7699
2008-01-24,1985.3993
2008-01-25,1919.2745
2008-01-28,2009.4429
2008-01-29,2050.542
2008-01-30,1997.4197
2008-01-31,2028.0979
2008-02-01,1999.4523
2008-02-04,1927.4926
2008-02-05,1987.9797
2008-02-06,2031.1991
2008-02-07,1982.8489
2008-02-08,1964.3828
2008-02-11,1903.8982
2008-02-12,1887.1901
2008-02-13,1936.8494
2008-02-14,1998.812
2008-02-15,2026.1356
2008-02-18,2043.3309
2008-02-19,2008.1318
2008-02-20,2046.1992
2008-02-21,2065.6074
2008-02-22,2040.819
2008-02-26,2084.7354
2008-02-27,2100.194
2008-02-28,2118.7998
2008-02-29,2116.3364
2008-03-03,2100.9675
2008-03-04,2035.9884
2008-03-05,2051.5083
2008-03-06,2037.4222
2008-03-07,2063.0334
2008-03-11,2069.5447
2008-03-12,2028.6063
2008-03-13,2079.7393
2008-03-14,2098.5247
2008-03-17,2078.681
2008-03-18,2082.212
2008-03-19,2009.0161
2008-03-20,2039.2122
2008-03-21,2030.4569
2008-03-24,1964.7178
2008-03-25,1982.3005
2008-03-26,2019.1915
2008-03-27,2012.0756
2008-03-28,2013.3363
2008-03-31,2048.8638
2008-04-01,2068.2727
2008-04-02,2073.1155
2008-04-03,2084.7454
2008-04-04,2089.06
2008-04-07,2072.1086
2008-04-08,2078.8542
2008-04-09,2123.2688
2008-04-10,2109.5474
2008-04-11,2135.6377
2008-04-14,2153.5159
2008-04-15,2127.636
2008-04-16,2111.2878
2008-04-17,2133.917
2008-04-18,2181.6914
2008-04-21,2171.8545
2008-04-22,2197.374
2008-04-23,2193.5244
2008-04-24,2187.8218
2008-04-25,2180.0725
2008-04-28,2122.8413
2008-04-29,2149.7898
2008-04-30,2171.702
2008-05-04,2146.8267
2008-05-05,2142.8662
2008-05-06,2161.8145
2008-05-07,2162.0588
2008-05-08,2174.482
2008-05-12,2223.2822
2008-05-13,2314.1467
2008-05-14,2345.1553
2008-05-15,2363.8926
2008-05-16,2431.6313
2008-05-19,2437.5186
2008-05-20,2505.5222
2008-05-21,2514.761
2008-05-22,2477.4495
2008-05-23,2495.0933
2008-05-26,2458.9866
2008-05-27,2457.1165
2008-05-28,2462.5332
2008-05-29,2414.812
2008-05-30,2423.9543
2008-06-02,2465.3787
2008-06-03,2486.2466
2008-06-04,2477.6218
2008-06-05,2453.4067
2008-06-06,2376.5518
2008-06-07,2382.8499
2008-06-09,2402.9016
2008-06-10,2367.0781
2008-06-11,2382.4329
2008-06-16,2363.8518
2008-06-17,2381.0999
2008-06-18,2391.1113
2008-06-19,2425.083
2008-06-20,2428.154
2008-06-23,2425.4597
2008-06-24,2408.9739
2008-06-25,2366.7625
2008-06-26,2332.6553
2008-06-27,2334.569
2008-06-30,2331.7085
2008-07-01,2342.56
2008-07-02,2326.7815
2008-07-03,2265.0771
2008-07-04,2273.6821
2008-07-07,2238.4363
2008-07-08,2209.2078
2008-07-09,2210.002
2008-07-10,2196.3455
2008-07-11,2199.2886
2008-07-14,2207.8838
2008-07-15,2186.4163
2008-07-16,2229.9019
2008-07-17,2194.7568
2008-07-18,2196.9565
2008-07-21,2244.689
2008-07-22,2155.98
2008-07-23,2164.9404
2008-07-24,2145.5234
2008-07-25,2131.6265
2008-07-28,2077.46
2008-07-29,1968.6178
2008-07-30,1944.3707
2008-07-31,1914.3646
2008-08-01,1972.4164
2008-08-04,1983.1945
2008-08-05,1958.7769
2008-08-06,1908.0864
2008-08-07,1827.9962
2008-08-08,1830.1412
2008-08-11,1855.2454
2008-08-12,1737.215
2008-08-13,1757.3505
2008-08-14,1816.3427
2008-08-15,1791.1704
2008-08-18,1810.6289
2008-08-19,1801.4794
2008-08-20,1792.8982
2008-08-21,1700.1052
2008-08-22,1728.1212
2008-08-25,1737.0131
2008-08-26,1715.1416
2008-08-27,1660.5044
2008-08-28,1596.6411
2008-08-29,1602.943
2008-09-01,1668.1228
2008-09-02,1657.1177
2008-09-03,1679.9788
2008-09-04,1673.6425
2008-09-05,1602.8026
2008-09-08,1539.7953
2008-09-09,1485.5778
2008-09-10,1522.3213
2008-09-11,1408.5923
2008-09-12,1349.5906
2008-09-15,1314.0009
2008-09-16,1355.4958
2008-09-17,1291.2499
2008-09-18,1149.9392
2008-09-19,1081.2966
2008-09-22,1086.28
2008-09-23,1311.7898
2008-09-24,1325.2299
2008-09-25,1289.1704
2008-09-26,1331.0648
2008-09-29,1321.9154
2008-09-30,1301.6138
2008-10-01,1211.6895
2008-10-02,1229.6002
2008-10-03,1206.508
2008-10-06,1170.9968
2008-10-07,1092.2961
2008-10-08,898.107
2008-10-09,887.33374
2008-10-13,804.0701
2008-10-14,876.8757
2008-10-15,836.3718
2008-10-16,901.1393
2008-10-17,824.221
2008-10-20,756.2661
2008-10-21,713.39496
2008-10-22,747.47845
2008-10-23,758.90826
2008-10-24,711.5779
2008-10-28,684.80096
2008-10-29,607.9679
2008-10-30,628.6869
2008-10-31,692.3908
2008-11-01,797.3874
2008-11-05,814.921
2008-11-06,852.8095
2008-11-07,857.02295
2008-11-10,814.8838
2008-11-11,811.1875
2008-11-12,845.93274
2008-11-13,759.6844
2008-11-14,680.24225
2008-11-17,678.76294
2008-11-18,691.2014
2008-11-19,654.90356
2008-11-20,653.17535
2008-11-21,654.6943
2008-11-24,616.02655
2008-11-25,633.4446
2008-11-26,675.55896
2008-11-27,727.88525
2008-11-28,705.16675
2008-12-01,719.3729
2008-12-02,704.7818
2008-12-03,679.6578
2008-12-04,667.7519
2008-12-05,654.5215
2008-12-08,651.45685
2008-12-09,642.4443
2008-12-10,680.8451
2008-12-11,689.7196
2008-12-12,702.72876
2008-12-15,713.28485
2008-12-16,700.145
2008-12-17,733.0752
2008-12-18,732.01666
2008-12-19,742.9229
2008-12-22,713.85394
2008-12-23,682.68115
2008-12-24,703.63605
2008-12-25,726.81836
2008-12-26,713.34906
2008-12-29,702.52716
2008-12-30,692.0522
2008-12-31,690.552
2009-01-11,674.64636
2009-01-12,680.6441
2009-01-13,675.9514
2009-01-14,677.1836
2009-01-15,670.6145
2009-01-16,640.23846
2009-01-19,623.53455
2009-01-20,620.8922
2009-01-21,589.6677
2009-01-22,573.8823
2009-01-23,588.2547
2009-01-26,575.06744
2009-01-27,559.6253
2009-01-28,596.6207
2009-01-29,603.5275
2009-01-30,602.94116
2009-02-02,588.8037
2009-02-03,592.7109
2009-02-04,568.54315
2009-02-05,572.19476
2009-02-06,574.6006
2009-02-09,573.0026
2009-02-10,579.99915
2009-02-11,623.797
2009-02-12,653.88477
2009-02-13,670.0036
2009-02-16,661.9118
2009-02-17,673.6245
2009-02-18,659.96326
2009-02-19,608.0311
2009-02-20,583.0105
2009-02-24,605.4856
2009-02-25,576.5583
2009-02-26,583.41516
2009-02-27,595.4764
2009-03-02,603.8162
2009-03-03,601.30853
2009-03-04,596.6117
2009-03-05,597.8464
2009-03-06,617.8258
2009-03-10,614.40857
2009-03-11,630.064
2009-03-12,683.3207
2009-03-13,676.6359
2009-03-16,668.72723
2009-03-17,699.2657
2009-03-18,696.36285
2009-03-19,711.39435
2009-03-20,697.6997
2009-03-23,738.1585
2009-03-24,740.22235
2009-03-25,778.04285
2009-03-26,763.7702
2009-03-27,780.9249
2009-03-30,791.7409
2009-03-31,762.51276
2009-04-01,727.40704
2009-04-02,733.49866
2009-04-03,730.0196
2009-04-06,774.4025
2009-04-07,786.3031
2009-04-08,788.0193
2009-04-09,780.42444
2009-04-10,799.7103
2009-04-13,846.21344
2009-04-14,851.95776
2009-04-15,849.637
2009-04-16,842.81934
2009-04-17,842.679
2009-04-20,854.14825
2009-04-21,868.21375
2009-04-22,832.12335
2009-04-23,812.93756
2009-04-24,821.97424
2009-04-27,855.20624
2009-04-28,865.20355
2009-04-29,838.80994
2009-04-30,820.93024
2009-05-04,849.8148
2009-05-05,866.9382
2009-05-06,888.42444
2009-05-07,902.9951
2009-05-08,927.54675
2009-05-12,969.9069
2009-05-13,966.0134
2009-05-14,1005.61957
2009-05-15,974.8951
2009-05-18,960.7458
2009-05-19,964.17175
2009-05-20,967.6371
2009-05-21,997.5161
2009-05-22,1047.8297
2009-05-25,1026.1787
2009-05-26,1038.4529
2009-05-27,1042.0531
2009-05-28,1016.0412
2009-05-29,1054.0992
2009-06-01,1076.6141
2009-06-02,1109.8748
2009-06-03,1186.2833
2009-06-04,1199.0616
2009-06-05,1145.5721
2009-06-08,1129.3988
2009-06-09,1169.3177
2009-06-10,1117.8457
2009-06-11,1127.2533
2009-06-15,1142.107
2009-06-16,1147.2955
2009-06-17,1098.9423
2009-06-18,1103.7802
2009-06-19,1061.6686
2009-06-22,1023.2061
2009-06-23,1035.792
2009-06-24,983.98584
2009-06-25,960.82166
2009-06-26,985.97455
2009-06-29,974.686
2009-06-30,982.2164
2009-07-01,978.61194
2009-07-02,993.8101
2009-07-03,1003.9125
2009-07-06,987.3164
2009-07-07,977.49
2009-07-08,950.1069
2009-07-09,951.2725
2009-07-10,920.15076
2009-07-13,915.59174
2009-07-14,868.61707
2009-07-15,870.118
2009-07-16,898.1352
2009-07-17,918.3854
2009-07-20,932.87836
2009-07-21,953.4811
2009-07-22,998.44995
2009-07-23,1013.1196
2009-07-24,990.1342
2009-07-27,1002.3487
2009-07-28,1037.0936
2009-07-29,1060.9008
2009-07-30,1026.0258
2009-07-31,999.53656
2009-08-03,1026.8958
2009-08-04,1041.9093
2009-08-05,1090.0913
2009-08-06,1096.3601
2009-08-07,1115.0369
2009-08-10,1105.3228
2009-08-11,1101.7465
2009-08-12,1087.4252
2009-08-13,1057.1685
2009-08-14,1048.836
2009-08-17,1077.1909
2009-08-18,1080.5659
2009-08-19,1030.3959
2009-08-20,1027.001
2009-08-21,1012.8524
2009-08-24,1043.0013
2009-08-25,1073.481
2009-08-26,1115.172
2009-08-27,1123.8815
2009-08-28,1094.0101
2009-08-31,1092.5077
2009-09-01,1110.7911
2009-09-02,1088.6956
2009-09-03,1095.5222
2009-09-04,1075.8452
2009-09-07,1095.9364
2009-09-08,1085.847
2009-09-09,1114.2455
2009-09-10,1155.7325
2009-09-11,1178.88
2009-09-14,1182.7268
2009-09-15,1214.6322
2009-09-16,1212.3519
2009-09-17,1241.7355
2009-09-18,1263.8137
2009-09-21,1248.6538
2009-09-22,1262.4926
2009-09-23,1228.3024
2009-09-24,1265.9966
2009-09-25,1271.0586
2009-09-28,1259.2341
2009-09-29,1242.6735
2009-09-30,1265.5951
2009-10-01,1277.1809
2009-10-02,1271.2642
2009-10-05,1283.3458
2009-10-06,1242.1946
2009-10-07,1244.5297
2009-10-08,1287.052
2009-10-09,1303.4794
2009-10-12,1350.2806
2009-10-13,1386.969
2009-10-14,1442.3802
2009-10-15,1414.583
2009-10-16,1455.5938
2009-10-19,1448.6229
2009-10-20,1423.1622
2009-10-21,1447.6501
2009-10-22,1460.3318
2009-10-23,1460.8286
2009-10-26,1464.3958
2009-10-27,1475.4009
2009-10-28,1488.3645
2009-10-29,1435.664
2009-10-30,1383.6682
2009-11-02,1391.9612
2009-11-03,1373.7803
2009-11-05,1372.1017
2009-11-06,1322.0629
2009-11-09,1363.9688
2009-11-10,1352.8435
2009-11-11,1422.5873
2009-11-12,1450.7974
2009-11-13,1448.7223
2009-11-16,1439.6516
2009-11-17,1433.8787
2009-11-18,1495.9506
2009-11-19,1486.8715
2009-11-20,1500.6018
2009-11-23,1464.7336
2009-11-24,1450.6979
2009-11-25,1480.8416
2009-11-26,1461.4147
2009-11-27,1441.7354
