Date,Predict
2007-01-03,1404.3014
2007-01-04,1404.3014
2007-01-05,1402.8999
2007-01-08,1404.6052
2007-01-09,1395.7086
2007-01-10,1399.2157
2007-01-11,1395.1603
2007-01-12,1401.1752
2007-01-16,1409.9773
2007-01-17,1416.7543
2007-01-18,1417.7747
2007-01-19,1416.617
2007-01-22,1412.4581
2007-01-23,1416.4993
2007-01-24,1409.1243
2007-01-25,1414.0371
2007-01-26,1425.9692
2007-01-29,1410.0558
2007-01-30,1408.2224
2007-01-31,1406.8303
2007-02-01,1414.714
2007-02-02,1423.79
2007-02-05,1431.6836
2007-02-06,1434.0309
2007-02-07,1432.7051
2007-02-08,1433.1273
2007-02-09,1435.6616
2007-02-12,1433.9525
2007-02-13,1423.8881
2007-02-14,1419.1973
2007-02-15,1429.6903
2007-02-16,1440.7317
2007-02-20,1442.3239
2007-02-21,1441.1051
2007-02-22,1445.1057
2007-02-23,1442.8348
2007-02-26,1441.7831
2007-02-27,1436.6932
2007-02-28,1434.9347
2007-03-01,1385.3108
2007-03-02,1393.2994
2007-03-05,1389.7352
2007-03-06,1374.0312
2007-03-07,1361.2762
2007-03-08,1381.7684
2007-03-09,1378.6963
2007-03-12,1388.4921
2007-03-13,1389.3829
2007-03-14,1392.7413
2007-03-15,1364.9888
2007-03-16,1374.0312
2007-03-19,1379.0878
2007-03-20,1373.8746
2007-03-21,1388.6387
2007-03-22,1397.3347
2007-03-23,1420.9832
2007-03-26,1420.4926
2007-03-27,1422.0331
2007-03-28,1423.3875
2007-03-29,1414.4198
2007-03-30,1403.4586
2007-04-02,1408.7028
2007-04-03,1407.0459
2007-04-04,1410.4186
2007-04-05,1423.6428
2007-04-09,1424.8107
2007-04-10,1429.5527
2007-04-11,1430.348
2007-04-12,1433.9329
2007-04-13,1424.7421
2007-04-16,1433.5105
2007-04-17,1438.4618
2007-04-18,1453.828
2007-04-19,1456.7793
2007-04-20,1457.7731
2007-04-23,1456.012
2007-04-24,1469.4382
2007-04-25,1466.0901
2007-04-26,1465.4502
2007-04-27,1480.2161
2007-04-30,1479.1715
2007-05-01,1479.0334
2007-05-02,1467.508
2007-05-03,1471.2109
2007-05-04,1480.502
2007-05-07,1487.1957
2007-05-08,1490.3712
2007-05-09,1494.1097
2007-05-10,1492.0973
2007-05-11,1497.0402
2007-05-14,1476.4714
2007-05-15,1490.5587
2007-05-16,1487.9452
2007-05-17,1485.6179
2007-05-18,1498.6981
2007-05-21,1497.4448
2007-05-22,1507.326
2007-05-23,1509.6469
2007-05-24,1508.6493
2007-05-25,1506.6843
2007-05-29,1492.2749
2007-05-30,1500.218
2007-05-31,1502.2413
2007-06-01,1514.6749
2007-06-04,1515.0999
2007-06-05,1520.6932
2007-06-06,1523.5009
2007-06-07,1515.0503
2007-06-08,1502.0044
2007-06-11,1475.7227
2007-06-12,1492.413
2007-06-13,1493.8729
2007-06-14,1477.634
2007-06-15,1500.2474
2007-06-18,1507.5433
2007-06-19,1517.3529
2007-06-20,1515.495
2007-06-21,1518.1237
2007-06-22,1497.208
2007-06-25,1506.7731
2007-06-26,1487.4028
2007-06-27,1482.5917
2007-06-28,1477.6045
2007-06-29,1491.1108
2007-07-02,1490.4994
2007-07-03,1489.4738
2007-07-05,1503.742
2007-07-06,1509.4099
2007-07-09,1509.5087
2007-07-10,1514.9122
2007-07-11,1516.3152
2007-07-12,1494.6721
2007-07-13,1503.3667
2007-07-16,1531.9662
2007-07-17,1536.735
2007-07-18,1533.7864
2007-07-19,1533.4697
2007-07-20,1530.433
2007-07-23,1537.4177
2007-07-24,1518.4991
2007-07-25,1525.9231
2007-07-26,1495.7576
2007-07-27,1502.7251
2007-07-30,1467.577
2007-07-31,1444.4468
2007-08-01,1459.1707
2007-08-02,1440.7611
2007-08-03,1450.8674
2007-08-06,1457.478
2007-08-07,1419.0206
2007-08-08,1452.992
2007-08-09,1461.4536
2007-08-10,1482.1282
2007-08-13,1438.7073
2007-08-14,1439.0316
2007-08-15,1438.4912
2007-08-16,1412.2621
2007-08-17,1393.1427
2007-08-20,1397.668
2007-08-21,1431.6836
2007-08-22,1431.3007
2007-08-23,1432.7542
2007-08-24,1449.4808
2007-08-27,1447.7994
2007-08-28,1464.5446
2007-08-29,1452.1067
2007-08-30,1418.0101
2007-08-31,1449.1072
2007-09-04,1443.1494
2007-09-05,1459.2295
2007-09-06,1473.8015
2007-09-07,1457.3303
2007-09-10,1463.7472
2007-09-11,1439.1101
2007-09-12,1437.3317
2007-09-13,1456.4154
2007-09-14,1456.7793
2007-09-17,1469.064
2007-09-18,1469.3495
2007-09-19,1461.8573
2007-09-20,1504.364
2007-09-21,1513.193
2007-09-24,1503.3766
2007-09-25,1510.289
2007-09-26,1500.9977
2007-09-27,1503.2483
2007-10-01,1511.8397
2007-10-02,1511.8102
2007-10-03,1531.2539
2007-10-04,1530.1064
2007-10-05,1524.282
2007-10-08,1528.1677
2007-10-09,1540.7037
2007-10-10,1537.4081
2007-10-11,1549.0902
2007-10-12,1548.8328
2007-10-15,1539.6151
2007-10-16,1546.3865
2007-10-17,1532.0947
2007-10-18,1528.7612
2007-10-19,1523.6688
2007-10-22,1524.3708
2007-10-23,1482.7001
2007-10-24,1494.0505
2007-10-25,1501.2642
2007-10-26,1500.8102
2007-10-29,1506.7534
2007-10-30,1521.326
2007-10-31,1523.7974
2007-11-01,1516.6118
2007-11-02,1530.0966
2007-11-05,1495.7968
2007-11-06,1490.4109
2007-11-07,1490.1344
2007-11-08,1500.129
2007-11-09,1460.5188
2007-11-12,1452.9624
2007-11-13,1439.2676
2007-11-14,1427.1765
2007-11-15,1468.5222
2007-11-16,1453.4052
2007-11-19,1438.7073
2007-11-20,1442.2549
2007-11-21,1420.463
2007-11-23,1420.6592
2007-11-26,1403.8994
2007-11-27,1426.5776
2007-11-28,1396.032
2007-11-29,1418.9324
2007-11-30,1452.7854
2007-12-03,1457.1335
2007-12-04,1464.8104
2007-12-05,1456.6515
2007-12-06,1450.6313
2007-12-07,1469.6942
2007-12-10,1493.36
2007-12-11,1489.9175
2007-12-12,1501.3334
2007-12-13,1472.6389
2007-12-14,1468.3943
2007-12-17,1471.2699
2007-12-18,1450.4642
2007-12-19,1431.664
2007-12-20,1440.2896
2007-12-21,1441.9799
2007-12-24,1448.6351
2007-12-26,1469.6548
2007-12-27,1480.0682
2007-12-28,1479.9993
2007-12-31,1465.0071
2008-01-02,1460.4989
2008-01-03,1453.3363
2008-01-04,1433.265
2008-01-07,1429.7885
2008-01-08,1400.4208
2008-01-09,1402.0277
2008-01-10,1377.1019
2008-01-11,1393.2799
2008-01-14,1406.1443
2008-01-15,1389.4906
2008-01-16,1398.275
2008-01-17,1364.5492
2008-01-18,1361.9893
2008-01-22,1322.1008
2008-01-23,1301.7014
2008-01-24,1299.2415
2008-01-25,1328.1703
2008-01-28,1344.9323
2008-01-29,1318.9844
2008-01-30,1343.5859
2008-01-31,1349.7144
2008-02-01,1339.7229
2008-02-04,1365.712
2008-02-05,1382.1206
2008-02-06,1367.354
2008-02-07,1327.5372
2008-02-08,1312.4714
2008-02-11,1325.0037
2008-02-12,1320.1725
2008-02-13,1328.5797
2008-02-14,1340.8348
2008-02-15,1354.7029
2008-02-19,1335.3738
2008-02-20,1343.5078
2008-02-21,1336.222
2008-02-22,1349.7045
2008-02-25,1332.1566
2008-02-26,1340.4741
2008-02-27,1359.0293
2008-02-28,1366.054
2008-02-29,1365.2821
2008-03-03,1351.52
2008-03-04,1318.7408
2008-03-05,1317.8938
2008-03-06,1316.0536
2008-03-07,1320.4451
2008-03-10,1290.6101
2008-03-11,1282.48
2008-03-12,1264.2764
2008-03-13,1309.6686
2008-03-14,1294.235
2008-03-17,1304.7264
2008-03-18,1272.8218
2008-03-19,1266.9529
2008-03-20,1319.2473
2008-03-24,1288.803
2008-03-25,1318.5851
2008-03-26,1336.885
2008-03-27,1340.1814
2008-03-28,1328.375
2008-03-31,1315.4015
2008-04-01,1304.5997
2008-04-02,1314.8076
2008-04-03,1357.2711
2008-04-04,1353.1016
2008-04-07,1357.1638
2008-04-08,1360.9146
2008-04-09,1357.4664
2008-04-10,1352.9161
2008-04-11,1343.0298
2008-04-14,1345.5763
2008-04-15,1320.4451
2008-04-16,1319.9775
2008-04-17,1325.1401
2008-04-18,1350.8368
2008-04-21,1356.3336
2008-04-22,1374.6276
2008-04-23,1373.3661
2008-04-24,1365.5166
2008-04-25,1367.5884
2008-04-28,1374.784
2008-04-29,1384.6454
2008-04-30,1382.3457
2008-05-01,1378.0509
2008-05-02,1372.9164
2008-05-05,1395.6108
2008-05-06,1401.665
2008-05-07,1392.1243
2008-05-08,1403.7723
2008-05-09,1381.0541
2008-05-12,1381.6511
2008-05-13,1376.2708
2008-05-14,1390.9493
2008-05-15,1392.1733
2008-05-16,1394.8273
2008-05-19,1410.0459
2008-05-20,1411.409
2008-05-21,1410.6343
2008-05-22,1400.411
2008-05-23,1377.6692
2008-05-27,1379.0095
2008-05-28,1363.1421
2008-05-29,1373.4739
2008-05-30,1377.3467
2008-06-02,1385.0367
2008-06-03,1386.2699
2008-06-04,1373.3566
2008-06-05,1363.4254
2008-06-06,1364.6177
2008-06-09,1386.7007
2008-06-10,1348.3574
2008-06-11,1346.552
2008-06-12,1344.7079
2008-06-13,1323.9323
2008-06-16,1329.8077
2008-06-17,1346.4252
2008-06-18,1348.2404
2008-06-19,1337.3921
2008-06-20,1325.0135
2008-06-23,1329.0378
2008-06-24,1308.3455
2008-06-25,1305.8741
2008-06-26,1303.2576
2008-06-27,1304.9597
2008-06-30,1273.2003
2008-07-01,1267.8258
2008-07-02,1266.497
2008-07-03,1275.3545
2008-07-07,1253.1882
2008-07-08,1253.1302
2008-07-09,1242.4198
2008-07-10,1263.2875
2008-07-11,1236.0425
2008-07-14,1239.342
2008-07-15,1232.5211
2008-07-16,1218.2336
2008-07-17,1206.4718
2008-07-18,1237.068
2008-07-21,1248.5969
2008-07-22,1252.084
2008-07-23,1247.4929
2008-07-24,1268.6115
2008-07-25,1272.8317
2008-07-28,1244.0364
2008-07-29,1248.1515
2008-07-30,1227.4637
2008-07-31,1254.6997
2008-08-01,1271.0365
2008-08-04,1259.4484
2008-08-05,1243.8042
2008-08-06,1245.3531
2008-08-07,1273.5789
2008-08-08,1276.0242
2008-08-11,1256.4149
2008-08-12,1283.7036
2008-08-13,1293.7781
2008-08-14,1278.0917
2008-08-15,1271.7545
2008-08-18,1283.1499
2008-08-19,1287.3168
2008-08-20,1266.4583
2008-08-21,1257.4324
2008-08-22,1261.0477
2008-08-25,1267.37
2008-08-26,1279.8682
2008-08-27,1257.1321
2008-08-28,1261.2611
2008-08-29,1273.3848
2008-09-02,1285.714
2008-09-03,1277.3054
2008-09-04,1266.4196
2008-09-05,1261.7555
2008-09-08,1224.399
2008-09-09,1240.1549
2008-09-10,1258.0526
2008-09-11,1218.8811
2008-09-12,1220.3691
2008-09-15,1236.6519
2008-09-16,1241.5293
2008-09-17,1181.0741
2008-09-18,1202.3125
2008-09-19,1151.0286
2008-09-22,1204.9854
2008-09-23,1245.8373
2008-09-24,1199.6785
2008-09-25,1181.5364
2008-09-26,1180.6501
2008-09-29,1196.6499
2008-09-30,1201.087
2008-10-01,1109.4932
2008-10-02,1157.8433
2008-10-03,1154.45
2008-10-06,1110.8146
2008-10-07,1093.971
2008-10-08,1055.8154
2008-10-09,990.51575
2008-10-10,990.0512
2008-10-13,908.71466
2008-10-14,918.54486
2008-10-15,1010.49725
2008-10-16,995.91095
2008-10-17,915.512
2008-10-20,946.40594
2008-10-21,947.55817
2008-10-22,982.4513
2008-10-23,955.2673
2008-10-24,905.67505
2008-10-27,902.0437
2008-10-28,882.3646
2008-10-29,858.5784
2008-10-30,943.781
2008-10-31,943.65826
2008-11-03,956.6282
2008-11-04,971.3446
2008-11-05,973.8434
2008-11-06,1002.77966
2008-11-07,955.9571
2008-11-10,913.5439
2008-11-11,941.17554
2008-11-12,922.6904
2008-11-13,900.3225
2008-11-14,862.5237
2008-11-17,910.6442
2008-11-18,881.3788
2008-11-19,861.78326
2008-11-20,868.05493
2008-11-21,818.31775
2008-11-24,771.71655
2008-11-25,813.9593
2008-11-26,862.7767
2008-11-28,862.3081
2008-12-01,894.2112
