Date,Predict
2007-01-02,12829.511
2007-01-03,12829.511
2007-01-04,12824.213
2007-01-05,12585.831
2007-01-08,12426.192
2007-01-09,12466.314
2007-01-10,12405.59
2007-01-11,12370.561
2007-01-12,12364.412
2007-01-15,12473.1
2007-01-16,12621.02
2007-01-17,12614.599
2007-01-18,12612.14
2007-01-19,12668.391
2007-01-22,12545.773
2007-01-23,12685.149
2007-01-24,12671.445
2007-01-25,12780.989
2007-01-26,12942.8955
2007-01-29,12880.997
2007-01-30,12893.44
2007-01-31,12856.796
2007-02-01,12871.845
2007-02-02,12995.344
2007-02-05,13082.314
2007-02-06,13049.545
2007-02-07,13108.732
2007-02-08,13115.286
2007-02-09,13043.551
2007-02-12,13082.144
2007-02-13,13005.181
2007-02-14,12972.748
2007-02-15,13114.255
2007-02-16,13123.005
2007-02-19,13215.153
2007-02-20,13219.082
2007-02-21,13125.421
2007-02-22,13214.511
2007-02-23,13278.631
2007-02-26,13270.202
2007-02-27,13311.737
2007-02-28,13164.153
2007-03-01,12953.62
2007-03-02,12824.949
2007-03-05,12835.207
2007-03-06,12598.032
2007-03-07,12737.132
2007-03-08,12797.056
2007-03-09,12935.228
2007-03-12,12955.377
2007-03-13,12937.215
2007-03-14,12946.818
2007-03-15,12682.054
2007-03-16,12765.1045
2007-03-19,12778.761
2007-03-20,12799.854
2007-03-21,12917.214
2007-03-22,12889.802
2007-03-23,13095.226
2007-03-26,13056.992
2007-03-27,13211.186
2007-03-28,13159.058
2007-03-29,13121.182
2007-03-30,13180.161
2007-04-02,13133.863
2007-04-03,13089.986
2007-04-04,13179.989
2007-04-05,13273.25
2007-04-09,13351.171
2007-04-10,13365.369
2007-04-11,13424.896
2007-04-12,13353.6
2007-04-13,13302.063
2007-04-16,13416.079
2007-04-17,13507.024
2007-04-18,13620.83
2007-04-19,13520.076
2007-04-20,13489.551
2007-04-23,13574.182
2007-04-24,13546.767
2007-04-25,13514.769
2007-04-26,13517.3955
2007-04-27,13536.399
2007-04-30,13431.333
2007-05-01,13524.506
2007-05-02,13335.932
2007-05-03,13290.5625
2007-05-04,13547.598
2007-05-07,13638.362
2007-05-08,13754.728
2007-05-09,13767.715
2007-05-10,13802.039
2007-05-11,13786.154
2007-05-14,13762.907
2007-05-15,13892.959
2007-05-16,13825.468
2007-05-17,13839.522
2007-05-18,13924.599
2007-05-22,14028.61
2007-05-23,14045.216
2007-05-24,14090.782
2007-05-25,14061.429
2007-05-28,13902.009
2007-05-29,13955.474
2007-05-30,13987.806
2007-05-31,13839.207
2007-06-01,14000.323
2007-06-04,13999.579
2007-06-05,13958.576
2007-06-06,14049.202
2007-06-07,14009.884
2007-06-08,13836.113
2007-06-11,13557.927
2007-06-12,13736.573
2007-06-13,13685.245
2007-06-14,13683.459
2007-06-15,13775.257
2007-06-18,13931.064
2007-06-19,14072.146
2007-06-20,14077.73
2007-06-21,14055.418
2007-06-22,13955.972
2007-06-25,13991.776
2007-06-26,13843.931
2007-06-27,13772.39
2007-06-28,13525.9
2007-06-29,13694.246
2007-07-03,13754.291
2007-07-04,13914.73
2007-07-05,13964.493
2007-07-06,14008.394
2007-07-09,13970.402
2007-07-10,14076.053
2007-07-11,14073.457
2007-07-12,14042.385
2007-07-13,14128.681
2007-07-16,14291.927
2007-07-17,14384.944
2007-07-18,14292.841
2007-07-19,14291.136
2007-07-20,14512.787
2007-07-23,14536.301
2007-07-24,14469.523
2007-07-25,14287.222
2007-07-26,14032.41
2007-07-27,13941.12
2007-07-30,13723.533
2007-07-31,13749.179
2007-08-01,13903.823
2007-08-02,13660.941
2007-08-03,13678.012
2007-08-07,13714.841
2007-08-08,13477.326
2007-08-09,13593.186
2007-08-10,13465.114
2007-08-13,13306.24
2007-08-14,13503.446
2007-08-15,13407.392
2007-08-16,13049.734
2007-08-17,12739.478
2007-08-20,13066.352
2007-08-21,13022.002
2007-08-22,13052.868
2007-08-23,13289.144
2007-08-24,13445.638
2007-08-27,13399.534
2007-08-28,13386.084
2007-08-29,13325.397
2007-08-30,13216.902
2007-08-31,13331.398
2007-09-04,13497.422
2007-09-05,13581.825
2007-09-06,13596.355
2007-09-07,13648.52
2007-09-10,13569.332
2007-09-11,13553.496
2007-09-12,13540.282
2007-09-13,13597.925
2007-09-14,13697.18
2007-09-17,13720.608
2007-09-18,13742.404
2007-09-19,13718.3545
2007-09-20,13924.486
2007-09-21,13853.733
2007-09-24,13875.539
2007-09-25,13873.256
2007-09-26,13800.341
2007-09-27,13975.925
2007-09-28,14046.034
2007-10-01,14054.509
2007-10-02,14028.794
2007-10-03,14057.708
2007-10-04,14061.552
2007-10-05,13973.821
2007-10-09,14088.48
2007-10-10,14204.357
2007-10-11,14187.452
2007-10-12,14278.565
2007-10-15,14186.651
