Date,Predict
2007-01-03,684.0302
2007-01-04,684.0302
2007-01-05,665.7894
2007-01-08,652.2731
2007-01-09,634.47577
2007-01-10,641.82825
2007-01-11,619.7912
2007-01-12,634.73114
2007-01-15,655.09143
2007-01-16,656.5343
2007-01-17,665.26636
2007-01-18,662.4524
2007-01-19,661.35956
2007-01-22,662.9466
2007-01-23,667.3968
2007-01-24,659.1458
2007-01-25,664.09686
2007-01-26,667.9676
2007-01-29,665.6372
2007-01-30,666.31244
2007-01-31,661.06494
2007-02-01,662.53796
2007-02-02,663.4694
2007-02-05,667.09247
2007-02-06,680.5299
2007-02-07,683.849
2007-02-08,682.61847
2007-02-09,683.21936
2007-02-12,700.66406
2007-02-13,701.01807
2007-02-14,704.13824
2007-02-15,701.7358
2007-02-16,703.6883
2007-02-19,699.71686
2007-02-20,691.54346
2007-02-21,692.55615
2007-02-22,697.1442
2007-02-23,699.0473
2007-02-26,700.69275
2007-02-27,697.90924
2007-02-28,694.4961
2007-03-01,674.412
2007-03-02,685.2134
2007-03-06,686.9504
2007-03-07,685.1371
2007-03-08,683.1335
2007-03-09,678.4041
2007-03-12,679.34784
2007-03-13,679.2144
2007-03-14,679.65283
2007-03-15,678.0896
2007-03-16,678.9188
2007-03-19,680.12
2007-03-20,678.01337
2007-03-21,679.4241
2007-03-22,678.68054
2007-03-23,679.52893
2007-03-26,682.4181
2007-03-27,684.8985
2007-03-28,686.3681
2007-03-29,685.8623
2007-03-30,674.1834
2007-04-02,678.18494
2007-04-03,681.7792
2007-04-04,686.12006
2007-04-05,696.5896
2007-04-09,699.6978
2007-04-10,698.91345
2007-04-11,694.22845
2007-04-12,695.60486
2007-04-17,700.0709
2007-04-18,698.8752
2007-04-19,700.68317
2007-04-20,697.1728
2007-04-23,693.9322
2007-04-24,695.2895
2007-04-25,692.50836
2007-04-26,692.6326
2007-04-27,698.7795
2007-04-30,698.16736
2007-05-02,700.9894
2007-05-03,705.584
2007-05-04,713.192
2007-05-08,717.3835
2007-05-09,722.0196
2007-05-10,720.39703
2007-05-11,712.04156
2007-05-14,710.5463
2007-05-15,715.43604
2007-05-16,718.5253
2007-05-17,719.87866
2007-05-18,730.2256
2007-05-21,733.44745
2007-05-22,736.35345
2007-05-23,734.2748
2007-05-24,738.93353
2007-05-25,735.3237
2007-05-28,722.4997
2007-05-29,725.54456
2007-05-30,732.76434
2007-06-01,730.9658
2007-06-04,746.1401
2007-06-05,760.6558
2007-06-06,775.89264
2007-06-07,762.66595
2007-06-08,760.7235
2007-06-11,754.2818
2007-06-12,755.5657
2007-06-13,757.2073
2007-06-14,744.5594
2007-06-15,736.7288
2007-06-18,742.01544
2007-06-19,761.04236
2007-06-20,769.6678
2007-06-21,768.9518
2007-06-22,777.78156
2007-06-25,781.3965
2007-06-26,774.711
2007-06-27,769.571
2007-06-28,769.8806
2007-06-29,775.53424
2007-07-02,782.3173
2007-07-03,782.52106
2007-07-04,799.2189
2007-07-05,816.2317
2007-07-06,829.2441
2007-07-09,824.78345
2007-07-10,842.4962
2007-07-11,844.9912
2007-07-12,851.35474
2007-07-13,852.6182
2007-07-16,848.31903
2007-07-17,860.93054
2007-07-18,857.4103
2007-07-19,856.08704
2007-07-20,848.7401
2007-07-23,851.296
2007-07-24,844.07135
2007-07-25,870.9806
2007-07-26,876.7284
2007-07-27,888.21783
2007-07-31,866.5231
2007-08-01,868.28033
2007-08-02,856.72424
2007-08-03,844.12024
2007-08-06,837.118
2007-08-07,821.1352
2007-08-08,824.01263
2007-08-09,817.75195
2007-08-10,838.6235
2007-08-14,792.2142
2007-08-15,803.80835
2007-08-16,786.2453
2007-08-17,759.36115
2007-08-20,759.2839
2007-08-21,768.35187
2007-08-22,797.8873
2007-08-23,775.72797
2007-08-24,795.46796
2007-08-27,788.69037
2007-08-28,798.8203
2007-08-29,793.47656
2007-08-30,785.0618
2007-08-31,800.1034
2007-09-03,796.40045
2007-09-04,812.6075
2007-09-05,819.94556
2007-09-06,818.96075
2007-09-07,814.32184
2007-09-10,814.0004
2007-09-11,800.75476
2007-09-12,802.51483
2007-09-13,809.18964
2007-09-14,805.1802
2007-09-17,812.13995
2007-09-18,813.58154
2007-09-19,804.0322
2007-09-20,812.812
2007-09-21,815.95886
2007-09-24,819.2143
2007-09-25,836.9713
2007-09-26,835.89624
2007-09-27,837.86096
2007-09-28,846.77234
2007-10-01,847.79047
2007-10-02,845.83264
2007-10-03,860.0184
2007-10-04,856.11646
2007-10-05,848.7989
2007-10-08,852.69666
2007-10-09,859.4595
2007-10-10,864.43274
2007-10-11,874.86115
2007-10-12,879.61865
2007-10-15,890.1575
2007-10-16,891.6248
2007-10-17,904.6266
2007-10-18,887.8831
2007-10-19,888.59186
2007-10-22,883.3955
2007-10-24,872.1986
2007-10-25,872.7585
2007-10-26,870.31287
2007-10-29,900.5926
2007-10-30,909.0577
2007-10-31,913.86676
2007-11-01,898.3446
2007-11-02,913.06665
2007-11-05,892.37335
2007-11-06,892.856
2007-11-07,874.81195
2007-11-08,892.61957
2007-11-09,874.0456
2007-11-12,874.1537
2007-11-13,865.9342
2007-11-14,861.5582
2007-11-15,867.10223
2007-11-16,862.2939
2007-11-19,851.28625
2007-11-20,853.2158
2007-11-21,827.3989
2007-11-22,822.7152
2007-11-23,809.7835
2007-11-26,815.07214
2007-11-27,831.363
2007-11-28,825.8763
2007-11-29,825.3982
2007-11-30,833.3459
2007-12-03,846.18506
2007-12-04,847.52606
2007-12-06,831.6561
2007-12-07,841.84076
2007-12-11,855.6264
2007-12-12,845.0695
2007-12-13,833.6684
2007-12-14,832.50586
2007-12-17,835.3001
2007-12-18,835.31964
2007-12-19,816.6799
2007-12-20,819.55554
2007-12-21,807.7004
2007-12-25,797.7416
2007-12-26,822.7152
2007-12-27,847.3302
2007-12-28,845.4804
2008-01-02,848.1723
2008-01-03,859.36145
2008-01-04,836.1308
2008-01-07,831.8807
2008-01-08,814.5361
2008-01-09,815.19885
2008-01-10,806.98016
2008-01-11,818.5513
2008-01-14,806.0266
2008-01-15,794.3799
2008-01-16,798.7522
2008-01-17,765.9049
2008-01-18,775.6893
2008-01-21,781.1347
2008-01-22,793.39886
2008-01-23,750.8367
2008-01-24,762.66595
2008-01-25,747.4899
2008-01-28,745.0702
2008-01-29,756.4926
2008-01-30,757.3714
2008-01-31,762.83997
2008-02-01,767.59735
2008-02-04,799.9673
2008-02-05,826.3741
2008-02-06,807.6809
2008-02-07,794.49646
2008-02-08,796.6143
2008-02-11,797.97473
2008-02-12,812.74384
2008-02-13,812.31525
2008-02-14,824.6371
2008-02-15,840.3639
2008-02-18,824.8713
2008-02-19,831.9099
2008-02-20,830.88446
2008-02-22,842.12445
2008-02-25,823.7981
2008-02-26,835.8572
2008-02-27,846.8311
2008-02-28,840.5107
2008-02-29,833.854
2008-03-03,840.9117
2008-03-04,844.3062
2008-03-05,846.7429
2008-03-06,831.94904
2008-03-07,832.32025
2008-03-10,826.2863
2008-03-11,814.8481
2008-03-12,807.33057
2008-03-13,827.15485
2008-03-14,827.4965
2008-03-17,820.4331
2008-03-18,809.38446
2008-03-19,803.4582
2008-03-20,815.91
2008-03-21,801.6396
2008-03-24,802.9039
2008-03-25,807.3111
2008-03-26,812.286
2008-03-27,822.11053
2008-03-28,818.0444
2008-03-31,826.2081
2008-04-01,826.8327
2008-04-02,821.1937
2008-04-03,828.8046
2008-04-04,825.7299
2008-04-08,829.07794
2008-04-09,827.30133
2008-04-10,830.406
2008-04-11,827.57465
2008-04-16,823.38837
2008-04-17,828.4727
2008-04-18,839.5816
2008-04-21,847.1346
2008-04-22,853.2747
2008-04-23,844.5508
2008-04-24,851.4135
2008-04-25,840.53015
2008-04-28,838.56476
