Date,Predict
2007-01-01,938.45935
2007-01-02,938.45935
2007-01-03,952.46765
2007-01-04,951.7485
2007-01-07,956.9471
2007-01-08,950.5186
2007-01-09,947.8521
2007-01-10,945.9526
2007-01-11,926.72296
2007-01-14,927.5123
2007-01-15,936.06573
2007-01-16,942.8554
2007-01-17,948.854
2007-01-18,938.6008
2007-01-21,949.1
2007-01-22,947.3228
2007-01-23,950.0362
2007-01-24,950.17804
2007-01-25,956.5301
2007-01-28,960.6636
2007-01-29,958.63416
2007-01-30,965.7702
2007-01-31,966.2072
2007-02-01,965.06744
2007-02-04,966.87225
2007-02-05,976.3005
2007-02-06,978.94006
2007-02-07,983.83344
2007-02-08,979.4453
2007-02-11,985.62836
2007-02-12,978.8066
2007-02-13,984.893
2007-02-14,978.67303
2007-02-15,993.4574
2007-02-18,1005.8792
2007-02-19,997.2871
2007-02-20,1002.5878
2007-02-21,1012.9707
2007-02-22,1007.07947
2007-02-25,1015.60675
2007-02-26,1004.96747
2007-02-27,1007.24274
2007-02-28,1001.4465
2007-03-01,977.50085
2007-03-05,977.3294
2007-03-06,957.2313
2007-03-07,972.6063
2007-03-08,976.4528
2007-03-11,972.55865
2007-03-12,978.1966
2007-03-13,989.0868
2007-03-14,986.54517
2007-03-15,965.9413
2007-03-18,974.1863
2007-03-19,963.10205
2007-03-20,957.5915
2007-03-21,964.68756
2007-03-22,965.78925
2007-03-25,978.9687
2007-03-26,980.07465
2007-03-27,989.4596
2007-03-28,996.30054
2007-03-29,997.48804
2007-04-01,997.66077
2007-04-04,1011.6917
2007-04-05,1027.4044
2007-04-10,1039.3242
2007-04-11,1040.9026
2007-04-12,1042.2588
2007-04-15,1040.5927
2007-04-16,1050.0461
2007-04-17,1060.2902
2007-04-18,1062.2562
2007-04-19,1060.329
2007-04-22,1048.1052
2007-04-25,1063.9215
2007-04-26,1061.8862
2007-04-29,1088.6644
2007-04-30,1076.1528
2007-05-01,1063.1132
2007-05-02,1063.1132
2007-05-03,1084.5519
2007-05-06,1090.9182
2007-05-07,1092.575
2007-05-08,1108.0459
2007-05-09,1103.1188
2007-05-10,1099.2871
2007-05-13,1102.4899
2007-05-14,1119.2877
2007-05-15,1126.8208
2007-05-16,1116.0531
2007-05-17,1127.6509
2007-05-20,1131.695
2007-05-21,1120.1559
2007-05-24,1108.912
2007-05-27,1120.58
2007-05-28,1110.7528
2007-05-29,1115.9645
2007-05-30,1136.5444
2007-05-31,1127.1964
2007-06-03,1135.891
2007-06-04,1136.7327
2007-06-05,1134.8218
2007-06-06,1147.5988
2007-06-07,1140.6559
2007-06-10,1132.4368
2007-06-11,1114.082
2007-06-12,1116.4375
2007-06-13,1113.8849
2007-06-14,1088.4489
2007-06-17,1113.1165
2007-06-18,1119.0509
2007-06-19,1142.2219
2007-06-20,1133.8717
2007-06-21,1131.7642
2007-06-24,1127.562
2007-06-25,1120.9747
2007-06-26,1128.0166
2007-06-27,1124.9338
2007-06-28,1120.6492
2007-07-01,1129.2522
2007-07-02,1112.614
2007-07-03,1121.942
2007-07-04,1135.782
2007-07-05,1145.3462
2007-07-08,1148.6511
2007-07-09,1148.6709
2007-07-10,1147.0925
2007-07-11,1150.7463
2007-07-12,1136.7822
2007-07-15,1152.0975
2007-07-16,1167.2535
2007-07-17,1162.6309
2007-07-18,1161.8939
2007-07-19,1158.7887
2007-07-22,1160.4207
2007-07-23,1161.1475
2007-07-25,1166.9644
2007-07-26,1163.2284
2007-07-29,1160.1421
2007-07-30,1111.5209
2007-07-31,1112.6731
2007-08-01,1119.9092
2007-08-02,1099.2772
2007-08-05,1104.7802
2007-08-06,1066.591
2007-08-07,1064.7007
2007-08-08,1083.2405
2007-08-09,1085.7949
2007-08-12,1104.2788
2007-08-13,1075.2152
2007-08-14,1093.1633
2007-08-15,1090.0851
2007-08-16,1067.9362
2007-08-19,1056.5648
2007-08-20,1065.1488
2007-08-21,1067.5071
2007-08-22,1065.9576
2007-08-23,1052.9592
2007-08-26,1074.6195
2007-08-27,1083.5634
2007-08-28,1087.5968
2007-08-29,1081.6753
2007-08-30,1068.3456
2007-09-02,1085.7656
2007-09-03,1079.9542
2007-09-04,1079.182
2007-09-05,1073.5455
2007-09-06,1083.1819
2007-09-09,1079.9934
2007-09-10,1044.6041
2007-09-11,1046.2621
2007-09-16,1046.1749
2007-09-17,1065.7238
2007-09-18,1066.9807
2007-09-19,1064.35
2007-09-20,1096.6364
2007-09-23,1096.3517
2007-09-24,1100.5934
2007-09-25,1114.7521
2007-09-30,1125.6846
2007-10-01,1152.2167
2007-10-02,1149.1971
2007-10-07,1168.8683
2007-10-08,1175.2837
2007-10-09,1181.9674
2007-10-10,1179.5886
2007-10-11,1196.2345
2007-10-14,1194.8911
2007-10-15,1201.752
2007-10-16,1191.0735
2007-10-17,1180.8279
2007-10-18,1193.6683
2007-10-21,1203.3079
2007-10-22,1195.5127
2007-10-23,1176.6816
2007-10-24,1198.1398
2007-10-25,1199.123
2007-10-28,1202.7759
2007-10-29,1217.1927
2007-10-30,1240.8553
2007-10-31,1233.9121
2007-11-01,1237.8424
2007-11-04,1242.6761
2007-11-05,1232.377
2007-11-06,1224.487
2007-11-07,1237.5695
2007-11-08,1240.4711
2007-11-11,1213.0868
2007-11-12,1207.4364
2007-11-13,1203.328
2007-11-14,1197.859
2007-11-15,1229.2681
2007-11-18,1210.0295
2007-11-19,1211.3265
2007-11-20,1210.9143
2007-11-21,1201.9929
2007-11-22,1182.7773
2007-11-25,1172.1897
2007-11-26,1183.1372
2007-11-27,1189.4111
2007-11-28,1177.4507
2007-11-29,1179.019
2007-12-02,1201.481
2007-12-03,1201.3303
2007-12-04,1204.3926
2007-12-05,1197.3174
2007-12-06,1199.4338
2007-12-09,1215.5017
2007-12-10,1224.2046
2007-12-11,1223.8417
2007-12-12,1234.7706
2007-12-13,1222.4408
2007-12-16,1229.9845
2007-12-17,1221.171
2007-12-18,1192.466
2007-12-19,1189.872
2007-12-20,1193.4679
2007-12-23,1195.8135
2007-12-24,1223.62
2007-12-25,1224.6886
2007-12-26,1231.9327
2007-12-27,1238.1154
2007-12-30,1222.5718
2007-12-31,1226.7156
2008-01-01,1225.5052
2008-01-02,1220.1636
2008-01-03,1226.4734
2008-01-06,1219.7808
2008-01-07,1182.0273
2008-01-08,1188.4901
2008-01-09,1190.4827
2008-01-10,1188.1396
2008-01-13,1190.9734
2008-01-14,1157.6049
2008-01-15,1166.167
2008-01-16,1175.1538
2008-01-17,1138.9514
2008-01-20,1153.0613
2008-01-21,1138.5154
2008-01-22,1141.7163
2008-01-23,1088.7329
2008-01-24,1116.4573
2008-01-27,1067.2634
2008-01-28,1064.4086
2008-01-29,1040.457
2008-01-30,1068.7258
2008-01-31,1076.0063
2008-02-03,1082.7218
2008-02-04,1089.2228
2008-02-05,1100.9668
2008-02-06,1090.585
2008-02-07,1059.6675
2008-02-10,1065.1392
2008-02-11,1070.4325
2008-02-12,1053.6492
2008-02-13,1069.1355
2008-02-14,1076.231
2008-02-17,1104.4951
2008-02-18,1092.8103
2008-02-19,1093.242
2008-02-20,1102.8239
2008-02-21,1095.8119
2008-02-24,1101.1829
2008-02-25,1110.5658
2008-02-26,1123.2847
2008-02-27,1133.7726
2008-02-28,1133.2582
2008-03-02,1133.1492
2008-03-03,1087.6359
2008-03-04,1081.4991
2008-03-05,1084.591
2008-03-06,1086.118
2008-03-09,1095.3214
2008-03-10,1055.4565
2008-03-11,1052.901
2008-03-12,1051.7549
2008-03-13,1075.7914
2008-03-16,1053.9988
2008-03-17,1024.2395
2008-03-18,1002.818
2008-03-19,992.8068
2008-03-20,1012.9514
2008-03-23,995.58234
2008-03-24,1019.8341
2008-03-25,1031.7603
2008-03-26,1047.7947
2008-03-27,1040.583
2008-03-30,1030.4559
2008-03-31,1021.376
2008-04-01,1005.89844
2008-04-02,1004.09406
2008-04-03,1042.7045
2008-04-06,1049.4152
2008-04-07,1055.8939
2008-04-08,1073.282
2008-04-09,1051.5607
2008-04-10,1060.2318
2008-04-13,1070.179
2008-04-14,1062.4609
2008-04-15,1052.3766
2008-04-16,1061.9058
2008-04-17,1070.9497
2008-04-21,1091.0652
2008-04-22,1114.811
2008-04-23,1099.0613
2008-04-24,1103.3645
2008-04-27,1111.7473
2008-04-28,1113.4415
2008-04-29,1100.122
2008-04-30,1087.8806
2008-05-01,1081.5482
2008-05-04,1081.1373
2008-05-05,1097.3333
2008-05-06,1108.3706
2008-05-11,1107.1309
2008-05-12,1081.4308
2008-05-13,1090.379
2008-05-14,1102.5487
2008-05-15,1091.379
2008-05-18,1104.7606
2008-05-19,1100.5442
2008-05-20,1102.4899
2008-05-21,1107.0029
2008-05-22,1097.9908
2008-05-25,1099.4639
2008-05-26,1096.2831
2008-05-27,1093.085
2008-05-28,1104.6132
2008-05-29,1106.8259
2008-06-01,1118.4395
2008-06-02,1130.3201
2008-06-03,1128.3329
2008-06-04,1115.1561
2008-06-05,1122.712
2008-06-10,1124.2031
2008-06-11,1107.8196
2008-06-12,1118.1335
2008-06-15,1101.1632
2008-06-16,1125.4674
2008-06-17,1123.8475
2008-06-18,1124.7067
2008-06-22,1141.647
2008-06-23,1119.4652
2008-06-24,1130.0532
2008-06-25,1132.8623
2008-06-26,1122.2579
2008-06-29,1120.8268
2008-06-30,1093.889
2008-07-02,1091.2319
2008-07-03,1081.9393
2008-07-06,1058.2958
2008-07-07,1033.1036
2008-07-08,1033.8965
2008-07-09,1020.38324
2008-07-10,1039.2758
2008-07-13,1022.4458
2008-07-14,1014.62524
2008-07-15,1023.6414
2008-07-16,1013.3554
2008-07-17,1011.22064
2008-07-20,1015.07745
2008-07-21,1024.0756
2008-07-22,1028.0126
2008-07-23,1031.3737
2008-07-24,1039.9244
2008-07-27,1052.493
2008-07-28,1041.5321
2008-07-29,1038.8884
2008-07-30,1022.9377
2008-07-31,1046.6696
2008-08-03,1045.9226
2008-08-04,1034.728
2008-08-05,1035.908
2008-08-06,1022.98584
2008-08-07,1041.3287
2008-08-11,1025.1366
2008-08-12,1028.6691
2008-08-13,1022.3206
2008-08-14,1018.524
2008-08-17,1015.0102
2008-08-18,1027.7809
2008-08-19,1029.5479
2008-08-20,1032.9006
2008-08-21,1039.0144
2008-08-24,1040.0503
2008-08-25,1041.1641
2008-08-26,1046.6696
2008-08-27,1041.6871
2008-08-28,1043.9254
2008-08-31,1023.439
2008-09-01,1013.94214
2008-09-02,1012.1628
2008-09-03,1007.64606
2008-09-04,1005.1113
2008-09-07,1002.5878
2008-09-08,987.4431
2008-09-09,1017.2048
2008-09-10,999.7593
2008-09-11,979.6742
2008-09-14,972.8537
2008-09-15,965.49493
2008-09-16,928.8847
2008-09-17,918.59534
2008-09-18,909.6358
2008-09-21,858.2137
2008-09-22,915.0817
2008-09-23,918.69855
2008-09-24,884.55835
2008-09-25,892.2333
2008-09-28,884.7811
2008-10-02,921.66205
2008-10-05,875.07764
2008-10-06,847.4325
2008-10-07,811.8962
2008-10-12,803.2454
2008-10-15,759.26935
2008-10-16,807.9436
2008-10-19,763.0054
2008-10-22,792.5909
2008-10-23,803.10974
2008-10-26,787.2417
2008-10-27,777.5498
2008-10-28,744.498
2008-10-29,762.74664
2008-10-30,760.5795
2008-11-02,768.04205
2008-11-03,773.87555
2008-11-04,779.99005
2008-11-05,794.4301
2008-11-06,816.31714
2008-11-09,784.9034
2008-11-10,784.48987
2008-11-11,805.3718
2008-11-12,789.86096
2008-11-13,786.594
2008-11-16,727.14246
2008-11-17,712.68085
2008-11-18,716.0741
2008-11-19,695.6394
2008-11-20,706.44037
2008-11-23,680.5243
2008-11-24,674.95526
2008-11-25,644.4896
2008-11-26,687.81476
2008-11-27,685.845
2008-11-30,689.7775
2008-12-01,700.4063
2008-12-02,699.0459
2008-12-03,659.7282
2008-12-04,684.102
2008-12-07,686.5564
2008-12-08,702.0379
2008-12-09,719.57697
2008-12-10,726.3409
2008-12-11,738.0698
2008-12-14,741.2201
2008-12-15,730.58014
2008-12-16,715.6793
2008-12-17,692.6025
2008-12-18,714.4427
2008-12-21,719.7088
2008-12-22,712.9175
2008-12-23,710.0796
2008-12-24,695.8135
2008-12-25,686.3481
2008-12-28,678.2398
2008-12-29,664.00806
2008-12-30,668.6829
2008-12-31,676.718
2009-01-01,683.83325
2009-01-04,695.26495
2009-01-05,712.6195
2009-01-06,709.4843
2009-01-07,716.8726
2009-01-08,729.89233
2009-01-11,716.0214
2009-01-12,708.39935
2009-01-13,722.926
2009-01-14,712.5319
2009-01-15,720.32385
2009-01-18,692.9329
2009-01-19,713.18036
2009-01-20,713.7413
2009-01-21,700.8861
2009-01-22,692.7415
2009-01-25,697.77344
2009-01-26,675.5168
2009-01-27,677.49615
2009-01-28,695.1431
2009-01-29,693.89856
2009-02-01,707.76953
2009-02-02,686.4263
2009-02-03,692.0371
2009-02-04,694.81226
2009-02-05,701.8023
2009-02-08,706.92993
2009-02-09,732.95386
2009-02-11,733.8633
2009-02-12,723.90265
2009-02-15,722.34564
2009-02-16,721.862
2009-02-17,715.3285
2009-02-18,719.49786
2009-02-19,712.3566
2009-02-22,720.47314
2009-02-23,710.1759
2009-02-24,705.1206
2009-02-25,686.3481
2009-02-26,699.7522
2009-03-01,690.63763
2009-03-02,684.1453
2009-03-03,676.0785
2009-03-04,671.3556
2009-03-05,684.64813
2009-03-08,689.2823
2009-03-09,674.3938
2009-03-11,677.34906
2009-03-12,694.1161
2009-03-15,686.6952
2009-03-16,699.0808
2009-03-17,704.7973
2009-03-18,710.4911
2009-03-19,716.3724
2009-03-22,710.29846
2009-03-23,704.3081
2009-03-24,722.4775
2009-03-25,733.4394
2009-03-26,730.48315
2009-03-29,765.36194
2009-03-30,772.9442
2009-03-31,766.3353
2009-04-01,758.6367
2009-04-02,754.9864
2009-04-05,768.6321
2009-04-06,793.22174
2009-04-07,798.699
2009-04-12,788.0785
2009-04-13,806.28625
2009-04-16,801.2471
2009-04-19,805.1003
2009-04-20,817.0076
2009-04-21,804.29486
2009-04-22,786.64795
2009-04-23,783.2407
2009-04-26,798.05786
2009-04-27,817.28925
2009-04-30,811.06177
2009-05-03,829.8919
2009-05-04,832.2468
2009-05-05,843.7095
2009-05-06,851.3898
