Date,Predict
2011-03-17,8171.0547
2011-03-18,8171.0547
2011-03-21,8314.7
2011-03-22,8388.107
2011-03-23,8484.335
2011-03-24,8490.659
2011-03-25,8547.524
2011-03-28,8600.627
2011-03-29,8545.886
2011-03-30,8498.745
2011-03-31,8562.888
2011-04-01,8637.271
2011-04-06,8650.821
2011-04-07,8722.116
2011-04-08,8830.789
2011-04-11,8849.75
2011-04-12,8867.478
2011-04-13,8786.729
2011-04-14,8679.685
2011-04-15,8737.14
2011-04-18,8776.517
2011-04-19,8703.309
2011-04-20,8598.745
2011-04-21,8657.183
2011-04-22,8838.748
2011-04-25,8923.433
2011-04-26,8957.931
2011-04-27,8839.657
2011-04-28,8954.398
2011-04-29,9029.158
2011-05-03,8991.611
2011-05-04,8956.394
2011-05-05,8881.577
2011-05-06,8874.735
2011-05-09,8940.247
2011-05-10,8944.204
2011-05-11,8989.428
2011-05-12,9014.426
2011-05-13,8920.848
2011-05-16,8980.95
2011-05-17,8939.245
2011-05-18,8862.15
2011-05-19,8831.331
2011-05-20,8896.075
2011-05-23,8888.442
2011-05-24,8717.473
2011-05-25,8681.873
2011-05-26,8683.858
2011-05-27,8746.322
2011-05-30,8754.988
2011-05-31,8708.209
2011-06-01,8807.347
2011-06-02,8942.298
2011-06-03,8924.676
2011-06-07,8966.331
2011-06-08,8966.983
2011-06-09,8986.114
2011-06-10,8962.494
2011-06-13,8983.678
2011-06-14,8740.912
2011-06-15,8688.6
2011-06-16,8781.56
2011-06-17,8691.095
2011-06-20,8625.559
2011-06-21,8632.927
2011-06-22,8530.594
2011-06-23,8618.3
2011-06-24,8558.427
2011-06-27,8526.34
2011-06-28,8420.913
2011-06-29,8496.549
2011-06-30,8500.559
2011-07-01,8540.258
2011-07-04,8637.941
2011-07-05,8750.385
2011-07-06,8727.011
2011-07-07,8740.211
2011-07-08,8744.118
2011-07-11,8732.3
2011-07-12,8700.417
2011-07-13,8539.638
2011-07-14,8443.542
2011-07-15,8457.996
2011-07-18,8457.228
2011-07-19,8509.884
2011-07-20,8489.017
2011-07-21,8569.278
2011-07-22,8658.485
2011-07-25,8720.981
2011-07-26,8714.954
2011-07-27,8653.456
2011-07-28,8725.049
2011-07-29,8691.086
2011-08-01,8689.06
2011-08-02,8585.919
2011-08-03,8585.078
2011-08-04,8430.368
2011-08-05,8436.069
2011-08-08,7959.851
2011-08-09,7782.508
2011-08-10,7325.0117
2011-08-11,7735.0854
2011-08-12,7598.008
2011-08-15,7833.8887
2011-08-16,7782.115
2011-08-17,7889.952
2011-08-18,7817.296
2011-08-19,7738.372
2011-08-22,7461.2954
2011-08-23,7402.6094
2011-08-24,7421.109
2011-08-25,7621.61
2011-08-26,7591.7607
2011-08-29,7482.946
2011-08-30,7522.8076
2011-08-31,7677.64
2011-09-01,7687.4863
2011-09-02,7809.532
2011-09-05,7811.452
2011-09-06,7662.7036
2011-09-07,7534.7856
2011-09-08,7509.6626
2011-09-09,7629.5513
2011-09-13,7599.6606
2011-09-14,7565.1816
2011-09-15,7498.1787
2011-09-16,7425.7095
2011-09-19,7533.0312
2011-09-20,7603.8237
2011-09-21,7525.2173
2011-09-22,7552.263
2011-09-23,7465.8906
2011-09-26,7183.375
2011-09-27,7117.6294
2011-09-28,7121.6963
2011-09-29,7224.8335
2011-09-30,7173.5024
2011-10-03,7290.0786
2011-10-04,7207.4404
2011-10-05,7039.5933
2011-10-06,7148.0566
2011-10-07,7177.4526
2011-10-11,7280.122
2011-10-12,7402.7437
2011-10-13,7439.5483
2011-10-14,7469.1963
2011-10-17,7475.756
2011-10-18,7459.9697
2011-10-19,7405.653
2011-10-20,7442.8315
2011-10-21,7401.9136
2011-10-24,7334.757
2011-10-25,7405.929
2011-10-26,7543.639
2011-10-27,7482.273
2011-10-28,7581.736
2011-10-31,7712.9414
2011-11-01,7662.323
2011-11-02,7580.7256
2011-11-03,7538.654
2011-11-04,7631.506
2011-11-07,7611.757
2011-11-08,7649.348
2011-11-09,7675.916
2011-11-10,7670.1562
2011-11-11,7476.437
2011-11-14,7421.3765
2011-11-15,7513.1387
2011-11-16,7552.1196
2011-11-17,7557.0273
2011-11-18,7389.105
2011-11-21,7355.7236
2011-11-22,7240.6206
2011-11-23,7151.078
2011-11-24,7066.1475
2011-11-25,6876.2173
2011-11-28,7012.6665
2011-11-29,6958.7456
2011-11-30,7065.2036
2011-12-01,7095.818
2011-12-02,7210.7466
2011-12-05,7238.625
2011-12-06,7225.893
2011-12-07,7160.9453
2011-12-08,7098.086
2011-12-09,7110.7495
2011-12-12,6999.726
2011-12-13,7073.1025
2011-12-14,6992.4287
2011-12-15,7018.0654
2011-12-16,6984.692
2011-12-19,6905.6714
2011-12-20,6903.6143
2011-12-21,6795.1035
2011-12-22,6988.5596
2011-12-23,7066.6367
2011-12-26,7125.1772
2011-12-27,7204.25
2011-12-28,7169.4385
2011-12-29,7169.9663
2011-12-30,7117.953
2012-01-02,7190.867
2012-01-03,7156.9995
2012-01-04,7099.145
2012-01-05,7176.0967
2012-01-06,7181.623
2012-01-09,7208.2065
2012-01-10,7184.9155
2012-01-11,7207.6167
2012-01-12,7273.198
2012-01-13,7272.5605
2012-01-16,7293.695
2012-01-17,7307.5977
2012-01-18,7221.1455
2012-01-30,7301.9385
2012-01-31,7432.986
2012-02-01,7481.153
2012-02-02,7556.496
2012-02-03,7640.8633
2012-02-04,7681.551
2012-02-06,7747.807
2012-02-07,7766.703
2012-02-08,7701.2354
2012-02-09,7779.5684
2012-02-10,7868.3135
2012-02-13,7922.7583
2012-02-14,7855.3364
2012-02-15,7936.2646
2012-02-16,7919.8135
2012-02-17,7979.1187
2012-02-20,7954.3555
2012-02-21,7957.195
2012-02-22,7950.8057
2012-02-23,7909.667
2012-02-24,7977.429
2012-02-29,7967.923
2012-03-01,8036.8193
2012-03-02,8112.4136
2012-03-03,8144.3525
2012-03-05,8105.3174
2012-03-06,8091.6797
2012-03-07,8000.461
2012-03-08,7852.8433
2012-03-09,7950.695
2012-03-12,8005.7676
2012-03-13,8020.829
2012-03-14,7985.446
2012-03-15,8117.428
2012-03-16,8125.7783
2012-03-19,8114.9355
2012-03-20,8099.2925
2012-03-21,8052.3613
2012-03-22,7988.0864
2012-03-23,7991.967
2012-03-26,8057.017
2012-03-27,8062.5825
2012-03-28,8024.855
2012-03-29,8063.24
2012-03-30,7992.1616
2012-04-02,7839.768
2012-04-03,7907.368
2012-04-05,7898.947
2012-04-06,7631.378
2012-04-09,7689.9194
2012-04-10,7617.2437
2012-04-11,7681.867
2012-04-12,7621.999
2012-04-13,7691.336
2012-04-16,7750.54
2012-04-17,7762.2173
2012-04-18,7752.4995
2012-04-19,7697.7114
2012-04-20,7630.4463
2012-04-23,7629.8037
2012-04-24,7528.1123
2012-04-25,7499.5435
2012-04-26,7585.723
2012-04-27,7625.2456
2012-04-30,7600.6274
2012-05-02,7483.5737
2012-05-03,7548.752
2012-05-04,7692.7886
2012-05-07,7646.241
2012-05-08,7635.9395
2012-05-09,7603.219
2012-05-10,7524.974
2012-05-11,7519.4106
2012-05-14,7513.498
2012-05-15,7439.3965
2012-05-16,7384.7993
2012-05-17,7427.6133
2012-05-18,7363.119
2012-05-21,7316.7554
2012-05-22,7239.42
2012-05-23,7321.833
2012-05-24,7282.4956
2012-05-25,7231.3306
2012-05-28,7196.5747
2012-05-29,7153.6606
2012-05-30,7252.3916
2012-05-31,7387.3853
2012-06-01,7257.1045
2012-06-04,7282.5747
2012-06-05,7013.3545
2012-06-06,7084.382
2012-06-07,7127.6504
2012-06-08,7211.954
2012-06-11,7123.7827
2012-06-12,7166.1147
2012-06-13,7126.353
2012-06-14,7185.012
2012-06-15,7179.432
2012-06-18,7176.9155
2012-06-19,7327.029
2012-06-20,7347.228
2012-06-21,7367.419
2012-06-22,7360.7964
2012-06-25,7280.015
2012-06-26,7290.477
2012-06-27,7222.0454
2012-06-28,7215.667
2012-06-29,7297.444
2012-07-02,7255.814
2012-07-03,7387.7856
2012-07-04,7415.696
2012-07-05,7461.4746
2012-07-06,7459.6743
2012-07-09,7441.981
2012-07-10,7360.7334
2012-07-11,7364.329
2012-07-12,7276.7217
2012-07-13,7306.6753
2012-07-16,7193.764
2012-07-17,7213.859
2012-07-18,7144.2188
2012-07-19,7210.958
2012-07-20,7190.4097
2012-07-23,7214.3354
2012-07-24,7187.4683
2012-07-25,7098.313
2012-07-26,7035.1284
2012-07-27,7105.7563
2012-07-30,7147.4067
2012-07-31,7234.3945
2012-08-01,7217.9077
2012-08-03,7308.183
2012-08-06,7288.6167
2012-08-07,7369.654
2012-08-08,7350.2085
2012-08-09,7387.34
2012-08-10,7396.5073
2012-08-13,7487.286
2012-08-14,7534.399
2012-08-15,7490.578
2012-08-16,7529.0024
2012-08-17,7516.3013
2012-08-20,7540.7324
2012-08-21,7522.026
2012-08-22,7501.7695
2012-08-23,7534.4526
2012-08-24,7526.098
2012-08-27,7519.7964
2012-08-28,7542.1724
2012-08-29,7484.7754
2012-08-30,7430.0894
2012-08-31,7423.458
2012-09-03,7415.5894
2012-09-04,7475.666
2012-09-05,7512.3755
2012-09-06,7475.245
2012-09-07,7433.272
2012-09-10,7479.279
2012-09-11,7480.0938
2012-09-12,7535.6763
2012-09-13,7554.983
2012-09-14,7607.736
2012-09-17,7683.0933
2012-09-18,7781.4575
2012-09-19,7756.027
2012-09-20,7755.07
2012-09-21,7793.657
2012-09-24,7776.748
2012-09-25,7774.0474
2012-09-26,7779.6226
2012-09-27,7721.608
2012-09-28,7688.0947
2012-10-01,7722.9365
2012-10-02,7721.0166
2012-10-03,7721.9087
2012-10-04,7744.1
2012-10-05,7699.528
2012-10-08,7713.678
2012-10-09,7726.3394
2012-10-11,7622.578
2012-10-12,7533.2925
2012-10-15,7499.085
2012-10-16,7478.194
2012-10-17,7482.291
2012-10-18,7543.036
2012-10-19,7514.854
2012-10-22,7487.5103
2012-10-23,7388.8115
2012-10-24,7419.3486
2012-10-25,7348.652
2012-10-26,7385.4775
2012-10-29,7352.067
2012-10-30,7223.7925
2012-10-31,7209.6357
2012-11-01,7288.1826
2012-11-02,7219.178
2012-11-05,7298.978
2012-11-06,7271.136
2012-11-07,7290.841
2012-11-08,7314.5454
2012-11-09,7296.1406
2012-11-12,7275.907
2012-11-13,7362.701
2012-11-14,7325.998
2012-11-15,7218.834
2012-11-16,7210.403
2012-11-19,7204.426
2012-11-20,7212.775
2012-11-21,7251.968
2012-11-22,7226.4756
2012-11-23,7196.989
2012-11-26,7225.3545
2012-11-27,7423.744
2012-11-28,7456.2627
2012-11-29,7464.9316
2012-11-30,7510.2373
2012-12-03,7555.3345
2012-12-04,7612.6963
2012-12-05,7603.1733
2012-12-06,7606.353
2012-12-07,7683.6284
2012-12-10,7664.8335
2012-12-11,7681.288
2012-12-12,7647.3916
2012-12-13,7677.2134
2012-12-14,7731.5444
2012-12-17,7739.9106
2012-12-18,7687.2593
2012-12-19,7646.749
2012-12-20,7692.8516
2012-12-21,7670.165
2012-12-22,7621.6636
2012-12-24,7571.9595
2012-12-25,7576.5947
2012-12-26,7588.8457
2012-12-27,7670.51
2012-12-28,7659.894
2013-01-02,7719.88
2013-01-03,7753.7295
2013-01-04,7834.383
2013-01-07,7826.995
2013-01-08,7807.584
2013-01-09,7752.837
2013-01-10,7743.116
2013-01-11,7792.899
2013-01-14,7850.167
2013-01-15,7806.332
2013-01-16,7831.7915
2013-01-17,7779.303
2013-01-18,7763.3203
2013-01-21,7716.6147
2013-01-22,7742.169
2013-01-23,7761.6973
2013-01-24,7785.7944
2013-01-25,7734.5933
2013-01-28,7714.769
2013-01-29,7706.0605
2013-01-30,7759.29
2013-01-31,7840.437
2013-02-01,7840.364
2013-02-04,7859.499
2013-02-05,7886.1216
2013-02-06,7898.901
2013-02-18,7925.1978
2013-02-19,7994.767
2013-02-20,7970.488
2013-02-21,8013.834
2013-02-22,8013.102
2013-02-23,7946.031
2013-02-25,7974.872
2013-02-26,7982.0005
2013-02-27,7894.0674
2013-03-01,7889.1245
2013-03-04,7918.2583
2013-03-05,7962.9414
2013-03-06,7911.561
2013-03-07,7955.461
2013-03-08,7948.8145
2013-03-11,7976.58
2013-03-12,8014.3604
2013-03-13,8030.207
2013-03-14,8011.6035
2013-03-15,7996.366
2013-03-18,7984.586
2013-03-19,7889.731
2013-03-20,7850.075
2013-03-21,7842.0674
2013-03-22,7836.7734
2013-03-25,7820.818
2013-03-26,7867.598
2013-03-27,7877.8027
2013-03-28,7876.9307
2013-03-29,7907.2114
2013-04-01,7906.099
2013-04-02,7933.4746
2013-04-03,7899.3516
2013-04-08,7947.1733
2013-04-09,7838.852
2013-04-10,7779.7876
2013-04-11,7785.566
2013-04-12,7799.8423
2013-04-15,7866.259
2013-04-16,7824.295
2013-04-17,7710.824
2013-04-18,7831.151
2013-04-19,7793.3555
2013-04-22,7873.397
2013-04-23,7972.057
2013-04-24,7953.442
2013-04-25,7973.257
2013-04-26,8008.3477
2013-04-29,8026.0127
2013-04-30,8034.5684
2013-05-02,8055.1523
2013-05-03,8097.405
2013-05-06,8140.2896
2013-05-07,8169.169
2013-05-08,8158.9995
2013-05-09,8159.3354
2013-05-10,8287.043
2013-05-13,8258.893
2013-05-14,8259.897
2013-05-15,8247.474
2013-05-16,8239.881
2013-05-17,8332.302
2013-05-20,8346.216
2013-05-21,8334.619
2013-05-22,8350.08
2013-05-23,8380.93
2013-05-24,8337.35
2013-05-27,8248.42
2013-05-28,8197.563
2013-05-29,8263.368
2013-05-30,8276.554
2013-05-31,8289.485
2013-06-03,8291.177
2013-06-04,8159.364
2013-06-05,8220.329
2013-06-06,8175.74
2013-06-07,8119.8486
2013-06-10,8099.7476
2013-06-11,8144.0166
2013-06-13,8160.278
2013-06-14,8032.5225
2013-06-17,7974.503
2013-06-18,7951.349
2013-06-19,7989.334
2013-06-20,8024.9473
2013-06-21,7950.1597
2013-06-24,7790.9443
2013-06-25,7799.724
2013-06-26,7764.934
2013-06-27,7800.537
2013-06-28,7848.1045
2013-07-01,7928.217
2013-07-02,8005.176
2013-07-03,8051.3687
2013-07-04,7986.304
2013-07-05,7919.6753
2013-07-08,7931.678
2013-07-09,7975.759
2013-07-10,7894.1772
2013-07-11,7971.0337
2013-07-12,8069.1143
2013-07-15,8168.5903
2013-07-16,8159.634
2013-07-17,8220.704
2013-07-18,8216.473
2013-07-19,8215.706
2013-07-22,8103.457
2013-07-23,8079.3813
2013-07-24,8135.8267
2013-07-25,8201.274
2013-07-26,8154.905
2013-07-29,8169.0566
2013-07-30,8129.6978
2013-07-31,8099.022
2013-08-01,8145.8154
2013-08-02,8096.7544
2013-08-05,8100.2686
2013-08-06,8090.686
2013-08-07,8114.5356
2013-08-08,7988.189
2013-08-09,7911.3403
2013-08-12,7952.5938
2013-08-13,7881.9526
2013-08-14,7934.8926
2013-08-15,7974.494
2013-08-16,7904.7295
2013-08-19,7860.3525
2013-08-20,7936.422
2013-08-21,7898.6343
2013-08-22,7898.6343
2013-08-23,7791.492
2013-08-26,7868.654
2013-08-27,7907.956
2013-08-28,7879.85
2013-08-29,7789.145
2013-08-30,7848.719
2013-09-02,7947.976
2013-09-03,8003.5117
2013-09-04,8082.752
2013-09-05,8055.847
2013-09-06,8095.3696
2013-09-09,8161.7515
2013-09-10,8157.9644
2013-09-11,8196.002
2013-09-12,8156.1646
2013-09-13,8161.6113
2013-09-14,8189.405
2013-09-16,8151.3813
2013-09-17,8170.2236
2013-09-18,8218.279
2013-09-23,8224.972
2013-09-24,8204.968
2013-09-25,8269.326
2013-09-26,8258.161
2013-09-27,8264.258
2013-09-30,8200.602
2013-10-01,8156.463
2013-10-02,8155.6514
2013-10-03,8194.834
2013-10-04,8209.531
2013-10-07,8316.61
2013-10-08,8325.166
2013-10-09,8311.445
2013-10-11,8322.661
2013-10-14,8374.69
2013-10-15,8311.126
2013-10-16,8292.784
2013-10-17,8352.598
2013-10-18,8359.056
2013-10-21,8383.073
2013-10-22,8421.216
2013-10-23,8374.851
