Date,Predict
2015-03-23,2523.9988
2015-03-24,2523.9988
2015-03-25,2527.9753
2015-03-26,2533.0662
2015-03-27,2520.2947
2015-03-30,2482.0256
2015-03-31,2466.0474
2015-04-01,2512.8992
2015-04-02,2506.9329
2015-04-07,2536.3225
2015-04-08,2540.0732
2015-04-09,2574.1504
2015-04-10,2582.4116
2015-04-13,2604.9368
2015-04-14,2610.3958
2015-04-15,2635.314
2015-04-16,2619.6113
2015-04-17,2639.5234
2015-04-20,2623.6873
2015-04-21,2581.3228
2015-04-22,2598.1187
2015-04-23,2621.796
2015-04-24,2605.7593
2015-04-27,2603.453
2015-04-28,2627.6821
2015-04-29,2650.0938
2015-04-30,2635.8865
2015-05-04,2578.1145
2015-05-05,2578.405
2015-05-06,2603.5662
2015-05-07,2574.9468
2015-05-08,2563.5203
2015-05-11,2605.7122
2015-05-12,2641.96
2015-05-13,2641.702
2015-05-15,2622.727
2015-05-18,2647.5076
2015-05-19,2669.1636
2015-05-20,2626.426
2015-05-21,2631.396
2015-05-22,2641.4055
2015-05-26,2628.9197
2015-05-27,2630.3384
2015-05-28,2587.2878
2015-05-29,2605.2485
2015-06-01,2569.3125
2015-06-02,2561.9895
2015-06-03,2548.5078
2015-06-05,2571.1646
2015-06-08,2602.5273
2015-06-09,2539.1655
2015-06-10,2499.2305
2015-06-11,2501.0054
2015-06-12,2541.1765
2015-06-15,2523.4182
2015-06-16,2492.9614
2015-06-17,2438.543
2015-06-18,2454.6387
2015-06-19,2433.7043
2015-06-22,2447.003
2015-06-23,2436.508
2015-06-24,2502.9102
2015-06-25,2515.6753
2015-06-26,2509.4282
2015-06-29,2497.63
2015-06-30,2506.6858
2015-07-01,2432.451
2015-07-02,2418.3972
2015-07-03,2462.9265
2015-07-06,2441.7463
2015-07-07,2437.6555
2015-07-08,2383.9573
2015-07-09,2345.4268
2015-07-10,2372.9558
2015-07-13,2419.1633
2015-07-14,2467.4775
2015-07-15,2510.8235
2015-07-16,2504.3755
2015-07-17,2495.8477
2015-07-20,2529.5728
2015-07-21,2529.3604
2015-07-22,2544.4595
2015-07-23,2535.4893
2015-07-24,2517.9197
2015-07-27,2520.1567
2015-07-28,2505.09
2015-07-29,2458.4731
2015-07-30,2480.0066
2015-07-31,2481.3071
2015-08-03,2481.207
2015-08-04,2497.7944
2015-08-05,2497.319
2015-08-06,2488.9836
2015-08-07,2500.2092
2015-08-10,2481.6895
2015-08-11,2487.5435
2015-08-12,2495.5642
2015-08-13,2469.1714
2015-08-14,2421.1956
2015-08-17,2455.6218
2015-08-18,2456.5325
2015-08-19,2453.602
2015-08-20,2463.5596
2015-08-21,2447.1736
2015-08-24,2403.399
2015-08-25,2334.46
2015-08-26,2242.435
2015-08-27,2309.599
2015-08-28,2292.637
2015-08-31,2363.9717
2015-09-01,2352.1838
2015-09-02,2342.362
2015-09-03,2302.2422
2015-09-04,2288.4043
2015-09-07,2323.751
2015-09-08,2279.5684
2015-09-09,2283.2607
2015-09-10,2306.565
2015-09-11,2319.221
2015-09-14,2304.878
2015-09-15,2292.2449
2015-09-16,2287.009
2015-09-17,2296.714
2015-09-18,2314.4917
2015-09-21,2312.7483
2015-09-22,2269.9238
2015-09-23,2273.358
2015-09-24,2236.085
2015-09-25,2239.8015
2015-09-28,2213.2178
2015-09-29,2241.114
2015-09-30,2209.7947
2015-10-01,2225.7314
2015-10-02,2260.7522
2015-10-05,2260.9543
2015-10-06,2266.4187
2015-10-07,2317.1045
2015-10-08,2343.3604
2015-10-09,2364.5835
2015-10-12,2362.2932
2015-10-13,2375.8691
2015-10-14,2370.624
2015-10-15,2333.3267
2015-10-16,2350.7217
2015-10-19,2377.5728
2015-10-20,2396.9011
2015-10-21,2388.9358
2015-10-22,2394.0725
2015-10-23,2419.279
2015-10-27,2463.7405
2015-10-28,2469.3796
2015-10-29,2417.5688
2015-10-30,2440.0952
2015-11-02,2428.5605
2015-11-03,2426.7285
2015-11-04,2438.238
2015-11-05,2447.2278
2015-11-06,2437.1533
2015-11-09,2427.5505
2015-11-10,2493.3083
2015-11-11,2477.4805
2015-11-12,2477.3625
2015-11-13,2468.22
2015-11-16,2400.9453
2015-11-17,2406.5825
2015-11-18,2411.1462
2015-11-19,2448.7122
2015-11-20,2467.405
2015-11-23,2489.175
2015-11-24,2483.09
2015-11-25,2491.6013
2015-11-26,2455.333
2015-11-27,2445.1506
2015-11-30,2469.271
2015-12-01,2474.4119
2015-12-02,2487.4434
2015-12-03,2499.5693
2015-12-04,2487.9353
2015-12-07,2455.4685
2015-12-09,2450.3772
2015-12-10,2435.218
2015-12-11,2383.6843
2015-12-14,2396.7683
2015-12-15,2355.4597
2015-12-16,2314.5261
2015-12-17,2366.8318
2015-12-18,2398.865
2015-12-21,2378.7239
2015-12-22,2371.1235
2015-12-23,2358.0674
2015-12-28,2377.5288
2015-12-29,2408.8013
2015-12-30,2404.3296
2016-01-04,2404.7996
2016-01-05,2405.509
2016-01-07,2362.9312
2016-01-08,2375.0789
2016-01-11,2319.075
2016-01-12,2253.9714
2016-01-13,2237.0615
2016-01-14,2250.386
2016-01-15,2239.3918
2016-01-18,2210.9683
2016-01-19,2164.5884
2016-01-20,2130.6956
2016-01-21,2165.1082
2016-01-22,2108.8142
2016-01-25,2140.8696
2016-01-26,2186.2808
2016-01-27,2185.446
2016-01-28,2201.3235
2016-01-29,2184.7422
2016-02-01,2178.1396
2016-02-02,2205.238
2016-02-03,2187.3455
2016-02-04,2177.9355
2016-02-05,2147.8262
2016-02-08,2165.1082
2016-02-09,2178.5806
2016-02-10,2095.101
2016-02-11,2052.8938
2016-02-12,2075.769
2016-02-15,2041.382
2016-02-16,2102.4663
2016-02-17,2153.2827
2016-02-18,2140.942
2016-02-19,2205.84
2016-02-22,2165.3271
2016-02-23,2173.9976
2016-02-24,2217.6143
2016-02-25,2182.1172
2016-02-26,2154.4949
2016-02-29,2170.228
2016-03-01,2191.4355
2016-03-02,2198.1301
2016-03-03,2230.0498
2016-03-04,2241.39
2016-03-07,2245.7
2016-03-08,2261.0637
2016-03-09,2263.5334
2016-03-10,2266.7817
2016-03-11,2275.8809
2016-03-14,2260.626
2016-03-15,2306.908
2016-03-16,2341.2603
2016-03-17,2319.5564
2016-03-18,2320.443
2016-03-21,2318.438
2016-03-22,2336.243
2016-03-23,2318.782
2016-03-24,2314.578
2016-03-29,2292.1
2016-03-30,2254.358
2016-03-31,2259.9688
2016-04-01,2299.7205
2016-04-04,2295.5623
2016-04-05,2291.359
2016-04-06,2280.858
2016-04-07,2259.1772
2016-04-08,2269.6199
2016-04-11,2244.2095
2016-04-12,2271.209
2016-04-13,2275.7964
2016-04-14,2279.017
2016-04-15,2316.03
2016-04-18,2336.4333
2016-04-19,2323.0876
2016-04-20,2331.053
2016-04-21,2354.309
2016-04-22,2357.823
2016-04-25,2349.834
2016-04-26,2372.175
2016-04-27,2339.162
2016-04-28,2332.2715
2016-04-29,2346.7822
2016-05-02,2358.87
2016-05-03,2346.5042
2016-05-04,2341.052
2016-05-06,2299.2502
2016-05-09,2270.296
2016-05-10,2269.172
2016-05-11,2250.277
2016-05-12,2260.373
2016-05-13,2248.7085
2016-05-17,2239.4922
2016-05-18,2238.0635
2016-05-19,2241.8665
2016-05-20,2245.6328
2016-05-23,2222.0767
2016-05-24,2230.3745
2016-05-25,2240.311
2016-05-27,2270.254
2016-05-30,2297.0298
2016-05-31,2289.7834
2016-06-01,2297.3457
2016-06-02,2287.3748
2016-06-03,2254.6775
2016-06-06,2262.724
2016-06-07,2249.849
2016-06-08,2264.3513
2016-06-09,2290.192
2016-06-10,2273.9927
2016-06-13,2265.9966
2016-06-14,2227.0288
2016-06-15,2184.595
2016-06-16,2149.3584
2016-06-17,2173.6392
2016-06-20,2146.8184
2016-06-21,2186.2563
2016-06-22,2229.5583
2016-06-23,2236.4856
2016-06-24,2247.3423
2016-06-27,2249.153
2016-06-28,2140.8293
2016-06-29,2065.0864
2016-06-30,2096.3164
2016-07-01,2135.0474
2016-07-04,2150.6497
2016-07-05,2157.5286
2016-07-06,2139.8967
2016-07-07,2094.7065
2016-07-08,2092.1204
2016-07-11,2108.1875
2016-07-12,2133.2751
2016-07-13,2162.495
2016-07-14,2206.4426
2016-07-15,2184.104
2016-07-18,2245.792
2016-07-19,2251.9392
2016-07-20,2251.2336
2016-07-21,2243.908
2016-07-22,2254.6606
2016-07-25,2252.5352
2016-07-26,2265.4229
2016-07-27,2256.1655
2016-07-28,2261.5103
2016-07-29,2272.3765
2016-08-01,2259.3542
2016-08-02,2264.6213
2016-08-03,2243.565
2016-08-04,2220.1182
2016-08-05,2208.4897
2016-08-08,2225.657
2016-08-09,2261.2996
2016-08-10,2275.8386
2016-08-11,2298.8745
