Date,Predict
2007-01-02,5650.7207
2007-01-03,5650.7207
2007-01-04,5698.6436
2007-01-05,5648.572
2007-01-08,5626.2446
2007-01-09,5605.0054
2007-01-10,5622.4023
2007-01-11,5576.2227
2007-01-12,5595.643
2007-01-15,5673.238
2007-01-16,5720.2344
2007-01-17,5715.887
2007-01-18,5668.2485
2007-01-19,5660.241
2007-01-22,5628.2134
2007-01-23,5708.617
2007-01-24,5658.378
2007-01-25,5672.1147
2007-01-26,5728.3335
2007-01-29,5652.3623
2007-01-30,5668.693
2007-01-31,5687.9316
2007-02-01,5716.418
2007-02-02,5744.3237
2007-02-05,5761.3364
2007-02-06,5751.897
2007-02-07,5761.3257
2007-02-08,5768.9116
2007-02-09,5787.8936
2007-02-12,5781.547
2007-02-13,5751.3657
2007-02-14,5736.2544
2007-02-15,5782.842
2007-02-16,5808.4614
2007-02-19,5799.8535
2007-02-20,5806.8804
2007-02-21,5824.1
2007-02-22,5817.2305
2007-02-23,5806.9863
2007-02-26,5807.6655
2007-02-27,5816.678
2007-02-28,5802.624
2007-03-01,5545.0674
2007-03-02,5572.7646
2007-03-05,5549.6963
2007-03-06,5385.9736
2007-03-07,5497.8
2007-03-08,5526.478
2007-03-09,5563.8945
2007-03-12,5587.3916
2007-03-13,5627.493
2007-03-14,5569.0537
2007-03-15,5408.7393
2007-03-16,5439.973
2007-03-19,5443.95
2007-03-20,5502.2563
2007-03-21,5527.926
2007-03-22,5569.5503
2007-03-23,5652.7964
2007-03-26,5665.5894
2007-03-27,5717.171
2007-03-28,5686.6274
2007-03-29,5637.74
2007-03-30,5655.201
2007-04-02,5708.3623
2007-04-03,5701.1875
2007-04-04,5762.948
2007-04-05,5814.5547
2007-04-10,5816.063
2007-04-11,5835.993
2007-04-12,5843.9263
2007-04-13,5829.5684
2007-04-16,5848.3022
2007-04-17,5904.9365
2007-04-18,5935.908
2007-04-19,5940.9165
2007-04-20,5862.6426
2007-04-23,5948.68
2007-04-24,6034.506
2007-04-25,6007.3594
2007-04-26,5997.6636
2007-04-27,6080.099
2007-04-30,6038.349
2007-05-02,6008.828
2007-05-03,6085.6816
2007-05-04,6121.261
2007-05-07,6114.823
2007-05-08,6186.5845
2007-05-09,6162.836
2007-05-10,6176.261
2007-05-11,6149.0615
2007-05-14,6054.5776
2007-05-15,6176.3887
2007-05-16,6103.315
2007-05-17,6143.603
2007-05-18,6148.507
2007-05-21,6120.8774
2007-05-22,6199.0957
2007-05-23,6201.282
2007-05-24,6201.25
2007-05-25,6176.016
2007-05-28,6122.423
2007-05-29,6171.004
2007-05-30,6186.3813
2007-05-31,6118.2344
2007-06-01,6194.051
2007-06-04,6222.1274
2007-06-05,6269.24
2007-06-06,6250.809
2007-06-07,6178.885
2007-06-08,6082.8477
2007-06-11,5970.1147
2007-06-12,6036.8374
2007-06-13,6025.626
2007-06-14,5972.445
2007-06-15,6074.3784
2007-06-18,6169.159
2007-06-19,6226.758
2007-06-20,6199.4478
2007-06-21,6203.01
2007-06-22,6147.4727
2007-06-25,6144.626
2007-06-26,6071.5776
2007-06-27,6061.6606
2007-06-28,6017.8013
2007-06-29,6097.0503
2007-07-02,6135.278
2007-07-03,6123.936
2007-07-04,6180.463
2007-07-05,6187.651
2007-07-06,6222.1807
2007-07-09,6166.6855
2007-07-10,6227.9414
2007-07-11,6212.472
2007-07-12,6069.393
2007-07-13,6130.108
2007-07-16,6267.992
2007-07-17,6241.9307
2007-07-18,6215.118
2007-07-19,6144.775
2007-07-20,6152.0566
2007-07-23,6155.223
2007-07-24,6033.5796
2007-07-25,6092.7554
2007-07-26,5979.7114
2007-07-27,5956.657
2007-07-30,5704.9175
2007-07-31,5728.376
2007-08-01,5784.03
2007-08-02,5699.8203
2007-08-03,5787.0225
2007-08-06,5787.256
2007-08-07,5605.0264
2007-08-08,5687.6553
2007-08-09,5752.002
