Date,Predict
2007-01-03,12495.745
2007-01-04,12495.745
2007-01-05,12509.335
2007-01-08,12516.209
2007-01-09,12428.384
2007-01-10,12461.059
2007-01-11,12453.308
2007-01-12,12479.203
2007-01-16,12550.75
2007-01-17,12591.855
2007-01-18,12607.45
2007-01-19,12611.045
2007-01-22,12603.926
2007-01-23,12602.328
2007-01-24,12513.975
2007-01-25,12570.423
2007-01-26,12657.69
2007-01-29,12539.392
2007-01-30,12523.244
2007-01-31,12528.364
2007-02-01,12556.108
2007-02-02,12653.127
2007-02-05,12709.705
2007-02-06,12689.295
2007-02-07,12697.537
2007-02-08,12692.742
2007-02-09,12701.543
2007-02-12,12673.933
2007-02-13,12616.087
2007-02-14,12585.217
2007-02-15,12687.177
2007-02-16,12777.52
2007-02-20,12799.941
2007-02-21,12802.659
2007-02-22,12818.677
2007-02-23,12771.593
2007-02-26,12715.75
2007-02-27,12683.77
2007-02-28,12664.8125
2007-03-01,12251.878
2007-03-02,12302.359
2007-03-05,12270.665
2007-03-06,12149.004
2007-03-07,12088.851
2007-03-08,12241.458
2007-03-09,12230.373
2007-03-12,12298.842
2007-03-13,12312.413
2007-03-14,12344.117
2007-03-15,12112.086
2007-03-16,12170.457
2007-03-19,12197.339
2007-03-20,12147.81
2007-03-21,12263.722
2007-03-22,12325.67
2007-03-23,12482.955
2007-03-26,12496.702
2007-03-27,12516.529
2007-03-28,12504.774
2007-03-29,12432.852
2007-03-30,12338.127
2007-04-02,12385.408
2007-04-03,12390.998
2007-04-04,12415.46
2007-04-05,12547.456
2007-04-09,12559.292
2007-04-10,12598.644
2007-04-11,12604.485
2007-04-12,12609.109
2007-04-13,12519.792
2007-04-16,12587.933
2007-04-17,12647.573
2007-04-18,12755.392
2007-04-19,12806.889
2007-04-20,12835.574
2007-04-23,12846.954
2007-04-24,12997.363
2007-04-25,12955.479
2007-04-26,12987.282
2007-04-27,13124.882
2007-04-30,13140.109
2007-05-01,13156.312
2007-05-02,13098.75
2007-05-03,13170.069
2007-05-04,13242.942
2007-05-07,13279.467
2007-05-08,13300.575
2007-05-09,13345.9795
2007-05-10,13337.172
2007-05-11,13395.791
2007-05-14,13248.506
2007-05-15,13362.44
2007-05-16,13382.747
2007-05-17,13410.925
2007-05-18,13524.189
2007-05-21,13513.587
2007-05-22,13594.067
2007-05-23,13582.475
2007-05-24,13578.305
2007-05-25,13559.983
2007-05-29,13478.987
2007-05-30,13544.597
2007-05-31,13555.253
2007-06-01,13670.909
2007-06-04,13666.578
2007-06-05,13705.298
2007-06-06,13711.31
2007-06-07,13628.359
2007-06-08,13500.612
2007-06-11,13303.593
2007-06-12,13460.716
2007-06-13,13461.367
2007-06-14,13324.134
2007-06-15,13519.641
2007-06-18,13594.1875
2007-06-19,13676.939
2007-06-20,13649.481
2007-06-21,13674.486
2007-06-22,13523.889
2007-06-25,13582.516
2007-06-26,13396.835
2007-06-27,13389.088
2007-06-28,13373.597
2007-06-29,13464.472
2007-07-02,13459.582
2007-07-03,13446.522
2007-07-05,13568.954
2007-07-06,13613.87
2007-07-09,13596.559
2007-07-10,13650.467
2007-07-11,13686.579
2007-07-12,13537.6875
2007-07-13,13616.975
2007-07-16,13899.08
2007-07-17,13946.622
2007-07-18,13991.803
2007-07-19,13994.913
2007-07-20,13958.402
2007-07-23,14040.921
2007-07-24,13890.9
2007-07-25,13980.664
2007-07-26,13756.615
2007-07-27,13821.863
2007-07-30,13509.85
2007-07-31,13302.66
2007-08-01,13397.407
2007-08-02,13247.393
2007-08-03,13394.558
2007-08-06,13499.377
2007-08-07,13219.365
2007-08-08,13504.869
2007-08-09,13534.504
2007-08-10,13690.339
2007-08-13,13307.052
2007-08-14,13274.613
2007-08-15,13272.086
2007-08-16,13057.87
2007-08-17,12895.33
2007-08-20,12883.857
2007-08-21,13114.535
2007-08-22,13156.15
2007-08-23,13124.303
2007-08-24,13273.641
2007-08-27,13268.137
2007-08-28,13413.964
2007-08-29,13355.037
2007-08-30,13079.04
2007-08-31,13324.424
2007-09-04,13277.22
2007-09-05,13395.128
2007-09-06,13479.898
2007-09-07,13343.01
2007-09-10,13397.487
2007-09-11,13152.484
2007-09-12,13165.52
2007-09-13,13334.8545
2007-09-14,13328.908
2007-09-17,13458.356
2007-09-18,13478.996
2007-09-19,13440.077
2007-09-20,13779.103
2007-09-21,13852.447
2007-09-24,13806.983
2007-09-25,13860.549
2007-09-26,13796.433
2007-09-27,13818.02
2007-09-28,13918.879
2007-10-01,13952.513
2007-10-02,13935.166
2007-10-03,14127.983
2007-10-04,14079.333
2007-10-05,14007.844
2007-10-08,14009.033
2007-10-09,14106.034
2007-10-10,14084.241
2007-10-11,14206.489
2007-10-12,14119.882
2007-10-15,14056.6455
2007-10-16,14133.314
2007-10-17,14026.426
2007-10-18,13960.285
2007-10-19,13927.306
2007-10-22,13927.878
2007-10-23,13559.0
2007-10-24,13606.524
2007-10-25,13713.712
2007-10-26,13715.993
2007-10-29,13713.792
2007-10-30,13846.239
2007-10-31,13908.319
2007-11-01,13830.855
2007-11-02,13963.809
2007-11-05,13607.5
2007-11-06,13630.287
2007-11-07,13579.8125
2007-11-08,13684.699
2007-11-09,13336.25
2007-11-12,13297.605
2007-11-13,13075.125
2007-11-14,13010.996
2007-11-15,13342.038
2007-11-16,13267.033
