Date,Predict
2011-08-15,2349.6455
2011-08-16,2349.6455
2011-08-17,2340.349
2011-08-18,2343.5437
2011-08-19,2343.367
2011-08-22,2251.9116
2011-08-23,2206.8083
2011-08-24,2249.216
2011-08-25,2256.7983
2011-08-26,2292.137
2011-08-29,2262.7708
2011-08-30,2256.3867
2011-08-31,2292.419
2011-09-01,2289.1895
2011-09-02,2340.4077
2011-09-05,2321.6433
2011-09-06,2242.0503
2011-09-07,2173.9575
2011-09-08,2172.9749
2011-09-09,2207.5073
2011-09-12,2211.8499
2011-09-13,2122.203
2011-09-14,2101.7798
2011-09-15,2102.1116
2011-09-16,2161.17
2011-09-19,2226.9575
2011-09-20,2187.2659
2011-09-21,2155.5378
2011-09-22,2198.861
2011-09-23,2144.4912
2011-09-26,2099.371
2011-09-27,2092.344
2011-09-28,2174.8198
2011-09-29,2232.1892
2011-09-30,2223.2588
2011-10-03,2253.3506
2011-10-04,2205.7522
2011-10-05,2182.41
2011-10-06,2183.1125
2011-10-07,2241.9683
2011-10-10,2289.3306
2011-10-11,2322.3962
2011-10-12,2345.1587
2011-10-13,2341.946
2011-10-14,2384.3206
2011-10-17,2365.704
2011-10-18,2390.4138
2011-10-19,2330.6794
2011-10-20,2346.3618
2011-10-21,2342.3242
2011-10-24,2318.7917
2011-10-25,2371.779
2011-10-26,2383.4204
2011-10-27,2368.309
2011-10-28,2384.3713
2011-10-31,2486.8115
2011-11-01,2454.5784
2011-11-02,2376.803
2011-11-03,2314.4885
2011-11-04,2294.3547
2011-11-07,2379.5166
2011-11-08,2311.5334
2011-11-09,2315.1067
2011-11-10,2348.239
2011-11-11,2268.6448
2011-11-14,2298.337
2011-11-15,2360.3135
2011-11-16,2310.8162
2011-11-17,2289.8037
2011-11-18,2300.5083
2011-11-21,2276.7524
2011-11-22,2270.924
2011-11-23,2226.7861
2011-11-24,2186.8616
2011-11-25,2174.7793
2011-11-28,2160.4954
2011-11-29,2191.0596
2011-11-30,2261.7732
2011-12-01,2264.1147
2011-12-02,2356.389
2011-12-05,2358.7346
2011-12-06,2381.171
2011-12-07,2379.788
2011-12-08,2399.6936
2011-12-09,2381.0945
2011-12-12,2313.203
2011-12-13,2359.6465
2011-12-14,2308.1804
2011-12-15,2292.6182
2011-12-16,2259.7793
2011-12-19,2273.7998
2011-12-20,2243.9944
2011-12-21,2249.709
2011-12-22,2311.901
2011-12-23,2293.1833
2011-12-27,2320.6396
2011-12-28,2327.411
2011-12-29,2324.7563
2011-12-30,2300.0674
2012-01-02,2329.774
2012-01-03,2345.546
2012-01-04,2395.9966
2012-01-05,2400.6226
2012-01-06,2376.8877
2012-01-09,2347.7761
2012-01-10,2333.279
2012-01-11,2328.207
2012-01-12,2370.3315
2012-01-13,2368.4275
2012-01-16,2382.113
2012-01-17,2356.7686
2012-01-18,2395.315
2012-01-19,2416.5166
2012-01-20,2415.3616
2012-01-23,2447.6958
2012-01-24,2439.732
2012-01-25,2446.6191
2012-01-26,2445.146
2012-01-27,2442.2446
2012-01-30,2461.9382
2012-01-31,2439.8267
2012-02-01,2431.628
2012-02-02,2439.1987
2012-02-03,2484.578
2012-02-06,2482.2495
2012-02-07,2510.7742
2012-02-08,2513.8167
2012-02-09,2520.0918
2012-02-10,2517.045
2012-02-13,2512.6711
2012-02-14,2496.4631
2012-02-15,2491.3345
2012-02-16,2502.784
2012-02-17,2486.681
2012-02-20,2504.7214
2012-02-21,2529.4985
2012-02-22,2548.6602
2012-02-23,2542.0474
2012-02-24,2518.0515
2012-02-27,2516.2224
2012-02-28,2518.0955
2012-02-29,2519.2246
2012-03-01,2525.9543
2012-03-02,2511.447
2012-03-05,2546.6692
2012-03-06,2537.7988
2012-03-07,2523.7273
2012-03-08,2454.423
2012-03-09,2476.5215
2012-03-12,2518.0251
2012-03-13,2513.4316
2012-03-14,2524.5776
2012-03-15,2559.3088
2012-03-16,2568.2375
2012-03-19,2587.328
2012-03-20,2595.6511
2012-03-21,2594.7705
2012-03-22,2576.8909
2012-03-23,2559.2468
2012-03-26,2530.306
2012-03-27,2530.578
2012-03-28,2543.2175
