Date,Predict
2007-01-02,6194.313
2007-01-03,6194.313
2007-01-04,6286.73
2007-01-05,6295.056
2007-01-08,6262.1797
2007-01-09,6193.5967
2007-01-10,6167.1006
2007-01-11,6169.0435
2007-01-12,6132.8745
2007-01-15,6203.8354
2007-01-16,6212.952
2007-01-17,6238.066
2007-01-18,6189.0933
2007-01-19,6177.634
2007-01-22,6183.567
2007-01-23,6211.108
2007-01-24,6191.8564
2007-01-25,6201.2754
2007-01-26,6290.738
2007-01-29,6244.0146
2007-01-30,6201.685
2007-01-31,6213.874
2007-02-01,6216.0254
2007-02-02,6176.201
2007-02-05,6257.253
2007-02-06,6286.73
2007-02-07,6293.925
2007-02-08,6323.1387
2007-02-09,6347.03
2007-02-12,6323.2417
2007-02-13,6360.7363
2007-02-14,6330.551
2007-02-15,6359.7056
2007-02-16,6400.354
2007-02-19,6412.8496
2007-02-20,6398.5986
2007-02-21,6424.319
2007-02-22,6391.165
2007-02-23,6334.258
2007-02-26,6358.778
2007-02-27,6380.0215
2007-02-28,6414.2964
2007-03-01,6261.256
2007-03-02,6143.9023
2007-03-05,6087.287
2007-03-06,6087.491
2007-03-07,6028.9897
2007-03-08,6110.2217
2007-03-09,6128.5874
2007-03-12,6201.378
2007-03-13,6219.304
2007-03-14,6207.1123
2007-03-15,6133.385
2007-03-16,5970.142
2007-03-19,6104.8184
2007-03-20,6102.1675
2007-03-21,6162.193
2007-03-22,6193.802
2007-03-23,6231.195
2007-03-26,6294.028
2007-03-27,6316.037
2007-03-28,6267.211
2007-03-29,6267.929
2007-03-30,6241.861
2007-04-02,6300.403
2007-04-03,6283.749
2007-04-04,6291.458
2007-04-05,6343.527
2007-04-10,6342.085
2007-04-11,6375.6885
2007-04-12,6396.8423
2007-04-13,6392.1973
2007-04-16,6395.3975
2007-04-17,6442.9287
2007-04-18,6498.631
2007-04-19,6479.567
2007-04-20,6429.4863
2007-04-23,6420.392
2007-04-24,6468.176
2007-04-25,6460.827
2007-04-26,6408.925
2007-04-27,6442.412
2007-04-30,6450.169
2007-05-01,6397.773
2007-05-02,6429.2803
2007-05-03,6398.701
2007-05-04,6465.796
2007-05-08,6521.0283
2007-05-09,6589.4766
2007-05-10,6534.1016
2007-05-11,6533.272
2007-05-14,6506.821
2007-05-15,6549.986
2007-05-16,6539.3955
2007-05-17,6552.998
2007-05-18,6543.548
2007-05-21,6564.112
2007-05-22,6628.19
2007-05-23,6623.9204
2007-05-24,6592.4927
2007-05-25,6602.687
2007-05-29,6549.6743
2007-05-30,6554.97
2007-05-31,6592.3887
2007-06-01,6587.812
2007-06-04,6607.889
2007-06-05,6665.498
2007-06-06,6652.3623
2007-06-07,6619.756
2007-06-08,6505.3687
2007-06-11,6487.129
2007-06-12,6487.129
2007-06-13,6551.8555
2007-06-14,6502.9844
2007-06-15,6543.652
2007-06-18,6637.5645
2007-06-19,6723.641
2007-06-20,6693.4585
2007-06-21,6637.878
2007-06-22,6636.9395
2007-06-25,6581.4697
2007-06-26,6551.751
2007-06-27,6573.569
2007-06-28,6543.341
2007-06-29,6510.4487
2007-07-02,6555.8013
2007-07-03,6593.8447
2007-07-04,6575.8555
2007-07-05,6627.0444
2007-07-06,6661.744
2007-07-09,6622.255
2007-07-10,6679.4756
2007-07-11,6703.064
2007-07-12,6617.778
2007-07-13,6601.335
2007-07-16,6687.406
2007-07-17,6707.241
2007-07-18,6687.406
2007-07-19,6647.151
2007-07-20,6551.4395
2007-07-23,6627.462
2007-07-24,6570.2437
2007-07-25,6611.0117
2007-07-26,6480.4995
2007-07-27,6434.552
2007-07-30,6225.4546
2007-07-31,6188.582
2007-08-01,6179.271
2007-08-02,6337.347
2007-08-03,6224.839
2007-08-06,6275.8374
2007-08-07,6197.896
2007-08-08,6161.886
2007-08-09,6284.5713
2007-08-10,6372.182
2007-08-13,6245.964
2007-08-14,6008.272
