Date,Predict
2007-01-01,41901.36
2007-01-02,41901.36
2007-01-03,41901.36
2007-01-04,42530.273
2007-01-05,42358.42
2007-01-08,42256.53
2007-01-09,42215.355
2007-01-10,42154.62
2007-01-11,41847.812
2007-01-12,41975.492
2007-01-15,42411.938
2007-01-16,42782.34
2007-01-17,42797.77
2007-01-18,42639.34
2007-01-19,42380.03
2007-01-22,42190.65
2007-01-23,42821.426
2007-01-24,42554.973
2007-01-25,42742.215
2007-01-26,43117.617
2007-01-29,42733.992
2007-01-30,42709.297
2007-01-31,42678.438
2007-02-01,42769.992
2007-02-02,43003.473
2007-02-05,43097.055
2007-02-06,43070.32
2007-02-07,43236.887
2007-02-08,43189.594
2007-02-09,43394.17
2007-02-12,43138.184
2007-02-13,43117.617
2007-02-14,43090.887
2007-02-15,43269.785
2007-02-16,43486.676
2007-02-19,43367.445
2007-02-20,43453.785
2007-02-21,43505.176
2007-02-22,43221.47
2007-02-23,42912.97
2007-02-26,43084.715
2007-02-27,43080.6
2007-02-28,43122.76
2007-03-01,41398.77
2007-03-02,41615.07
2007-03-05,41165.938
2007-03-06,40277.508
2007-03-07,40944.395
2007-03-08,40968.098
2007-03-09,41010.344
2007-03-12,41305.023
2007-03-13,41514.137
2007-03-14,41203.03
2007-03-15,40161.004
2007-03-16,40333.18
2007-03-19,40377.508
2007-03-20,40287.816
2007-03-21,40890.81
2007-03-22,40991.8
2007-03-23,41722.18
2007-03-26,41927.098
2007-03-27,42286.375
2007-03-28,42048.59
2007-03-29,41691.29
2007-03-30,41867.38
2007-04-02,42251.38
2007-04-03,42310.05
2007-04-04,42730.902
2007-04-05,42987.02
2007-04-06,42929.426
2007-04-09,42960.277
2007-04-10,42960.277
2007-04-11,43052.832
2007-04-12,43397.254
2007-04-13,43283.15
2007-04-16,43364.363
2007-04-17,43606.914
2007-04-18,43830.9
2007-04-19,44041.453
2007-04-20,43426.035
2007-04-23,43807.27
2007-04-24,44002.42
2007-04-25,43992.16
2007-04-26,43941.832
2007-04-27,44530.098
2007-04-30,44387.445
2007-05-01,44197.53
2007-05-02,44287.875
2007-05-03,44471.61
2007-05-04,44563.965
2007-05-07,44311.492
2007-05-08,44574.223
2007-05-09,44454.16
2007-05-10,44373.08
2007-05-11,44522.92
2007-05-14,43776.45
2007-05-15,44484.945
2007-05-16,44060.965
2007-05-17,44496.242
2007-05-18,44336.12
2007-05-21,44594.75
2007-05-22,44276.586
2007-05-23,44126.684
2007-05-24,43837.06
2007-05-25,43894.582
2007-05-28,43342.777
2007-05-29,43587.39
2007-05-30,43734.32
2007-05-31,43245.113
2007-06-04,43771.31
2007-06-05,43470.23
2007-06-06,43336.605
2007-06-07,43425.008
2007-06-08,43031.242
2007-06-11,42241.086
2007-06-12,42539.535
2007-06-13,42282.258
2007-06-14,41999.168
2007-06-15,42763.82
2007-06-18,43273.9
2007-06-19,43614.105
2007-06-20,43276.98
2007-06-21,43527.78
2007-06-22,43028.156
2007-06-25,42980.848
2007-06-26,42403.703
2007-06-27,42372.83
2007-06-28,41975.492
2007-06-29,42226.68
2007-07-02,42298.73
2007-07-03,42436.637
2007-07-04,42672.26
2007-07-05,42945.88
2007-07-06,43021.99
2007-07-09,42506.605
2007-07-10,42902.688
2007-07-11,43049.75
2007-07-12,42250.35
2007-07-13,42396.496
2007-07-16,42969.535
2007-07-17,42814.23
2007-07-18,42760.74
2007-07-19,42286.375
2007-07-20,42465.45
2007-07-23,42605.383
2007-07-24,41986.812
2007-07-25,42133.004
2007-07-26,41148.418
2007-07-27,41155.633
2007-07-30,39764.016
2007-07-31,40100.17
2007-08-01,40280.6
2007-08-02,39821.766
2007-08-03,40133.164
2007-08-06,40235.24
2007-08-07,39418.527
2007-08-08,39951.695
2007-08-09,40501.203
2007-08-10,40912.453
2007-08-13,39866.105
2007-08-14,39794.953
2007-08-16,39662.95
2007-08-17,38717.098
2007-08-20,37980.492
2007-08-21,39472.16
2007-08-22,39408.21
2007-08-23,39477.312
2007-08-24,40302.254
2007-08-27,39917.664
2007-08-28,40514.61
2007-08-29,40292.973
2007-08-30,39324.664
2007-08-31,40195.03
2007-09-03,40502.24
2007-09-04,40718.7
2007-09-05,40667.16
2007-09-06,40640.367
2007-09-07,39958.914
2007-09-10,39706.26
2007-09-11,38962.613
2007-09-12,39089.496
2007-09-13,39275.16
2007-09-14,39352.516
2007-09-17,39774.33
2007-09-18,39148.293
2007-09-19,38850.17
2007-09-20,40652.734
2007-09-21,40471.316
2007-09-24,40351.734
2007-09-25,40392.973
2007-09-26,40229.05
2007-09-27,40318.746
2007-09-28,40798.06
2007-10-01,40465.13
2007-10-02,40309.46
2007-10-03,41047.44
2007-10-04,40889.777
2007-10-05,40710.453
2007-10-08,41088.66
2007-10-09,41327.688
2007-10-10,41131.934
2007-10-11,41586.24
2007-10-12,41403.92
2007-10-15,41202.0
2007-10-16,41444.09
2007-10-17,40858.863
2007-10-18,40861.957
2007-10-19,40579.55
2007-10-22,40159.973
2007-10-23,39584.57
2007-10-24,39884.668
2007-10-25,39810.42
2007-10-26,39920.758
2007-10-29,40332.15
2007-10-30,40733.13
2007-10-31,40534.195
2007-11-01,40615.63
2007-11-02,40984.586
2007-11-05,39857.855
2007-11-06,39813.516
2007-11-07,40047.59
2007-11-08,40003.254
2007-11-09,39180.26
2007-11-12,39012.13
2007-11-13,37890.74
2007-11-14,38339.52
2007-11-15,39286.508
2007-11-16,38965.707
2007-11-19,38741.86
2007-11-20,38869.777
2007-11-21,38240.48
2007-11-22,37887.645
2007-11-23,37841.215
2007-11-26,37759.71
2007-11-27,38638.695
2007-11-28,37851.527
2007-11-29,38227.07
2007-11-30,39058.547
2007-12-03,39055.453
2007-12-04,39215.336
2007-12-05,39148.293
2007-12-06,39079.176
2007-12-07,39649.547
2007-12-10,39713.484
2007-12-11,39577.355
2007-12-12,40046.56
2007-12-13,39412.336
2007-12-14,39562.918
2007-12-17,39396.863
2007-12-18,38848.11
2007-12-19,38545.848
2007-12-20,38470.54
2007-12-21,38478.797
2007-12-27,38494.266
2007-12-28,38752.176
2008-01-02,38607.754
2008-01-03,38822.32
2008-01-04,38424.117
2008-01-07,38363.246
2008-01-08,37735.98
2008-01-09,38070.254
2008-01-10,37741.145
2008-01-11,37757.65
2008-01-14,37627.656
2008-01-15,37691.617
2008-01-16,37823.676
2008-01-17,36827.1
2008-01-18,37140.707
2008-01-21,36521.777
2008-01-22,35685.39
2008-01-23,32514.72
2008-01-24,35043.14
2008-01-25,34229.16
2008-01-28,34969.965
2008-01-29,33840.918
2008-01-30,34740.16
2008-01-31,34627.84
2008-02-01,34523.777
2008-02-04,34712.332
2008-02-05,35130.754
2008-02-06,34973.062
2008-02-07,33640.16
2008-02-08,33956.242
2008-02-11,33699.867
2008-02-12,32971.293
2008-02-13,33276.855
2008-02-14,33773.99
2008-02-15,34528.93
2008-02-18,34467.117
2008-02-19,34059.223
2008-02-20,34059.223
2008-02-21,34055.098
2008-02-22,34297.14
2008-02-25,34109.684
2008-02-26,34019.062
2008-02-27,34325.984
2008-02-28,34823.63
2008-02-29,34615.477
2008-03-03,34127.188
2008-03-04,33343.74
2008-03-05,33402.4
2008-03-06,33109.14
2008-03-07,33604.133
2008-03-10,32769.707
2008-03-11,32277.283
2008-03-12,32066.645
2008-03-13,33118.4
2008-03-14,32267.01
2008-03-18,32064.588
2008-03-19,31181.656
2008-03-20,31896.121
2008-03-25,30634.072
2008-03-26,31579.85
2008-03-27,31472.064
2008-03-28,31358.143
2008-03-31,31872.496
2008-04-01,31593.191
2008-04-02,31649.66
2008-04-03,32964.09
2008-04-04,33438.418
2008-04-07,33410.633
2008-04-08,33820.324
2008-04-09,33607.223
2008-04-10,33760.61
2008-04-11,33836.797
2008-04-14,33943.887
2008-04-15,33040.215
2008-04-16,33285.082
2008-04-17,33233.633
2008-04-18,33579.426
2008-04-21,33659.723
2008-04-22,34034.5
2008-04-23,33768.848
2008-04-24,33760.61
2008-04-25,33608.25
2008-04-28,33926.375
2008-04-29,34356.887
2008-04-30,34075.703
2008-05-02,34066.434
2008-05-05,34595.9
2008-05-06,34755.61
2008-05-07,34691.73
2008-05-08,34658.754
2008-05-09,34446.51
2008-05-12,34115.86
2008-05-13,34005.668
2008-05-14,34159.125
2008-05-15,34191.047
2008-05-16,34511.414
2008-05-19,34536.145
2008-05-20,33768.848
2008-05-21,33677.223
2008-05-22,33406.508
2008-05-23,33024.78
2008-05-26,33501.203
2008-05-27,33006.27
2008-05-28,33129.72
2008-05-29,33033.01
2008-05-30,33137.95
2008-06-02,33089.59
2008-06-03,33365.35
2008-06-04,32843.754
2008-06-05,32881.81
2008-06-06,32729.604
2008-06-09,32945.582
2008-06-10,31817.037
2008-06-11,31699.975
2008-06-12,31591.143
2008-06-13,30955.996
2008-06-16,30894.469
2008-06-17,31110.87
2008-06-18,31016.506
2008-06-19,30942.666
2008-06-20,30471.133
2008-06-23,30473.186
2008-06-24,29731.896
2008-06-25,29847.523
2008-06-26,29809.658
2008-06-27,29903.81
2008-06-30,29371.898
2008-07-01,29257.408
2008-07-02,29367.809
2008-07-03,29019.338
2008-07-04,28719.113
2008-07-07,29271.719
2008-07-08,28877.365
2008-07-09,28465.006
2008-07-10,28622.146
2008-07-11,28408.902
2008-07-14,28681.344
2008-07-15,27951.162
2008-07-16,27572.334
2008-07-17,27157.29
2008-07-18,27570.299
2008-07-21,27581.494
2008-07-22,28212.082
2008-07-23,28122.373
2008-07-24,28318.129
2008-07-25,29034.656
2008-07-28,28540.512
2008-07-29,28659.912
2008-07-30,28151.934
2008-07-31,28647.666
2008-08-01,28591.533
2008-08-04,28193.73
2008-08-05,28116.256
2008-08-06,27999.055
2008-08-07,29001.969
2008-08-08,29042.832
2008-08-11,29128.652
2008-08-12,29316.693
2008-08-13,29556.977
2008-08-14,29311.586
2008-08-18,29012.186
2008-08-19,28800.781
2008-08-20,28669.098
2008-08-21,28472.15
2008-08-22,28098.93
2008-08-25,27956.262
2008-08-26,28083.639
2008-08-27,27829.94
2008-08-28,28029.625
2008-08-29,28051.027
2008-09-01,28847.752
2008-09-02,28689.51
2008-09-03,28891.666
2008-09-04,29170.545
2008-09-05,29186.895
2008-09-08,28089.756
2008-09-09,28628.271
2008-09-10,28479.293
2008-09-11,28359.945
2008-09-12,28162.129
2008-09-15,28407.887
2008-09-16,27651.734
2008-09-17,27080.025
2008-09-18,27141.02
2008-09-19,25655.902
2008-09-22,26286.059
2008-09-23,27884.943
2008-09-24,27396.287
2008-09-25,27145.084
2008-09-26,26948.926
2008-09-29,27322.027
2008-09-30,27019.041
2008-10-01,25788.514
2008-10-02,26013.375
2008-10-03,25820.914
2008-10-06,25421.18
2008-10-07,25064.396
2008-10-08,24357.17
2008-10-09,22723.818
2008-10-10,22777.893
2008-10-13,21106.299
2008-10-14,20852.902
2008-10-15,23532.18
2008-10-16,23237.018
2008-10-17,21165.96
2008-10-20,20978.072
2008-10-21,22270.652
2008-10-22,22523.639
2008-10-23,21466.523
2008-10-24,21225.645
2008-10-27,20172.723
2008-10-28,19128.145
2008-10-29,19789.992
2008-10-30,19477.037
2008-10-31,20765.525
2008-11-03,20664.293
2008-11-04,21726.611
2008-11-05,21755.527
2008-11-06,23331.352
2008-11-07,22102.812
2008-11-10,21640.879
2008-11-11,21937.088
2008-11-12,21806.39
2008-11-13,21152.04
2008-11-14,20067.82
2008-11-17,21153.033
2008-11-18,20817.154
2008-11-19,20196.479
2008-11-20,20146.986
2008-11-21,19578.668
2008-11-24,19336.025
2008-11-25,18912.623
2008-11-26,19667.516
2008-11-27,19640.857
2008-11-28,20169.752
2008-12-01,20177.67
2008-12-02,19869.05
2008-12-03,18585.383
2008-12-04,19130.117
2008-12-05,19204.965
2008-12-08,18721.906
2008-12-09,18824.123
2008-12-10,19165.566
2008-12-11,19731.709
2008-12-12,19763.318
2008-12-15,19042.498
2008-12-16,19517.486
2008-12-17,19086.793
2008-12-18,19520.447
2008-12-19,19402.082
2008-12-22,19202.01
2008-12-23,19632.96
2008-12-29,19238.46
2008-12-30,19322.225
2009-01-02,19337.01
2009-01-05,19745.537
2009-01-06,20196.479
2009-01-07,20361.877
2009-01-08,20760.56
2009-01-09,20405.479
2009-01-12,20731.775
2009-01-13,20030.227
2009-01-14,19859.166
2009-01-15,19694.178
2009-01-16,18800.53
2009-01-19,18887.053
2009-01-20,18939.182
2009-01-21,18446.014
2009-01-22,18026.586
2009-01-23,18087.285
2009-01-26,17340.783
2009-01-27,17283.268
2009-01-28,17917.97
2009-01-29,18009.945
2009-01-30,18305.77
2009-02-02,18107.848
2009-02-03,17832.885
2009-02-04,17692.14
2009-02-05,17860.266
2009-02-06,17798.664
2009-02-09,18226.379
2009-02-10,18368.521
2009-02-11,18548.076
2009-02-12,18099.035
2009-02-13,18057.912
2009-02-16,17961.996
2009-02-17,17682.371
2009-02-18,17365.16
2009-02-19,16922.045
2009-02-20,16733.465
2009-02-23,16309.464
2009-02-24,15987.11
2009-02-25,15282.745
2009-02-26,15887.534
2009-02-27,15533.249
2009-03-02,15549.643
2009-03-03,15063.407
2009-03-04,14595.02
2009-03-05,14382.431
2009-03-06,14422.626
2009-03-09,13671.288
2009-03-10,13276.695
2009-03-11,12904.06
2009-03-12,13703.666
2009-03-13,13708.428
2009-03-16,14388.171
2009-03-17,14353.727
2009-03-18,14353.727
2009-03-19,14562.441
2009-03-20,14801.198
2009-03-23,14817.512
2009-03-24,15425.29
2009-03-25,16253.271
2009-03-26,15908.798
2009-03-27,16447.12
2009-03-30,16660.617
2009-03-31,16160.308
2009-04-01,15512.037
2009-04-02,15914.598
2009-04-03,16590.715
2009-04-06,16784.963
2009-04-07,17188.748
2009-04-08,16877.31
2009-04-09,16324.967
2009-04-14,17304.71
2009-04-15,17666.742
2009-04-16,17661.857
2009-04-17,18112.746
2009-04-20,18444.05
2009-04-21,18502.926
2009-04-22,17864.176
2009-04-23,17849.506
2009-04-24,18062.807
2009-04-27,18307.73
2009-04-28,18487.225
2009-04-29,18593.238
2009-04-30,18790.701
2009-05-04,19147.84
2009-05-05,19416.873
2009-05-06,19907.602
2009-05-07,19703.066
2009-05-08,20390.613
2009-05-11,20113.336
2009-05-12,20733.762
2009-05-13,20078.701
2009-05-14,20594.846
2009-05-15,19340.953
2009-05-18,19603.344
2009-05-19,18972.629
2009-05-20,20261.832
2009-05-21,20186.58
2009-05-22,20298.477
2009-05-25,19962.973
2009-05-26,20102.45
2009-05-27,19865.098
2009-05-28,20445.123
2009-05-29,20109.377
2009-06-01,20380.703
2009-06-02,19929.143
2009-06-03,20544.97
2009-06-04,20556.871
2009-06-05,20154.566
2009-06-08,20166.217
2009-06-09,20206.46
2009-06-10,19928.957
2009-06-11,20260.484
2009-06-12,20334.168
2009-06-15,20617.725
2009-06-16,20418.582
2009-06-17,19811.227
2009-06-18,19632.594
2009-06-19,19074.045
2009-06-22,19281.607
2009-06-23,19394.164
2009-06-24,18600.406
2009-06-25,18524.576
2009-06-26,19091.31
2009-06-29,18992.93
2009-06-30,18885.557
2009-07-01,19146.027
2009-07-02,19113.492
2009-07-03,19488.066
2009-07-06,18981.15
2009-07-07,18994.496
2009-07-08,18617.256
2009-07-09,18384.488
2009-07-10,18018.18
2009-07-13,18224.967
2009-07-14,17910.133
2009-07-15,18948.035
2009-07-16,18511.307
2009-07-17,19179.354
2009-07-20,19280.78
2009-07-21,19329.697
2009-07-22,19560.629
2009-07-23,19870.324
2009-07-24,19964.662
2009-07-27,20277.982
2009-07-28,20197.646
2009-07-29,20380.803
2009-07-30,20050.357
2009-07-31,20317.266
2009-08-03,20849.523
2009-08-04,20608.258
2009-08-05,20944.727
2009-08-06,20996.82
2009-08-07,20992.482
2009-08-10,21157.668
2009-08-11,21429.867
2009-08-12,21603.576
2009-08-13,21296.795
2009-08-14,21573.492
2009-08-17,21853.463
2009-08-18,21579.48
2009-08-19,20992.363
2009-08-20,21276.19
2009-08-21,21161.21
2009-08-24,21422.11
2009-08-25,21922.61
2009-08-26,22380.475
2009-08-27,22499.459
2009-08-28,22580.324
2009-08-31,22500.408
2009-09-01,22698.326
2009-09-02,22446.045
2009-09-03,21992.172
2009-09-04,21800.016
2009-09-07,21962.629
2009-09-08,22240.281
2009-09-09,22589.01
2009-09-10,22568.596
2009-09-11,22828.016
2009-09-14,22875.93
2009-09-15,23065.848
2009-09-16,23055.783
2009-09-17,23134.824
2009-09-18,23493.494
2009-09-21,23611.557
2009-09-22,23512.05
2009-09-23,23074.393
2009-09-24,23093.477
2009-09-25,23266.168
2009-09-28,22979.684
2009-09-29,23137.674
2009-09-30,23506.492
2009-10-01,23594.082
2009-10-02,23500.768
2009-10-05,23080.049
2009-10-06,22678.703
2009-10-07,22856.875
2009-10-08,23487.57
2009-10-09,23442.066
2009-10-12,23692.629
2009-10-13,23800.082
2009-10-14,24172.785
2009-10-15,23959.215
2009-10-16,24381.584
2009-10-19,24373.049
2009-10-20,24184.256
2009-10-21,24459.943
2009-10-22,24260.506
2009-10-23,24207.951
2009-10-26,23843.172
2009-10-27,23448.371
2009-10-28,23027.96
2009-10-29,22855.543
2009-10-30,22341.234
2009-11-02,22798.486
2009-11-03,21908.287
2009-11-04,22126.932
2009-11-05,22159.166
2009-11-06,22141.955
2009-11-09,22616.861
2009-11-10,22825.281
2009-11-11,23194.047
2009-11-12,23231.697
2009-11-13,23236.443
2009-11-16,23161.996
2009-11-17,23478.764
2009-11-18,23568.227
2009-11-19,23564.295
2009-11-20,23249.299
2009-11-23,22921.725
2009-11-24,22662.717
2009-11-25,22816.535
2009-11-26,22860.314
2009-11-27,22667.44
2009-11-30,21447.553
2009-12-01,22351.562
2009-12-02,22151.494
2009-12-03,22615.49
2009-12-04,22838.352
2009-12-07,22548.936
2009-12-08,22874.63
2009-12-09,22787.871
2009-12-10,22356.71
2009-12-11,22250.926
2009-12-14,22506.91
2009-12-15,22663.076
2009-12-16,22746.717
2009-12-17,22682.91
2009-12-18,22776.723
2009-12-21,22724.62
2009-12-22,22605.803
2009-12-23,22824.15
2009-12-28,23144.32
2009-12-29,23305.887
2009-12-30,23393.73
2010-01-04,23392.354
2010-01-05,23387.457
2010-01-06,23582.842
2010-01-07,23608.082
2010-01-08,23579.512
2010-01-11,23846.08
2010-01-12,23976.994
2010-01-13,23853.291
2010-01-14,23514.018
2010-01-15,23860.73
2010-01-18,23923.885
2010-01-19,23582.803
2010-01-20,23479.635
2010-01-21,23658.154
2010-01-22,23328.541
2010-01-25,22725.9
2010-01-26,22399.273
2010-01-27,22210.436
2010-01-28,22208.0
2010-01-29,22305.166
2010-02-01,21661.111
2010-02-02,21715.758
2010-02-03,22106.61
2010-02-04,22497.469
2010-02-05,22208.32
2010-02-08,21299.273
2010-02-09,20960.018
2010-02-10,20888.656
2010-02-11,21125.6
2010-02-12,21413.887
2010-02-15,21314.52
2010-02-16,21185.703
2010-02-17,21352.025
2010-02-18,21555.588
2010-02-19,21645.414
2010-02-22,21455.969
2010-02-23,21911.928
2010-02-24,21815.328
2010-02-25,21309.625
2010-02-26,21188.043
2010-03-01,21083.094
2010-03-02,21301.176
2010-03-03,21347.861
2010-03-04,21386.686
2010-03-05,21598.39
2010-03-08,21989.018
2010-03-09,22446.545
2010-03-10,22426.152
2010-03-11,22383.293
2010-03-12,22559.27
2010-03-15,22609.947
2010-03-16,22549.914
2010-03-17,22442.768
2010-03-18,22878.84
2010-03-19,22836.059
2010-03-22,22940.334
2010-03-23,22593.562
2010-03-24,22713.588
2010-03-25,22858.25
2010-03-26,22820.273
2010-03-29,23024.365
2010-03-30,23162.797
2010-03-31,23234.137
2010-04-01,23002.438
2010-04-06,22988.816
2010-04-07,23359.842
2010-04-08,23356.324
2010-04-09,23069.66
2010-04-12,23028.152
2010-04-13,23292.025
2010-04-14,23254.947
2010-04-15,23350.531
2010-04-16,23571.762
2010-04-19,23477.639
2010-04-20,22813.611
2010-04-21,22950.627
2010-04-22,23382.123
2010-04-23,23045.014
2010-04-26,22686.703
2010-04-27,22988.816
2010-04-28,22789.373
2010-04-29,21840.004
2010-04-30,21624.535
2010-05-03,21768.012
2010-05-04,21545.873
2010-05-05,21677.24
2010-05-06,20689.547
2010-05-07,20121.688
2010-05-10,19102.842
2010-05-11,19202.79
2010-05-12,20748.809
2010-05-13,20818.355
2010-05-14,21287.422
2010-05-17,20733.643
2010-05-18,19719.105
2010-05-19,20161.236
2010-05-20,19945.875
2010-05-21,19877.865
2010-05-24,19343.162
2010-05-25,19388.188
2010-05-26,18468.326
2010-05-27,18780.98
2010-05-28,19000.594
2010-05-31,19804.309
2010-06-01,19399.654
2010-06-02,19503.23
2010-06-03,19152.498
2010-06-04,19648.164
2010-06-07,19567.635
2010-06-08,18527.455
2010-06-09,18816.258
2010-06-10,18790.541
2010-06-11,18836.854
2010-06-14,19518.63
2010-06-15,19925.883
2010-06-16,19998.424
2010-06-17,20755.22
2010-06-18,20594.283
2010-06-21,20662.584
2010-06-22,21077.105
2010-06-23,20698.5
2010-06-24,20406.37
2010-06-25,20501.945
2010-06-28,20017.652
2010-06-29,20100.719
2010-06-30,19856.814
2010-07-01,19344.748
2010-07-02,19051.277
2010-07-05,19163.88
2010-07-06,19175.994
2010-07-07,18997.357
2010-07-08,19222.916
2010-07-09,20196.479
2010-07-12,20421.78
2010-07-13,20547.102
2010-07-14,20550.762
2010-07-15,21002.428
2010-07-16,20716.926
2010-07-19,20568.314
2010-07-20,20082.66
2010-07-21,20295.504
2010-07-22,20270.744
2010-07-23,20060.893
2010-07-26,20604.768
2010-07-27,20748.652
2010-07-29,20949.256
2010-07-30,21192.814
2010-08-02,21080.447
2010-08-03,21141.104
2010-08-04,21559.162
2010-08-05,21459.555
2010-08-06,21534.258
2010-08-09,21456.564
2010-08-10,21310.22
2010-08-11,21271.412
2010-08-12,21097.348
2010-08-13,20645.44
2010-08-16,20680.168
2010-08-17,20529.393
2010-08-18,20544.266
2010-08-19,20571.043
2010-08-20,20717.88
2010-08-23,20162.82
2010-08-24,19900.682
2010-08-25,19884.865
2010-08-26,19634.934
2010-08-27,19620.125
2010-08-30,19662.58
2010-08-31,19978.795
2010-09-01,19471.117
2010-09-02,19799.873
2010-09-03,20321.258
2010-09-06,20514.52
2010-09-07,20765.525
2010-09-08,20594.846
2010-09-09,20346.025
2010-09-10,20494.69
2010-09-13,20761.557
2010-09-14,21074.484
2010-09-15,21025.773
2010-09-16,21085.42
2010-09-17,20867.8
2010-09-20,20903.557
2010-09-21,20613.695
2010-09-22,20695.055
2010-09-23,20776.443
2010-09-24,20538.316
2010-09-27,20198.46
2010-09-28,20718.871
2010-09-29,20503.611
2010-09-30,20669.256
2010-10-01,20266.781
2010-10-04,20549.225
2010-10-05,20427.281
2010-10-06,20115.314
2010-10-07,20630.56
2010-10-08,20595.84
2010-10-11,20741.701
2010-10-12,20848.932
2010-10-13,20702.994
2010-10-14,20876.738
2010-10-15,21259.47
2010-10-18,21155.023
2010-10-19,21069.512
2010-10-20,21272.408
2010-10-21,21190.828
2010-10-22,21411.756
2010-10-25,21571.12
2010-10-26,21653.836
2010-10-27,21438.643
2010-10-28,21248.525
2010-10-29,21404.785
2010-11-01,21446.61
2010-11-02,21610.98
2010-11-03,21237.582
2010-11-04,21447.605
2010-11-05,21509.355
2010-11-08,21577.1
2010-11-09,21170.936
2010-11-10,21308.23
2010-11-11,21479.47
2010-11-12,21074.484
2010-11-15,20394.576
2010-11-16,20770.488
2010-11-17,20820.13
2010-11-18,20641.473
2010-11-19,20804.246
2010-11-22,20895.61
2010-11-23,20895.61
2010-11-24,20218.26
2010-11-25,19934.297
2010-11-26,19939.24
2010-11-29,19777.15
2010-11-30,19992.64
2010-12-01,19375.457
