Date,Predict
2013-05-06,292.1964
2013-05-07,292.1964
2013-05-08,293.3188
2013-05-09,295.7071
2013-05-10,295.5571
2013-05-13,293.3749
2013-05-14,296.38223
2013-05-15,294.98544
2013-05-16,292.57977
2013-05-17,293.18777
2013-05-20,297.68665
2013-05-21,302.32376
2013-05-22,303.4078
2013-05-23,304.53052
2013-05-24,303.20038
2013-05-27,302.2013
2013-05-28,302.7196
2013-05-29,304.15305
2013-05-30,308.5859
2013-05-31,307.22327
2013-06-03,308.69946
2013-06-04,305.58804
2013-06-05,304.45505
2013-06-06,300.94876
2013-06-07,299.49063
2013-06-13,297.0859
2013-06-14,288.04303
2013-06-17,284.54434
2013-06-18,286.84155
2013-06-19,286.17148
2013-06-20,284.99973
2013-06-21,282.8729
2013-06-24,272.37677
2013-06-25,274.89087
2013-06-26,258.02145
2013-06-27,260.2864
2013-06-28,261.66205
2013-07-01,257.68527
2013-07-02,261.39777
2013-07-03,264.6834
2013-07-04,264.45496
2013-07-05,262.5832
2013-07-08,266.81494
2013-07-09,262.83865
2013-07-10,259.11243
2013-07-11,259.91315
2013-07-12,267.02554
2013-07-15,274.8724
2013-07-16,272.89206
2013-07-17,273.91406
2013-07-18,275.25967
2013-07-19,271.60428
2013-07-22,270.2903
2013-07-23,261.86264
2013-07-24,267.19037
2013-07-25,270.72202
2013-07-26,271.70535
2013-07-29,267.83173
2013-07-30,265.83557
2013-07-31,264.5189
2013-08-01,266.78745
2013-08-02,265.93625
2013-08-05,271.99048
2013-08-06,270.68524
2013-08-07,272.70798
2013-08-08,274.76178
2013-08-09,273.31546
2013-08-12,274.7065
2013-08-13,275.61935
2013-08-14,280.89795
2013-08-15,282.38116
2013-08-16,280.7868
2013-08-19,277.10538
2013-08-20,273.7943
2013-08-21,278.46384
2013-08-22,278.0016
2013-08-23,276.77292
2013-08-26,278.47305
2013-08-27,276.58832
2013-08-28,280.89795
2013-08-29,280.60153
2013-08-30,282.6966
2013-09-02,281.0462
2013-09-03,282.0751
2013-09-04,281.4076
2013-09-05,284.5536
2013-09-06,284.4421
2013-09-09,283.65262
2013-09-10,288.6395
2013-09-11,295.44464
2013-09-12,300.35593
2013-09-13,298.71048
2013-09-16,301.09943
2013-09-17,300.80762
2013-09-18,299.0864
2013-09-19,293.2252
2013-09-20,293.2252
2013-09-23,293.2252
2013-09-24,295.67896
2013-09-25,297.97775
2013-09-26,295.86646
2013-09-27,293.90842
2013-09-30,289.00314
2013-10-01,292.0001
2013-10-02,292.0001
2013-10-03,292.0001
2013-10-04,292.0001
2013-10-07,292.0001
2013-10-08,292.0001
2013-10-09,292.2525
2013-10-10,294.7044
2013-10-11,298.57892
2013-10-14,297.1985
2013-10-15,301.22177
2013-10-16,301.9375
2013-10-17,300.35593
2013-10-18,297.05777
2013-10-21,294.7231
2013-10-22,296.46664
2013-10-23,300.82645
2013-10-24,298.6353
2013-10-25,293.34683
2013-10-28,292.3086
2013-10-29,288.68613
2013-10-30,288.3319
2013-10-31,285.79938
2013-11-01,288.9099
2013-11-04,286.16217
2013-11-05,288.79803
2013-11-06,285.77145
2013-11-07,286.89743
2013-11-08,284.8603
2013-11-11,282.2977
