Date,Predict
2007-01-02,1842.7925
2007-01-03,1842.7925
2007-01-04,1860.3888
2007-01-05,1867.47
2007-01-08,1846.6849
2007-01-09,1847.1008
2007-01-10,1850.2095
2007-01-11,1779.6145
2007-01-12,1763.5011
2007-01-15,1746.371
2007-01-16,1730.3241
2007-01-17,1775.1847
2007-01-18,1787.7786
2007-01-19,1796.9824
2007-01-22,1806.9536
2007-01-23,1834.414
2007-01-24,1841.1392
2007-01-25,1844.7386
2007-01-26,1833.9795
2007-01-29,1780.4818
2007-01-30,1788.6178
2007-01-31,1803.2644
2007-02-01,1799.6423
2007-02-02,1797.8784
2007-02-05,1806.3026
2007-02-06,1802.5477
2007-02-07,1796.7183
2007-02-08,1791.1353
2007-02-09,1791.5406
2007-02-12,1776.2214
2007-02-13,1761.3344
2007-02-14,1768.0326
2007-02-15,1785.9117
2007-02-16,1806.0667
2007-02-19,1824.3009
2007-02-20,1828.6346
2007-02-21,1829.2579
2007-02-22,1842.9436
2007-02-23,1848.3857
2007-02-26,1836.9453
2007-02-27,1821.1005
2007-02-28,1819.4012
2007-03-01,1709.6982
2007-03-02,1784.9028
2007-03-05,1785.478
2007-03-06,1762.4084
2007-03-07,1749.7697
2007-03-08,1778.8228
2007-03-09,1780.3591
2007-03-12,1813.1438
2007-03-13,1802.3119
2007-03-14,1828.7196
2007-03-15,1789.6548
2007-03-16,1809.52
2007-03-20,1807.7366
2007-03-21,1821.5345
2007-03-22,1807.1421
2007-03-23,1825.2356
2007-03-26,1842.7736
2007-03-27,1835.3678
2007-03-28,1848.3008
2007-03-29,1840.6669
2007-03-30,1818.2499
2007-04-02,1858.6399
2007-04-03,1865.2198
2007-04-04,1885.9619
2007-04-05,1947.6995
2007-04-09,1948.7235
2007-04-10,1933.2523
2007-04-11,1938.7496
2007-04-12,1954.7266
2007-04-13,1935.8208
2007-04-16,1959.63
2007-04-17,1976.3492
2007-04-18,1994.0272
2007-04-19,1991.1971
2007-04-20,1970.6074
2007-04-23,1964.0132
2007-04-24,2006.7463
2007-04-25,2002.5471
2007-04-26,1995.9835
2007-04-27,2018.8055
2007-04-30,2029.7097
2007-05-01,2035.7101
2007-05-02,2014.9849
2007-05-03,2030.4323
2007-05-04,2038.7439
2007-05-07,2055.5168
2007-05-08,2058.3433
2007-05-09,2051.3394
2007-05-10,2033.9602
2007-05-11,2061.8367
2007-05-14,2035.4531
2007-05-15,2063.9785
2007-05-16,2065.4536
2007-05-21,2055.1267
2007-05-22,2087.5852
2007-05-23,2087.576
2007-05-24,2098.781
2007-05-25,2109.895
2007-05-28,2068.5667
2007-05-29,2089.5195
2007-05-30,2092.3203
2007-05-31,2071.3374
2007-06-04,2092.6157
2007-06-05,2115.425
2007-06-06,2125.4863
2007-06-07,2101.8118
2007-06-08,2099.8582
2007-06-11,2074.1084
2007-06-12,2087.4138
2007-06-13,2104.3855
2007-06-14,2102.8413
2007-06-15,2122.148
2007-06-18,2136.4285
2007-06-19,2148.7495
2007-06-20,2130.771
2007-06-21,2152.9495
2007-06-22,2162.4788
2007-06-25,2167.8647
2007-06-26,2156.8738
2007-06-27,2165.372
2007-06-28,2159.3943
2007-06-29,2144.7786
2007-07-02,2132.0208
2007-07-03,2153.532
2007-07-04,2180.1597
2007-07-05,2201.7996
2007-07-06,2209.8896
2007-07-09,2229.3003
2007-07-10,2244.2615
2007-07-11,2288.6963
2007-07-12,2264.1528
2007-07-13,2291.726
2007-07-16,2324.3125
2007-07-17,2313.7764
2007-07-18,2289.7893
2007-07-19,2302.8306
2007-07-20,2297.7957
2007-07-23,2350.8025
2007-07-24,2348.4683
2007-07-25,2388.1863
2007-07-26,2379.1199
