Date,Predict
2007-01-02,1475.9623
2007-01-03,1475.9623
2007-01-04,1473.6654
2007-01-05,1449.6632
2007-01-08,1438.6102
2007-01-09,1418.4657
2007-01-10,1418.4197
2007-01-11,1414.5632
2007-01-12,1400.8256
2007-01-15,1420.5283
2007-01-16,1437.0118
2007-01-17,1432.5148
2007-01-18,1432.2842
2007-01-19,1419.9482
2007-01-22,1411.4084
2007-01-23,1406.583
2007-01-24,1396.688
2007-01-25,1412.2085
2007-01-26,1433.0227
2007-01-29,1414.416
2007-01-30,1418.2078
2007-01-31,1407.6489
2007-02-01,1416.6246
2007-02-02,1409.5513
2007-02-05,1427.6987
2007-02-06,1452.6451
2007-02-07,1455.3136
2007-02-08,1468.4889
2007-02-09,1463.0481
2007-02-12,1462.584
2007-02-13,1455.4895
2007-02-14,1451.6724
2007-02-15,1467.7179
2007-02-16,1486.8179
2007-02-20,1481.1454
2007-02-21,1487.1998
2007-02-22,1491.134
2007-02-23,1488.831
2007-02-26,1505.3824
2007-02-27,1502.0927
2007-02-28,1503.3635
2007-03-02,1436.6145
2007-03-05,1446.5531
2007-03-06,1440.6434
2007-03-07,1423.9373
2007-03-08,1454.109
2007-03-09,1448.2467
2007-03-12,1470.7372
2007-03-13,1467.4022
2007-03-14,1478.4834
2007-03-15,1448.8392
2007-03-16,1457.2788
2007-03-19,1466.4271
2007-03-20,1463.2615
2007-03-21,1485.7743
2007-03-22,1482.6444
2007-03-23,1488.2903
2007-03-26,1486.2959
2007-03-27,1487.3489
2007-03-28,1486.3239
2007-03-29,1487.675
2007-03-30,1471.9547
2007-04-02,1493.3726
2007-04-03,1492.0758
2007-04-04,1498.8142
2007-04-05,1509.3197
2007-04-06,1519.5066
2007-04-09,1521.5686
2007-04-10,1523.5001
2007-04-11,1533.8243
2007-04-12,1541.2408
2007-04-13,1542.7363
2007-04-16,1555.4977
2007-04-17,1555.5637
2007-04-18,1569.7225
2007-04-19,1563.7527
2007-04-20,1567.8326
2007-04-23,1550.5593
2007-04-24,1575.9247
2007-04-25,1576.0762
2007-04-26,1587.9978
2007-04-27,1589.913
2007-04-30,1577.5804
2007-05-02,1569.5333
2007-05-03,1580.5999
2007-05-04,1592.9479
2007-05-07,1592.7009
2007-05-08,1603.8096
2007-05-09,1613.9478
2007-05-10,1611.4639
2007-05-11,1630.1881
2007-05-14,1616.3944
2007-05-15,1639.9009
2007-05-16,1628.6136
2007-05-17,1619.2325
2007-05-18,1641.1149
2007-05-21,1640.2738
2007-05-22,1630.2644
2007-05-23,1660.3491
2007-05-25,1673.1626
2007-05-28,1655.6431
2007-05-29,1676.1321
2007-05-30,1688.4375
2007-05-31,1687.0028
2007-06-01,1707.7554
2007-06-04,1736.4265
2007-06-05,1757.1202
2007-06-07,1758.6774
2007-06-08,1745.6483
2007-06-11,1758.7648
2007-06-12,1763.1459
2007-06-13,1737.9497
2007-06-14,1744.5798
2007-06-15,1764.7628
2007-06-18,1793.9607
2007-06-19,1807.9246
2007-06-20,1834.6763
2007-06-21,1833.9778
2007-06-22,1797.3364
2007-06-25,1822.5547
2007-06-26,1776.5402
2007-06-27,1784.6244
2007-06-28,1771.4777
2007-06-29,1768.3678
2007-07-02,1778.1405
2007-07-03,1764.0713
2007-07-04,1813.2196
2007-07-05,1836.8807
2007-07-06,1862.3094
2007-07-09,1875.6263
2007-07-10,1890.8019
2007-07-11,1907.6781
2007-07-12,1901.0818
2007-07-13,1917.862
2007-07-16,1966.2742
2007-07-18,1985.9098
2007-07-19,1973.4587
2007-07-20,1955.2849
2007-07-23,1969.7004
2007-07-24,1998.3604
2007-07-25,2021.9991
2007-07-26,2012.5632
2007-07-27,2032.6176
2007-07-30,1944.2014
2007-07-31,1894.5011
2007-08-01,1935.6575
2007-08-02,1940.2676
2007-08-03,1895.3943
2007-08-06,1895.4836
2007-08-07,1853.4056
2007-08-08,1908.9006
2007-08-09,1899.9895
2007-08-10,1944.1813
2007-08-13,1873.8354
2007-08-14,1861.6476
2007-08-16,1861.9044
2007-08-17,1776.5304
2007-08-20,1726.4329
2007-08-21,1724.3215
2007-08-22,1763.5258
2007-08-23,1764.5775
2007-08-24,1822.8298
2007-08-27,1814.6719
2007-08-28,1846.927
2007-08-29,1827.8413
2007-08-30,1795.4868
2007-08-31,1880.0012
2007-09-03,1864.9965
2007-09-04,1897.3195
2007-09-05,1901.5387
2007-09-06,1904.1805
2007-09-07,1882.5267
2007-09-10,1906.9327
2007-09-11,1866.2909
2007-09-12,1865.3918
2007-09-13,1874.5476
2007-09-14,1838.9479
2007-09-17,1876.7544
2007-09-18,1894.075
2007-09-19,1888.0852
2007-09-20,1913.0767
2007-09-21,1922.4812
2007-09-27,1929.5948
2007-09-28,1965.0625
2007-10-01,1971.1934
2007-10-02,1968.9789
2007-10-04,2011.3947
2007-10-05,2019.014
2007-10-08,2028.3765
2007-10-09,2041.005
2007-10-10,2035.547
2007-10-11,2054.5142
2007-10-12,2061.2617
2007-10-15,2068.6848
2007-10-16,2064.8914
2007-10-17,2034.9609
2007-10-18,2020.8593
2007-10-19,2009.9846
2007-10-22,2023.7645
2007-10-23,1921.4058
