Date,Predict
2007-01-03,9995.492
2007-01-04,9995.492
2007-01-05,10002.996
2007-01-08,10120.722
2007-01-09,10098.248
2007-01-10,10286.277
2007-01-11,10352.468
2007-01-12,10299.269
2007-01-15,10290.083
2007-01-16,10374.778
2007-01-17,10428.566
2007-01-18,10524.022
2007-01-19,10583.102
2007-01-22,10580.773
2007-01-23,10604.225
2007-01-24,10661.587
2007-01-25,10672.678
2007-01-26,10823.441
2007-01-31,10983.775
2007-02-01,11076.178
2007-02-02,11207.345
2007-02-06,11268.382
2007-02-07,11555.109
2007-02-08,11549.361
2007-02-09,11666.9795
2007-02-12,11834.193
2007-02-13,11763.23
2007-02-14,11507.206
2007-02-15,11590.348
2007-02-16,11352.496
2007-02-19,11379.501
2007-02-20,11230.498
2007-02-21,11507.568
2007-02-22,11346.038
2007-02-23,11440.927
2007-02-26,11464.101
2007-02-27,11476.815
2007-02-28,11300.428
2007-03-01,11181.392
2007-03-02,11104.591
2007-03-05,11167.265
2007-03-06,11042.049
2007-03-07,10865.17
2007-03-08,10885.914
2007-03-09,11093.327
2007-03-12,11186.663
2007-03-13,11290.386
2007-03-14,11345.97
2007-03-15,11290.114
2007-03-16,11178.551
2007-03-19,11250.05
2007-03-20,11317.562
2007-03-21,11105.509
2007-03-22,11296.0625
2007-03-26,11224.531
2007-03-27,11253.818
2007-03-28,11235.42
2007-03-29,11255.128
2007-03-30,11131.885
2007-04-02,11145.161
2007-04-03,11188.549
2007-04-04,11188.714
2007-04-05,11355.916
2007-04-06,11328.317
2007-04-09,11503.402
2007-04-10,11587.003
2007-04-11,11587.032
2007-04-12,11701.401
2007-04-13,11814.67
2007-04-16,11819.495
2007-04-17,11891.54
2007-04-18,11916.277
2007-04-19,11926.703
2007-04-20,12098.439
2007-04-23,12007.274
2007-04-24,11997.141
2007-04-25,11956.3
2007-04-26,12085.353
2007-04-27,12082.659
2007-04-30,12094.747
2007-05-02,12123.656
2007-05-03,12300.822
2007-05-04,12338.79
2007-05-07,12329.7705
2007-05-08,12362.625
2007-05-09,11996.444
2007-05-10,12268.827
2007-05-11,12304.891
2007-05-14,12207.498
2007-05-15,11976.616
2007-05-16,12297.773
2007-05-17,12281.512
2007-05-18,12183.196
2007-05-21,12163.638
2007-05-22,12200.743
2007-05-23,12187.282
2007-05-24,12337.291
2007-05-25,12430.002
2007-05-28,12604.959
2007-05-29,12646.619
2007-05-30,12709.124
2007-05-31,12729.757
2007-06-01,12706.8545
2007-06-04,12887.204
2007-06-05,12839.346
2007-06-06,12860.745
2007-06-07,13099.438
2007-06-08,13146.327
2007-06-11,13149.867
2007-06-12,13246.8125
2007-06-13,13165.006
2007-06-14,13238.948
2007-06-15,13352.519
2007-06-18,13346.399
2007-06-19,13348.927
2007-06-20,13468.206
2007-06-21,13357.26
2007-06-22,13402.84
2007-06-25,13412.177
2007-06-26,13263.512
2007-06-27,13451.263
2007-06-28,13474.938
2007-06-29,13566.91
2007-07-02,13590.41
2007-07-03,13687.012
2007-07-04,13846.365
2007-07-05,13675.176
2007-07-06,13805.399
2007-07-09,13844.0
2007-07-10,13863.648
2007-07-11,13908.891
2007-07-12,13793.626
2007-07-13,13828.542
2007-07-16,13974.225
2007-07-17,14044.425
2007-07-18,13786.9375
2007-07-19,13822.253
2007-07-20,13538.826
2007-07-23,13031.174
2007-07-24,13346.241
2007-07-25,13602.361
2007-07-26,13431.845
2007-07-27,13483.706
2007-07-30,13567.736
2007-07-31,13490.193
2007-08-01,13507.417
2007-08-02,13611.595
2007-08-03,13578.821
2007-08-06,13665.878
2007-08-07,13630.324
2007-08-08,13388.426
2007-08-09,13332.035
2007-08-10,12934.975
2007-08-13,13214.197
2007-08-15,12931.377
2007-08-16,12618.492
2007-08-17,12664.404
2007-08-20,12574.483
2007-08-21,12665.178
2007-08-22,12582.04
2007-08-23,12129.965
2007-08-24,12250.883
2007-08-27,11858.78
2007-08-28,11934.613
2007-08-29,11814.993
2007-08-30,11934.927
2007-08-31,12166.871
2007-09-03,12212.111
2007-09-04,12012.3
2007-09-05,12110.497
2007-09-06,12382.813
2007-09-07,12603.4
2007-09-10,12443.79
2007-09-11,12228.066
2007-09-12,12428.226
2007-09-13,12456.078
2007-09-14,12700.876
2007-09-17,12713.274
2007-09-18,12658.839
2007-09-19,12708.583
2007-09-20,12828.288
2007-09-21,13041.031
2007-09-24,12900.702
2007-09-25,12931.614
2007-09-26,13122.774
2007-09-27,13067.301
2007-09-28,13146.762
2007-10-01,13185.004
2007-10-02,13421.625
2007-10-03,13688.638
2007-10-04,13831.99
2007-10-05,13936.09
2007-10-08,14040.078
2007-10-09,14187.781
2007-10-11,14314.839
2007-10-17,14331.508
2007-10-18,14365.366
2007-10-19,14507.337
2007-10-22,14402.131
2007-10-23,14730.139
2007-10-24,14495.883
2007-10-25,14357.284
2007-10-26,14098.318
2007-10-29,14289.886
2007-10-30,14329.495
2007-10-31,14269.75
2007-11-01,13907.767
2007-11-02,14180.721
2007-11-05,13654.289
2007-11-06,13521.118
2007-11-07,13124.859
2007-11-08,13291.897
2007-11-12,13334.123
2007-11-13,13429.003
2007-11-14,13516.808
2007-11-15,13496.236
2007-11-16,13179.145
2007-11-19,12988.666
2007-11-20,12969.781
2007-11-21,13122.717
2007-11-22,13185.535
2007-11-23,13374.801
2007-11-26,13413.369
2007-11-27,13603.856
2007-11-28,13636.702
2007-11-29,13653.877
2007-11-30,13744.618
2007-12-03,13824.395
2007-12-04,13853.813
2007-12-05,13776.721
2007-12-06,13903.408
2007-12-07,14003.747
2007-12-10,14186.843
2007-12-11,14398.588
2007-12-12,14432.465
2007-12-13,14491.639
2007-12-14,14409.159
2007-12-17,14381.483
2007-12-18,14408.222
2007-12-19,14391.641
2007-12-24,14355.123
2007-12-26,14517.784
2007-12-27,14650.13
2007-12-31,14670.537
2008-01-01,14567.164
2008-01-02,13891.722
2008-01-03,13493.135
2008-01-04,13231.768
2008-01-07,13856.778
2008-01-08,14110.577
2008-01-09,14016.288
2008-01-10,14187.26
2008-01-11,14124.195
2008-01-14,13937.401
2008-01-15,13802.246
2008-01-16,13866.761
2008-01-17,13907.194
2008-01-18,13685.358
2008-01-21,13480.036
2008-01-22,13764.271
2008-01-23,13622.939
2008-01-24,13716.637
2008-01-25,13677.694
2008-01-28,13575.197
2008-01-29,13731.528
2008-01-30,13744.363
2008-01-31,13906.533
2008-02-01,13846.967
2008-02-04,13870.318
2008-02-06,13839.095
2008-02-07,13846.809
2008-02-08,13873.808
2008-02-11,13872.741
2008-02-12,13797.882
2008-02-13,13750.058
2008-02-14,13975.771
2008-02-15,13989.081
2008-02-19,14146.503
2008-02-20,14309.228
2008-02-21,14727.886
2008-02-22,14731.956
2008-02-25,14864.3
2008-02-26,14846.787
2008-02-27,14802.807
2008-02-28,14899.886
2008-02-29,14893.3125
2008-03-03,14958.155
2008-03-04,14806.334
2008-03-05,14705.776
2008-03-06,14628.932
2008-03-07,14910.306
2008-03-10,14997.854
2008-03-11,14991.239
2008-03-12,14707.01
2008-03-13,14854.586
2008-03-14,15062.846
2008-03-17,14943.986
2008-03-18,14962.88
