Date,Predict
2007-01-03,2404.3052
2007-01-04,2404.3052
2007-01-05,2398.5513
2007-01-08,2419.3271
2007-01-09,2409.7676
2007-01-10,2417.571
2007-01-11,2408.4995
2007-01-12,2438.6453
2007-01-16,2455.0408
2007-01-17,2477.3958
2007-01-18,2461.0925
2007-01-19,2448.7944
2007-01-22,2412.011
2007-01-23,2428.4976
2007-01-24,2402.9402
2007-01-25,2417.2786
2007-01-26,2442.939
2007-01-29,2415.425
2007-01-30,2409.0847
2007-01-31,2420.888
2007-02-01,2417.571
2007-02-02,2447.6235
2007-02-05,2447.721
2007-02-06,2448.5017
2007-02-07,2449.2825
2007-02-08,2456.993
2007-02-09,2457.774
2007-02-12,2464.7043
2007-02-13,2434.4495
2007-02-14,2429.2783
2007-02-15,2441.6704
2007-02-16,2462.9473
2007-02-20,2464.6067
2007-02-21,2464.8997
2007-02-22,2476.3218
2007-02-23,2495.7537
2007-02-26,2494.8748
2007-02-27,2497.3162
2007-02-28,2442.3535
2007-03-01,2386.9465
2007-03-02,2353.1196
2007-03-05,2365.4983
2007-03-06,2344.1543
2007-03-07,2339.3794
2007-03-08,2358.383
2007-03-09,2372.0298
2007-03-12,2378.3667
2007-03-13,2360.8198
2007-03-14,2364.5237
2007-03-15,2327.4927
2007-03-16,2347.0776
2007-03-19,2352.73
2007-03-20,2360.4294
2007-03-21,2370.2751
2007-03-22,2390.4573
2007-03-23,2431.0347
2007-03-26,2425.8635
2007-03-27,2425.6685
2007-03-28,2423.034
2007-03-29,2401.8672
2007-03-30,2407.0364
2007-04-02,2394.7478
2007-04-03,2400.1116
2007-04-04,2406.8413
2007-04-05,2425.961
2007-04-09,2431.5222
2007-04-10,2451.4297
2007-04-11,2441.768
2007-04-12,2451.2346
2007-04-13,2429.6682
2007-04-16,2453.0889
2007-04-17,2473.4905
2007-04-18,2491.5542
2007-04-19,2480.032
2007-04-20,2470.1711
2007-04-23,2497.5115
2007-04-24,2498.0972
2007-04-25,2500.6365
2007-04-26,2505.618
