Date,Predict
2007-01-02,3955.3237
2007-01-03,3955.3237
2007-01-04,3993.654
2007-01-05,4011.7917
2007-01-08,3977.4207
2007-01-09,3971.0864
2007-01-10,3924.8792
2007-01-11,3904.2417
2007-01-12,3849.997
2007-01-15,3935.2715
2007-01-16,4035.4473
2007-01-17,4070.5154
2007-01-18,4065.14
2007-01-19,4056.151
2007-01-22,4103.2485
2007-01-23,4069.4958
2007-01-24,4081.5933
2007-01-25,4048.1833
2007-01-29,4071.7668
2007-01-31,4124.032
2007-02-01,4101.254
2007-02-02,4063.7495
2007-02-05,4116.4224
2007-02-06,4165.5854
2007-02-07,4187.3306
2007-02-08,4170.278
2007-02-09,4201.6943
2007-02-12,4193.7915
2007-02-13,4160.0586
2007-02-14,4050.4993
2007-02-15,4028.0852
2007-02-19,4029.8445
2007-02-20,4124.8213
2007-02-21,4139.3022
2007-02-22,4085.7654
2007-02-23,4076.0308
2007-02-26,4029.1038
2007-02-27,3930.2368
2007-02-28,3938.505
2007-03-01,3888.0437
2007-03-02,3751.7034
2007-03-05,3812.677
2007-03-06,3734.3257
2007-03-07,3597.2708
2007-03-08,3674.6643
2007-03-09,3643.1936
2007-03-12,3766.8347
2007-03-13,3726.007
2007-03-14,3742.37
2007-03-15,3772.8608
2007-03-16,3659.3845
2007-03-19,3654.2925
2007-03-20,3628.5679
2007-03-21,3691.9243
2007-03-22,3707.8596
2007-03-23,3769.2727
2007-03-26,3872.6826
2007-03-28,3860.416
2007-03-29,3819.2173
2007-03-30,3764.3506
2007-04-02,3791.6826
2007-04-03,3820.369
2007-04-04,3649.2476
2007-04-05,3700.557
2007-04-09,3742.324
2007-04-10,3758.601
2007-04-11,3842.6226
2007-04-12,3846.494
2007-04-13,3858.941
2007-04-16,3829.9048
2007-04-17,3913.0586
2007-04-18,3999.8533
2007-04-19,3976.9119
2007-04-20,3985.1433
2007-04-23,3986.7622
2007-04-24,4063.8884
2007-04-25,4065.3252
2007-04-26,4110.902
2007-04-27,4144.1304
2007-04-30,4155.2285
2007-05-03,4062.081
2007-05-04,4069.357
2007-05-07,4143.0625
2007-05-08,4095.3638
2007-05-09,4089.5676
2007-05-10,4058.051
2007-05-11,4060.228
2007-05-14,4051.5183
2007-05-15,4059.4868
2007-05-16,4110.948
2007-05-17,4102.6914
2007-05-18,4146.0347
2007-05-21,4187.284
2007-05-22,4188.353
2007-05-23,4230.622
2007-05-24,4245.9775
2007-05-25,4214.9004
2007-05-28,4169.9526
2007-05-29,4216.9
2007-05-30,4225.505
2007-05-31,4258.174
2007-06-01,4218.667
2007-06-04,4261.293
2007-06-05,4265.623
2007-06-06,4236.0195
2007-06-07,4251.703
2007-06-08,4169.72
2007-06-11,4152.9062
2007-06-12,4156.853
2007-06-13,4115.9585
2007-06-14,4130.344
2007-06-15,4091.3767
2007-06-18,4159.315
2007-06-19,4150.5845
2007-06-20,4119.8096
2007-06-21,4185.2393
2007-06-22,4217.179
2007-06-25,4234.7627
2007-06-26,4219.737
2007-06-27,4227.179
2007-06-28,4252.1216
2007-06-29,4231.3667
2007-07-02,4248.584
2007-07-03,4282.109
2007-07-04,4278.9883
2007-07-05,4319.2505
2007-07-06,4320.1367
2007-07-09,4314.4487
2007-07-10,4344.621
2007-07-11,4376.0273
2007-07-12,4361.744
2007-07-13,4347.0464
2007-07-16,4401.5254
2007-07-17,4457.1963
2007-07-18,4448.9175
2007-07-19,4450.367
2007-07-20,4451.9575
2007-07-23,4511.3
2007-07-24,4511.768
2007-07-25,4564.065
2007-07-26,4564.4873
2007-07-27,4538.799
2007-07-30,4562.7524
2007-07-31,4397.741
2007-08-01,4399.5166
2007-08-02,4478.623
2007-08-03,4317.479
2007-08-06,4316.9194
2007-08-07,4361.9775
2007-08-08,4303.6353
2007-08-09,4318.085
2007-08-10,4416.3354
2007-08-13,4352.225
2007-08-14,4287.932
2007-08-16,4333.8457
2007-08-17,4326.4775
2007-08-20,4145.1055
2007-08-21,4087.435
2007-08-22,4180.824
2007-08-23,4061.7573
2007-08-24,4134.893
2007-08-27,4091.2368
2007-08-28,4166.0044
2007-08-29,4267.206
2007-08-30,4281.4575
2007-08-31,4321.209
2007-09-03,4369.9595
2007-09-04,4420.4478
2007-09-05,4434.376
2007-09-06,4432.553
2007-09-07,4428.907
2007-09-10,4469.078
2007-09-11,4458.038
2007-09-12,4460.657
2007-09-13,4450.367
2007-09-14,4449.806
2007-09-17,4479.6997
2007-09-18,4468.891
2007-09-19,4446.112
2007-09-20,4498.6567
2007-09-21,4671.858
2007-09-24,4688.8765
2007-09-25,4768.1367
2007-09-26,4864.2964
2007-09-27,4862.8794
2007-09-28,4867.695
2007-10-01,4918.4805
2007-10-03,4942.1685
2007-10-04,4987.1187
2007-10-05,5122.3823
2007-10-08,5119.059
2007-10-09,5098.269
2007-10-10,4981.1074
2007-10-11,5233.149
2007-10-12,5338.6934
2007-10-15,5421.199
2007-10-16,5328.629
2007-10-17,5560.324
2007-10-18,5549.062
2007-10-19,5445.8647
2007-10-22,5263.8105
2007-10-23,5113.9316
2007-10-24,5097.366
2007-10-25,5375.632
2007-10-26,5396.117
2007-10-29,5458.441
2007-10-30,5597.0034
2007-10-31,5797.5776
2007-11-01,5750.7363
2007-11-02,5784.334
2007-11-05,5737.217
2007-11-06,5811.403
2007-11-07,5729.762
2007-11-08,5667.564
2007-11-09,5664.586
2007-11-12,5591.7754
2007-11-13,5550.692
2007-11-14,5504.472
2007-11-15,5592.2554
2007-11-16,5821.8105
2007-11-19,5793.3394
2007-11-20,5788.427
2007-11-21,5791.5093
2007-11-22,5664.1055
2007-11-23,5458.8237
2007-11-26,5420.2427
2007-11-27,5503.467
2007-11-28,5616.529
2007-11-29,5588.034
2007-11-30,5509.6904
2007-12-03,5525.11
2007-12-04,5651.2827
2007-12-05,5751.988
2007-12-06,5744.001
2007-12-07,5820.22
2007-12-10,5841.9575
2007-12-11,5851.985
2007-12-12,5838.8726
2007-12-13,5941.7993
2007-12-14,6030.9536
2007-12-17,5931.3193
2007-12-18,5913.6943
2007-12-19,5662.9526
2007-12-20,5617.489
2007-12-24,5638.127
2007-12-26,5656.9004
2007-12-27,5865.923
2007-12-28,5943.684
2007-12-31,5953.8765
2008-01-01,5968.81
2008-01-02,6009.1826
2008-01-03,6016.8745
2008-01-04,6055.156
2008-01-07,6050.1694
2008-01-08,6139.2256
2008-01-09,6150.3325
2008-01-10,6155.28
2008-01-11,6146.1123
2008-01-14,6038.116
2008-01-15,6078.9326
2008-01-16,6095.9375
2008-01-17,5939.82
2008-01-18,5817.233
2008-01-21,5788.138
2008-01-22,5593.2617
2008-01-23,5114.5015
2008-01-24,4830.2695
2008-01-25,5118.9165
2008-01-28,4954.986
2008-01-29,5283.438
2008-01-30,5186.908
2008-01-31,5190.9023
2008-02-01,5084.9834
2008-02-04,5054.9614
2008-02-05,5221.156
2008-02-06,5362.409
2008-02-07,5368.7573
2008-02-08,5227.818
2008-02-11,5046.902
2008-02-12,5035.9526
2008-02-13,4806.5005
2008-02-14,4767.5713
2008-02-15,4869.5366
2008-02-18,5114.027
2008-02-19,5210.5938
2008-02-20,5185.815
2008-02-21,5175.1177
2008-02-22,5070.42
2008-02-25,5095.5635
2008-02-26,5028.087
2008-02-27,5112.08
2008-02-28,5179.158
2008-02-29,5174.3574
2008-03-03,5192.092
2008-03-04,5132.9727
2008-03-05,4882.665
2008-03-07,4796.128
2008-03-10,4844.66
2008-03-11,4702.845
2008-03-12,4729.6655
2008-03-13,4798.8623
2008-03-14,4797.873
2008-03-17,4567.5815
2008-03-18,4681.8237
2008-03-19,4470.2476
2008-03-24,4484.1455
2008-03-25,4523.5244
2008-03-26,4561.0176
2008-03-27,4807.302
2008-03-28,4760.2695
2008-03-31,4761.4004
2008-04-01,4867.176
2008-04-02,4672.6094
2008-04-03,4678.015
2008-04-04,4689.77
2008-04-07,4701.81
2008-04-08,4574.664
2008-04-09,4696.118
2008-04-10,4645.73
2008-04-11,4683.799
2008-04-15,4671.387
2008-04-16,4714.277
2008-04-17,4810.0835
2008-04-21,4818.525
2008-04-22,4880.162
2008-04-23,4956.878
2008-04-24,4963.7866
2008-04-25,4943.4917
2008-04-28,4921.0327
2008-04-29,5028.323
2008-04-30,5009.28
2008-05-02,5109.755
2008-05-05,5173.3584
2008-05-06,5137.1997
2008-05-07,5104.0586
2008-05-08,5070.2305
2008-05-09,5050.41
2008-05-12,4988.8706
2008-05-13,4903.8765
2008-05-14,4929.9683
2008-05-15,4882.571
2008-05-16,4932.1426
2008-05-20,5031.309
2008-05-21,5070.515
2008-05-22,5021.8804
2008-05-23,5032.589
2008-05-26,4946.9443
2008-05-27,4877.99
2008-05-28,4805.8394
2008-05-29,4792.2163
2008-05-30,4852.212
2008-06-02,4774.638
2008-06-03,4798.391
2008-06-04,4676.041
2008-06-05,4656.6772
2008-06-06,4533.0356
2008-06-09,4620.8384
2008-06-10,4570.0674
2008-06-11,4472.213
2008-06-12,4423.252
2008-06-13,4474.4585
2008-06-16,4488.5923
2008-06-17,4485.5967
2008-06-18,4519.4966
2008-06-19,4594.7886
2008-06-20,4528.912
2008-06-23,4455.559
2008-06-24,4312.631
2008-06-25,4238.0195
2008-06-26,4162.288
2008-06-27,4220.853
2008-06-30,4279.221
2008-07-01,4112.758
2008-07-02,4023.3167
2008-07-03,3889.7974
2008-07-04,4074.1306
2008-07-07,3918.7378
2008-07-08,3988.381
2008-07-09,4013.0872
2008-07-10,3978.1145
2008-07-11,4130.761
2008-07-14,4140.37
2008-07-15,4030.4463
2008-07-16,4022.9004
2008-07-17,3858.664
2008-07-18,3823.2705
2008-07-21,3952.2737
2008-07-22,4071.9053
2008-07-23,4133.361
2008-07-24,4215.3657
2008-07-25,4429.375
2008-07-28,4396.34
2008-07-29,4248.4443
2008-07-30,4294.9673
2008-07-31,4163.7744
2008-08-01,4278.336
2008-08-04,4294.4087
2008-08-05,4382.564
2008-08-06,4354.2783
2008-08-07,4457.4766
2008-08-08,4465.896
2008-08-11,4468.7974
2008-08-12,4479.0913
2008-08-13,4564.909
2008-08-14,4496.5967
2008-08-18,4474.2715
2008-08-19,4386.86
2008-08-20,4351.759
2008-08-21,4325.9644
2008-08-22,4373.3203
2008-08-25,4249.934
2008-08-26,4281.6904
2008-08-27,4297.763
2008-08-28,4299.3013
2008-08-29,4256.358
2008-09-01,4200.3926
2008-09-02,4317.2456
2008-09-04,4319.8105
2008-09-05,4463.745
2008-09-08,4399.9365
2008-09-09,4319.2974
2008-09-10,4437.742
2008-09-11,4421.2427
2008-09-12,4355.632
2008-09-15,4257.1494
2008-09-16,4201.648
2008-09-17,4053.6958
2008-09-18,4055.7805
2008-09-19,3991.3875
2008-09-22,4024.2893
2008-09-23,4217.4575
2008-09-24,4194.163
2008-09-25,4103.016
2008-09-26,4136.7954
2008-09-29,4087.2495
2008-09-30,3977.4666
2008-10-01,3846.8167
2008-10-03,3914.3054
2008-10-06,3943.5872
2008-10-07,3817.8816
2008-10-08,3624.5798
2008-10-10,3622.2422
2008-10-13,3528.5327
2008-10-14,3319.5398
2008-10-15,3521.263
2008-10-16,3543.0298
2008-10-17,3375.0183
2008-10-20,3316.038
2008-10-21,3170.026
2008-10-22,3185.6128
2008-10-23,3284.8098
2008-10-24,3130.7256
2008-10-27,3014.5586
2008-10-28,2697.8696
2008-10-29,2646.4263
2008-10-31,2788.8228
2008-11-03,2798.6887
2008-11-04,2968.706
2008-11-05,3117.559
2008-11-06,3213.1313
2008-11-07,3070.7217
2008-11-10,2975.7808
2008-11-11,3048.0024
2008-11-12,3205.3767
2008-11-14,3016.047
2008-11-17,2935.0178
2008-11-18,2903.8792
2008-11-19,2894.03
2008-11-20,2786.5364
2008-11-21,2743.0269
2008-11-24,2670.91
2008-11-25,2793.8003
2008-11-26,2809.4543
2008-11-28,2759.3757
2008-12-01,2843.0278
2008-12-02,2851.5156
2008-12-03,2777.7046
2008-12-04,2763.9011
2008-12-05,2763.0051
2008-12-08,2879.8232
2008-12-10,2815.1975
2008-12-11,2878.9695
2008-12-12,3012.5735
2008-12-15,2995.7058
2008-12-16,2998.0054
2008-12-17,3057.3057
2008-12-18,3108.6934
2008-12-19,3031.7957
2008-12-22,3129.0964
2008-12-23,3141.9954
