Date,Predict
2007-01-04,17361.543
2007-01-05,17361.543
2007-01-09,17354.377
2007-01-10,17049.258
2007-01-11,17227.682
2007-01-12,16987.277
2007-01-15,17009.02
2007-01-16,17194.59
2007-01-17,17226.117
2007-01-18,17187.39
2007-01-19,17285.01
2007-01-22,17379.953
2007-01-23,17472.139
2007-01-24,17390.172
2007-01-25,17549.832
2007-01-26,17652.174
2007-01-29,17408.441
2007-01-30,17434.328
2007-01-31,17554.662
2007-02-01,17538.004
2007-02-02,17417.686
2007-02-05,17615.639
2007-02-06,17576.729
2007-02-07,17425.38
2007-02-08,17408.297
2007-02-09,17408.752
2007-02-13,17379.107
2007-02-14,17525.572
2007-02-15,17711.66
2007-02-16,17947.932
2007-02-19,17883.445
2007-02-20,17890.002
2007-02-21,17976.938
2007-02-22,17953.465
2007-02-23,18094.598
2007-02-26,18177.625
2007-02-27,18287.43
2007-02-28,18307.652
2007-03-01,17898.754
2007-03-02,17587.88
2007-03-05,17391.299
2007-03-06,17022.076
2007-03-07,16675.521
2007-03-08,17011.658
2007-03-09,16752.393
2007-03-12,17260.86
2007-03-13,17350.879
2007-03-14,17306.178
2007-03-15,16964.285
2007-03-16,16828.54
2007-03-19,16803.383
2007-03-20,16736.186
2007-03-22,17189.549
2007-03-23,17424.47
2007-03-26,17564.465
2007-03-27,17562.826
2007-03-28,17397.33
2007-03-29,17367.33
2007-03-30,17153.146
2007-04-02,17357.787
2007-04-03,17385.994
2007-04-04,17188.965
2007-04-05,17442.043
2007-04-06,17552.047
2007-04-09,17547.348
2007-04-10,17653.646
2007-04-11,17679.414
2007-04-12,17749.928
2007-04-13,17649.133
2007-04-16,17677.352
2007-04-17,17551.758
2007-04-18,17802.834
2007-04-19,17603.516
2007-04-20,17575.273
2007-04-23,17515.055
2007-04-24,17636.719
2007-04-25,17404.105
2007-04-26,17420.25
2007-04-27,17399.986
2007-05-01,17417.695
2007-05-02,17437.533
2007-05-07,17349.447
2007-05-08,17610.492
2007-05-09,17700.504
2007-05-10,17664.523
2007-05-11,17847.021
2007-05-14,17663.947
2007-05-15,17732.756
2007-05-16,17623.865
2007-05-17,17530.963
2007-05-18,17633.338
2007-05-21,17609.834
2007-05-22,17498.562
2007-05-23,17625.07
2007-05-24,17815.71
2007-05-25,17730.39
2007-05-28,17574.521
2007-05-29,17590.713
2007-05-30,17569.938
2007-05-31,17713.805
2007-06-01,17766.826
2007-06-04,18008.531
2007-06-05,18130.43
2007-06-06,18080.713
2007-06-07,18061.504
2007-06-08,17935.3
2007-06-11,17961.807
2007-06-12,17955.963
2007-06-13,17900.416
2007-06-14,17680.291
2007-06-15,17889.639
2007-06-18,18004.316
2007-06-19,18191.943
2007-06-20,18196.266
2007-06-21,18239.154
2007-06-22,18181.494
2007-06-25,18244.137
2007-06-26,18171.545
2007-06-27,18161.88
2007-06-28,18041.43
2007-06-29,17973.117
2007-07-02,18071.113
2007-07-03,18203.965
2007-07-04,18273.715
2007-07-05,18224.365
2007-07-06,18258.613
2007-07-09,18251.12
2007-07-10,18293.967
2007-07-11,18313.227
2007-07-12,18180.828
2007-07-13,18169.697
2007-07-17,18226.693
2007-07-18,18338.746
2007-07-19,18200.887
2007-07-20,18159.42
2007-07-23,18213.852
2007-07-24,18055.834
2007-07-25,18058.984
2007-07-26,17865.062
2007-07-27,17861.201
2007-07-30,17497.57
2007-07-31,17172.252
2007-08-01,17356.922
2007-08-02,17203.795
2007-08-03,16984.975
2007-08-06,17050.193
2007-08-07,16805.088
2007-08-08,17039.742
2007-08-09,16958.326
2007-08-10,17204.99
2007-08-13,16950.955
2007-08-14,16816.027
2007-08-15,16849.727
2007-08-16,16679.852
2007-08-17,16308.304
2007-08-20,16041.398
2007-08-21,15472.147
2007-08-22,15774.412
2007-08-23,15869.039
2007-08-24,16101.119
2007-08-27,16297.67
2007-08-28,16444.066
2007-08-29,16224.091
2007-08-30,16074.832
2007-08-31,16191.362
2007-09-03,16282.302
2007-09-04,16528.13
2007-09-05,16461.191
2007-09-06,16523.047
2007-09-07,16009.217
2007-09-10,16189.001
2007-09-11,15909.789
2007-09-12,15788.694
2007-09-13,15983.578
2007-09-14,15889.616
2007-09-18,15898.081
2007-09-19,16043.554
2007-09-20,16044.196
2007-09-21,16490.826
2007-09-25,16296.053
2007-09-26,16329.58
2007-09-27,16402.592
2007-09-28,16570.014
2007-10-01,16930.852
2007-10-02,16796.834
2007-10-03,17058.537
2007-10-04,17097.824
2007-10-05,17117.54
2007-10-09,17102.416
2007-10-10,17200.68
2007-10-11,17267.518
2007-10-12,17223.967
2007-10-15,17459.818
2007-10-16,17441.004
2007-10-17,17304.49
2007-10-18,17147.232
2007-10-19,17003.838
2007-10-22,16993.883
2007-10-23,16581.936
2007-10-24,16503.172
2007-10-25,16535.23
2007-10-26,16381.612
2007-10-29,16371.978
2007-10-30,16632.918
2007-10-31,16675.996
2007-11-01,16640.389
2007-11-02,16837.688
2007-11-05,16667.88
2007-11-06,16473.904
2007-11-07,16161.1875
2007-11-08,16337.757
2007-11-09,15891.936
2007-11-12,15674.089
2007-11-13,15370.481
2007-11-14,15137.446
2007-11-15,15303.354
2007-11-16,15532.321
2007-11-19,15229.485
2007-11-20,15166.92
2007-11-21,14854.087
2007-11-22,15102.572
2007-11-26,14709.802
2007-11-27,14907.424
2007-11-28,14940.251
2007-11-29,15262.434
2007-11-30,15332.067
2007-12-03,15516.208
2007-12-04,15747.495
2007-12-05,15611.316
2007-12-06,15412.793
2007-12-07,15783.125
2007-12-10,15997.326
2007-12-11,16012.739
2007-12-12,16008.409
2007-12-13,15830.3125
2007-12-14,15819.936
2007-12-17,15543.361
2007-12-18,15427.398
2007-12-19,15087.714
2007-12-20,15154.6455
2007-12-21,15140.706
2007-12-25,15032.019
2007-12-26,15435.572
2007-12-27,15611.388
2007-12-28,15613.885
2008-01-04,15407.115
2008-01-07,15145.137
2008-01-08,14530.362
2008-01-09,14408.92
2008-01-10,14343.64
2008-01-11,14527.266
2008-01-15,14398.943
2008-01-16,14111.625
2008-01-17,13770.887
2008-01-18,13569.422
2008-01-21,13550.452
2008-01-22,13675.018
2008-01-23,13096.849
2008-01-24,12728.01
2008-01-25,12924.023
2008-01-28,13230.618
2008-01-29,13455.383
2008-01-30,13218.513
2008-01-31,13473.134
2008-02-01,13199.263
2008-02-04,13490.428
2008-02-05,13615.873
2008-02-06,13780.385
2008-02-07,13521.349
2008-02-08,13048.817
2008-02-12,13114.721
2008-02-13,12970.3955
2008-02-14,13134.619
2008-02-15,13226.427
2008-02-19,13481.179
2008-02-20,13735.701
2008-02-21,13703.501
2008-02-22,13435.184
2008-02-25,13502.93
2008-02-26,13585.429
2008-02-27,14012.778
2008-02-28,13982.971
2008-02-29,13852.574
2008-03-03,13709.224
2008-03-04,13385.155
2008-03-05,13051.861
2008-03-06,12944.552
2008-03-07,13040.451
2008-03-10,12996.144
2008-03-11,12688.613
2008-03-12,12365.15
2008-03-13,12813.465
2008-03-14,12712.987
2008-03-17,12482.166
2008-03-18,12063.644
2008-03-19,11805.723
2008-03-21,12116.577
2008-03-24,12304.775
2008-03-25,12445.556
2008-03-26,12611.69
2008-03-27,12620.896
2008-03-28,12590.428
2008-03-31,12566.418
2008-04-01,12681.069
2008-04-02,12512.052
2008-04-03,12808.002
2008-04-04,13161.871
2008-04-07,13258.262
2008-04-08,13212.368
2008-04-09,13346.116
2008-04-10,13267.096
2008-04-11,13001.347
2008-04-14,13033.324
2008-04-15,13104.295
2008-04-16,12924.174
2008-04-17,13102.283
2008-04-18,13287.817
2008-04-21,13398.59
2008-04-22,13613.107
2008-04-23,13560.509
2008-04-24,13427.998
2008-04-25,13586.958
2008-04-28,13587.66
2008-04-30,13882.875
2008-05-01,13777.138
2008-05-02,13776.784
2008-05-07,13919.43
2008-05-08,14124.397
2008-05-09,13983.85
2008-05-12,13916.447
2008-05-13,13538.808
2008-05-14,13788.66
2008-05-15,13937.261
2008-05-16,14144.022
2008-05-19,14342.539
2008-05-20,14272.732
2008-05-21,14197.612
2008-05-22,13978.135
2008-05-23,13746.658
2008-05-26,13920.275
2008-05-27,13850.661
2008-05-28,13724.695
2008-05-29,13912.257
2008-05-30,13807.038
2008-06-02,14172.926
2008-06-03,14321.666
2008-06-04,14253.637
2008-06-05,14248.042
2008-06-06,14371.814
2008-06-09,14511.122
2008-06-10,14253.364
2008-06-11,14259.444
2008-06-12,14114.278
2008-06-13,13985.995
2008-06-16,13986.803
2008-06-17,14094.801
2008-06-18,14366.167
2008-06-19,14279.643
2008-06-20,14303.227
2008-06-23,14148.059
2008-06-24,13743.429
2008-06-25,13740.249
2008-06-26,13795.091
2008-06-27,13819.882
2008-06-30,13578.344
2008-07-01,13557.494
2008-07-02,13487.533
2008-07-03,13462.442
2008-07-04,13133.447
2008-07-07,13257.4
2008-07-08,13184.552
2008-07-09,13258.414
2008-07-10,13141.568
2008-07-11,12905.836
2008-07-14,13035.057
2008-07-15,12993.822
2008-07-16,12873.668
2008-07-17,12696.878
2008-07-18,12861.347
2008-07-22,12947.742
2008-07-23,12916.084
2008-07-24,13231.499
2008-07-25,13383.559
2008-07-28,13424.796
2008-07-29,13379.626
2008-07-30,13192.097
2008-07-31,13239.238
2008-08-01,13382.677
2008-08-04,13248.46
2008-08-05,13054.851
2008-08-06,12928.531
2008-08-07,13030.983
2008-08-08,13229.836
2008-08-11,12998.066
2008-08-12,13231.31
2008-08-13,13370.226
2008-08-14,13177.38
2008-08-15,12914.136
2008-08-18,12963.435
2008-08-19,12943.011
2008-08-20,12988.03
2008-08-21,12725.685
2008-08-22,12856.89
2008-08-25,12699.122
2008-08-26,12769.178
2008-08-27,12682.815
2008-08-28,12706.13
2008-08-29,12799.32
2008-09-01,12896.9795
2008-09-02,12908.335
2008-09-03,12751.554
2008-09-04,12675.161
2008-09-05,12599.622
2008-09-08,12358.523
2008-09-09,12332.925
2008-09-10,12502.246
2008-09-11,12222.723
2008-09-12,12211.171
2008-09-16,12230.32
2008-09-17,12003.506
2008-09-18,11715.233
2008-09-19,11556.27
2008-09-22,11610.321
2008-09-24,12012.876
2008-09-25,12007.011
2008-09-26,11901.589
2008-09-29,12001.412
2008-09-30,11859.493
2008-10-01,11545.158
2008-10-02,11378.128
2008-10-03,11404.307
2008-10-06,11038.571
2008-10-07,10807.712
2008-10-08,10328.811
2008-10-09,10019.433
2008-10-10,9200.501
2008-10-14,9053.8125
2008-10-15,8468.207
2008-10-16,9415.723
2008-10-17,9425.752
2008-10-20,8633.042
2008-10-21,8821.315
2008-10-22,9172.561
2008-10-23,9229.493
2008-10-24,8602.498
2008-10-27,8451.99
2008-10-28,7666.0806
2008-10-29,7262.7393
2008-10-30,7830.9365
2008-10-31,8335.659
2008-11-04,8997.715
2008-11-05,8751.541
2008-11-06,9254.558
2008-11-07,9399.3955
2008-11-10,8820.594
2008-11-11,8760.416
2008-11-12,9004.537
2008-11-13,8743.977
2008-11-14,8618.527
2008-11-17,8439.606
2008-11-18,8428.814
2008-11-19,8475.557
2008-11-20,8373.65
2008-11-21,8220.804
2008-11-25,7696.514
2008-11-26,8102.489
2008-11-27,8297.349
2008-11-28,8375.463
2008-12-01,8460.636
2008-12-02,8522.361
2008-12-03,8332.412
2008-12-04,8044.444
2008-12-05,8106.4463
2008-12-08,8053.7466
2008-12-09,8049.582
2008-12-10,8424.489
2008-12-11,8437.5625
2008-12-12,8693.32
2008-12-15,8651.836
2008-12-16,8412.481
2008-12-17,8660.758
2008-12-18,8708.674
2008-12-19,8619.19
2008-12-22,8691.358
2008-12-24,8655.085
2008-12-25,8681.77
2008-12-26,8586.8545
2008-12-29,8693.205
2008-12-30,8774.199
2009-01-05,8764.545
2009-01-06,9029.553
2009-01-07,9163.619
2009-01-08,9167.282
2009-01-09,9176.379
2009-01-13,8973.103
2009-01-14,8780.284
2009-01-15,8485.298
2009-01-16,8373.68
2009-01-19,8197.294
2009-01-20,8382.191
2009-01-21,8256.575
2009-01-22,8029.782
2009-01-23,8066.4053
2009-01-26,8044.5386
2009-01-27,7804.964
2009-01-28,7870.377
2009-01-29,8127.524
2009-01-30,8269.999
2009-02-02,8214.211
2009-02-03,7990.205
2009-02-04,7946.724
2009-02-05,7979.448
2009-02-06,8063.759
2009-02-09,8129.455
2009-02-10,8247.892
2009-02-12,8141.569
2009-02-13,7927.242
2009-02-16,7876.5273
2009-02-17,7822.5137
2009-02-18,7781.9795
2009-02-19,7639.0723
2009-02-20,7700.1963
2009-02-23,7642.9795
2009-02-24,7424.757
2009-02-25,7379.597
2009-02-26,7476.1274
2009-02-27,7573.143
2009-03-02,7566.321
2009-03-03,7557.6377
2009-03-04,7295.3633
2009-03-05,7265.9297
2009-03-06,7445.362
2009-03-09,7438.029
2009-03-10,7307.999
2009-03-11,7183.6504
2009-03-12,7283.6187
2009-03-13,7430.5903
2009-03-16,7412.2554
2009-03-17,7724.9204
2009-03-18,7855.5444
2009-03-19,8084.1396
2009-03-23,8094.7183
2009-03-24,8023.27
2009-03-25,8397.936
2009-03-26,8556.288
2009-03-27,8489.588
2009-03-30,8760.155
2009-03-31,8673.691
2009-04-01,8268.342
2009-04-02,8243.383
2009-04-03,8512.155
2009-04-06,8858.75
2009-04-07,8899.94
2009-04-08,8882.418
2009-04-09,8793.86
2009-04-10,8715.351
2009-04-13,9077.846
2009-04-14,8970.826
2009-04-15,8995.476
2009-04-16,8823.665
2009-04-17,8891.834
2009-04-20,8897.521
2009-04-21,8941.158
2009-04-22,8847.18
2009-04-23,8823.521
2009-04-24,8822.953
2009-04-27,8876.096
2009-04-28,8829.116
2009-04-30,8727.974
2009-05-01,8667.537
2009-05-07,8892.2295
2009-05-08,9136.888
2009-05-11,9377.841
2009-05-12,9483.791
2009-05-13,9384.476
2009-05-14,9333.67
2009-05-15,9243.19
2009-05-18,9183.1455
2009-05-19,9199.428
2009-05-20,9204.755
2009-05-21,9398.494
2009-05-22,9309.04
2009-05-25,9188.878
2009-05-26,9275.748
2009-05-27,9390.259
2009-05-28,9450.73
2009-05-29,9379.71
2009-06-01,9500.753
2009-06-02,9538.856
2009-06-03,9788.572
2009-06-04,9739.244
2009-06-05,9707.273
2009-06-08,9767.138
2009-06-09,9841.818
2009-06-10,9836.846
2009-06-11,9846.062
2009-06-12,10001.244
2009-06-15,10094.102
2009-06-16,10131.509
2009-06-17,9924.686
2009-06-18,9721.658
2009-06-19,9792.269
2009-06-22,9772.331
2009-06-23,9801.724
2009-06-24,9711.968
2009-06-25,9615.815
2009-06-26,9646.308
2009-06-29,9864.825
2009-06-30,9877.831
2009-07-01,9907.312
2009-07-02,9900.281
2009-07-03,10002.014
2009-07-06,9766.341
2009-07-07,9753.506
2009-07-08,9729.328
2009-07-09,9569.248
2009-07-10,9369.055
2009-07-13,9365.598
2009-07-14,9272.05
2009-07-15,9205.316
2009-07-16,9335.276
2009-07-17,9419.095
2009-07-21,9438.362
2009-07-22,9534.034
2009-07-23,9660.5
2009-07-24,9727.85
2009-07-27,9919.816
2009-07-28,10028.431
2009-07-29,10122.082
2009-07-30,10043.095
2009-07-31,10159.969
2009-08-03,10276.613
2009-08-04,10354.909
2009-08-05,10436.275
2009-08-06,10403.64
2009-08-07,10267.691
2009-08-10,10365.157
2009-08-11,10526.567
2009-08-12,10511.015
2009-08-13,10483.223
2009-08-14,10504.501
2009-08-17,10546.8545
2009-08-18,10517.164
2009-08-19,10211.141
2009-08-20,10271.562
2009-08-21,10256.475
2009-08-24,10374.458
2009-08-25,10388.497
2009-08-26,10511.827
2009-08-27,10549.902
2009-08-28,10565.912
2009-08-31,10542.495
2009-09-01,10602.546
2009-09-02,10450.927
2009-09-03,10377.256
2009-09-04,10242.299
2009-09-07,10258.391
2009-09-08,10289.729
2009-09-09,10353.225
2009-09-10,10343.73
2009-09-11,10384.367
2009-09-14,10515.51
2009-09-15,10387.274
2009-09-16,10257.648
2009-09-17,10289.885
2009-09-18,10372.532
2009-09-24,10378.361
2009-09-25,10404.11
2009-09-28,10394.248
2009-09-29,10140.966
2009-09-30,10094.9795
2009-10-01,10110.646
2009-10-02,10078.913
2009-10-05,9860.105
2009-10-06,9748.236
2009-10-07,9759.2705
2009-10-08,9764.931
2009-10-09,9819.195
2009-10-13,9904.458
2009-10-14,10073.267
2009-10-15,10101.71
2009-10-16,10198.24
2009-10-19,10277.846
2009-10-20,10183.155
2009-10-21,10329.552
2009-10-22,10293.472
2009-10-23,10253.113
2009-10-26,10335.459
2009-10-27,10273.39
2009-10-28,10284.745
2009-10-29,10185.771
2009-10-30,9951.15
2009-11-02,10014.753
2009-11-04,9914.333
2009-11-05,9799.01
2009-11-06,9816.734
2009-11-09,9825.715
2009-11-10,9791.577
2009-11-11,9915.22
2009-11-12,9901.1
2009-11-13,9931.552
2009-11-16,9806.704
2009-11-17,9797.9
2009-11-18,9846.977
2009-11-19,9738.67
2009-11-20,9708.178
2009-11-24,9483.296
2009-11-25,9532.56
2009-11-26,9407.389
2009-11-27,9381.134
2009-11-30,9286.634
2009-12-01,9220.817
2009-12-02,9310.464
2009-12-03,9572.141
2009-12-04,9722.912
2009-12-07,10026.841
2009-12-08,10136.73
2009-12-09,10085.906
2009-12-10,10055.801
2009-12-11,9973.052
2009-12-14,9967.157
2009-12-15,10131.568
2009-12-16,10060.198
2009-12-17,10183.028
2009-12-18,10203.133
2009-12-21,10115.984
2009-12-22,10199.998
2009-12-24,10257.912
2009-12-25,10411.781
2009-12-28,10542.584
2009-12-29,10517.938
2009-12-30,10606.163
2010-01-04,10699.974
2010-01-05,10603.702
2010-01-06,10711.68
2010-01-07,10701.976
2010-01-08,10734.554
2010-01-12,10735.093
2010-01-13,10761.643
2010-01-14,10786.315
2010-01-15,10769.223
2010-01-18,10906.101
2010-01-19,10876.8125
2010-01-20,10856.394
2010-01-21,10825.037
2010-01-22,10697.305
2010-01-25,10732.061
2010-01-26,10475.341
2010-01-27,10502.602
2010-01-28,10343.995
2010-01-29,10310.422
2010-02-01,10308.778
2010-02-02,10215.283
2010-02-03,10311.644
2010-02-04,10426.215
2010-02-05,10432.478
2010-02-08,10166.441
2010-02-09,10015.368
2010-02-10,9887.888
2010-02-12,10031.735
2010-02-15,10091.312
2010-02-16,10103.477
2010-02-17,10051.5
2010-02-18,10165.836
2010-02-19,10325.33
2010-02-22,10334.54
2010-02-23,10302.934
2010-02-24,10327.93
2010-02-25,10208.241
2010-02-26,10258.009
2010-03-01,10112.511
2010-03-02,10133.637
2010-03-03,10202.421
2010-03-04,10197.303
2010-03-05,10257.608
2010-03-08,10256.554
2010-03-09,10533.915
2010-03-10,10562.521
2010-03-11,10551.283
