Date,Predict
2016-12-20,1012.85596
2016-12-21,1012.85596
2016-12-22,1015.0614
2016-12-23,1015.55304
2016-12-27,1017.9536
2016-12-28,1019.6316
2016-12-29,1022.8647
2016-12-30,1023.70685
2017-01-02,1027.5955
2017-01-03,1026.6896
2017-01-04,1043.2305
2017-01-05,1039.8552
2017-01-06,1035.5151
2017-01-09,1043.7336
2017-01-10,1045.863
2017-01-11,1040.7091
2017-01-12,1036.8226
2017-01-13,1042.2336
2017-01-16,1034.8226
2017-01-17,1047.5798
2017-01-18,1046.2789
2017-01-19,1042.3395
2017-01-20,1039.732
2017-01-23,1042.1984
2017-01-24,1041.4933
2017-01-25,1036.41
2017-01-26,1035.5854
2017-01-27,1047.1284
2017-01-30,1052.5045
2017-01-31,1059.0829
2017-02-01,1055.228
2017-02-02,1056.5563
2017-02-03,1070.3756
2017-02-06,1061.9996
2017-02-07,1066.5044
2017-02-08,1059.9324
2017-02-09,1059.503
2017-02-10,1052.5935
2017-02-13,1066.6842
2017-02-14,1071.1603
2017-02-15,1075.9778
2017-02-16,1076.8926
2017-02-17,1079.3054
2017-02-20,1081.0315
2017-02-21,1077.5634
2017-02-22,1072.5503
2017-02-23,1080.7677
2017-02-24,1079.1602
2017-02-27,1078.2981
2017-02-28,1067.5656
2017-03-01,1065.6416
2017-03-02,1066.3785
2017-03-03,1077.237
2017-03-06,1077.1555
2017-03-07,1071.7377
2017-03-08,1067.4575
2017-03-09,1062.7524
2017-03-10,1063.5682
2017-03-13,1062.5015
2017-03-14,1071.2323
2017-03-15,1074.8734
2017-03-16,1076.0774
2017-03-17,1077.645
2017-03-20,1082.0862
2017-03-21,1079.8593
2017-03-22,1079.9501
2017-03-23,1066.2078
2017-03-24,1060.7285
2017-03-27,1070.1321
2017-03-28,1071.0969
2017-03-29,1068.7445
2017-03-30,1073.1013
2017-03-31,1073.3271
2017-04-03,1077.5814
2017-04-04,1079.4506
2017-04-05,1071.1871
2017-04-06,1081.5769
2017-04-07,1081.9498
2017-04-10,1081.5223
2017-04-11,1078.0894
2017-04-12,1084.7091
2017-04-18,1084.1166
2017-04-19,1091.619
2017-04-20,1078.0623
2017-04-21,1085.1833
2017-04-24,1093.508
2017-04-25,1089.9705
2017-04-26,1101.2299
2017-04-27,1106.6309
2017-04-28,1116.3684
2017-05-01,1121.0994
2017-05-02,1126.749
2017-05-03,1125.4142
2017-05-04,1135.7588
2017-05-05,1130.6947
2017-05-08,1134.1602
2017-05-09,1145.4937
2017-05-10,1143.998
2017-05-11,1136.8855
2017-05-15,1146.4374
2017-05-16,1144.4171
2017-05-17,1148.8234
2017-05-18,1145.5032
2017-05-19,1123.8274
2017-05-22,1130.2988
2017-05-23,1137.9185
2017-05-24,1142.2666
2017-05-29,1143.4935
2017-05-30,1143.1321
2017-05-31,1137.2834
2017-06-01,1139.512
2017-06-02,1149.282
2017-06-06,1151.1464
2017-06-07,1160.1586
2017-06-08,1160.2356
2017-06-09,1156.1304
2017-06-12,1151.5771
2017-06-13,1158.9846
2017-06-14,1152.1227
2017-06-15,1163.928
2017-06-16,1165.2992
2017-06-19,1152.841
2017-06-20,1159.0133
2017-06-21,1174.7302
2017-06-22,1170.584
2017-06-23,1168.4331
2017-06-26,1165.6471
2017-06-27,1164.1693
2017-06-28,1164.0342
2017-06-29,1150.869
2017-06-30,1148.7184
2017-07-03,1135.9481
2017-07-04,1142.8181
2017-07-05,1155.161
2017-07-06,1152.2184
2017-07-07,1157.8115
2017-07-10,1148.7756
2017-07-11,1150.2188
2017-07-12,1157.5807
2017-07-13,1154.6238
2017-07-14,1165.1254
2017-07-17,1164.5747
2017-07-18,1170.4967
2017-07-19,1175.9948
2017-07-20,1173.4958
2017-07-21,1174.3315
2017-07-24,1173.4084
2017-07-25,1165.7051
2017-07-26,1153.598
2017-07-27,1160.4089
2017-07-28,1165.56
2017-07-31,1169.072
2017-08-01,1163.4164
2017-08-02,1167.2039
2017-08-03,1168.3845
2017-08-04,1163.7736
2017-08-07,1158.7345
2017-08-08,1168.0458
2017-08-09,1168.6943
2017-08-10,1159.889
2017-08-11,1168.7622
2017-08-14,1158.8018
2017-08-15,1161.218
2017-08-16,1165.6567
2017-08-17,1163.87
2017-08-18,1163.8604
2017-08-21,1151.8164
2017-08-22,1149.5591
2017-08-23,1151.6537
2017-08-24,1165.85
2017-08-25,1158.4266
2017-08-28,1169.411
2017-08-29,1166.7782
2017-08-30,1165.0867
2017-08-31,1154.5663
2017-09-01,1160.7172
2017-09-04,1173.078
2017-09-05,1179.2294
2017-09-06,1173.214
2017-09-07,1165.5118
2017-09-08,1156.7545
2017-09-11,1163.3103
2017-09-12,1162.9438
2017-09-13,1172.3011
2017-09-14,1171.913
2017-09-15,1169.3046
2017-09-18,1170.2639
2017-09-19,1148.4796
2017-09-20,1157.2637
2017-09-21,1159.2635
2017-09-22,1163.4164
2017-09-25,1165.1929
2017-09-26,1167.4553
2017-09-27,1175.7126
2017-09-28,1165.135
2017-09-29,1168.336
2017-10-02,1175.6152
2017-10-03,1172.3693
2017-10-04,1183.2334
2017-10-05,1182.6176
2017-10-06,1185.3962
2017-10-09,1185.6509
2017-10-10,1180.1854
2017-10-11,1181.4059
2017-10-12,1183.8301
2017-10-13,1190.2812
2017-10-16,1188.7983
2017-10-17,1177.5139
2017-10-18,1180.2439
2017-10-19,1174.4287
2017-10-20,1184.2705
2017-10-23,1177.1923
2017-10-24,1180.4781
2017-10-25,1181.0836
2017-10-26,1172.5537
2017-10-27,1174.9539
2017-10-30,1179.0928
2017-10-31,1186.4055
2017-11-01,1193.3894
2017-11-02,1193.5076
2017-11-03,1194.5516
2017-11-06,1181.3766
2017-11-07,1168.6943
2017-11-08,1177.5624
2017-11-09,1167.6199
2017-11-10,1172.845
2017-11-13,1138.2692
2017-11-14,1134.4911
2017-11-15,1123.8743
2017-11-16,1117.162
2017-11-17,1118.4047
2017-11-20,1131.1759
2017-11-21,1128.0284
2017-11-22,1128.2827
2017-11-23,1125.4707
2017-11-24,1125.0385
2017-11-27,1119.5175
2017-11-28,1115.0531
2017-11-29,1107.7805
2017-11-30,1124.5127
2017-12-01,1122.1581
2017-12-04,1129.705
2017-12-05,1126.8806
2017-12-06,1120.8558
2017-12-07,1109.024
2017-12-08,1113.031
2017-12-11,1117.7971
2017-12-12,1129.8557
2017-12-13,1131.6005
2017-12-14,1133.0732
2017-12-15,1129.1772
2017-12-18,1131.9688
2017-12-19,1124.0057
2017-12-20,1138.9237
2017-12-21,1139.3884
2017-12-22,1135.6263
2017-12-27,1141.6771
2017-12-28,1145.4459
2017-12-29,1149.3107
2018-01-02,1145.0647
2018-01-03,1145.2839
2018-01-04,1148.451
2018-01-05,1151.9696
2018-01-08,1155.0364
2018-01-09,1163.8989
2018-01-10,1173.1946
2018-01-11,1175.4012
2018-01-12,1168.8688
2018-01-15,1156.0153
2018-01-16,1150.4673
2018-01-17,1149.7886
2018-01-18,1150.0944
2018-01-19,1156.7928
2018-01-22,1154.4031
2018-01-23,1161.1699
2018-01-24,1164.2755
2018-01-25,1163.6866
2018-01-26,1159.0133
2018-01-29,1143.037
2018-01-30,1149.5017
2018-01-31,1149.005
2018-02-01,1140.8884
2018-02-02,1137.0656
2018-02-05,1123.818
2018-02-06,1100.6023
2018-02-07,1092.7649
2018-02-08,1092.2605
2018-02-09,1100.5193
2018-02-12,1089.1653
2018-02-13,1095.4642
2018-02-14,1113.4595
2018-02-15,1106.4642
2018-02-16,1116.938
2018-02-19,1125.1136
2018-02-20,1141.8767
2018-02-21,1130.2988
2018-02-22,1132.6484
2018-02-23,1132.5729
2018-02-26,1143.8745
2018-02-27,1153.0804
2018-02-28,1160.7556
2018-03-01,1146.4183
2018-03-02,1146.3992
2018-03-05,1132.5822
2018-03-06,1117.7224
2018-03-07,1123.8462
2018-03-08,1123.4521
2018-03-09,1128.857
2018-03-12,1138.2218
2018-03-13,1140.0149
2018-03-14,1140.3376
2018-03-15,1133.2906
2018-03-16,1129.7521
2018-03-19,1128.3485
2018-03-20,1130.0159
2018-03-21,1124.5315
2018-03-22,1125.1042
2018-03-23,1123.1895
2018-03-26,1106.0751
2018-03-27,1112.5842
2018-03-28,1109.999
2018-04-03,1108.8013
2018-04-04,1116.2471
2018-04-05,1112.1932
2018-04-06,1099.4404
2018-04-09,1109.5625
2018-04-10,1112.3888
2018-04-11,1115.5566
2018-04-12,1117.5542
2018-04-13,1105.6398
2018-04-16,1108.263
2018-04-17,1104.7234
2018-04-18,1102.1715
2018-04-19,1113.1986
2018-04-20,1116.2378
2018-04-23,1112.9565
2018-04-24,1113.1521
2018-04-25,1116.6577
2018-04-26,1115.3329
2018-04-30,1104.4735
2018-05-01,1116.2844
2018-05-02,1114.4285
2018-05-03,1118.0587
2018-05-04,1134.1224
2018-05-07,1133.0923
2018-05-08,1131.7516
2018-05-09,1149.0336
2018-05-14,1156.0055
2018-05-15,1156.9178
2018-05-16,1159.5426
2018-05-17,1143.3699
2018-05-18,1141.3635
2018-05-22,1142.5994
2018-05-23,1139.7017
2018-05-24,1143.0941
2018-05-25,1139.6353
2018-05-28,1130.8081
2018-05-29,1135.3235
2018-05-30,1119.1807
2018-05-31,1106.9832
2018-06-01,1112.4259
2018-06-04,1115.0157
2018-06-06,1131.5061
2018-06-07,1133.8009
2018-06-08,1126.7114
2018-06-11,1118.6758
2018-06-12,1113.9253
2018-06-13,1120.706
2018-06-14,1121.7457
2018-06-15,1124.4187
2018-06-18,1134.0563
2018-06-19,1134.2831
2018-06-20,1118.5074
2018-06-21,1112.8634
2018-06-22,1122.8612
2018-06-25,1120.6499
2018-06-26,1125.1793
2018-06-27,1116.1351
2018-06-28,1101.0913
2018-06-29,1102.5042
2018-07-02,1092.2605
2018-07-03,1098.8965
2018-07-04,1093.1044
2018-07-05,1101.359
2018-07-06,1101.673
2018-07-09,1097.0275
2018-07-10,1102.8461
2018-07-11,1112.4352
2018-07-12,1121.09
2018-07-13,1118.5074
2018-07-16,1131.5438
2018-07-17,1131.1005
2018-07-18,1128.763
2018-07-19,1138.8667
2018-07-20,1132.6484
2018-07-23,1137.1509
2018-07-24,1145.6176
2018-07-25,1143.0941
2018-07-26,1151.7301
2018-07-27,1154.6238
2018-07-30,1168.8881
2018-07-31,1166.6912
2018-08-01,1163.2139
2018-08-02,1156.2551
2018-08-03,1157.5424
2018-08-06,1156.3127
2018-08-07,1158.5516
2018-08-08,1152.2664
2018-08-09,1147.458
2018-08-10,1131.6855
2018-08-13,1139.2461
2018-08-14,1134.0183
2018-08-15,1142.4187
2018-08-16,1142.9609
2018-08-17,1130.1384
2018-08-20,1140.5371
2018-08-21,1140.6035
2018-08-22,1147.8112
2018-08-23,1151.6537
2018-08-24,1157.9556
2018-08-27,1156.0438
2018-08-28,1162.1338
2018-08-29,1173.8164
2018-08-30,1174.6233
2018-08-31,1173.9038
2018-09-03,1175.5667
2018-09-04,1169.3336
2018-09-05,1166.3914
2018-09-06,1153.0997
2018-09-07,1136.6393
2018-09-10,1138.0891
2018-09-11,1135.7588
2018-09-12,1135.7683
2018-09-13,1129.0642
2018-09-14,1132.7996
2018-09-17,1130.9872
2018-09-18,1122.3082
2018-09-19,1116.9752
2018-09-20,1122.6549
2018-09-21,1116.3684
2018-09-24,1126.3916
2018-09-25,1127.5109
2018-09-26,1120.2192
2018-09-27,1128.0378
2018-09-28,1126.3635
2018-10-01,1120.1725
2018-10-02,1120.884
2018-10-03,1122.7863
2018-10-04,1121.652
2018-10-05,1115.4539
2018-10-08,1079.4325
2018-10-09,1073.3723
2018-10-10,1052.9669
2018-10-11,1050.3815
2018-10-12,1022.0664
2018-10-15,1029.732
2018-10-16,1036.1907
2018-10-17,1033.6749
2018-10-18,1054.2483
2018-10-19,1053.2249
2018-10-22,1059.8518
2018-10-23,1054.3107
2018-10-24,1048.8203
2018-10-25,1022.31793
2018-10-26,1020.6275
2018-10-29,1012.8732
2018-10-30,1007.069
2018-10-31,1026.7244
2018-11-01,1024.6626
2018-11-02,1035.1996
2018-11-05,1048.9357
2018-11-06,1053.8745
2018-11-07,1043.4071
2018-11-08,1048.9268
2018-11-09,1062.627
2018-11-12,1070.1771
2018-11-13,1069.6365
2018-11-14,1064.0347
2018-11-15,1054.569
2018-11-16,1055.8875
2018-11-19,1038.2281
2018-11-20,1041.22
2018-11-21,1037.0948
2018-11-22,1023.8545
2018-11-23,1027.7086
2018-11-26,1027.4211
2018-11-27,1041.9694
2018-11-28,1058.3413
2018-11-29,1052.5846
2018-11-30,1051.6335
2018-12-03,1052.4513
2018-12-04,1052.149
2018-12-05,1051.4736
2018-12-06,1052.7802
2018-12-07,1053.1449
2018-12-10,1034.9103
2018-12-11,1045.5093
2018-12-12,1036.2083
2018-12-13,1045.6597
2018-12-14,1049.6716
2018-12-17,1056.8953
2018-12-18,1053.385
2018-12-19,1045.9603
2018-12-20,1039.4241
2018-12-21,1029.9415
2018-12-27,1017.3055
2018-12-28,1011.23035
2019-01-02,998.1439
2019-01-03,1008.29443
2019-01-04,1016.1139
2019-01-07,1010.1135
2019-01-08,1030.745
2019-01-09,1037.2266
2019-01-10,1046.8717
2019-01-11,1049.9644
2019-01-14,1046.4734
2019-01-15,1044.608
2019-01-16,1033.1321
2019-01-17,1034.2618
2019-01-18,1041.7047
2019-01-21,1045.5093
2019-01-22,1051.7402
2019-01-23,1055.3439
2019-01-24,1051.6959
2019-01-25,1050.2838
2019-01-28,1048.59
2019-01-29,1045.7305
2019-01-30,1040.0753
2019-01-31,1047.2346
2019-02-01,1050.4258
2019-02-04,1048.9268
2019-02-05,1059.1991
2019-02-06,1057.5646
2019-02-07,1080.3043
2019-02-08,1073.0652
2019-02-11,1067.3317
2019-02-12,1059.7803
2019-02-13,1070.7632
2019-02-14,1080.5496
2019-02-15,1081.5588
2019-02-18,1087.3828
2019-02-19,1092.8933
2019-02-20,1094.3801
2019-02-21,1089.705
2019-02-22,1096.1444
2019-02-25,1089.0739
2019-02-26,1095.7123
2019-02-27,1099.3851
2019-02-28,1102.9476
2019-03-01,1099.5879
2019-03-04,1103.5208
2019-03-05,1108.4392
2019-03-06,1112.7333
2019-03-07,1115.0157
2019-03-08,1109.9806
2019-03-11,1107.3633
2019-03-12,1104.2236
2019-03-13,1106.5105
2019-03-14,1112.7145
2019-03-15,1119.0872
2019-03-18,1127.0875
2019-03-19,1131.0911
2019-03-20,1130.6005
2019-03-21,1138.326
2019-03-22,1135.2761
2019-03-25,1134.8032
2019-03-26,1117.9374
2019-03-27,1114.0464
2019-03-28,1122.2236
2019-03-29,1119.1714
2019-04-01,1120.2473
2019-04-02,1124.062
2019-04-03,1139.2081
2019-04-04,1146.7139
2019-04-05,1146.7139
2019-04-08,1137.8711
2019-04-09,1143.5984
2019-04-10,1142.048
2019-04-11,1138.7433
2019-04-12,1140.6415
2019-04-15,1140.0908
2019-04-16,1143.6554
2019-04-17,1148.489
2019-04-23,1147.9927
2019-04-24,1140.8125
2019-04-25,1143.313
2019-04-26,1142.6471
2019-04-29,1139.5782
2019-04-30,1155.3336
2019-05-01,1152.6016
2019-05-02,1150.3047
2019-05-03,1152.6876
2019-05-06,1141.468
2019-05-07,1137.7003
2019-05-08,1132.2236
2019-05-09,1133.716
2019-05-10,1138.0796
2019-05-13,1127.4073
2019-05-14,1125.4048
2019-05-15,1104.6122
2019-05-16,1110.5288
2019-05-20,1106.3623
2019-05-21,1120.4438
2019-05-22,1111.0493
2019-05-23,1121.7083
2019-05-24,1132.2708
2019-05-27,1120.4438
2019-05-28,1125.4519
2019-05-29,1116.3217
2019-06-03,1127.257
2019-06-04,1099.1086
2019-06-06,1101.8484
2019-06-07,1099.4034
2019-06-11,1109.4882
2019-06-12,1114.7361
2019-06-13,1129.7992
2019-06-14,1137.4066
2019-06-17,1132.6199
2019-06-18,1125.7806
2019-06-19,1129.4222
2019-06-20,1138.5157
2019-06-21,1143.4652
2019-06-24,1140.461
2019-06-25,1129.7334
2019-06-26,1129.0736
2019-06-27,1131.7327
2019-06-28,1125.5646
2019-07-01,1114.9877
2019-07-02,1123.5553
2019-07-03,1141.088
2019-07-04,1144.1791
2019-07-05,1157.9172
2019-07-08,1153.138
2019-07-09,1140.461
2019-07-10,1140.822
2019-07-11,1134.8221
2019-07-12,1138.9425
2019-07-15,1135.1152
2019-07-16,1123.4427
2019-07-17,1130.2327
2019-07-18,1134.094
2019-07-19,1130.8174
2019-07-22,1131.5061
2019-07-23,1128.5652
2019-07-24,1129.2622
2019-07-25,1133.2719
2019-07-26,1139.7491
2019-07-29,1140.6891
2019-07-30,1137.9185
2019-07-31,1138.9615
2019-08-01,1120.5936
2019-08-02,1124.813
2019-08-05,1137.5488
2019-08-06,1118.1243
2019-08-07,1093.1318
2019-08-08,1101.4513
2019-08-09,1107.8176
2019-08-12,1125.358
2019-08-13,1115.2023
2019-08-14,1106.2697
2019-08-15,1114.5123
2019-08-16,1102.1532
2019-08-19,1101.4977
2019-08-20,1121.7738
2019-08-21,1124.1372
2019-08-22,1124.6724
2019-08-23,1141.6771
2019-08-26,1139.1133
2019-08-27,1134.4249
2019-08-28,1125.3203
2019-08-29,1129.8652
2019-08-30,1124.7568
2019-09-02,1124.935
2019-09-03,1133.9615
2019-09-04,1141.0786
2019-09-05,1144.5598
2019-09-06,1151.5867
2019-09-09,1155.3625
2019-09-10,1156.1687
2019-09-11,1148.6992
2019-09-12,1132.7333
2019-09-13,1153.5022
2019-09-16,1149.8076
2019-09-17,1146.9714
2019-09-18,1138.5441
2019-09-19,1143.7792
2019-09-20,1144.2267
2019-09-23,1145.9225
2019-09-24,1149.3489
2019-09-25,1149.0529
2019-09-26,1153.2339
2019-09-27,1142.5994
2019-09-30,1149.282
2019-10-01,1147.1241
2019-10-02,1141.9149
2019-10-03,1128.2921
2019-10-04,1101.6083
2019-10-07,1103.5763
2019-10-08,1114.7733
2019-10-09,1122.9362
2019-10-10,1113.6924
2019-10-11,1115.6686
2019-10-14,1107.7064
2019-10-15,1118.7318
2019-10-16,1128.5087
2019-10-17,1139.4075
2019-10-18,1131.1947
2019-10-21,1131.9308
2019-10-22,1122.458
2019-10-23,1133.319
2019-10-24,1139.322
2019-10-25,1141.8767
2019-10-28,1144.3503
2019-10-29,1149.282
2019-10-30,1157.2157
2019-10-31,1146.2085
2019-11-01,1154.3074
2019-11-04,1149.0908
