Date,Predict
2007-01-02,1144.3805
2007-01-03,1144.3805
2007-01-04,1161.021
2007-01-05,1155.3488
2007-01-08,1146.6598
2007-01-09,1144.3312
2007-01-10,1141.6284
2007-01-11,1140.2577
2007-01-12,1130.3633
2007-01-15,1156.9889
2007-01-16,1156.4156
2007-01-17,1170.665
2007-01-18,1167.459
2007-01-19,1172.6743
2007-01-22,1170.3878
2007-01-23,1177.2983
2007-01-24,1178.0708
2007-01-25,1171.9121
2007-01-26,1174.6444
2007-01-29,1182.4996
2007-01-30,1174.1096
2007-01-31,1175.6246
2007-02-01,1186.901
2007-02-02,1182.6582
2007-02-05,1188.3386
2007-02-06,1183.7582
2007-02-07,1189.261
2007-02-08,1197.5863
2007-02-09,1202.5415
2007-02-12,1190.2332
2007-02-13,1197.7054
2007-02-14,1183.7881
2007-02-15,1186.7421
2007-02-16,1208.7219
2007-02-19,1216.8068
2007-02-20,1211.5056
2007-02-21,1217.8813
2007-02-22,1207.9565
2007-02-23,1203.7733
2007-02-26,1204.2401
2007-02-27,1214.7675
2007-02-28,1226.044
2007-03-01,1179.7747
2007-03-02,1154.8152
2007-03-05,1148.2391
2007-03-06,1156.5048
2007-03-07,1145.0319
2007-03-08,1145.6632
2007-03-09,1161.3374
2007-03-12,1183.907
2007-03-13,1185.5327
2007-03-14,1188.1603
2007-03-15,1172.5256
2007-03-16,1134.0869
2007-03-19,1163.6016
2007-03-20,1163.8489
2007-03-21,1185.384
2007-03-22,1192.8522
2007-03-23,1201.2007
2007-03-26,1219.9911
2007-03-27,1218.2793
2007-03-28,1202.7798
2007-03-29,1211.0979
2007-03-30,1197.6954
2007-04-02,1210.75
2007-04-03,1210.8792
2007-04-04,1222.3899
2007-04-05,1241.9128
2007-04-10,1237.7836
2007-04-11,1238.5316
2007-04-12,1252.0544
2007-04-13,1245.5248
2007-04-16,1249.538
2007-04-17,1259.8478
2007-04-18,1273.9622
2007-04-19,1274.5929
2007-04-20,1268.0677
2007-04-23,1263.6968
2007-04-24,1278.5079
2007-04-25,1274.753
2007-04-26,1257.3093
2007-04-27,1261.0474
2007-04-30,1271.1195
2007-05-02,1260.9274
2007-05-03,1270.1488
2007-05-04,1264.1068
2007-05-07,1253.0732
2007-05-08,1260.5074
2007-05-09,1268.9381
2007-05-10,1236.9458
2007-05-11,1236.0585
2007-05-14,1218.12
2007-05-15,1236.7466
2007-05-16,1250.7761
2007-05-18,1252.9633
2007-05-21,1255.5906
2007-05-22,1265.7769
2007-05-23,1259.6179
2007-05-24,1251.8148
2007-05-25,1275.4938
2007-05-28,1269.4084
2007-05-29,1265.357
2007-05-30,1271.4097
2007-05-31,1267.3274
2007-06-01,1257.589
2007-06-04,1272.6407
2007-06-05,1288.3682
2007-06-07,1281.1522
2007-06-08,1277.3663
2007-06-11,1229.1818
2007-06-12,1235.271
2007-06-13,1246.0339
2007-06-14,1233.7657
2007-06-15,1240.7756
2007-06-18,1264.0469
2007-06-19,1272.3505
2007-06-20,1284.4287
2007-06-21,1272.931
2007-06-25,1274.8431
2007-06-26,1249.2085
2007-06-27,1246.4933
2007-06-28,1240.8156
2007-06-29,1237.5741
2007-07-02,1254.2618
2007-07-03,1251.1857
2007-07-04,1250.816
2007-07-05,1270.8092
2007-07-06,1275.8142
2007-07-09,1270.3889
2007-07-10,1274.7029
2007-07-11,1289.6013
2007-07-12,1281.3126
2007-07-13,1280.9117
2007-07-16,1303.699
2007-07-17,1305.165
2007-07-18,1308.2887
2007-07-19,1296.6525
2007-07-20,1288.0973
2007-07-23,1299.342
2007-07-24,1279.4996
2007-07-25,1289.521
2007-07-26,1271.2196
2007-07-27,1251.5751
2007-07-30,1208.8212
2007-07-31,1211.9231
2007-08-01,1224.7892
2007-08-02,1240.217
2007-08-03,1217.5131
2007-08-06,1232.2308
2007-08-07,1217.1948
2007-08-08,1200.3763
2007-08-09,1213.027
2007-08-10,1239.838
2007-08-13,1206.4261
2007-08-14,1166.9148
2007-08-15,1201.9752
2007-08-16,1190.3818
2007-08-17,1180.1512
2007-08-20,1142.5656
2007-08-21,1160.1216
2007-08-22,1172.991
2007-08-23,1167.0831
2007-08-24,1188.6165
2007-08-27,1194.4001
2007-08-28,1206.3069
2007-08-29,1197.3082
2007-08-30,1167.7162
2007-08-31,1183.9368
2007-09-03,1197.6555
2007-09-04,1209.716
2007-09-05,1218.7373
2007-09-06,1222.4894
2007-09-07,1194.2214
2007-09-10,1187.3075
2007-09-11,1156.8999
2007-09-12,1144.3115
2007-09-13,1169.2301
2007-09-14,1177.3279
2007-09-17,1193.2194
2007-09-18,1176.4961
2007-09-19,1157.6903
2007-09-20,1175.7136
2007-09-21,1218.1997
2007-09-24,1204.8263
2007-09-25,1209.0203
2007-09-26,1195.075
2007-09-27,1181.1816
2007-09-28,1193.2491
2007-10-01,1213.6932
2007-10-02,1217.971
2007-10-03,1225.6957
2007-10-04,1232.2408
2007-10-05,1238.1227
2007-10-08,1239.9877
2007-10-09,1254.0221
2007-10-10,1248.1202
2007-10-11,1254.9113
2007-10-12,1256.7196
2007-10-15,1264.0168
2007-10-16,1256.6198
2007-10-17,1245.984
2007-10-18,1200.4855
2007-10-19,1203.3759
2007-10-22,1184.026
2007-10-23,1166.529
2007-10-24,1142.9994
2007-10-25,1172.1693
2007-10-26,1155.7932
2007-10-29,1169.2896
2007-10-30,1170.1106
2007-10-31,1173.387
2007-11-01,1167.1819
2007-11-02,1179.9033
2007-11-05,1165.3422
2007-11-06,1150.2528
2007-11-07,1154.5289
2007-11-08,1160.1216
2007-11-09,1147.4495
2007-11-12,1142.6246
2007-11-13,1112.6932
2007-11-14,1123.4224
2007-11-15,1117.8053
2007-11-16,1119.0641
2007-11-19,1100.4178
2007-11-20,1094.6306
2007-11-21,1064.3412
2007-11-22,1075.2982
2007-11-23,1057.8387
2007-11-26,1052.5316
2007-11-27,1054.7654
2007-11-28,1061.3236
2007-11-29,1057.3997
2007-11-30,1092.3462
2007-12-03,1097.0039
2007-12-04,1104.4619
2007-12-05,1100.2218
2007-12-06,1079.476
2007-12-07,1099.7114
2007-12-10,1103.0089
2007-12-11,1117.2251
2007-12-12,1128.246
2007-12-13,1128.9154
2007-12-14,1127.2416
2007-12-17,1099.9569
2007-12-18,1095.6112
2007-12-19,1066.4023
2007-12-20,1063.2474
2007-12-21,1063.1008
2007-12-27,1058.727
2007-12-28,1077.2354
2008-01-02,1072.0809
2008-01-03,1079.6914
2008-01-04,1057.146
2008-01-07,1049.5773
2008-01-08,1014.5841
2008-01-09,1011.5381
2008-01-10,1024.0894
2008-01-11,1003.97705
2008-01-14,990.4355
2008-01-15,988.7337
2008-01-16,1008.15405
2008-01-17,973.48425
2008-01-18,967.1972
2008-01-21,967.83325
2008-01-22,959.4905
2008-01-23,921.20166
2008-01-24,957.8539
2008-01-25,924.58203
2008-01-28,960.3763
2008-01-29,963.40045
2008-01-30,951.2635
2008-01-31,958.8549
2008-02-01,953.2448
2008-02-04,951.22504
2008-02-05,977.61444
2008-02-06,977.6434
2008-02-07,947.94666
2008-02-08,953.91815
2008-02-11,928.98016
2008-02-12,924.084
2008-02-13,915.1154
2008-02-14,947.73517
2008-02-15,951.23456
2008-02-18,952.9562
2008-02-19,941.37524
2008-02-20,963.8244
2008-02-21,968.92255
2008-02-22,956.5064
2008-02-25,961.5703
2008-02-26,946.50507
2008-02-27,963.58356
2008-02-28,981.1579
2008-02-29,987.1484
2008-03-03,972.4521
2008-03-04,966.8693
2008-03-05,956.20807
2008-03-06,934.5801
2008-03-07,952.38873
2008-03-10,940.68396
2008-03-11,928.6637
2008-03-12,918.263
2008-03-13,932.585
2008-03-14,950.0231
2008-03-17,939.1959
2008-03-18,927.39874
2008-03-19,891.4076
2008-03-20,918.1387
2008-03-25,909.6176
2008-03-26,899.24664
2008-03-27,934.94464
2008-03-28,934.7336
2008-03-31,955.02454
2008-04-01,953.79315
2008-04-02,954.19727
2008-04-03,982.2494
2008-04-04,997.41113
2008-04-07,988.3083
2008-04-08,980.6462
2008-04-09,993.95636
2008-04-10,982.11426
2008-04-11,979.6129
2008-04-14,971.30426
2008-04-15,958.4219
2008-04-16,950.6097
2008-04-17,952.33093
2008-04-18,979.15906
2008-04-21,965.4237
2008-04-22,982.45233
2008-04-23,970.6293
2008-04-24,964.0363
2008-04-25,977.70135
2008-04-28,968.50806
2008-04-29,999.26996
2008-04-30,1005.5468
2008-05-02,991.4219
2008-05-05,986.91626
2008-05-06,1008.3479
2008-05-07,1009.44354
2008-05-08,1006.923
2008-05-09,1019.8448
2008-05-12,1019.4759
2008-05-13,1003.80273
2008-05-14,1008.4449
2008-05-15,1011.8969
2008-05-16,1012.8669
2008-05-19,1017.98083
2008-05-20,1022.88464
2008-05-21,1036.185
2008-05-22,1011.6642
2008-05-23,1004.6263
2008-05-26,1017.0782
2008-05-27,994.8175
2008-05-28,998.0404
2008-05-29,993.6274
2008-05-30,1003.14386
2008-06-02,1002.17523
2008-06-03,1005.14954
2008-06-04,996.1336
2008-06-05,998.3308
2008-06-09,984.452
2008-06-10,982.1721
2008-06-11,959.683
2008-06-12,953.56213
2008-06-13,937.6026
2008-06-16,949.7154
2008-06-17,949.8213
2008-06-18,949.73456
2008-06-19,958.78766
2008-06-23,944.0933
2008-06-24,935.6449
2008-06-25,917.9952
2008-06-26,902.05255
2008-06-27,914.398
2008-06-30,885.6917
2008-07-01,868.6596
2008-07-02,863.9128
2008-07-03,848.19775
2008-07-04,856.18304
2008-07-07,858.1549
2008-07-08,847.10913
2008-07-09,859.6342
2008-07-10,843.7595
2008-07-11,858.02216
2008-07-14,841.1113
2008-07-15,822.24756
2008-07-16,834.50543
2008-07-17,823.55804
2008-07-18,834.732
2008-07-21,864.6246
2008-07-22,886.1297
2008-07-23,891.4648
2008-07-24,869.4384
2008-07-25,885.7012
2008-07-28,863.60913
2008-07-29,864.52014
2008-07-30,856.9508
2008-07-31,858.2023
2008-08-01,871.79443
2008-08-04,873.2104
2008-08-05,861.09485
