Date,Predict
2007-01-02,5658.0845
2007-01-03,5658.0845
2007-01-04,5667.18
2007-01-05,5619.3184
2007-01-08,5564.6113
2007-01-09,5545.6
2007-01-10,5502.006
2007-01-11,5567.7314
2007-01-12,5517.4653
2007-01-15,5562.8003
2007-01-16,5627.894
2007-01-17,5657.2764
2007-01-18,5650.811
2007-01-19,5640.41
2007-01-22,5654.75
2007-01-23,5674.0537
2007-01-24,5709.2627
2007-01-25,5736.312
2007-01-29,5768.364
2007-01-30,5759.231
2007-01-31,5742.902
2007-02-01,5806.5557
2007-02-02,5768.0586
2007-02-05,5816.01
2007-02-06,5815.197
2007-02-07,5816.112
2007-02-08,5890.757
2007-02-09,5891.1646
2007-02-12,5894.531
2007-02-13,5910.855
2007-02-14,5910.855
2007-02-15,5937.608
2007-02-16,5959.889
2007-02-19,5984.0303
2007-02-20,5946.9067
2007-02-21,5986.077
2007-02-22,5972.0586
2007-02-23,5943.3296
2007-02-26,6011.06
2007-02-27,6028.3774
2007-02-28,6035.3477
2007-03-01,5983.4155
2007-03-02,5828.317
2007-03-05,5791.82
2007-03-06,5758.622
2007-03-07,5642.4297
2007-03-08,5764.6084
2007-03-09,5807.5713
2007-03-12,5814.9927
2007-03-13,5815.502
2007-03-14,5881.9883
2007-03-15,5824.859
2007-03-16,5756.2886
2007-03-19,5849.996
2007-03-20,5825.977
2007-03-21,5859.7734
2007-03-22,5871.4893
2007-03-23,5867.4136
2007-03-26,5944.148
2007-03-27,5948.8486
2007-03-28,5976.9688
2007-03-29,5948.8486
2007-03-30,5908.508
2007-04-02,5958.458
2007-04-03,5984.8477
2007-04-04,5919.3276
2007-04-05,6019.256
2007-04-10,6087.172
2007-04-11,6076.2856
2007-04-12,6155.762
2007-04-13,6142.6895
2007-04-16,6162.866
2007-04-17,6141.4546
2007-04-18,6198.8276
2007-04-19,6188.726
2007-04-20,6226.5747
2007-04-23,6164.411
2007-04-24,6215.4316
2007-04-26,6206.768
2007-04-27,6191.818
2007-04-30,6198.3125
2007-05-01,6152.468
2007-05-02,6158.5415
2007-05-03,6150.306
2007-05-04,6242.4717
2007-05-07,6254.0376
2007-05-08,6320.417
2007-05-09,6341.539
2007-05-10,6297.551
2007-05-11,6351.7935
2007-05-14,6335.6357
2007-05-15,6307.586
2007-05-16,6332.2188
2007-05-17,6298.3794
2007-05-18,6303.0337
2007-05-21,6353.762
2007-05-22,6319.072
2007-05-23,6370.5513
2007-05-24,6331.597
2007-05-25,6352.6226
2007-05-28,6271.704
2007-05-29,6263.025
2007-05-30,6249.7
2007-05-31,6317.312
