Date,Predict
2007-01-03,8960.561
2007-01-04,8960.561
2007-01-05,8951.31
2007-01-08,8990.219
2007-01-09,8989.893
2007-01-10,8964.825
2007-01-11,8915.367
2007-01-12,8978.441
2007-01-15,9054.948
2007-01-16,9144.067
2007-01-17,9187.053
2007-01-18,9162.132
2007-01-19,9200.707
2007-01-22,9158.701
2007-01-23,9240.653
2007-01-24,9187.583
2007-01-25,9220.35
2007-01-26,9271.653
2007-01-29,9192.64
2007-01-30,9124.977
2007-01-31,9189.353
2007-02-01,9216.764
2007-02-02,9294.964
2007-02-05,9321.622
2007-02-06,9341.822
2007-02-07,9352.109
2007-02-08,9365.499
2007-02-09,9386.898
2007-02-12,9361.93
2007-02-13,9340.014
2007-02-14,9367.449
2007-02-15,9369.634
2007-02-16,9429.675
2007-02-19,9373.587
2007-02-20,9436.432
2007-02-21,9458.015
2007-02-22,9431.82
2007-02-23,9330.72
2007-02-26,9351.491
2007-02-27,9334.958
2007-02-28,9214.377
2007-03-01,8805.279
2007-03-02,8850.99
2007-03-05,8912.286
2007-03-06,8699.749
2007-03-07,8846.5
2007-03-08,8865.177
2007-03-09,8975.755
2007-03-12,9011.343
2007-03-13,9043.917
2007-03-14,8971.941
2007-03-15,8708.625
2007-03-16,8746.384
2007-03-19,8758.912
2007-03-20,8869.774
2007-03-21,8914.547
2007-03-22,8951.413
2007-03-23,9133.632
2007-03-26,9149.848
2007-03-27,9174.653
2007-03-28,9133.081
2007-03-29,8998.838
2007-03-30,8979.189
2007-04-02,9063.648
2007-04-03,9005.49
2007-04-04,9088.326
2007-04-05,9160.819
2007-04-10,9132.7
2007-04-11,9186.046
2007-04-12,9230.909
2007-04-13,9206.487
2007-04-16,9210.517
2007-04-17,9314.237
2007-04-18,9348.616
2007-04-19,9325.229
2007-04-20,9271.166
2007-04-23,9414.139
2007-04-24,9546.41
2007-04-25,9549.099
2007-04-26,9481.49
2007-04-27,9606.782
2007-04-30,9576.899
2007-05-02,9499.569
2007-05-03,9545.126
2007-05-04,9539.28
2007-05-07,9515.937
2007-05-08,9583.223
2007-05-09,9554.476
2007-05-10,9538.53
2007-05-11,9545.575
2007-05-14,9383.563
2007-05-15,9570.771
2007-05-16,9465.867
2007-05-18,9478.369
2007-05-21,9491.176
2007-05-22,9552.922
2007-05-23,9493.068
2007-05-24,9492.717
2007-05-25,9498.877
2007-05-29,9420.22
2007-05-30,9510.567
2007-05-31,9441.346
2007-06-01,9564.031
2007-06-04,9581.369
2007-06-05,9626.374
2007-06-06,9607.726
2007-06-07,9497.902
2007-06-08,9402.905
2007-06-11,9175.057
2007-06-12,9290.723
2007-06-13,9284.726
2007-06-14,9242.638
2007-06-15,9313.151
2007-06-18,9392.699
2007-06-19,9519.232
2007-06-20,9488.429
2007-06-21,9463.6875
2007-06-22,9385.791
2007-06-25,9341.354
2007-06-26,9199.488
2007-06-27,9165.437
2007-06-28,9122.775
2007-06-29,9190.391
2007-07-02,9252.151
2007-07-03,9284.726
2007-07-04,9329.475
2007-07-05,9337.692
2007-07-06,9421.512
2007-07-09,9305.844
2007-07-10,9404.856
2007-07-11,9376.562
2007-07-12,9246.8
2007-07-13,9321.568
2007-07-16,9432.569
2007-07-17,9380.662
2007-07-18,9356.87
2007-07-19,9212.596
2007-07-20,9206.89
2007-07-23,9309.227
2007-07-24,9188.897
2007-07-25,9169.175
2007-07-26,9060.564
2007-07-27,9041.859
2007-07-30,8673.784
2007-07-31,8787.431
2007-08-02,8832.498
2007-08-03,8968.7295
2007-08-06,8866.6045
2007-08-07,8639.709
2007-08-08,8770.715
2007-08-09,8871.789
2007-08-10,8993.306
2007-08-13,8738.166
2007-08-14,8727.315
2007-08-15,8665.794
2007-08-16,8547.031
2007-08-17,8526.1455
2007-08-20,8412.192
2007-08-21,8655.251
2007-08-22,8660.745
2007-08-23,8697.713
2007-08-24,8861.786
2007-08-27,8750.366
2007-08-28,8885.641
2007-08-29,8893.918
2007-08-30,8714.894
2007-08-31,8858.523
2007-09-03,8881.114
2007-09-04,9008.041
2007-09-05,8923.526
2007-09-06,9028.079
2007-09-07,8968.132
2007-09-10,8867.991
2007-09-11,8749.134
2007-09-12,8734.747
2007-09-13,8797.141
2007-09-14,8829.961
2007-09-17,8894.927
2007-09-18,8804.116
2007-09-19,8729.1455
2007-09-20,9041.499
2007-09-21,9022.615
2007-09-24,8973.923
2007-09-25,8944.364
2007-09-26,8937.095
2007-09-27,8932.528
2007-09-28,8981.012
2007-10-01,8975.397
2007-10-02,8925.398
2007-10-03,9150.832
2007-10-04,9161.56
2007-10-05,9131.009
2007-10-08,9140.288
2007-10-09,9161.094
2007-10-10,9190.604
2007-10-11,9245.75
2007-10-12,9266.863
2007-10-15,9252.599
2007-10-16,9273.516
2007-10-17,9217.433
2007-10-18,9122.173
2007-10-19,9169.589
2007-10-22,9085.875
2007-10-23,8895.462
2007-10-24,8962.225
2007-10-25,8971.216
2007-10-26,8973.47
2007-10-29,8992.802
2007-10-30,9097.015
2007-10-31,9044.982
2007-11-01,9016.076
2007-11-02,9108.253
2007-11-05,8890.241
2007-11-06,8771.469
2007-11-07,8803.991
2007-11-08,8865.953
2007-11-09,8663.34
2007-11-12,8721.234
2007-11-13,8409.566
2007-11-14,8445.368
2007-11-15,8648.483
2007-11-16,8714.11
2007-11-19,8583.727
2007-11-20,8515.318
2007-11-21,8383.941
2007-11-22,8273.5625
2007-11-23,8188.616
2007-11-26,8287.688
2007-11-27,8489.934
2007-11-28,8381.357
2007-11-29,8519.533
2007-11-30,8734.507
2007-12-03,8822.025
2007-12-04,8866.206
2007-12-05,8761.203
2007-12-06,8747.889
2007-12-07,8796.626
2007-12-10,8861.389
2007-12-11,8855.69
2007-12-12,8974.755
2007-12-13,8809.533
2007-12-14,8828.514
2007-12-17,8763.433
2007-12-18,8675.211
2007-12-19,8538.449
2007-12-20,8515.484
2007-12-21,8451.705
2007-12-27,8515.661
2007-12-28,8550.947
2008-01-03,8519.438
2008-01-04,8459.877
2008-01-07,8352.897
2008-01-08,8130.601
