Date,Predict
2007-01-04,6714.0586
2007-01-05,6714.0586
2007-01-08,6658.465
2007-01-09,6681.247
2007-01-10,6860.534
2007-01-11,7054.5903
2007-01-12,7264.1636
2007-01-15,7183.7085
2007-01-16,7114.1733
2007-01-17,7582.4995
2007-01-18,7856.9346
2007-01-19,7561.207
2007-01-22,7662.3423
2007-01-23,8001.4116
2007-01-24,8192.139
2007-01-25,8113.0933
2007-01-26,8106.5796
2007-01-29,7766.5996
2007-01-30,8094.241
2007-01-31,8215.9795
2007-02-01,8115.105
2007-02-02,7417.0884
2007-02-05,7571.58
2007-02-06,7207.435
2007-02-07,7209.271
2007-02-08,7327.672
2007-02-09,7466.433
2007-02-12,7597.8716
2007-02-13,7510.5547
2007-02-14,7871.9634
2007-02-15,7969.702
2007-02-16,8206.247
2007-02-26,8464.465
2007-02-27,8391.651
2007-02-28,8426.7
2007-03-01,7493.2617
2007-03-02,7927.1304
2007-03-05,7672.8076
2007-03-06,7768.664
2007-03-07,7674.533
2007-03-08,7833.361
2007-03-09,8017.181
2007-03-12,8104.3013
2007-03-13,7983.41
2007-03-14,7982.8257
2007-03-15,7963.734
2007-03-16,7946.8945
2007-03-19,8138.75
2007-03-20,7784.515
2007-03-21,8138.182
2007-03-22,8188.558
2007-03-23,8264.479
2007-03-26,8248.265
2007-03-27,8330.064
2007-03-28,8455.106
2007-03-29,8435.888
2007-03-30,8413.559
2007-04-02,8358.976
2007-04-03,8385.245
2007-04-04,8617.18
2007-04-05,8759.568
2007-04-06,8867.419
2007-04-09,8870.114
2007-04-10,9075.1045
2007-04-11,9246.954
2007-04-12,9416.135
2007-04-13,9498.386
2007-04-16,9702.549
2007-04-17,9759.546
2007-04-18,9991.127
2007-04-19,10017.612
2007-04-20,10046.605
2007-04-23,9599.768
2007-04-24,10062.012
2007-04-25,10437.36
2007-04-26,10296.457
2007-04-27,10405.163
2007-04-30,10511.949
2007-05-08,10386.17
2007-05-09,10748.16
2007-05-10,11130.073
2007-05-11,11155.836
2007-05-14,11068.319
2007-05-15,10992.483
2007-05-16,11373.035
2007-05-17,11022.558
2007-05-18,11394.22
2007-05-21,11624.742
2007-05-22,11314.703
2007-05-23,11898.751
2007-05-24,12023.728
2007-05-25,12258.557
2007-05-28,12084.809
2007-05-29,12410.213
2007-05-30,12670.337
2007-05-31,12236.945
2007-06-01,12092.686
2007-06-04,12531.304
2007-06-05,11987.527
2007-06-06,10815.926
2007-06-07,11718.505
2007-06-08,11978.635
2007-06-11,12316.477
2007-06-12,12518.03
2007-06-13,12821.333
2007-06-14,13241.556
2007-06-15,13307.039
2007-06-18,13156.512
2007-06-19,13554.208
2007-06-20,13737.416
2007-06-21,14041.87
2007-06-22,13594.843
2007-06-25,13774.908
2007-06-26,13236.549
2007-06-27,12456.149
2007-06-28,12876.216
2007-06-29,13105.157
2007-07-02,12144.344
2007-07-03,12083.619
2007-07-04,12163.206
2007-07-05,12379.539
2007-07-06,11903.4795
2007-07-09,11349.141
2007-07-10,12109.625
2007-07-11,12455.663
2007-07-12,12220.604
2007-07-13,12391.932
2007-07-16,12444.934
2007-07-17,12401.106
2007-07-18,11866.701
2007-07-19,12332.775
2007-07-20,12352.276
2007-07-23,12368.137
2007-07-24,13174.751
2007-07-25,13806.496
2007-07-26,13749.878
2007-07-27,14020.258
2007-07-30,14060.915
2007-07-31,14109.316
2007-08-01,14586.356
2007-08-02,14791.843
2007-08-03,14438.435
2007-08-06,15228.255
2007-08-07,15821.914
