Date,Predict
2007-01-03,2470.5466
2007-01-04,2470.5466
2007-01-05,2464.737
2007-01-08,2485.7144
2007-01-09,2476.0615
2007-01-10,2483.9414
2007-01-11,2474.7812
2007-01-12,2505.2224
2007-01-16,2521.7805
2007-01-17,2544.3606
2007-01-18,2527.8928
2007-01-19,2515.4722
2007-01-22,2478.327
2007-01-23,2494.9749
2007-01-24,2469.168
2007-01-25,2483.6455
2007-01-26,2509.5586
2007-01-29,2481.7744
2007-01-30,2475.3723
2007-01-31,2487.2908
2007-02-01,2483.9414
2007-02-02,2514.2898
2007-02-05,2514.388
2007-02-06,2515.1765
2007-02-07,2515.965
2007-02-08,2523.7527
2007-02-09,2524.5413
2007-02-12,2531.541
2007-02-13,2500.985
2007-02-14,2495.7632
2007-02-15,2508.2773
2007-02-16,2529.7664
2007-02-20,2531.4424
2007-02-21,2531.7383
2007-02-22,2543.2756
2007-02-23,2562.9048
2007-02-26,2562.017
2007-02-27,2564.4836
2007-02-28,2508.9675
2007-03-01,2453.021
2007-03-02,2418.8735
2007-03-05,2431.369
2007-03-06,2409.8247
2007-03-07,2405.0054
2007-03-08,2424.1863
2007-03-09,2437.962
2007-03-12,2444.3591
2007-03-13,2426.6458
2007-03-14,2430.3845
2007-03-15,2393.0085
2007-03-16,2412.7751
2007-03-19,2418.4805
2007-03-20,2426.2522
2007-03-21,2436.1904
2007-03-22,2456.565
2007-03-23,2497.5366
2007-03-26,2492.3147
2007-03-27,2492.1177
2007-03-28,2489.4575
2007-03-29,2468.0845
2007-03-30,2473.3042
2007-04-02,2460.897
2007-04-03,2466.3125
2007-04-04,2473.107
2007-04-05,2492.413
2007-04-09,2498.029
2007-04-10,2518.1333
2007-04-11,2508.376
2007-04-12,2517.9365
2007-04-13,2496.157
2007-04-16,2519.8093
2007-04-17,2540.4158
2007-04-18,2558.663
2007-04-19,2547.0232
2007-04-20,2537.0627
2007-04-23,2564.681
2007-04-24,2565.2727
2007-04-25,2567.8381
2007-04-26,2572.8706
2007-04-27,2590.6362
2007-04-30,2593.5977
2007-05-01,2597.152
2007-05-02,2569.318
2007-05-03,2571.3906
2007-05-04,2599.916
2007-05-07,2613.346
2007-05-08,2611.4695
2007-05-09,2602.187
2007-05-10,2596.658
2007-05-11,2603.767
2007-05-14,2580.963
2007-05-15,2603.0762
2007-05-16,2583.9238
2007-05-17,2572.081
2007-05-18,2583.5293
2007-05-21,2587.2798
2007-05-22,2599.916
2007-05-23,2618.778
2007-05-24,2631.2246
2007-05-25,2616.0122
2007-05-29,2586.5889
2007-05-30,2600.015
2007-05-31,2595.2761
2007-06-01,2638.0417
2007-06-04,2652.371
2007-06-05,2644.564
2007-06-06,2649.6035
2007-06-07,2638.1409
2007-06-08,2616.2097
2007-06-11,2580.3708
2007-06-12,2608.5066
2007-06-13,2599.4226
2007-06-14,2597.5469
2007-06-15,2622.8276
2007-06-18,2663.541
2007-06-19,2669.473
2007-06-20,2658.5981
2007-06-21,2670.3623
2007-06-22,2636.1646
2007-06-25,2648.813
2007-06-26,2629.2488
2007-06-27,2627.8655
2007-06-28,2602.7798
2007-06-29,2644.564
2007-07-02,2658.2024
2007-07-03,2655.7314
2007-07-05,2674.8118
2007-07-06,2684.3052
2007-07-09,2694.1963
2007-07-10,2706.7605
2007-07-11,2695.7788
2007-07-12,2675.2075
2007-07-13,2700.6265
2007-07-16,2734.4727
2007-07-17,2740.8086
2007-07-18,2739.5212
2007-07-19,2732.7893
2007-07-20,2753.9783
2007-07-23,2747.3433
2007-07-24,2735.9573
2007-07-25,2711.411
2007-07-26,2698.0542
2007-07-27,2659.0925
2007-07-30,2638.437
2007-07-31,2607.0256
2007-08-01,2644.7615
2007-08-02,2577.805
2007-08-03,2596.658
2007-08-06,2611.7656
2007-08-07,2564.385
2007-08-08,2572.18
2007-08-09,2621.3462
2007-08-10,2611.8643
2007-08-13,2568.924
2007-08-14,2605.5444
2007-08-15,2588.4644
2007-08-16,2532.7244
2007-08-17,2481.577
2007-08-20,2550.0806
2007-08-21,2550.7715
2007-08-22,2542.0923
2007-08-23,2582.2463
2007-08-24,2601.3972
2007-08-27,2578.8904
2007-08-28,2609.2966
2007-08-29,2585.6018
2007-08-30,2558.3672
2007-08-31,2584.3188
2007-09-04,2634.7812
2007-09-05,2634.9785
2007-09-06,2656.6213
2007-09-07,2654.0513
2007-09-10,2620.2593
2007-09-11,2620.556
2007-09-12,2612.1606
2007-09-13,2631.422
2007-09-14,2645.552
2007-09-17,2620.852
2007-09-18,2632.6077
2007-09-19,2631.6196
2007-09-20,2703.693
2007-09-21,2697.4607
2007-09-24,2708.5415
2007-09-25,2714.0828
2007-09-26,2696.3728
2007-09-27,2733.9773
2007-09-28,2749.1257
2007-10-01,2746.9473
2007-10-02,2741.6995
2007-10-03,2777.6533
2007-10-04,2771.4119
2007-10-05,2772.5012
2007-10-08,2791.6257
2007-10-09,2814.4258
2007-10-10,2830.4907
2007-10-11,2841.8982
2007-10-12,2860.9495
2007-10-15,2816.5078
2007-10-16,2845.6682
2007-10-17,2806.7915
2007-10-18,2838.2278
2007-10-19,2815.0208
2007-10-22,2835.847
2007-10-23,2743.2837
2007-10-24,2812.2444
2007-10-25,2812.0464
2007-10-26,2814.3267
2007-10-29,2842.9895
2007-10-30,2851.6213
2007-10-31,2843.7837
2007-11-01,2864.1252
2007-11-02,2871.2717
2007-11-05,2849.2402
2007-11-06,2819.483
2007-11-07,2846.2637
2007-11-08,2834.9543
2007-11-09,2785.382
2007-11-12,2686.9756
2007-11-13,2657.7083
2007-11-14,2651.778
2007-11-15,2735.4622
2007-11-16,2674.4165
2007-11-19,2669.9668
2007-11-20,2660.6738
2007-11-21,2641.9941
2007-11-23,2609.3955
2007-11-26,2617.79
2007-11-27,2638.3381
2007-11-28,2597.0532
2007-11-29,2645.7493
2007-11-30,2691.3276
2007-12-03,2731.1064
2007-12-04,2692.8113
2007-12-05,2658.5981
2007-12-06,2686.9756
2007-12-07,2703.693
2007-12-10,2747.6404
2007-12-11,2748.0364
2007-12-12,2760.3171
2007-12-13,2740.7095
2007-12-14,2689.3494
2007-12-17,2685.69
2007-12-18,2661.4646
2007-12-19,2636.1646
2007-12-20,2631.916
2007-12-21,2666.3088
2007-12-24,2714.5776
2007-12-26,2731.8982
2007-12-27,2740.2144
2007-12-28,2752.2947
2007-12-31,2730.9084
2008-01-02,2701.616
2008-01-03,2691.8223
2008-01-04,2650.3943
2008-01-07,2609.9883
2008-01-08,2553.7305
2008-01-09,2546.727
2008-01-10,2484.532
2008-01-11,2492.61
2008-01-14,2512.1208
2008-01-15,2511.1355
2008-01-16,2489.5562
2008-01-17,2432.0576
2008-01-18,2446.918
2008-01-22,2407.4639
2008-01-23,2265.6538
2008-01-24,2271.1458
2008-01-25,2371.3828
2008-01-28,2444.0637
2008-01-29,2367.452
2008-01-30,2402.35
2008-01-31,2388.5845
2008-02-01,2359.7878
2008-02-04,2434.0256
2008-02-05,2454.4973
2008-02-06,2387.0115
2008-02-07,2369.7122
2008-02-08,2303.3247
2008-02-11,2333.6594
2008-02-12,2353.5981
2008-02-13,2375.7075
2008-02-14,2389.3708
2008-02-15,2417.89
2008-02-19,2363.2266
2008-02-20,2391.1406
2008-02-21,2335.918
2008-02-22,2386.3235
2008-02-25,2349.4722
2008-02-26,2346.3286
2008-02-27,2357.1348
2008-02-28,2371.6777
2008-02-29,2384.8489
2008-03-03,2351.9282
2008-03-04,2314.8083
2008-03-05,2288.2134
2008-03-06,2310.0967
2008-03-07,2309.3115
2008-03-10,2249.2803
2008-03-11,2255.7507
2008-03-12,2254.28
2008-03-13,2303.717
2008-03-14,2263.7908
2008-03-17,2314.7102
2008-03-18,2212.4353
2008-03-19,2260.1626
2008-03-20,2315.5938
2008-03-24,2264.9673
2008-03-25,2311.7654
2008-03-26,2371.6777
2008-03-27,2371.0884
2008-03-28,2357.7244
2008-03-31,2334.4448
2008-04-01,2308.7227
2008-04-02,2349.3738
2008-04-03,2405.3
2008-04-04,2390.059
2008-04-07,2408.7427
2008-04-08,2428.1216
2008-04-09,2395.6633
2008-04-10,2393.992
