Date,Predict
2009-01-05,338.2335
2009-01-06,338.2335
2009-01-07,340.9436
2009-01-08,346.69904
2009-01-09,340.8799
2009-01-12,339.75192
2009-01-13,339.13354
2009-01-14,334.1636
2009-01-15,335.55292
2009-01-16,331.2598
2009-01-19,332.8112
2009-01-20,331.78592
2009-01-21,329.51886
2009-01-22,325.8225
2009-01-23,326.67374
2009-02-02,328.47656
2009-02-03,322.9356
2009-02-04,313.45236
2009-02-05,311.2709
2009-02-06,304.1515
2009-02-09,307.7586
2009-02-10,312.38852
2009-02-11,307.5786
2009-02-12,302.17435
2009-02-13,301.83298
2009-02-16,300.48584
2009-02-17,298.547
2009-02-18,289.96313
2009-02-19,282.53726
2009-02-20,282.74255
2009-02-23,280.47638
2009-02-24,273.35916
2009-02-25,265.9132
2009-02-26,273.85742
2009-02-27,271.41144
2009-03-02,274.25787
2009-03-03,276.53705
2009-03-04,270.38913
2009-03-05,272.88763
2009-03-06,274.6851
2009-03-09,273.43033
2009-03-10,274.53378
2009-03-11,277.73074
2009-03-12,281.0472
2009-03-13,276.52814
2009-03-16,277.65057
2009-03-17,281.1364
2009-03-18,289.14905
2009-03-19,299.0226
2009-03-20,293.28445
2009-03-23,293.25757
2009-03-24,287.3785
2009-03-25,297.7934
2009-03-26,305.17654
2009-03-27,314.21896
2009-03-30,315.33768
2009-03-31,310.29785
2009-04-01,307.26358
2009-04-02,316.6824
2009-04-03,325.55093
2009-04-07,337.8608
2009-04-08,349.24316
2009-04-09,341.49866
2009-04-10,339.79742
2009-04-13,352.57455
2009-04-14,366.6047
2009-04-15,373.95074
2009-04-16,368.44882
2009-04-17,374.70465
2009-04-20,363.83588
2009-04-21,349.48032
2009-04-22,342.55444
2009-04-23,350.79428
2009-04-24,344.39374
2009-04-27,339.00626
2009-04-28,342.7729
2009-04-29,344.49393
2009-05-04,351.25067
2009-05-05,365.40335
2009-05-06,380.13428
2009-05-07,382.70505
2009-05-08,396.93088
2009-05-11,401.12714
2009-05-12,408.58783
2009-05-13,417.73187
2009-05-14,409.92578
2009-05-15,406.294
2009-05-18,418.24426
2009-05-19,418.26288
2009-05-20,428.30182
2009-05-21,437.405
2009-05-22,433.93112
2009-05-25,427.79727
2009-05-26,444.18466
2009-05-27,447.16138
2009-05-28,448.01633
2009-05-29,439.17606
2009-06-01,435.78467
2009-06-02,448.6648
2009-06-03,462.63916
2009-06-04,463.1015
2009-06-05,473.37354
2009-06-08,492.29224
2009-06-09,513.89026
2009-06-10,522.5392
