Date,Predict
2007-01-02,3248.1667
2007-01-03,3248.1667
2007-01-04,3296.828
2007-01-05,3246.0706
2007-01-08,3220.0913
2007-01-09,3132.9932
2007-01-10,3179.7559
2007-01-11,3138.4763
2007-01-12,3161.7488
2007-01-15,3200.641
2007-01-16,3245.1267
2007-01-17,3269.7441
2007-01-18,3288.0725
2007-01-19,3330.5735
2007-01-22,3377.3406
2007-01-23,3447.0671
2007-01-24,3371.5183
2007-01-25,3425.0706
2007-01-26,3400.251
2007-01-29,3319.5007
2007-01-30,3375.4465
2007-01-31,3382.786
2007-02-01,3399.074
2007-02-02,3478.986
2007-02-05,3509.496
2007-02-06,3485.3433
2007-02-07,3494.0388
2007-02-08,3481.0652
2007-02-09,3434.455
2007-02-12,3370.84
2007-02-13,3343.224
2007-02-14,3320.4067
2007-02-15,3409.321
2007-02-16,3403.5037
2007-02-19,3353.8757
2007-02-20,3352.1018
2007-02-21,3401.5383
2007-02-22,3386.346
2007-02-23,3437.6602
2007-02-26,3456.336
2007-02-27,3497.5183
2007-02-28,3387.8618
2007-03-01,3210.9202
2007-03-02,3232.9592
2007-03-05,3199.1926
2007-03-06,3112.8308
2007-03-07,3175.8206
2007-03-08,3175.662
2007-03-09,3191.3074
2007-03-12,3236.9119
2007-03-13,3267.3086
2007-03-14,3233.6345
2007-03-15,3114.3533
2007-03-16,3227.4182
2007-03-19,3244.8286
2007-03-20,3296.0715
2007-03-21,3328.7612
2007-03-22,3324.2896
2007-03-23,3423.5232
2007-03-26,3424.7107
2007-03-27,3474.9192
2007-03-28,3472.7505
2007-03-29,3427.2666
2007-03-30,3410.8079
2007-04-02,3493.5193
2007-04-03,3448.6748
2007-04-04,3463.3086
2007-04-05,3507.5764
2007-04-10,3499.2776
2007-04-11,3513.306
2007-04-12,3521.157
2007-04-13,3554.5312
2007-04-16,3573.8887
2007-04-17,3611.868
2007-04-18,3575.53
2007-04-19,3599.6895
2007-04-20,3532.8901
2007-04-23,3574.8193
2007-04-24,3628.0947
2007-04-25,3611.5168
2007-04-26,3552.41
2007-04-27,3575.3901
2007-04-30,3528.248
2007-05-02,3527.7083
2007-05-04,3577.632
2007-05-07,3602.4236
2007-05-08,3651.53
2007-05-09,3645.1868
2007-05-10,3580.125
2007-05-11,3569.4639
2007-05-14,3481.0154
2007-05-15,3548.958
2007-05-16,3525.007
2007-05-17,3467.1853
2007-05-18,3477.8171
2007-05-21,3449.0645
2007-05-22,3488.6611
2007-05-23,3574.159
2007-05-24,3555.062
2007-05-25,3489.1216
2007-05-28,3522.4067
2007-05-29,3534.4905
2007-05-30,3559.7754
2007-05-31,3530.659
2007-06-01,3595.9246
2007-06-04,3623.0862
2007-06-05,3685.967
2007-06-06,3739.7422
2007-06-08,3714.0295
2007-06-11,3587.133
2007-06-12,3640.6082
2007-06-13,3634.3562
2007-06-14,3597.246
2007-06-15,3682.8303
2007-06-18,3725.1604
2007-06-19,3776.1223
2007-06-20,3767.726
2007-06-21,3764.6768
2007-06-22,3664.7483
2007-06-25,3659.136
2007-06-26,3684.3938
2007-06-27,3682.8901
2007-06-28,3716.6365
2007-06-29,3719.685
2007-07-02,3745.1077
2007-07-03,3712.165
2007-07-04,3737.3447
2007-07-05,3785.703
2007-07-06,3797.8223
2007-07-09,3798.8154
2007-07-10,3855.799
2007-07-11,3819.9456
2007-07-12,3767.0938
2007-07-13,3797.4312
2007-07-16,3838.0276
2007-07-17,3817.8887
2007-07-18,3765.4492
2007-07-19,3759.681
2007-07-20,3766.3413
2007-07-23,3823.638
2007-07-24,3783.0542
2007-07-25,3828.5647
2007-07-26,3767.0745
2007-07-27,3792.9763
2007-07-30,3636.5703
2007-07-31,3673.107
2007-08-01,3673.518
2007-08-02,3615.4834
2007-08-03,3662.433
2007-08-06,3655.6284
2007-08-07,3531.9595
2007-08-08,3588.7449
2007-08-09,3592.18
2007-08-10,3593.271
2007-08-13,3425.1606
2007-08-14,3447.5664
2007-08-16,3490.5002
2007-08-17,3353.6965
2007-08-20,3270.0527
2007-08-21,3382.8357
2007-08-22,3344.0112
2007-08-23,3368.3184
2007-08-24,3539.1924
2007-08-27,3473.5503
2007-08-28,3585.7314
2007-08-29,3503.377
2007-08-30,3424.851
2007-08-31,3562.5479
2007-09-03,3518.0664
2007-09-04,3560.7664
2007-09-05,3564.7896
2007-09-06,3601.1118
2007-09-07,3552.0098
2007-09-10,3509.2864
2007-09-11,3422.9143
2007-09-12,3418.6226
2007-09-13,3451.2415
2007-09-14,3511.5159
2007-09-17,3610.3555
2007-09-18,3561.4167
2007-09-19,3563.3584
2007-09-20,3729.5222
2007-09-21,3753.7534
2007-09-24,3764.055
2007-09-25,3739.8723
2007-09-26,3669.3984
2007-09-27,3660.5588
2007-09-28,3698.7295
2007-10-01,3643.5337
2007-10-02,3594.723
2007-10-03,3663.7463
2007-10-04,3703.662
2007-10-05,3666.9429
2007-10-08,3688.0728
2007-10-09,3721.52
2007-10-10,3697.7568
2007-10-11,3838.79
2007-10-12,3821.7717
2007-10-15,3828.093
2007-10-16,3861.0168
2007-10-17,3822.2637
2007-10-18,3789.605
2007-10-19,3811.056
2007-10-22,3725.5913
2007-10-23,3719.8354
2007-10-24,3787.8596
2007-10-25,3844.5698
2007-10-26,3860.566
2007-10-29,3827.5918
2007-10-30,3895.3684
2007-10-31,3873.7617
2007-11-02,3824.8423
2007-11-05,3780.2756
2007-11-06,3746.622
2007-11-07,3766.1313
2007-11-08,3775.5906
2007-11-09,3601.5723
2007-11-12,3661.401
2007-11-13,3528.7683
2007-11-14,3536.131
2007-11-15,3607.7717
2007-11-16,3534.4001
2007-11-19,3459.8826
2007-11-20,3493.8794
2007-11-21,3474.9895
2007-11-22,3458.034
2007-11-23,3486.2224
2007-11-26,3542.4941
2007-11-27,3553.2307
2007-11-28,3458.5933
2007-11-29,3437.3105
2007-11-30,3539.5627
2007-12-03,3524.6177
2007-12-04,3522.6272
2007-12-05,3474.2798
2007-12-06,3541.844
2007-12-07,3631.8716
2007-12-10,3638.0232
2007-12-11,3643.2734
2007-12-12,3683.9224
2007-12-13,3592.78
2007-12-14,3641.7104
2007-12-17,3604.6267
2007-12-18,3471.8518
2007-12-19,3436.7512
2007-12-20,3397.2185
2007-12-21,3377.9194
2007-12-27,3450.8523
2007-12-28,3453.8386
2008-01-02,3463.6484
2008-01-03,3412.4448
2008-01-04,3368.956
2008-01-07,3410.6484
2008-01-08,3337.5757
2008-01-09,3321.6013
2008-01-10,3304.9478
2008-01-11,3276.8635
2008-01-14,3192.6162
2008-01-15,3169.874
2008-01-16,3120.219
2008-01-17,2869.8435
2008-01-18,2963.6714
2008-01-21,2900.383
2008-01-22,2862.8687
2008-01-23,2641.671
2008-01-24,2892.379
2008-01-25,2896.3955
2008-01-28,2952.9514
2008-01-29,2883.0266
2008-01-30,2897.0317
2008-01-31,2961.4802
2008-02-01,2954.474
2008-02-04,2961.8733
2008-02-05,3059.018
2008-02-06,3019.9104
2008-02-07,2867.7302
2008-02-08,2908.5273
2008-02-11,2907.9097
2008-02-12,2867.124
2008-02-13,2958.0408
2008-02-14,3011.9412
2008-02-15,3107.0063
2008-02-18,3057.4592
2008-02-19,3026.848
2008-02-20,3091.3298
2008-02-21,3034.694
2008-02-22,3089.9163
2008-02-25,3035.5522
2008-02-26,3056.541
2008-02-27,3045.985
2008-02-28,2996.2366
2008-02-29,2993.6877
2008-03-03,2957.068
2008-03-04,2833.1787
2008-03-05,2859.876
2008-03-06,2804.2952
2008-03-07,2852.514
2008-03-10,2789.8997
2008-03-11,2790.1433
2008-03-12,2825.6409
2008-03-13,2944.4658
2008-03-14,2862.1648
2008-03-17,2845.8777
2008-03-18,2758.0886
2008-03-19,2728.2
2008-03-20,2840.3672
2008-03-25,2817.121
2008-03-26,2899.1877
2008-03-27,2896.6008
2008-03-28,2939.9102
2008-03-31,2925.7676
2008-04-01,2909.0176
2008-04-02,2932.7642
2008-04-03,3021.034
2008-04-04,2972.5974
2008-04-07,2953.4724
2008-04-08,3017.9993
2008-04-09,2996.9556
2008-04-10,2955.1426
2008-04-11,2973.1184
2008-04-14,2981.4778
2008-04-15,2848.5652
2008-04-16,2848.3696
2008-04-17,2882.0674
2008-04-18,2907.0278
2008-04-21,2885.1516
2008-04-22,2930.3792
2008-04-23,2907.1943
2008-04-24,2856.718
2008-04-25,2823.6597
2008-04-28,2867.0552
2008-04-29,2891.1545
2008-04-30,2893.378
2008-05-05,2842.419
2008-05-06,2933.5981
2008-05-07,2960.792
2008-05-08,2963.141
2008-05-09,2969.5105
2008-05-12,2969.3923
2008-05-13,2991.0996
2008-05-14,2995.489
2008-05-15,3017.339
2008-05-16,2991.7095
2008-05-19,3001.5132
2008-05-20,2981.802
2008-05-21,2959.5933
2008-05-23,2905.3413
2008-05-26,2889.0195
2008-05-27,2869.2178
2008-05-28,2896.8066
2008-05-29,2889.0195
2008-05-30,2917.7935
2008-06-02,2886.6692
2008-06-03,2874.7263
2008-06-04,2843.0933
2008-06-05,2872.8667
2008-06-06,2838.5696
2008-06-09,2894.8867
2008-06-10,2799.2742
2008-06-11,2734.0068
2008-06-12,2715.2922
2008-06-13,2640.2705
2008-06-16,2664.5076
2008-06-17,2724.5496
2008-06-18,2684.8877
2008-06-19,2661.7998
2008-06-20,2598.2935
2008-06-23,2696.851
2008-06-24,2676.7075
2008-06-25,2636.9006
2008-06-26,2628.2048
2008-06-27,2615.888
2008-06-30,2576.9395
2008-07-01,2594.846
2008-07-02,2566.2786
2008-07-03,2531.074
2008-07-04,2508.2297
2008-07-07,2521.8552
2008-07-08,2514.1553
2008-07-09,2475.442
2008-07-10,2550.5183
2008-07-11,2529.3486
2008-07-14,2554.3293
2008-07-15,2515.2083
2008-07-16,2461.4617
2008-07-17,2417.8123
2008-07-18,2451.3552
2008-07-21,2468.3308
2008-07-22,2471.967
2008-07-23,2537.086
2008-07-24,2575.6506
2008-07-25,2600.6528
2008-07-28,2545.566
2008-07-29,2585.3945
2008-07-30,2585.4138
2008-07-31,2649.669
2008-08-01,2711.3252
