Date,Predict
2007-01-02,500.548
2007-01-03,500.548
2007-01-04,504.13556
2007-01-05,500.8394
2007-01-08,501.03027
2007-01-09,497.9969
2007-01-10,497.66544
2007-01-11,496.52084
2007-01-12,498.12738
2007-01-15,502.08527
2007-01-16,507.55402
2007-01-17,508.62024
2007-01-18,508.55988
2007-01-19,509.3948
2007-01-22,507.1719
2007-01-23,511.09515
2007-01-24,506.50818
2007-01-25,507.11154
2007-01-26,509.47522
2007-01-29,502.29633
2007-01-30,502.33655
2007-01-31,502.65808
2007-02-01,504.65826
2007-02-02,507.76526
2007-02-05,509.9179
2007-02-06,509.56577
2007-02-07,508.8918
2007-02-08,510.50153
2007-02-09,511.04483
2007-02-12,510.0085
2007-02-13,507.30264
2007-02-14,506.73947
2007-02-15,510.70273
2007-02-16,511.36685
2007-02-19,509.757
2007-02-20,509.68652
2007-02-21,512.1719
2007-02-22,512.5443
2007-02-23,513.4099
2007-02-26,513.269
2007-02-27,513.7421
2007-02-28,510.08893
2007-03-01,494.37274
2007-03-02,492.18518
2007-03-05,486.64978
2007-03-06,473.7342
2007-03-07,482.141
2007-03-08,482.86218
2007-03-09,488.62473
2007-03-12,491.6435
2007-03-13,496.47064
2007-03-14,492.5866
2007-03-15,479.13718
2007-03-16,482.82214
2007-03-19,485.00623
2007-03-20,492.65674
2007-03-21,497.44455
2007-03-22,500.5782
2007-03-23,510.61218
2007-03-26,511.54797
2007-03-27,517.4677
2007-03-28,514.3663
2007-03-29,508.57996
2007-03-30,510.18958
2007-04-02,513.2489
2007-04-03,513.2086
2007-04-04,517.41736
2007-04-05,520.56055
2007-04-10,520.0165
2007-04-11,522.03186
2007-04-12,526.9621
2007-04-13,523.51355
2007-04-16,522.5762
2007-04-17,531.3809
2007-04-18,534.3081
2007-04-19,534.45953
2007-04-20,528.73737
2007-04-23,534.0658
2007-04-24,541.5603
2007-04-25,538.16565
2007-04-26,538.5495
2007-04-27,539.81226
2007-04-30,536.0751
2007-05-02,531.2094
2007-05-03,534.9745
2007-05-04,539.48895
2007-05-07,539.79205
2007-05-08,543.0155
2007-05-09,542.1969
2007-05-10,538.3172
2007-05-11,538.0747
2007-05-14,528.233
2007-05-15,535.8933
2007-05-16,530.8764
2007-05-17,533.7731
2007-05-18,531.7342
2007-05-21,534.2879
2007-05-22,541.3481
2007-05-23,541.19653
2007-05-24,544.00616
2007-05-25,541.7321
2007-05-28,535.5096
2007-05-29,539.22626
2007-05-30,541.3683
2007-05-31,536.27704
2007-06-01,541.8534
2007-06-04,543.9859
2007-06-05,546.70557
2007-06-06,549.03156
2007-06-07,546.93805
2007-06-08,542.21716
2007-06-11,535.1562
2007-06-12,540.58014
2007-06-13,539.7416
2007-06-14,535.651
2007-06-15,543.91516
2007-06-18,549.7295
2007-06-19,555.16327
2007-06-20,553.71594
2007-06-21,554.93054
2007-06-22,553.14923
2007-06-25,554.92035
2007-06-26,548.2022
2007-06-27,547.55493
2007-06-28,543.53107
2007-06-29,546.665
2007-07-02,550.3971
2007-07-03,548.5258
2007-07-04,556.3072
2007-07-05,556.5704
2007-07-06,558.7574
2007-07-09,554.06
2007-07-10,559.96246
2007-07-11,561.9579
2007-07-12,553.6249
2007-07-13,557.684
2007-07-16,566.72015
2007-07-17,566.26416
2007-07-18,563.51794
2007-07-19,559.9524
2007-07-20,562.4441
2007-07-23,562.91016
2007-07-24,557.84607
2007-07-25,561.1576
2007-07-26,550.3668
2007-07-27,552.65344
2007-07-30,531.40106
2007-07-31,529.94806
2007-08-01,532.2994
2007-08-02,526.26624
2007-08-03,533.026
2007-08-06,530.9773
2007-08-07,518.4649
2007-08-08,524.53186
2007-08-09,529.151
2007-08-10,533.1068
2007-08-13,510.51154
2007-08-14,510.90393
2007-08-15,514.6582
2007-08-16,505.8747
2007-08-17,499.53345
2007-08-20,487.94293
2007-08-21,506.51822
2007-08-22,508.8616
2007-08-23,510.64233
2007-08-24,522.0722
2007-08-27,515.3731
2007-08-28,522.56604
2007-08-29,520.0567
2007-08-30,506.9909
2007-08-31,518.6563
2007-09-03,524.1084
2007-09-04,526.57886
2007-09-05,527.15375
2007-09-06,533.1068
2007-09-07,528.86847
2007-09-10,528.99963
2007-09-11,520.23804
2007-09-12,520.83264
2007-09-13,525.22754
2007-09-14,525.5805
2007-09-17,531.9965
2007-09-18,530.3517
2007-09-19,524.8243
2007-09-20,544.14764
2007-09-21,543.2177
2007-09-24,543.6625
2007-09-25,546.8875
2007-09-26,542.2575
2007-09-27,539.57996
2007-09-28,545.5427
2007-10-01,545.1283
2007-10-02,541.35815
2007-10-03,551.7427
2007-10-04,546.47296
2007-10-05,541.05505
2007-10-08,545.62366
2007-10-09,550.34656
2007-10-10,548.5663
2007-10-11,554.35364
2007-10-12,558.1802
2007-10-15,556.76276
2007-10-16,561.188
2007-10-17,554.6572
2007-10-18,552.59265
2007-10-19,559.04095
2007-10-22,553.3314
2007-10-23,544.4206
2007-10-24,548.6573
2007-10-25,549.8003
2007-10-26,549.4463
2007-10-29,549.31476
2007-10-30,554.2422
2007-10-31,551.64154
2007-11-01,546.58417
2007-11-02,552.795
2007-11-05,539.4789
2007-11-06,537.1658
2007-11-07,538.62024
2007-11-08,538.0647
2007-11-09,524.8142
2007-11-12,526.88135
2007-11-13,509.29416
2007-11-14,508.43915
2007-11-15,517.36707
2007-11-16,514.05414
2007-11-19,503.4621
2007-11-20,504.5879
2007-11-21,495.0853
2007-11-22,489.69766
2007-11-23,487.06073
2007-11-26,487.31137
2007-11-27,499.79462
2007-11-28,490.5802
2007-11-29,496.93246
2007-11-30,506.53836
2007-12-03,505.5128
2007-12-04,509.5457
2007-12-05,506.27692
2007-12-06,502.31647
2007-12-07,513.16833
2007-12-10,515.54425
2007-12-11,514.7186
2007-12-12,521.4574
2007-12-13,512.7456
2007-12-14,514.10455
2007-12-17,513.1381
2007-12-18,508.33856
2007-12-19,504.70847
2007-12-20,507.13165
2007-12-21,506.7998
2007-12-24,514.74884
2007-12-27,518.0318
2007-12-28,520.71173
2007-12-31,516.80304
2008-01-02,518.8075
2008-01-03,517.41736
2008-01-04,512.4034
2008-01-07,510.39078
2008-01-08,501.37186
2008-01-09,504.97992
2008-01-10,495.42657
2008-01-11,497.16345
2008-01-14,485.4772
2008-01-15,482.76205
2008-01-16,486.16867
2008-01-17,469.56546
2008-01-18,468.55627
2008-01-21,458.95322
2008-01-22,447.04895
2008-01-23,407.06094
2008-01-24,445.14886
2008-01-25,438.04257
2008-01-28,456.2911
2008-01-29,435.78857
2008-01-30,445.79547
2008-01-31,445.24838
2008-02-01,443.05072
2008-02-04,447.7057
2008-02-05,459.442
2008-02-06,452.8731
2008-02-07,434.05167
2008-02-08,441.6093
2008-02-11,439.51266
2008-02-12,430.96655
2008-02-13,434.23035
2008-02-14,442.3846
2008-02-15,452.1659
2008-02-18,445.3578
2008-02-19,440.79443
2008-02-20,446.3326
2008-02-21,447.46686
2008-02-22,453.75977
2008-02-25,453.46088
2008-02-26,459.68134
2008-02-27,463.59286
2008-02-28,468.0367
2008-02-29,462.83432
2008-03-03,453.49072
2008-03-04,441.7386
2008-03-05,444.6616
2008-03-06,443.15012
2008-03-07,446.9992
2008-03-10,434.4288
2008-03-11,435.09378
2008-03-12,431.85916
2008-03-13,443.49808
2008-03-14,435.44116
2008-03-17,436.44382
2008-03-18,422.03027
2008-03-19,425.1392
2008-03-20,435.01437
2008-03-25,425.6146
2008-03-26,440.5162
2008-03-27,437.8439
2008-03-28,439.76102
2008-03-31,443.74667
2008-04-01,440.39694
2008-04-02,443.3092
2008-04-03,459.4619
2008-04-04,460.5193
2008-04-07,459.5217
2008-04-08,466.72818
2008-04-09,464.58118
2008-04-10,464.7509
2008-04-11,462.74448
2008-04-14,464.0521
2008-04-15,450.8314
2008-04-16,455.8724
2008-04-17,459.80106
2008-04-18,466.49847
2008-04-21,466.73813
2008-04-22,477.15543
2008-04-23,470.7248
2008-04-24,469.21573
2008-04-25,469.19574
2008-04-28,471.01468
2008-04-29,470.9947
2008-04-30,472.9242
2008-05-02,474.2542
2008-05-05,481.54016
2008-05-06,482.7921
2008-05-07,483.73373
2008-05-08,484.19458
2008-05-09,483.95413
2008-05-12,484.71564
2008-05-13,486.18878
2008-05-14,486.96054
2008-05-15,484.45508
2008-05-16,488.93555
2008-05-19,494.97488
2008-05-20,494.33255
2008-05-21,495.29608
2008-05-22,491.04163
2008-05-23,486.2589
2008-05-26,487.7023
2008-05-27,481.8406
2008-05-28,482.6218
2008-05-29,478.0361
2008-05-30,487.06073
2008-06-02,487.51187
2008-06-03,486.43933
2008-06-04,482.6017
2008-06-05,482.9223
2008-06-06,484.1846
2008-06-09,488.7751
2008-06-10,471.88443
2008-06-11,469.13577
2008-06-12,467.96683
2008-06-13,459.0929
2008-06-16,460.82855
2008-06-17,462.36523
2008-06-18,462.35526
2008-06-19,460.4894
2008-06-20,451.59824
2008-06-23,451.23965
2008-06-24,439.4431
2008-06-25,440.10876
2008-06-26,441.8578
2008-06-27,438.708
2008-06-30,429.06287
2008-07-01,430.2427
2008-07-02,426.99164
2008-07-03,416.82724
2008-07-04,404.62524
2008-07-07,413.05237
2008-07-08,410.2481
2008-07-09,405.13794
2008-07-10,410.13956
2008-07-11,407.21875
2008-07-14,407.41605
2008-07-15,400.58542
2008-07-16,394.51324
2008-07-17,388.34213
2008-07-18,393.8053
2008-07-21,391.76068
2008-07-22,398.52753
2008-07-23,399.3348
2008-07-24,408.9749
2008-07-25,410.29745
2008-07-28,395.04437
2008-07-29,398.07477
2008-07-30,391.78033
2008-07-31,406.58752
2008-08-01,408.54074
2008-08-04,399.79758
2008-08-05,396.60852
2008-08-06,395.89026
2008-08-07,408.68875
2008-08-08,411.30447
2008-08-11,405.9465
2008-08-12,412.53882
2008-08-13,413.981
2008-08-14,417.79617
2008-08-15,415.96722
2008-08-18,413.57593
2008-08-19,411.9463
2008-08-20,408.85654
2008-08-21,404.26053
2008-08-22,403.10742
2008-08-25,405.40414
2008-08-26,409.16245
2008-08-27,403.97473
2008-08-28,406.17328
2008-08-29,408.44208
2008-09-01,414.69238
2008-09-02,412.32153
2008-09-03,413.44754
2008-09-04,414.42563
2008-09-05,411.6599
2008-09-08,396.638
2008-09-09,408.05728
2008-09-10,401.15665
2008-09-11,398.01572
2008-09-12,397.25793
2008-09-15,400.94986
2008-09-16,389.98227
2008-09-17,381.9355
2008-09-18,383.95544
2008-09-19,358.87976
2008-09-22,374.4433
2008-09-23,386.52606
2008-09-24,376.90967
2008-09-25,371.8416
2008-09-26,363.8424
2008-09-29,368.44058
2008-09-30,358.20758
2008-10-01,321.94507
2008-10-02,340.1735
2008-10-03,338.63293
2008-10-06,336.57986
2008-10-07,332.874
2008-10-08,325.0887
2008-10-09,299.72034
2008-10-10,293.7546
2008-10-13,270.8273
2008-10-14,279.97626
2008-10-15,304.99802
2008-10-16,287.59106
2008-10-17,257.43353
2008-10-20,267.636
2008-10-21,266.037
2008-10-22,282.22052
2008-10-23,270.4957
2008-10-24,263.5504
2008-10-27,252.55377
2008-10-28,244.44391
2008-10-29,252.90202
2008-10-30,262.08603
2008-10-31,273.1971
2008-11-03,266.0748
2008-11-04,276.75555
2008-11-05,281.5547
2008-11-06,294.21304
2008-11-07,278.75974
2008-11-10,269.7568
2008-11-11,280.0428
2008-11-12,270.0599
2008-11-13,269.3022
2008-11-14,253.5987
2008-11-17,266.29236
2008-11-18,260.42416
2008-11-19,255.53899
2008-11-20,258.4332
2008-11-21,240.45932
2008-11-24,237.6036
2008-11-25,236.36865
2008-11-26,252.39378
2008-11-27,252.52556
2008-11-28,256.47195
2008-12-01,261.20776
2008-12-02,260.89618
2008-12-03,240.05652
2008-12-04,249.89157
2008-12-05,249.35571
2008-12-08,247.11937
2008-12-09,254.3803
2008-12-10,253.82466
2008-12-11,262.27493
2008-12-12,264.8076
2008-12-15,250.20189
2008-12-16,258.8388
2008-12-17,255.7934
2008-12-18,259.0841
2008-12-19,256.27402
2008-12-22,255.48244
2008-12-23,256.3683
2008-12-24,251.04832
2008-12-29,251.1424
2008-12-30,251.93268
2008-12-31,252.16792
2009-01-02,256.7453
2009-01-05,257.26382
2009-01-06,268.8666
2009-01-07,270.24936
2009-01-08,275.49298
2009-01-09,268.6678
2009-01-12,272.6661
2009-01-13,272.3722
2009-01-14,267.57922
2009-01-15,270.04092
2009-01-16,255.25632
2009-01-19,257.88617
2009-01-20,260.41473
2009-01-21,252.90202
2009-01-22,246.25542
2009-01-23,251.67862
2009-01-26,243.40263
2009-01-27,243.83412
2009-01-28,257.0564
2009-01-29,260.77344
2009-01-30,263.3425
2009-02-02,260.45248
2009-02-03,253.91884
2009-02-04,255.93475
2009-02-05,259.74466
2009-02-06,257.75415
2009-02-09,262.95514
2009-02-10,267.11548
2009-02-11,267.1628
2009-02-12,258.41434
2009-02-13,257.60327
2009-02-16,259.41434
2009-02-17,257.49954
2009-02-18,252.89261
2009-02-19,248.07758
2009-02-20,249.15833
2009-02-23,243.30887
2009-02-24,242.13681
2009-02-25,231.82704
2009-02-26,236.60251
2009-02-27,232.76086
2009-03-02,230.48293
2009-03-03,224.91824
2009-03-04,220.55542
2009-03-05,216.55295
2009-03-06,219.45897
2009-03-09,211.44574
2009-03-10,212.1866
2009-03-11,210.89027
2009-03-12,221.71745
2009-03-13,219.06882
2009-03-16,225.38382
2009-03-17,226.32457
2009-03-18,223.52205
2009-03-19,223.63373
2009-03-20,221.70816
2009-03-23,219.98854
2009-03-24,227.94604
2009-03-25,234.6015
2009-03-26,230.55762
2009-03-27,236.3406
2009-03-30,234.6015
2009-03-31,226.52951
2009-04-01,223.81053
2009-04-02,226.61337
2009-04-03,235.85428
2009-04-06,240.44997
2009-04-07,242.85872
2009-04-08,239.29796
2009-04-09,232.68616
2009-04-14,240.15019
2009-04-15,243.69342
2009-04-16,241.16203
2009-04-17,246.99728
2009-04-20,249.34631
2009-04-21,250.97305
2009-04-22,242.14616
2009-04-23,244.64098
2009-04-24,244.47206
2009-04-27,244.75359
2009-04-28,244.27504
2009-04-29,242.90561
2009-04-30,244.26564
2009-05-04,249.66594
2009-05-05,253.51396
2009-05-06,261.09445
2009-05-07,259.59363
2009-05-08,265.39383
2009-05-11,267.65488
2009-05-12,268.5068
2009-05-13,262.41663
2009-05-14,264.04187
2009-05-15,258.84824
2009-05-18,259.98056
2009-05-19,257.84842
2009-05-20,269.96518
2009-05-21,269.16016
2009-05-22,270.0125
2009-05-25,268.2039
2009-05-26,268.73404
2009-05-27,267.07764
2009-05-28,272.69452
2009-05-29,268.08084
2009-06-01,272.58075
2009-06-02,272.6471
2009-06-03,274.45865
2009-06-04,278.2277
2009-06-05,271.72757
2009-06-08,273.61438
2009-06-09,273.46265
2009-06-10,272.1636
2009-06-11,274.4207
2009-06-12,274.19302
2009-06-15,274.9046
2009-06-16,270.47675
2009-06-17,266.55725
2009-06-18,263.56934
2009-06-19,261.22665
2009-06-22,262.20883
2009-06-23,265.28983
2009-06-24,255.5013
2009-06-25,258.44263
2009-06-26,262.5961
2009-06-29,264.35382
2009-06-30,261.9349
2009-07-01,266.63293
2009-07-02,264.212
2009-07-03,266.2167
2009-07-06,261.3305
2009-07-07,259.7352
2009-07-08,259.43323
2009-07-09,255.82167
2009-07-10,254.80415
2009-07-13,254.126
2009-07-14,251.2741
2009-07-15,258.98978
2009-07-16,261.70822
2009-07-17,268.5163
2009-07-20,272.72296
2009-07-21,275.96756
2009-07-22,276.6891
2009-07-23,278.00922
2009-07-24,278.9213
2009-07-27,282.23953
2009-07-28,285.85696
2009-07-29,285.11404
2009-07-30,280.00476
2009-07-31,285.67596
2009-08-03,289.1832
2009-08-04,290.13696
2009-08-05,293.84055
2009-08-06,292.04544
2009-08-07,294.48053
2009-08-10,293.03836
2009-08-11,295.80875
2009-08-12,295.16846
2009-08-13,290.2228
2009-08-14,294.49008
2009-08-17,296.79333
2009-08-18,292.4846
2009-08-19,289.8508
2009-08-20,289.1832
2009-08-21,294.0411
2009-08-24,293.37256
2009-08-25,303.0142
2009-08-26,300.83066
2009-08-27,305.2281
2009-08-28,303.87656
2009-08-31,305.11307
2009-09-01,303.37833
2009-09-02,303.90533
2009-09-03,296.0668
2009-09-04,296.33447
2009-09-07,297.49133
2009-09-08,301.31894
2009-09-09,305.0651
2009-09-10,305.2952
2009-09-11,311.90805
2009-09-14,312.5999
2009-09-15,309.79504
2009-09-16,313.05164
2009-09-17,315.56125
2009-09-18,320.46115
2009-09-21,317.40863
2009-09-22,318.80453
2009-09-23,317.43753
2009-09-24,318.2846
2009-09-25,316.87933
2009-09-28,314.6379
