Date,Predict
2015-03-23,2515.91
2015-03-24,2515.91
2015-03-25,2519.8645
2015-03-26,2524.9272
2015-03-27,2512.226
2015-03-30,2474.1682
2015-03-31,2458.2788
2015-04-01,2504.871
2015-04-02,2498.9375
2015-04-07,2528.1655
2015-04-08,2531.896
2015-04-09,2565.7874
2015-04-10,2574.0034
2015-04-13,2596.407
2015-04-14,2601.8367
2015-04-15,2626.622
2015-04-16,2611.0032
2015-04-17,2630.809
2015-04-20,2615.0571
2015-04-21,2572.9207
2015-04-22,2589.6257
2015-04-23,2613.176
2015-04-24,2597.2256
2015-04-27,2594.9314
2015-04-28,2619.031
2015-04-29,2641.323
2015-04-30,2627.1917
2015-05-04,2569.7297
2015-05-05,2570.0188
2015-05-06,2595.0442
2015-05-07,2566.579
2015-05-08,2555.2148
2015-05-11,2597.1782
2015-05-12,2633.2327
2015-05-13,2632.9758
2015-05-15,2614.1023
2015-05-18,2638.751
2015-05-19,2660.2932
2015-05-20,2617.7815
2015-05-21,2622.725
2015-05-22,2632.6812
2015-05-26,2620.2617
2015-05-27,2621.6729
2015-05-28,2578.8535
2015-05-29,2596.7173
2015-06-01,2560.9756
2015-06-02,2553.6921
2015-06-03,2540.2842
2015-06-05,2562.8174
2015-06-08,2594.0107
2015-06-09,2530.993
2015-06-10,2491.2776
2015-06-11,2493.043
2015-06-12,2532.993
2015-06-15,2515.3323
2015-06-16,2485.0432
2015-06-17,2430.9275
2015-06-18,2446.9333
2015-06-19,2426.1157
2015-06-22,2439.34
2015-06-23,2428.9038
2015-06-24,2494.937
2015-06-25,2507.6318
2015-06-26,2501.4192
2015-06-29,2489.686
2015-06-30,2498.692
2015-07-01,2424.8694
2015-07-02,2410.894
2015-07-03,2455.1755
2015-07-06,2434.113
2015-07-07,2430.0447
2015-07-08,2376.6465
2015-07-09,2338.3313
2015-07-10,2365.7065
2015-07-13,2411.6558
2015-07-14,2459.7012
2015-07-15,2502.8066
2015-07-16,2496.3948
2015-07-17,2487.9136
2015-07-20,2521.4531
2015-07-21,2521.242
2015-07-22,2536.2578
2015-07-23,2527.337
2015-07-24,2509.864
2015-07-27,2512.0886
2015-07-28,2497.1052
2015-07-29,2450.7466
2015-07-30,2472.1604
2015-07-31,2473.4539
2015-08-03,2473.3542
2015-08-04,2489.8499
2015-08-05,2489.377
2015-08-06,2481.088
2015-08-07,2492.2512
2015-08-10,2473.8337
2015-08-11,2479.6555
2015-08-12,2487.6318
2015-08-13,2461.385
2015-08-14,2413.6768
2015-08-17,2447.911
2015-08-18,2448.8167
2015-08-19,2445.9026
2015-08-20,2455.805
2015-08-21,2439.51
2015-08-24,2395.9795
2015-08-25,2327.4258
2015-08-26,2235.912
2015-08-27,2302.7039
2015-08-28,2285.8362
2015-08-31,2356.7725
2015-09-01,2345.0508
2015-09-02,2335.2837
2015-09-03,2295.388
2015-09-04,2281.627
2015-09-07,2316.7766
2015-09-08,2272.84
2015-09-09,2276.512
2015-09-10,2299.6865
2015-09-11,2312.272
2015-09-14,2298.009
2015-09-15,2285.4463
2015-09-16,2280.2395
2015-09-17,2289.8906
2015-09-18,2307.569
2015-09-21,2305.8354
2015-09-22,2263.2493
2015-09-23,2266.664
2015-09-24,2229.5972
2015-09-25,2233.293
2015-09-28,2206.8552
2015-09-29,2234.5984
2015-09-30,2203.451
2015-10-01,2219.3005
2015-10-02,2254.1282
2015-10-05,2254.3293
2015-10-06,2259.7634
2015-10-07,2310.1675
2015-10-08,2336.2766
2015-10-09,2357.3813
2015-10-12,2355.1035
2015-10-13,2368.6035
2015-10-14,2363.388
2015-10-15,2326.2988
2015-10-16,2343.597
2015-10-19,2370.2979
2015-10-20,2389.5178
2015-10-21,2381.597
2015-10-22,2386.7053
2015-10-23,2411.771
2015-10-27,2455.9846
2015-10-28,2461.5923
2015-10-29,2410.0703
2015-10-30,2432.4707
2015-11-02,2421.0005
2015-11-03,2419.1787
2015-11-04,2430.624
2015-11-05,2439.5637
2015-11-06,2429.5457
2015-11-09,2419.9963
2015-11-10,2485.3884
2015-11-11,2469.6482
2015-11-12,2469.5308
2015-11-13,2460.4395
2015-11-16,2393.5396
2015-11-17,2399.1453
2015-11-18,2403.6836
2015-11-19,2441.0398
2015-11-20,2459.6287
2015-11-23,2481.278
2015-11-24,2475.2268
2015-11-25,2483.691
2015-11-26,2447.6238
2015-11-27,2437.4988
2015-11-30,2461.4841
2015-12-01,2466.5967
2015-12-02,2479.556
2015-12-03,2491.6145
2015-12-04,2480.0452
2015-12-07,2447.7588
2015-12-09,2442.6956
2015-12-10,2427.6206
2015-12-11,2376.375
2015-12-14,2389.3862
2015-12-15,2348.3083
2015-12-16,2307.6035
2015-12-17,2359.617
2015-12-18,2391.471
2015-12-21,2371.4426
2015-12-22,2363.8843
2015-12-23,2350.9014
2015-12-28,2370.254
2015-12-29,2401.3516
2015-12-30,2396.905
2016-01-04,2397.3723
2016-01-05,2398.078
2016-01-07,2355.7383
2016-01-08,2367.818
2016-01-11,2312.1267
2016-01-12,2247.3848
2016-01-13,2230.568
2016-01-14,2243.8193
2016-01-15,2232.8857
2016-01-18,2204.6182
2016-01-19,2158.4897
2016-01-20,2124.7776
2016-01-21,2159.0066
2016-01-22,2103.0115
2016-01-25,2134.8977
2016-01-26,2180.0652
2016-01-27,2179.2346
2016-01-28,2195.026
2016-01-29,2178.5347
2016-02-01,2171.9678
2016-02-02,2198.919
2016-02-03,2181.1238
2016-02-04,2171.765
2016-02-05,2141.8171
2016-02-08,2159.0066
2016-02-09,2172.4062
2016-02-10,2089.3699
2016-02-11,2047.379
2016-02-12,2070.1377
2016-02-15,2035.925
2016-02-16,2096.6965
2016-02-17,2147.2444
2016-02-18,2134.9695
2016-02-19,2199.518
2016-02-22,2159.2244
2016-02-23,2167.8481
2016-02-24,2211.2278
2016-02-25,2175.9238
2016-02-26,2148.4504
2016-02-29,2164.0989
2016-03-01,2185.1917
2016-03-02,2191.85
2016-03-03,2223.595
2016-03-04,2234.8726
2016-03-07,2239.1592
2016-03-08,2254.438
2016-03-09,2256.894
2016-03-10,2260.1243
2016-03-11,2269.173
2016-03-14,2254.0024
2016-03-15,2300.0276
2016-03-16,2334.1882
2016-03-17,2312.6057
2016-03-18,2313.4875
2016-03-21,2311.4934
2016-03-22,2329.199
2016-03-23,2311.8354
2016-03-24,2307.6548
2016-03-29,2285.3025
2016-03-30,2247.7693
2016-03-31,2253.3494
2016-04-01,2292.8801
2016-04-04,2288.745
2016-04-05,2284.5652
2016-04-06,2274.1226
2016-04-07,2252.562
2016-04-08,2262.9468
2016-04-11,2237.6768
2016-04-12,2264.5273
2016-04-13,2269.089
2016-04-14,2272.292
2016-04-15,2309.0989
2016-04-18,2329.3887
2016-04-19,2316.1172
2016-04-20,2324.0378
2016-04-21,2347.164
2016-04-22,2350.6584
2016-04-25,2342.714
2016-04-26,2364.9304
2016-04-27,2332.1018
2016-04-28,2325.2498
2016-04-29,2339.6792
2016-05-02,2351.6995
2016-05-03,2339.4028
2016-05-04,2333.9812
2016-05-06,2292.4126
2016-05-09,2263.6191
2016-05-10,2262.5012
2016-05-11,2243.711
2016-05-12,2253.7512
2016-05-13,2242.1511
2016-05-17,2232.9854
2016-05-18,2231.565
2016-05-19,2235.3467
2016-05-20,2239.0923
2016-05-23,2215.6658
2016-05-24,2223.918
2016-05-25,2233.8
2016-05-27,2263.5771
2016-05-30,2290.2048
2016-05-31,2282.9983
2016-06-01,2290.5188
2016-06-02,2280.603
2016-06-03,2248.0872
2016-06-06,2256.089
2016-06-07,2243.2856
2016-06-08,2257.7075
2016-06-09,2283.4048
2016-06-10,2267.2954
2016-06-13,2259.3435
2016-06-14,2220.5906
2016-06-15,2178.3882
2016-06-16,2143.3413
2016-06-17,2167.4917
2016-06-20,2140.8147
2016-06-21,2180.0405
2016-06-22,2223.1062
2016-06-23,2229.9954
2016-06-24,2240.792
2016-06-27,2242.593
2016-06-28,2134.8577
2016-06-29,2059.5095
2016-06-30,2090.5789
2016-07-01,2129.1062
2016-07-04,2144.6257
2016-07-05,2151.4675
2016-07-06,2133.93
2016-07-07,2088.9773
2016-07-08,2086.4045
2016-07-11,2102.388
2016-07-12,2127.3435
2016-07-13,2156.4075
2016-07-14,2200.1172
2016-07-15,2177.9
2016-07-18,2239.2505
2016-07-19,2245.3638
2016-07-20,2244.6626
2016-07-21,2237.377
2016-07-22,2248.07
2016-07-25,2245.9565
2016-07-26,2258.773
2016-07-27,2249.5667
2016-07-28,2254.882
2016-07-29,2265.688
2016-08-01,2252.7383
2016-08-02,2257.976
2016-08-03,2237.036
2016-08-04,2213.7178
2016-08-05,2202.153
2016-08-08,2219.2263
2016-08-09,2254.6726
2016-08-10,2269.131
2016-08-11,2292.039
2016-08-12,2287.4387
2016-08-16,2288.4734
2016-08-17,2300.6155
2016-08-18,2293.6875
2016-08-19,2271.9714
2016-08-22,2286.0735
2016-08-23,2286.6672
2016-08-24,2277.1118
2016-08-25,2304.513
2016-08-26,2320.6025
2016-08-29,2306.3735
2016-08-30,2323.677
2016-08-31,2329.3887
2016-09-01,2341.7366
2016-09-02,2326.0752
2016-09-05,2343.493
2016-09-06,2373.313
2016-09-07,2383.8167
2016-09-08,2384.4836
2016-09-09,2395.548
2016-09-12,2412.5244
2016-09-13,2395.6802
2016-09-14,2379.686
2016-09-15,2362.4116
2016-09-16,2338.9448
2016-09-19,2353.6355
2016-09-20,2331.0938
2016-09-21,2357.007
2016-09-22,2353.931
2016-09-23,2368.2544
2016-09-26,2403.7366
2016-09-27,2403.3213
2016-09-28,2384.1592
2016-09-29,2375.815
2016-09-30,2388.8232
2016-10-03,2413.792
2016-10-04,2405.7256
2016-10-05,2405.8494
2016-10-06,2416.6306
2016-10-07,2415.7607
2016-10-10,2410.3894
2016-10-11,2392.9849
2016-10-12,2407.6008
2016-10-13,2411.948
2016-10-14,2409.0874
2016-10-17,2386.152
2016-10-18,2417.3496
2016-10-19,2412.0015
2016-10-20,2442.7222
2016-10-21,2442.096
2016-10-24,2459.7012
2016-10-25,2458.0806
2016-10-27,2486.1873
2016-10-28,2497.8801
2016-10-31,2496.9595
2016-11-02,2496.5403
2016-11-03,2466.019
2016-11-04,2426.5342
2016-11-07,2462.5835
2016-11-08,2412.4177
2016-11-09,2429.394
2016-11-10,2451.1323
2016-11-11,2478.1694
2016-11-14,2491.6052
2016-11-15,2477.5625
2016-11-16,2483.6094
2016-11-17,2502.5876
2016-11-18,2488.1772
2016-11-21,2474.186
2016-11-22,2472.9563
2016-11-23,2479.3833
2016-11-24,2505.4744
2016-11-25,2503.1448
2016-11-28,2512.9863
2016-11-29,2502.323
2016-11-30,2477.273
2016-12-01,2486.1511
2016-12-02,2507.4763
2016-12-05,2510.1292
2016-12-06,2492.3967
2016-12-07,2511.6948
2016-12-09,2549.3062
2016-12-12,2576.1892
2016-12-13,2581.286
2016-12-14,2589.476
2016-12-15,2602.515
2016-12-16,2579.6953
2016-12-19,2608.426
2016-12-20,2626.8975
2016-12-21,2605.5684
2016-12-22,2613.5542
2016-12-23,2618.709
2016-12-27,2613.1477
2016-12-28,2613.5828
2016-12-29,2612.9397
2016-12-30,2618.6238
2017-01-02,2629.6504
2017-01-03,2599.3042
2017-01-04,2634.9536
2017-01-05,2664.1572
2017-01-09,2661.1367
2017-01-10,2674.198
2017-01-11,2657.1318
2017-01-12,2638.9321
2017-01-13,2648.354
2017-01-16,2649.5288
2017-01-17,2657.065
2017-01-18,2647.256
2017-01-19,2635.9429
2017-01-20,2638.6465
2017-01-23,2644.3552
2017-01-24,2662.8623
2017-01-25,2650.8188
2017-01-26,2662.6802
2017-01-27,2715.833
2017-01-30,2703.3997
2017-01-31,2709.12
2017-02-01,2672.1973
2017-02-02,2654.8062
2017-02-03,2704.6616
2017-02-06,2707.5845
2017-02-07,2708.226
2017-02-08,2690.74
2017-02-09,2689.8699
2017-02-10,2682.0393
2017-02-13,2713.7205
2017-02-14,2735.0698
2017-02-15,2757.8489
2017-02-16,2767.9338
2017-02-17,2782.8662
2017-02-20,2787.2146
2017-02-21,2774.0757
2017-02-22,2781.7449
2017-02-23,2790.4744
2017-02-24,2763.0356
2017-02-27,2775.2434
2017-02-28,2728.9263
2017-03-01,2718.3855
2017-03-02,2722.4907
2017-03-03,2772.3438
2017-03-06,2787.5325
2017-03-07,2774.1152
2017-03-08,2766.5408
2017-03-09,2771.928
2017-03-10,2788.556
2017-03-13,2780.9512
2017-03-14,2801.9465
2017-03-15,2811.024
2017-03-16,2790.8025
2017-03-17,2792.2847
2017-03-20,2825.8113
2017-03-21,2816.3975
2017-03-22,2821.0361
2017-03-23,2799.6833
2017-03-24,2774.3425
2017-03-27,2798.3577
2017-03-28,2804.8599
2017-03-29,2774.442
2017-03-30,2782.3896
2017-03-31,2811.764
2017-04-03,2823.3528
2017-04-04,2804.2014
2017-04-05,2820.4048
2017-04-06,2835.3298
2017-04-07,2860.9082
2017-04-10,2872.0193
2017-04-11,2884.5896
2017-04-12,2886.3743
2017-04-13,2861.3643
2017-04-18,2854.5505
2017-04-19,2836.578
2017-04-20,2805.1497
2017-04-21,2814.0747
2017-04-24,2826.5845
2017-04-25,2826.8455
2017-04-26,2916.3135
2017-04-27,2925.1326
2017-04-28,2951.2295
2017-05-02,2939.157
2017-05-03,2988.4941
2017-05-04,2991.4985
2017-05-05,2974.9734
2017-05-08,3016.6074
2017-05-09,3051.8464
2017-05-10,3049.573
2017-05-11,3068.9055
2017-05-12,3057.3442
2017-05-15,3062.4443
2017-05-16,3069.5562
2017-05-17,3120.6458
2017-05-18,3135.714
2017-05-19,3099.1438
2017-05-22,3078.113
2017-05-23,3147.5413
2017-05-24,3171.5527
2017-05-26,3168.0044
2017-05-29,3193.7395
2017-05-30,3199.6384
2017-05-31,3176.57
2017-06-01,3143.0237
2017-06-02,3112.4893
2017-06-06,3142.1665
2017-06-07,3144.2178
2017-06-08,3158.2131
2017-06-09,3174.0442
2017-06-12,3162.659
2017-06-13,3201.5952
2017-06-14,3158.6594
2017-06-16,3164.5344
2017-06-19,3120.7104
2017-06-20,3086.6118
2017-06-21,3140.116
2017-06-22,3080.8833
2017-06-23,3095.3098
2017-06-26,3062.9773
2017-06-27,3040.2258
2017-06-28,3071.04
2017-06-29,3080.7444
2017-06-30,3079.6318
2017-07-03,3072.4177
2017-07-04,3091.5754
2017-07-05,3125.54
2017-07-06,3135.9854
2017-07-07,3131.7717
2017-07-10,3140.0725
2017-07-11,3110.948
2017-07-12,3141.6782
2017-07-13,3135.3025
2017-07-14,3161.7324
2017-07-17,3171.138
2017-07-18,3173.6396
2017-07-19,3192.0159
2017-07-20,3184.6477
2017-07-21,3186.2256
2017-07-24,3190.7434
2017-07-25,3151.8462
2017-07-26,3147.759
2017-07-27,3206.6565
2017-07-28,3240.424
2017-07-31,3252.5833
2017-08-01,3236.8098
2017-08-02,3213.807
2017-08-03,3242.0876
2017-08-04,3225.0454
2017-08-07,3249.4487
2017-08-08,3258.8474
2017-08-09,3280.0723
2017-08-10,3282.2085
2017-08-11,3234.7712
2017-08-14,3190.8967
2017-08-16,3153.6848
2017-08-17,3212.991
2017-08-18,3238.7163
2017-08-21,3211.1174
2017-08-22,3168.8445
2017-08-23,3143.4253
2017-08-24,3166.0176
2017-08-25,3176.4058
2017-08-28,3197.913
2017-08-29,3225.399
2017-08-30,3195.8916
2017-08-31,3158.8225
2017-09-01,3195.8472
2017-09-04,3229.0925
2017-09-05,3259.2483
2017-09-06,3242.8198
2017-09-07,3222.095
2017-09-08,3213.807
2017-09-11,3232.8
2017-09-12,3225.819
2017-09-13,3260.0725
2017-09-14,3284.8726
2017-09-15,3282.0183
2017-09-18,3285.5671
2017-09-19,3267.7966
2017-09-20,3294.892
2017-09-21,3293.8823
2017-09-22,3293.703
2017-09-25,3300.2354
2017-09-26,3310.8835
2017-09-27,3306.7766
2017-09-28,3294.9478
2017-09-29,3294.2637
2017-10-02,3311.5586
2017-10-03,3321.984
2017-10-04,3353.3142
2017-10-05,3355.9497
2017-10-06,3312.9438
2017-10-09,3355.563
2017-10-10,3331.572
2017-10-11,3345.5767
2017-10-12,3329.0632
2017-10-13,3344.0576
2017-10-16,3331.8887
2017-10-17,3389.6829
2017-10-18,3390.1172
2017-10-19,3386.3208
2017-10-20,3420.824
2017-10-23,3382.2417
2017-10-24,3398.4868
2017-10-25,3406.3079
2017-10-27,3404.4607
2017-10-30,3376.7734
2017-10-31,3435.693
2017-11-02,3441.942
2017-11-03,3424.773
2017-11-06,3469.963
2017-11-07,3429.7979
2017-11-08,3405.6423
2017-11-09,3427.7805
2017-11-10,3432.1504
2017-11-13,3393.139
2017-11-14,3410.0854
2017-11-15,3398.0854
2017-11-16,3372.4397
