Date,Predict
2007-01-02,4432.9663
2007-01-03,4432.9663
2007-01-04,4484.7524
2007-01-05,4473.7666
2007-01-08,4442.518
2007-01-09,4428.631
2007-01-10,4456.0264
2007-01-11,4443.0103
2007-01-12,4445.6953
2007-01-15,4499.028
2007-01-16,4532.2075
2007-01-17,4518.5796
2007-01-18,4501.1284
2007-01-19,4507.5537
2007-01-22,4482.5186
2007-01-23,4506.252
2007-01-24,4489.702
2007-01-25,4470.0356
2007-01-26,4505.781
2007-01-29,4441.8423
2007-01-30,4433.899
2007-01-31,4442.477
2007-02-01,4455.77
2007-02-02,4501.026
2007-02-05,4511.283
2007-02-06,4525.5063
2007-02-07,4537.208
2007-02-08,4571.5
2007-02-09,4579.6445
2007-02-12,4557.976
2007-02-13,4537.0645
2007-02-14,4540.9893
2007-02-15,4575.813
2007-02-16,4581.806
2007-02-19,4584.9614
2007-02-20,4560.169
2007-02-21,4585.2275
2007-02-22,4573.0977
2007-02-23,4559.0933
2007-02-26,4554.442
2007-02-27,4547.1367
2007-02-28,4525.762
2007-03-01,4319.698
2007-03-02,4340.936
2007-03-05,4312.6777
2007-03-06,4235.38
2007-03-07,4286.2036
2007-03-08,4305.944
2007-03-09,4365.771
2007-03-12,4402.69
2007-03-13,4429.1436
2007-03-14,4395.044
2007-03-15,4258.1323
2007-03-16,4289.6577
2007-03-19,4306.1284
2007-03-20,4329.743
2007-03-21,4396.53
2007-03-22,4401.8296
2007-03-23,4477.056
2007-03-26,4492.0386
2007-03-27,4539.032
2007-03-28,4500.2676
2007-03-29,4493.268
2007-03-30,4491.0146
2007-04-02,4528.2114
2007-04-03,4491.68
2007-04-04,4540.743
2007-04-05,4588.4854
2007-04-10,4580.7305
2007-04-11,4588.2085
2007-04-12,4623.968
2007-04-13,4621.0796
2007-04-16,4604.0864
2007-04-17,4615.0054
2007-04-18,4641.2563
2007-04-19,4629.191
2007-04-20,4576.2227
2007-04-23,4597.0596
2007-04-24,4676.103
2007-04-25,4646.448
2007-04-26,4631.4033
2007-04-27,4710.626
2007-04-30,4689.4136
2007-05-02,4654.4053
2007-05-03,4672.8677
2007-05-04,4736.9214
2007-05-07,4746.8486
2007-05-08,4746.4907
2007-05-09,4760.838
2007-05-10,4752.273
2007-05-11,4751.9146
2007-05-14,4670.0005
2007-05-15,4714.8027
2007-05-16,4687.0586
2007-05-17,4711.5366
2007-05-18,4722.551
2007-05-21,4727.2896
2007-05-22,4777.372
2007-05-23,4764.634
2007-05-24,4773.2188
2007-05-25,4767.7344
2007-05-28,4705.6406
2007-05-29,4716.2764
2007-05-30,4718.3745
2007-05-31,4665.424
2007-06-01,4714.116
2007-06-04,4730.8003
2007-06-05,4734.3726
2007-06-06,4735.9688
2007-06-07,4715.5796
2007-06-08,4635.121
2007-06-11,4524.0513
2007-06-12,4579.255
2007-06-13,4594.601
2007-06-14,4572.6885
2007-06-15,4658.706
2007-06-18,4679.759
2007-06-19,4724.2603
2007-06-20,4709.786
2007-06-21,4703.163
2007-06-22,4680.2603
2007-06-25,4684.724
2007-06-26,4637.886
2007-06-27,4662.1265
2007-06-28,4613.6436
2007-06-29,4637.1694
2007-07-02,4660.805
2007-07-03,4661.6143
2007-07-04,4647.3804
2007-07-05,4673.472
2007-07-06,4692.025
2007-07-09,4672.7754
2007-07-10,4707.5137
2007-07-11,4702.9683
2007-07-12,4621.694
2007-07-13,4642.168
2007-07-16,4712.294
2007-07-17,4687.1714
2007-07-18,4661.676
2007-07-19,4601.505
2007-07-20,4632.182
2007-07-23,4634.3433
2007-07-24,4629.161
2007-07-25,4637.0776
2007-07-26,4549.2666
2007-07-27,4540.7017
2007-07-30,4371.2544
2007-07-31,4379.7104
2007-08-01,4394.2544
2007-08-02,4321.431
2007-08-03,4382.18
2007-08-06,4378.4395
2007-08-07,4268.9136
2007-08-08,4325.756
2007-08-09,4343.1504
2007-08-10,4343.1396
2007-08-13,4167.472
2007-08-14,4171.7036
2007-08-15,4210.98
2007-08-16,4116.33
2007-08-17,4070.0654
2007-08-20,3995.744
2007-08-21,4160.6484
2007-08-22,4168.159
2007-08-23,4159.9414
2007-08-24,4230.0103
2007-08-27,4216.4414
