Date,Predict
2007-01-04,403.9121
2007-01-05,403.9121
2007-01-08,402.83606
2007-01-09,397.30283
2007-01-10,391.4631
2007-01-11,384.2146
2007-01-12,379.83353
2007-01-15,389.60446
2007-01-16,394.4261
2007-01-17,403.1947
2007-01-18,401.69235
2007-01-19,404.8913
2007-01-22,414.96057
2007-01-23,414.42682
2007-01-24,424.5841
2007-01-25,424.61325
2007-01-26,432.25293
2007-01-29,433.0989
2007-01-30,430.40564
2007-01-31,426.04156
2007-02-01,425.65286
2007-02-02,423.96225
2007-02-05,434.83972
2007-02-06,442.73096
2007-02-07,438.7213
2007-02-08,436.77542
2007-02-09,432.86554
2007-02-12,428.45178
2007-02-13,433.70184
2007-02-14,432.15567
2007-02-15,437.27164
2007-02-16,444.12302
2007-02-19,449.55698
2007-02-20,447.8232
2007-02-21,453.83423
2007-02-22,451.96326
2007-02-23,440.55078
2007-02-26,449.70312
2007-02-27,447.3947
2007-02-28,448.80698
2007-03-01,429.70572
2007-03-02,426.37198
2007-03-05,408.47928
2007-03-06,417.81464
2007-03-07,409.84702
2007-03-08,414.71796
2007-03-09,416.42633
2007-03-12,426.13876
2007-03-13,432.4474
2007-03-14,431.689
2007-03-15,428.65588
2007-03-16,417.3485
2007-03-19,424.07892
2007-03-20,430.1529
2007-03-21,431.14453
2007-03-22,430.13345
2007-03-23,435.9778
2007-03-26,443.96725
2007-03-27,445.61267
2007-03-28,444.20093
2007-03-29,442.5752
2007-03-30,442.40967
2007-04-02,448.11542
2007-04-03,448.06674
2007-04-04,446.90778
2007-04-05,454.37997
2007-04-06,457.81107
2007-04-09,468.08215
2007-04-10,469.36075
2007-04-11,469.7902
2007-04-12,464.43292
2007-04-13,471.90854
2007-04-16,466.63794
2007-04-17,471.30322
2007-04-18,477.68002
2007-04-19,476.93765
2007-04-20,467.30145
2007-04-24,473.88083
2007-04-25,484.11954
2007-04-26,480.78687
2007-04-27,490.739
2007-04-30,488.7146
2007-05-01,442.76016
2007-05-02,460.9605
2007-05-03,446.78122
2007-05-04,453.86346
2007-05-07,461.8773
2007-05-08,459.3418
2007-05-09,458.00598
2007-05-10,458.2595
2007-05-11,462.12112
2007-05-14,461.66266
2007-05-15,459.371
2007-05-16,462.50146
2007-05-17,460.1219
2007-05-18,466.38425
2007-05-21,469.5071
2007-05-22,471.5864
2007-05-23,472.91412
2007-05-24,474.4765
2007-05-25,475.02335
2007-05-28,473.1875
2007-05-29,472.76764
2007-05-30,479.93674
2007-05-31,480.6696
2007-06-01,473.5586
2007-06-04,481.43185
2007-06-05,475.65814
2007-06-06,471.95728
2007-06-07,475.287
2007-06-08,469.51688
2007-06-11,459.5953
2007-06-12,454.6041
2007-06-13,460.0828
2007-06-14,454.994
2007-06-15,457.50882
2007-06-18,457.9573
2007-06-19,470.60037
2007-06-20,474.4667
2007-06-21,473.13873
2007-06-22,473.32425
2007-06-25,470.40512
2007-06-26,467.99435
2007-06-27,465.18414
2007-06-28,470.9713
2007-06-29,462.69653
2007-07-02,472.64075
2007-07-03,481.55887
2007-07-04,487.78564
2007-07-05,497.06924
2007-07-06,504.86258
2007-07-09,508.52625
2007-07-10,508.96713
