Date,Predict
2011-02-24,18094.412
2011-02-25,18094.412
2011-02-28,17748.83
2011-03-01,17783.357
2011-03-03,17947.637
2011-03-04,18270.488
2011-03-07,18563.375
2011-03-08,18312.156
2011-03-09,18231.088
2011-03-10,18467.201
2011-03-11,18378.709
2011-03-14,18202.988
2011-03-15,18125.137
2011-03-16,18073.922
2011-03-17,18217.957
2011-03-18,18182.854
2011-03-21,18205.941
2011-03-22,17949.979
2011-03-23,17896.582
2011-03-24,17937.807
2011-03-25,18239.818
2011-03-28,18426.674
2011-03-29,18733.898
2011-03-30,18878.375
2011-03-31,19099.541
2011-04-01,19255.02
2011-04-04,19374.242
2011-04-05,19384.703
2011-04-06,19633.752
2011-04-07,19602.033
2011-04-08,19526.824
2011-04-11,19509.34
2011-04-13,19296.725
2011-04-15,19107.498
2011-04-18,19574.416
2011-04-19,19303.324
2011-04-20,19015.572
2011-04-21,19191.707
2011-04-25,19489.695
2011-04-26,19447.158
2011-04-27,19503.062
2011-04-28,19516.984
2011-04-29,19441.674
2011-05-02,19209.44
2011-05-03,19143.264
2011-05-04,18907.06
2011-05-05,18501.4
2011-05-06,18430.543
2011-05-09,18243.049
2011-05-10,18569.086
2011-05-11,18507.773
2011-05-12,18515.146
2011-05-13,18469.627
2011-05-16,18312.926
2011-05-17,18438.213
2011-05-18,18324.467
2011-05-19,18134.959
2011-05-20,18124.697
2011-05-23,18156.715
2011-05-24,18223.129
2011-05-25,17980.42
2011-05-26,17941.953
2011-05-27,17885.084
2011-05-30,18066.064
2011-05-31,18271.855
2011-06-01,18220.773
2011-06-02,18471.357
2011-06-03,18373.91
2011-06-06,18497.615
2011-06-07,18295.441
2011-06-08,18306.05
2011-06-09,18395.605
2011-06-10,18343.82
2011-06-13,18339.818
2011-06-14,18197.36
2011-06-15,18230.55
2011-06-16,18251.52
2011-06-17,18022.365
2011-06-20,18022.424
2011-06-21,17892.82
2011-06-22,17556.443
2011-06-23,17637.895
2011-06-24,17510.988
2011-06-27,17777.469
2011-06-28,18092.088
2011-06-29,18439.088
2011-06-30,18495.49
2011-07-01,18677.418
2011-07-04,18902.863
