Date,Predict
2007-01-02,45292.8
2007-01-03,45292.8
2007-01-04,46129.91
2007-01-05,45261.336
2007-01-08,44870.227
2007-01-09,43240.445
2007-01-10,43775.13
2007-01-11,43012.973
2007-01-12,43320.297
2007-01-15,43626.18
2007-01-16,44018.05
2007-01-17,43853.316
2007-01-18,43586.66
2007-01-19,43692.367
2007-01-22,43449.766
2007-01-23,44327.59
2007-01-24,44436.387
2007-01-26,45016.242
2007-01-29,45488.15
2007-01-30,45235.426
2007-01-31,44458.527
2007-02-01,44895.17
2007-02-02,45446.477
2007-02-05,45606.734
2007-02-06,45777.297
2007-02-07,46044.496
2007-02-08,46104.844
2007-02-09,45393.69
2007-02-12,45679.953
2007-02-13,45117.023
2007-02-14,44789.86
2007-02-15,45961.89
2007-02-16,46703.52
2007-02-20,46665.36
2007-02-21,46665.36
2007-02-22,46566.734
2007-02-23,46797.543
2007-02-26,47128.293
2007-02-27,46726.785
2007-02-28,46884.145
2007-03-01,44068.695
2007-03-02,44747.383
2007-03-05,44407.805
2007-03-06,43351.51
2007-03-07,42272.43
2007-03-08,44136.844
2007-03-09,43628.938
2007-03-12,44359.855
2007-03-13,44975.57
2007-03-14,45082.81
2007-03-15,43699.723
2007-03-16,44196.727
2007-03-19,44186.594
2007-03-20,43685.93
2007-03-21,44587.684
2007-03-22,45176.223
2007-03-23,46364.03
2007-03-26,46172.63
2007-03-27,46272.957
2007-03-28,46377.973
2007-03-29,45967.46
2007-03-30,45308.53
2007-04-02,46107.63
2007-04-03,46525.81
2007-04-04,46336.15
2007-04-05,46977.305
2007-04-09,47224.336
2007-04-10,47312.96
2007-04-11,47504.29
2007-04-12,47801.38
2007-04-13,47584.6
2007-04-16,47964.082
2007-04-17,48505.297
2007-04-18,49442.48
2007-04-19,49289.18
2007-04-20,49237.477
2007-04-23,49292.004
2007-04-24,49900.082
2007-04-25,49667.414
2007-04-26,49582.688
2007-04-27,50153.71
2007-04-30,49577.98
2007-05-02,49723.918
2007-05-03,49472.586
2007-05-04,49959.46
2007-05-07,50663.594
2007-05-08,51016.36
2007-05-09,50718.414
2007-05-10,50719.363
2007-05-11,51686.29
2007-05-14,50679.656
2007-05-15,51318.426
2007-05-16,50940.66
2007-05-17,50947.285
2007-05-18,52106.92
2007-05-21,52004.312
2007-05-22,52427.336
2007-05-23,52756.71
2007-05-24,52552.94
2007-05-25,52175.344
2007-05-28,50969.043
2007-05-29,51988.164
2007-05-30,52468.254
2007-05-31,52073.664
2007-06-01,52863.41
2007-06-04,52611.016
2007-06-05,53709.92
2007-06-06,53539.836
2007-06-08,53460.562
2007-06-11,52395.945
2007-06-12,52661.473
2007-06-13,53092.203
2007-06-14,52162.04
2007-06-15,53316.402
2007-06-18,53996.816
2007-06-19,54759.47
2007-06-20,54961.99
2007-06-21,54879.43
2007-06-22,54290.715
2007-06-25,54879.43
2007-06-26,54520.684
2007-06-27,54305.08
2007-06-28,54120.27
2007-06-29,54409.508
2007-07-02,54405.67
2007-07-03,54641.492
2007-07-04,55578.09
2007-07-05,55892.91
2007-07-06,55890.984
2007-07-10,56118.41
2007-07-11,56612.414
2007-07-12,56070.21
2007-07-13,56550.613
2007-07-16,57743.508
2007-07-17,57773.562
2007-07-18,57513.844
2007-07-19,57789.08
2007-07-20,57688.26
2007-07-23,58240.29
2007-07-24,57578.754
2007-07-25,58153.88
2007-07-26,55988.293
2007-07-27,56182.04
2007-07-30,54159.52
