Date,Predict
2011-03-07,22543.658
2011-03-08,22543.658
2011-03-09,22599.205
2011-03-10,22364.992
2011-03-11,21896.078
2011-03-16,21536.207
2011-03-17,21649.744
2011-03-18,21647.248
2011-03-21,22093.38
2011-03-22,22092.812
2011-03-23,22208.32
2011-03-24,22101.193
2011-03-25,22116.025
2011-03-28,22536.55
2011-03-29,22566.627
2011-03-30,22459.143
2011-03-31,22472.684
2011-04-01,22596.553
2011-04-04,22701.6
2011-04-05,23207.254
2011-04-06,23131.508
2011-04-07,23259.47
2011-04-08,23900.324
2011-04-11,24022.172
2011-04-12,24026.64
2011-04-13,23673.84
2011-04-14,23446.7
2011-04-15,23473.855
2011-04-18,23449.111
2011-04-19,23735.805
2011-04-20,23096.7
2011-04-21,23519.533
2011-04-22,23707.295
2011-04-26,23668.32
2011-04-27,23531.182
2011-04-28,23790.318
2011-04-29,23889.072
2011-05-02,23750.129
2011-05-03,23854.646
2011-05-04,23775.252
2011-05-05,23325.201
2011-05-06,23282.795
2011-05-09,23123.762
2011-05-10,23384.998
2011-05-11,23254.139
2011-05-12,23394.6
2011-05-13,23020.885
2011-05-16,23015.06
2011-05-17,22881.625
2011-05-18,22778.889
2011-05-19,22736.084
2011-05-20,22800.824
2011-05-23,22446.305
2011-05-24,22074.062
2011-05-25,22157.465
2011-05-26,22409.62
2011-05-27,22646.092
2011-05-30,22569.14
2011-05-31,22537.613
2011-06-01,22487.73
2011-06-02,23014.71
2011-06-03,22708.365
2011-06-06,22997.648
2011-06-07,22731.754
2011-06-08,22644.275
2011-06-09,22693.168
2011-06-10,22825.98
2011-06-14,22841.598
2011-06-15,22700.611
2011-06-16,22729.055
2011-06-17,22246.967
2011-06-20,22301.85
2011-06-21,22251.773
2011-06-22,22219.348
2011-06-23,22209.521
2011-06-24,22140.752
2011-06-27,22038.523
2011-06-28,21932.248
2011-06-29,22141.156
2011-06-30,22328.135
2011-07-01,22403.652
2011-07-04,22336.096
2011-07-05,22409.66
2011-07-06,22105.383
2011-07-07,22028.982
2011-07-08,21870.447
2011-07-11,22201.977
2011-07-12,21831.902
2011-07-13,21422.547
2011-07-14,21612.295
2011-07-15,21827.95
2011-07-18,21806.113
2011-07-19,21560.459
2011-07-20,21145.168
2011-07-21,21231.467
2011-07-22,21267.389
2011-07-25,21760.42
2011-07-26,21153.625
2011-07-27,21580.182
2011-07-28,21382.875
2011-07-29,21019.148
2011-08-01,20928.637
2011-08-02,21388.887
2011-08-03,20713.97
2011-08-04,20162.771
2011-08-05,20307.418
2011-08-08,18946.814
2011-08-09,18989.293
2011-08-10,18962.432
2011-08-11,18794.729
2011-08-12,17473.994
2011-08-15,17602.611
2011-08-16,18244.342
2011-08-17,18610.098
2011-08-18,18223.502
2011-08-19,18260.88
2011-08-22,17814.197
2011-08-23,17603.201
2011-08-24,18209.547
2011-08-25,18206.736
2011-08-26,18134.318
2011-08-29,17659.906
2011-08-30,17903.602
2011-08-31,18374.064
2011-09-01,18125.707
2011-09-02,18351.7
2011-09-05,17994.615
2011-09-06,18066.342
2011-09-07,17587.783
2011-09-08,17956.58
2011-09-09,18379.676
2011-09-12,17981.191
2011-09-13,16769.953
2011-09-14,16623.111
2011-09-15,16503.398
2011-09-16,16668.58
2011-09-19,16907.928
2011-09-20,16486.936
2011-09-21,16303.257
2011-09-22,16451.844
2011-09-23,15783.362
2011-09-26,15408.098
2011-09-27,14991.804
2011-09-28,15438.246
2011-09-29,15593.693
2011-09-30,15712.19
2011-10-03,15831.339
2011-10-04,15530.212
2011-10-05,15470.659
2011-10-06,15941.348
2011-10-07,16521.428
2011-10-10,16811.762
2011-10-11,16490.113
2011-10-12,16908.572
2011-10-13,16938.47
2011-10-14,17225.586
2011-10-17,17290.408
2011-10-18,17605.404
2011-10-19,17154.43
2011-10-20,17493.889
2011-10-21,17242.555
2011-10-24,17117.08
2011-10-25,17571.523
2011-10-26,17630.545
2011-10-27,17684.828
2011-10-28,17715.834
2011-11-02,17999.844
2011-11-03,17060.504
2011-11-04,16660.959
2011-11-07,16874.93
2011-11-08,16733.02
2011-11-09,16589.822
2011-11-10,16716.008
2011-11-11,15982.744
2011-11-14,16424.357
2011-11-15,16739.012
2011-11-16,16419.475
2011-11-17,16550.225
2011-11-18,16694.227
2011-11-21,17244.943
2011-11-22,16904.178
2011-11-23,16943.996
2011-11-24,16697.887
2011-11-25,16940.732
2011-11-28,16449.531
2011-11-29,16530.44
2011-11-30,16829.074
2011-12-01,16855.129
2011-12-02,17496.818
2011-12-05,17248.615
2011-12-06,17399.773
2011-12-07,17521.13
2011-12-08,17452.393
2011-12-09,17168.271
2011-12-12,16736.049
2011-12-13,16928.504
2011-12-14,17080.57
2011-12-15,16857.203
2011-12-16,16819.346
2011-12-19,17081.14
2011-12-20,17177.84
2011-12-21,17318.564
2011-12-22,17672.018
2011-12-23,17234.42
2011-12-27,17459.988
2011-12-28,17428.328
2011-12-29,17163.902
