Date,Predict
2007-01-02,5623.4585
2007-01-03,5623.4585
2007-01-04,5670.3696
2007-01-05,5621.3545
2007-01-08,5599.5015
2007-01-09,5578.7124
2007-01-10,5595.7407
2007-01-11,5550.5425
2007-01-12,5569.549
2007-01-15,5645.4995
2007-01-16,5691.506
2007-01-17,5687.251
2007-01-18,5640.615
2007-01-19,5632.778
2007-01-22,5601.428
2007-01-23,5680.133
2007-01-24,5630.953
2007-01-25,5644.4
2007-01-26,5699.4346
2007-01-29,5625.066
2007-01-30,5641.051
2007-01-31,5659.883
2007-02-01,5687.77
2007-02-02,5715.089
2007-02-05,5731.7446
2007-02-06,5722.503
2007-02-07,5731.7344
2007-02-08,5739.1606
2007-02-09,5757.745
2007-02-12,5751.532
2007-02-13,5721.9834
2007-02-14,5707.1895
2007-02-15,5752.7993
2007-02-16,5777.885
2007-02-19,5769.455
2007-02-20,5776.336
2007-02-21,5793.196
2007-02-22,5786.469
2007-02-23,5776.44
2007-02-26,5777.1045
2007-02-27,5785.9297
2007-02-28,5772.168
2007-03-01,5520.051
2007-03-02,5547.157
2007-03-05,5524.581
2007-03-06,5364.38
2007-03-07,5473.7954
2007-03-08,5501.8594
2007-03-09,5538.476
2007-03-12,5561.4736
2007-03-13,5600.723
2007-03-14,5543.525
2007-03-15,5386.653
2007-03-16,5417.2124
2007-03-19,5421.1025
2007-03-20,5478.1562
2007-03-21,5503.276
2007-03-22,5544.0117
2007-03-23,5625.491
2007-03-26,5638.013
2007-03-27,5688.507
2007-03-28,5658.6074
2007-03-29,5610.753
2007-03-30,5627.844
2007-04-02,5679.884
2007-04-03,5672.8594
2007-04-04,5733.323
2007-04-05,5783.85
2007-04-10,5785.3267
2007-04-11,5804.841
2007-04-12,5812.609
2007-04-13,5798.55
2007-04-16,5816.8945
2007-04-17,5872.352
2007-04-18,5902.6826
2007-04-19,5907.587
2007-04-20,5830.9355
2007-04-23,5915.191
2007-04-24,5999.25
2007-04-25,5972.6606
2007-04-26,5963.165
2007-04-27,6043.908
2007-04-30,6003.0137
2007-05-02,5974.0996
2007-05-03,6049.3774
2007-05-04,6084.2305
2007-05-07,6077.9233
2007-05-08,6148.2246
2007-05-09,6124.9585
2007-05-10,6138.1113
2007-05-11,6111.464
2007-05-14,6018.9106
2007-05-15,6138.2363
2007-05-16,6066.6504
2007-05-17,6106.116
2007-05-18,6110.9204
2007-05-21,6083.8545
2007-05-22,6160.482
2007-05-23,6162.6245
2007-05-24,6162.593
2007-05-25,6137.8706
2007-05-28,6085.368
2007-05-29,6132.961
2007-05-30,6148.0264
2007-05-31,6081.265
2007-06-01,6155.5396
2007-06-04,6183.0464
2007-06-05,6229.2075
2007-06-06,6211.1484
2007-06-07,6140.6807
2007-06-08,6046.601
2007-06-11,5936.183
2007-06-12,6001.5337
2007-06-13,5990.5527
2007-06-14,5938.465
2007-06-15,6038.3057
2007-06-18,6131.153
2007-06-19,6187.5835
2007-06-20,6160.8267
2007-06-21,6164.316
2007-06-22,6109.9077
2007-06-25,6107.1187
2007-06-26,6035.5615
2007-06-27,6025.8477
2007-06-28,5982.8887
2007-06-29,6060.513
2007-07-02,6097.961
2007-07-03,6086.851
2007-07-04,6142.227
2007-07-05,6149.269
2007-07-06,6183.0986
2007-07-09,6128.73
2007-07-10,6188.7437
2007-07-11,6173.5874
2007-07-12,6033.422
