Date,Predict
2007-01-02,6514.7583
2007-01-03,6514.7583
2007-01-04,6576.8857
2007-01-05,6559.1367
2007-01-08,6558.8184
2007-01-09,6504.3203
2007-01-10,6524.6084
2007-01-11,6481.1846
2007-01-12,6492.364
2007-01-15,6585.487
2007-01-16,6612.701
2007-01-17,6627.9507
2007-01-18,6610.0254
2007-01-19,6614.16
2007-01-22,6574.622
2007-01-23,6644.704
2007-01-24,6587.7295
2007-01-25,6587.5615
2007-01-26,6635.063
2007-01-29,6585.3555
2007-01-30,6596.7256
2007-01-31,6613.1123
2007-02-01,6662.5864
2007-02-02,6708.001
2007-02-05,6738.431
2007-02-06,6761.786
2007-02-07,6764.816
2007-02-08,6768.6724
2007-02-09,6792.3506
2007-02-12,6773.0254
2007-02-13,6774.321
2007-02-14,6752.4155
2007-02-15,6793.591
2007-02-16,6836.3945
2007-02-19,6834.1113
2007-02-20,6845.2163
2007-02-21,6855.544
2007-02-22,6874.964
2007-02-23,6837.55
2007-02-26,6862.6396
2007-02-27,6868.3276
2007-02-28,6864.7734
2007-03-01,6620.9995
2007-03-02,6607.7617
2007-03-05,6560.4067
2007-03-06,6417.954
2007-03-07,6462.648
2007-03-08,6506.514
2007-03-09,6541.925
2007-03-12,6600.4663
2007-03-13,6620.2227
2007-03-14,6609.7266
2007-03-15,6470.4375
2007-03-16,6403.885
2007-03-19,6468.1514
2007-03-20,6522.2563
2007-03-21,6569.828
2007-03-22,6590.9277
2007-03-23,6634.455
2007-03-26,6743.3354
2007-03-27,6781.1714
2007-03-28,6723.945
2007-03-29,6716.8306
2007-03-30,6719.9795
2007-04-02,6785.442
2007-04-03,6792.247
2007-04-04,6824.3887
2007-04-05,6943.95
2007-04-10,6945.9087
2007-04-11,6972.161
2007-04-12,7034.0107
2007-04-13,7017.7285
2007-04-16,7020.613
2007-04-17,7091.521
2007-04-18,7184.5166
2007-04-19,7197.519
2007-04-20,7069.3145
2007-04-23,7118.22
2007-04-24,7203.912
2007-04-25,7198.304
2007-04-26,7150.7446
2007-04-27,7223.3325
2007-04-30,7237.981
2007-05-02,7223.9956
2007-05-03,7281.4453
2007-05-04,7321.4365
2007-05-07,7325.74
2007-05-08,7370.5605
2007-05-09,7362.0815
2007-05-10,7321.257
2007-05-11,7326.46
2007-05-14,7240.611
2007-05-15,7352.589
2007-05-16,7284.0317
2007-05-17,7332.1377
2007-05-18,7349.8574
2007-05-21,7346.491
2007-05-22,7456.0806
2007-05-23,7465.201
2007-05-24,7504.557
2007-05-25,7553.19
2007-05-29,7512.069
2007-05-30,7593.8125
2007-05-31,7577.715
2007-06-01,7624.3584
2007-06-04,7719.9546
2007-06-05,7798.7026
2007-06-06,7811.5347
2007-06-07,7744.3003
2007-06-08,7585.7397
2007-06-11,7419.9644
2007-06-12,7464.907
2007-06-13,7531.7075
2007-06-14,7492.712
2007-06-15,7588.4062
2007-06-18,7691.3564
2007-06-19,7866.618
2007-06-20,7866.484
2007-06-21,7887.136
2007-06-22,7872.2803
2007-06-25,7802.1235
2007-06-26,7725.404
2007-06-27,7711.5503
2007-06-28,7652.3916
2007-06-29,7678.217
2007-07-02,7773.372
2007-07-03,7794.49
2007-07-04,7809.767
2007-07-05,7879.0054
2007-07-06,7921.311
2007-07-09,7811.5444
2007-07-10,7897.661
2007-07-11,7902.015
2007-07-12,7749.57
2007-07-13,7749.1206
2007-07-16,7909.508
2007-07-17,7920.966
2007-07-18,7909.9395
2007-07-19,7811.9263
2007-07-20,7760.825
2007-07-23,7811.286
2007-07-24,7709.546
2007-07-25,7743.966
2007-07-26,7583.407
2007-07-27,7545.71
2007-07-30,7288.246
2007-07-31,7310.6045
2007-08-01,7355.396
2007-08-02,7321.645
2007-08-03,7365.7803
2007-08-06,7395.106
2007-08-07,7244.4736
2007-08-08,7330.166
2007-08-09,7384.81
2007-08-10,7421.9683
2007-08-13,7228.413
2007-08-14,7234.347
2007-08-15,7292.4043
2007-08-16,7245.0415
2007-08-17,7215.517
2007-08-20,7103.3774
2007-08-21,7253.5317
2007-08-22,7279.1626
2007-08-23,7280.573
2007-08-24,7405.631
2007-08-27,7339.1436
2007-08-28,7372.1167
2007-08-29,7326.0337
2007-08-30,7237.1
2007-08-31,7318.8877
2007-09-03,7399.642
2007-09-04,7484.2065
2007-09-05,7476.3853
2007-09-06,7538.518
2007-09-07,7460.165
2007-09-10,7455.0166
2007-09-11,7288.796
2007-09-12,7261.863
2007-09-13,7308.6816
2007-09-14,7309.392
2007-09-17,7361.711
2007-09-18,7345.088
