Date,Predict
2007-01-03,12479.469
2007-01-04,12479.469
2007-01-05,12492.897
2007-01-08,12499.691
2007-01-09,12412.899
2007-01-10,12445.188
2007-01-11,12437.529
2007-01-12,12463.122
2007-01-16,12533.824
2007-01-17,12574.444
2007-01-18,12589.8545
2007-01-19,12593.405
2007-01-22,12586.372
2007-01-23,12584.794
2007-01-24,12497.483
2007-01-25,12553.266
2007-01-26,12639.498
2007-01-29,12522.6
2007-01-30,12506.644
2007-01-31,12511.703
2007-02-01,12539.12
2007-02-02,12634.988
2007-02-05,12690.895
2007-02-06,12670.728
2007-02-07,12678.87
2007-02-08,12674.133
2007-02-09,12682.83
2007-02-12,12655.547
2007-02-13,12598.39
2007-02-14,12567.885
2007-02-15,12668.635
2007-02-16,12757.9
2007-02-20,12780.053
2007-02-21,12782.739
2007-02-22,12798.563
2007-02-23,12752.043
2007-02-26,12696.866
2007-02-27,12665.27
2007-02-28,12646.536
2007-03-01,12238.455
2007-03-02,12288.35
2007-03-05,12257.023
2007-03-06,12136.774
2007-03-07,12077.315
2007-03-08,12228.156
2007-03-09,12217.2
2007-03-12,12284.873
2007-03-13,12298.286
2007-03-14,12329.619
2007-03-15,12100.282
2007-03-16,12157.9795
2007-03-19,12184.55
2007-03-20,12135.593
2007-03-21,12250.16
2007-03-22,12311.387
2007-03-23,12466.828
2007-03-26,12480.415
2007-03-27,12500.007
2007-03-28,12488.392
2007-03-29,12417.314
2007-03-30,12323.698
2007-04-02,12370.427
2007-04-03,12375.954
2007-04-04,12400.126
2007-04-05,12530.569
2007-04-09,12542.265
2007-04-10,12581.151
2007-04-11,12586.924
2007-04-12,12591.493
2007-04-13,12503.232
2007-04-16,12570.567
2007-04-17,12629.501
2007-04-18,12736.034
2007-04-19,12786.917
2007-04-20,12815.259
2007-04-23,12826.502
2007-04-24,12975.1
2007-04-25,12933.721
2007-04-26,12965.142
2007-04-27,13101.072
2007-04-30,13116.115
2007-05-01,13132.117
2007-05-02,13075.258
2007-05-03,13145.708
2007-05-04,13217.69
2007-05-07,13253.766
2007-05-08,13274.615
2007-05-09,13319.461
2007-05-10,13310.763
2007-05-11,13368.659
2007-05-14,13223.186
2007-05-15,13335.72
2007-05-16,13355.775
2007-05-17,13383.605
2007-05-18,13495.467
2007-05-21,13484.995
2007-05-22,13564.475
2007-05-23,13553.025
2007-05-24,13548.908
2007-05-25,13530.814
2007-05-29,13450.825
2007-05-30,13515.62
2007-05-31,13526.143
2007-06-01,13640.355
2007-06-04,13636.078
2007-06-05,13674.312
2007-06-06,13680.249
2007-06-07,13598.339
2007-06-08,13472.184
2007-06-11,13277.597
2007-06-12,13432.781
2007-06-13,13433.424
2007-06-14,13297.885
2007-06-15,13490.974
2007-06-18,13564.595
2007-06-19,13646.311
2007-06-20,13619.195
2007-06-21,13643.889
2007-06-22,13495.169
2007-06-25,13553.065
2007-06-26,13369.689
2007-06-27,13362.038
2007-06-28,13346.739
2007-06-29,13436.489
2007-07-02,13431.662
2007-07-03,13418.764
2007-07-05,13539.674
2007-07-06,13584.029
2007-07-09,13566.935
2007-07-10,13620.169
2007-07-11,13655.829
2007-07-12,13508.796
2007-07-13,13587.096
2007-07-16,13865.651
2007-07-17,13912.59
2007-07-18,13957.194
2007-07-19,13960.267
2007-07-20,13924.221
2007-07-23,14005.6875
2007-07-24,13857.573
2007-07-25,13946.198
2007-07-26,13724.985
2007-07-27,13789.411
2007-07-30,13481.305
2007-07-31,13276.675
2007-08-01,13370.256
2007-08-02,13222.086
2007-08-03,13367.441
2007-08-06,13470.962
2007-08-07,13194.402
2007-08-08,13476.387
2007-08-09,13505.652
2007-08-10,13659.541
2007-08-13,13281.014
2007-08-14,13248.973
2007-08-15,13246.478
2007-08-16,13034.875
2007-08-17,12874.297
2007-08-20,12862.963
2007-08-21,13090.851
2007-08-22,13131.959
2007-08-23,13100.499
2007-08-24,13248.012
2007-08-27,13242.576
2007-08-28,13386.607
2007-08-29,13328.408
2007-08-30,13055.787
2007-08-31,13298.173
2007-09-04,13251.549
2007-09-05,13368.005
2007-09-06,13451.727
2007-09-07,13316.529
2007-09-10,13370.334
2007-09-11,13128.337
2007-09-12,13141.214
2007-09-13,13308.474
2007-09-14,13302.6
2007-09-17,13430.45
2007-09-18,13450.835
2007-09-19,13412.397
2007-09-20,13747.19
2007-09-21,13819.609
2007-09-24,13774.72
2007-09-25,13827.607
2007-09-26,13764.302
2007-09-27,13785.615
2007-09-28,13885.198
2007-10-01,13918.405
2007-10-02,13901.279
2007-10-03,14091.635
2007-10-04,14043.608
2007-10-05,13973.031
2007-10-08,13974.206
2007-10-09,14069.97
2007-10-10,14048.453
2007-10-11,14169.133
2007-10-12,14083.637
2007-10-15,14021.211
2007-10-16,14096.898
2007-10-17,13991.378
2007-10-18,13926.079
2007-10-19,13893.519
2007-10-22,13894.084
2007-10-23,13529.844
2007-10-24,13576.776
2007-10-25,13682.62
2007-10-26,13684.875
2007-10-29,13682.7
2007-10-30,13813.479
2007-10-31,13874.773
2007-11-01,13798.29
2007-11-02,13929.558
2007-11-05,13577.738
2007-11-06,13600.241
2007-11-07,13550.3955
2007-11-08,13653.973
2007-11-09,13309.852
2007-11-12,13271.683
2007-11-13,13051.92
2007-11-14,12988.567
2007-11-15,13315.567
2007-11-16,13241.485
2007-11-19,13121.499
2007-11-20,13187.641
2007-11-21,12969.591
2007-11-23,13019.762
2007-11-26,12811.6045
2007-11-27,12993.395
2007-11-28,12760.941
2007-11-29,12971.6875
2007-11-30,13298.173
2007-12-03,13324.267
2007-12-04,13377.747
2007-12-05,13321.284
2007-12-06,13254.687
2007-12-07,13454.7
2007-12-10,13625.736
2007-12-11,13630.977
2007-12-12,13733.545
2007-12-13,13443.745
2007-12-14,13482.595
2007-12-17,13523.387
2007-12-18,13348.989
2007-12-19,13180.075
2007-12-20,13242.774
2007-12-21,13217.502
2007-12-24,13252.36
2007-12-26,13459.54
2007-12-27,13555.962
2007-12-28,13557.172
2007-12-31,13370.82
2008-01-02,13373.724
2008-01-03,13272.327
2008-01-04,13056.827
2008-01-07,13059.24
2008-01-08,12816.622
2008-01-09,12836.136
2008-01-10,12608.3545
2008-01-11,12749.416
