Date,Predict
2011-08-15,127.10807
2011-08-16,127.10807
2011-08-17,127.65998
2011-08-18,128.78363
2011-08-19,129.43164
2011-08-22,128.80269
2011-08-23,128.81223
2011-08-24,129.60323
2011-08-25,129.57463
2011-08-26,129.98463
2011-08-29,130.28984
2011-08-30,130.06093
2011-08-31,130.73825
2011-09-01,130.55695
2011-09-02,130.22307
2011-09-05,129.72717
2011-09-06,128.20264
2011-09-07,127.669495
2011-09-08,128.48833
2011-09-09,128.78363
2011-09-12,129.0123
2011-09-13,128.95514
2011-09-14,127.65047
2011-09-15,129.06947
2011-09-16,128.02171
2011-09-19,128.09789
2011-09-20,128.9456
2011-09-21,128.43118
2011-09-22,129.19336
2011-09-23,129.37445
2011-09-26,130.16583
2011-09-27,129.06947
2011-09-28,127.936035
2011-09-29,129.47931
2011-09-30,128.65979
2011-10-03,129.06947
2011-10-04,130.21352
2011-10-05,129.8988
2011-10-06,130.34706
2011-10-07,130.204
2011-10-10,130.69054
2011-10-11,131.10092
2011-10-12,131.37776
2011-10-13,129.34586
2011-10-14,128.41214
2011-10-17,127.631424
2011-10-18,127.81228
2011-10-19,127.49819
2011-10-20,126.052536
2011-10-21,127.02245
2011-10-25,126.68954
2011-10-26,126.86074
2011-10-27,126.59445
2011-10-28,126.58493
2011-10-31,126.79416
2011-11-01,127.831314
2011-11-02,127.49819
2011-11-03,127.49819
2011-11-04,127.23175
2011-11-07,127.71709
2011-11-08,128.39308
2011-11-09,128.39308
2011-11-10,128.76457
2011-11-11,128.04076
2011-11-14,127.74564
2011-11-15,128.62169
2011-11-16,127.18417
2011-11-17,127.42206
2011-11-18,125.86246
2011-11-21,125.7104
2011-11-22,125.74841
2011-11-23,124.865005
2011-11-24,121.79256
2011-11-25,125.92898
2011-11-28,124.93148
2011-11-29,124.10563
2011-11-30,124.33338
2011-12-01,124.64664
2011-12-02,125.59639
2011-12-05,125.39688
2011-12-06,125.75791
2011-12-07,126.14759
2011-12-08,126.109566
2011-12-09,125.9575
2011-12-12,125.62489
2011-12-13,125.79593
2011-12-14,126.68954
2011-12-15,126.70857
2011-12-16,126.34722
2011-12-19,125.85294
2011-12-20,125.634384
2011-12-21,124.27644
2011-12-22,123.79252
2011-12-23,124.19103
2011-12-28,124.380844
2011-12-29,124.409325
2011-12-30,125.41587
2012-01-04,126.12858
2012-01-05,127.09855
2012-01-06,127.23175
2012-01-09,126.92732
2012-01-10,126.04303
2012-01-11,125.59639
2012-01-12,125.06443
2012-01-13,124.95047
2012-01-16,124.551704
2012-01-17,124.51373
2012-01-18,124.34288
2012-01-19,125.577385
2012-01-20,126.09056
2012-01-23,126.68004
2012-01-24,127.1271
2012-01-25,127.1271
2012-01-26,127.10807
2012-01-27,127.10807
2012-01-30,128.06934
2012-01-31,128.12646
2012-02-01,128.37405
2012-02-02,128.02171
2012-02-03,128.54549
2012-02-07,128.52643
2012-02-08,128.49785
2012-02-09,128.55501
2012-02-10,128.99324
2012-02-13,128.9742
2012-02-14,129.39352
2012-02-15,129.38397
2012-02-16,129.22195
2012-02-17,127.65047
2012-02-20,127.82179
2012-02-21,128.44072
2012-02-22,128.76457
2012-02-23,128.8789
2012-02-24,129.02182
2012-02-27,128.93607
2012-02-28,128.79317
2012-02-29,128.27881
2012-03-01,128.355
2012-03-02,128.52643
2012-03-05,129.2696
2012-03-06,131.35867
2012-03-07,131.71198
2012-03-08,131.54964
2012-03-09,131.96986
2012-03-12,132.54312
2012-03-13,133.46092
2012-03-14,133.97746
2012-03-15,135.30812
2012-03-16,135.5093
2012-03-19,136.80324
2012-03-20,135.39435
2012-03-21,134.53253
2012-03-22,134.71443
2012-03-23,133.9105
2012-03-26,133.6235
2012-03-27,133.2314
2012-03-28,133.69046
2012-03-29,133.6235
2012-03-30,133.6235
2012-04-02,134.121
2012-04-03,134.41768
2012-04-04,133.67134
2012-04-05,132.83942
2012-04-10,132.97325
2012-04-11,132.55269
2012-04-12,132.87766
2012-04-13,132.33289
2012-04-16,133.46092
2012-04-17,133.03061
2012-04-18,132.5718
2012-04-19,132.85854
2012-04-20,134.03488
2012-04-23,134.08272
2012-04-24,133.72873
2012-04-26,133.92006
2012-04-27,134.15927
2012-04-30,134.60912
2012-05-01,134.49425
2012-05-02,135.4135
2012-05-03,136.46765
2012-05-04,137.69542
2012-05-07,136.31425
2012-05-08,134.6474
2012-05-09,134.92506
2012-05-10,135.1932
2012-05-11,135.69133
2012-05-14,135.85422
2012-05-15,135.12616
2012-05-16,135.55719
2012-05-17,134.724
2012-05-18,134.58997
2012-05-21,133.8818
2012-05-22,133.51831
2012-05-23,133.767
2012-05-24,135.35602
2012-05-25,134.35068
2012-05-28,133.95834
2012-05-29,133.26009
2012-05-30,132.45712
2012-05-31,133.44179
2012-06-01,132.82985
2012-06-05,133.08797
2012-06-06,131.54008
2012-06-07,130.58557
2012-06-08,132.27556
2012-06-11,132.33289
2012-06-12,131.63557
2012-06-13,131.60693
2012-06-14,130.88141
2012-06-15,128.70741
2012-06-18,130.64284
2012-06-19,131.41595
2012-06-20,131.91254
2012-06-21,132.352
2012-06-22,130.82413
2012-06-25,129.2696
2012-06-26,129.93695
2012-06-27,129.5079
2012-06-28,128.86937
2012-06-29,129.33633
2012-07-02,129.52696
2012-07-03,129.96556
2012-07-04,130.81459
2012-07-05,131.15819
2012-07-06,132.38066
2012-07-09,132.352
2012-07-10,131.71198
2012-07-11,132.09404
2012-07-12,131.68333
2012-07-13,132.2087
2012-07-16,133.06886
2012-07-17,133.02106
2012-07-18,131.56874
2012-07-19,131.14865
2012-07-20,131.9603
2012-07-23,131.88388
2012-07-24,130.95773
2012-07-25,131.29184
2012-07-26,130.91957
2012-07-27,131.10092
2012-07-30,132.06538
2012-07-31,132.76295
2012-08-01,133.0593
2012-08-02,134.121
2012-08-03,133.97746
2012-08-06,135.0304
2012-08-07,134.53253
2012-08-08,135.11658
2012-08-09,136.00755
2012-08-10,135.32729
2012-08-13,135.44223
2012-08-14,135.26982
2012-08-15,136.10338
2012-08-16,136.68817
2012-08-17,137.69542
2012-08-20,136.65941
2012-08-21,137.47472
2012-08-22,137.95456
2012-08-23,138.5498
2012-08-24,137.47472
2012-08-27,136.78407
2012-08-28,136.228
2012-08-29,135.90213
2012-08-30,136.2855
2012-08-31,136.20882
2012-09-03,136.11298
2012-09-04,137.36917
2012-09-05,137.43633
2012-09-06,137.20609
2012-09-07,137.27324
2012-09-10,138.77069
2012-09-11,139.35674
2012-09-12,139.28947
2012-09-13,139.75078
2012-09-14,140.78934
2012-09-17,140.85666
2012-09-18,140.98175
2012-09-19,141.5303
2012-09-20,139.73154
2012-09-21,139.58737
2012-09-24,140.13531
2012-09-25,140.2411
2012-09-26,139.9142
2012-09-27,140.44305
2012-09-28,139.13573
2012-10-01,139.23183
2012-10-02,140.50076
2012-10-03,140.23148
2012-10-04,141.66507
2012-10-05,142.06947
2012-10-08,141.79022
2012-10-09,142.38728
2012-10-10,143.25447
2012-10-11,142.51251
2012-10-12,141.82875
2012-10-15,141.68431
2012-10-16,142.18501
2012-10-17,142.80154
2012-10-18,143.83293
2012-10-19,144.25728
2012-10-23,145.705
2012-10-24,145.12573
2012-10-25,145.60844
2012-10-26,145.52156
2012-10-29,145.29948
2012-10-30,145.00992
2012-10-31,144.11261
2012-11-01,143.66899
2012-11-02,144.07402
2012-11-05,143.187
2012-11-06,142.19464
2012-11-07,142.37764
2012-11-08,143.10027
2012-11-09,143.45691
2012-11-12,143.93901
2012-11-13,143.97757
2012-11-14,144.77829
2012-11-15,144.1319
2012-11-16,143.91006
2012-11-19,143.88113
2012-11-20,144.10295
2012-11-21,143.79436
2012-11-22,144.94234
2012-11-23,144.96165
2012-11-26,145.90782
2012-11-27,146.74837
2012-11-28,146.45848
2012-11-29,146.15897
2012-11-30,146.12997
2012-12-03,145.8885
2012-12-04,146.99
2012-12-05,147.34772
2012-12-06,146.2749
2012-12-07,146.12997
2012-12-10,146.83536
2012-12-11,147.02869
2012-12-12,147.24136
2012-12-13,147.28003
2012-12-14,146.01407
2012-12-17,145.32845
2012-12-18,145.3188
2012-12-19,145.09679
2012-12-20,145.18365
2012-12-21,146.96101
2012-12-24,149.00212
2012-12-27,147.85059
2012-12-28,148.16016
2012-12-31,148.5085
2013-01-03,148.61494
2013-01-04,148.22787
2013-01-07,149.14735
2013-01-08,149.21513
2013-01-09,149.33133
2013-01-10,149.50565
2013-01-11,149.75746
2013-01-14,150.42601
2013-01-15,151.24031
2013-01-16,151.23064
2013-01-17,152.61801
2013-01-18,152.41418
2013-01-21,153.24911
2013-01-22,152.06483
2013-01-23,153.01605
2013-01-24,153.09373
2013-01-25,153.39479
2013-01-28,153.41422
2013-01-29,154.14287
2013-01-30,153.78337
2013-01-31,153.39479
2013-02-01,155.3776
2013-02-04,155.80563
2013-02-05,155.20251
2013-02-06,154.42471
2013-02-07,153.63763
2013-02-08,154.89134
2013-02-11,153.40453
2013-02-12,154.66772
2013-02-13,154.58023
2013-02-14,154.07483
2013-02-15,154.95943
2013-02-18,153.68622
2013-02-19,153.5502
2013-02-20,154.58023
2013-02-21,155.28033
2013-02-22,153.89995
2013-02-25,152.54036
2013-02-26,154.73578
2013-02-27,155.3484
2013-02-28,154.48306
2013-03-01,155.4943
2013-03-04,157.05157
2013-03-05,157.8211
2013-03-06,155.68887
2013-03-07,155.23169
2013-03-08,157.32426
2013-03-11,158.6398
2013-03-12,158.87383
2013-03-13,158.71782
2013-03-14,158.01599
2013-03-15,158.41559
2013-03-18,159.14687
2013-03-19,159.81998
2013-03-20,157.44116
2013-03-21,157.18791
2013-03-22,157.7724
2013-03-25,157.37299
2013-03-26,157.2853
2013-03-27,156.64264
2013-03-28,156.12674
2013-03-29,158.49358
2013-04-01,159.2444
2013-04-02,159.32243
2013-04-03,158.45457
2013-04-04,158.49358
2013-04-05,158.40584
2013-04-08,159.07861
2013-04-09,159.70291
2013-04-10,158.61055
2013-04-11,157.67497
2013-04-12,158.66905
2013-04-15,158.97133
2013-04-16,159.58582
2013-04-17,161.2355
2013-04-18,159.34193
2013-04-19,160.92302
2013-04-22,159.38095
2013-04-23,160.5715
2013-04-24,161.40157
2013-04-25,162.18324
2013-04-26,163.14139
2013-04-29,163.77722
2013-04-30,163.90442
2013-05-01,165.24564
2013-05-02,165.96075
2013-05-03,165.04974
2013-05-06,164.19801
2013-05-07,162.9458
2013-05-08,164.4623
2013-05-09,166.12738
2013-05-10,166.68608
2013-05-13,167.40195
2013-05-14,167.23521
2013-05-15,168.2261
2013-05-16,167.3333
2013-05-17,167.40195
2013-05-20,167.89247
2013-05-21,166.35278
2013-05-22,165.56888
2013-05-23,165.0008
2013-05-24,167.03906
2013-05-27,166.392
2013-05-28,164.57977
2013-05-29,162.82843
2013-05-30,162.87735
2013-05-31,163.58153
2013-06-03,162.28099
2013-06-04,163.9827
2013-06-05,163.10225
2013-06-06,161.72397
2013-06-07,161.3332
2013-06-10,161.34294
2013-06-11,162.82843
2013-06-12,163.05336
2013-06-13,162.2028
2013-06-14,161.86075
2013-06-17,160.9718
2013-06-18,160.25912
2013-06-19,161.9878
2013-06-20,161.75327
2013-06-21,165.03018
2013-06-24,158.05498
2013-06-25,157.94778
2013-06-26,158.60081
2013-06-27,158.24016
2013-06-28,160.86441
2013-07-01,160.08347
2013-07-02,161.03041
2013-07-03,161.46996
2013-07-04,162.24188
2013-07-05,161.59694
2013-07-08,162.54489
2013-07-09,162.73068
2013-07-10,163.24895
2013-07-11,164.65808
2013-07-12,162.96535
2013-07-15,165.01059
2013-07-16,165.7844
2013-07-17,167.50003
2013-07-18,165.95099
2013-07-19,166.2842
2013-07-22,165.10852
2013-07-23,165.1477
2013-07-24,164.7364
2013-07-25,165.15747
2013-07-26,165.7942
2013-07-29,165.2946
2013-07-30,164.79517
2013-07-31,165.07915
2013-08-01,164.00227
2013-08-02,164.24695
2013-08-05,163.81636
2013-08-06,167.5785
2013-08-07,165.69621
2013-08-08,165.10852
2013-08-09,164.76578
2013-08-12,164.47208
2013-08-13,164.26653
2013-08-14,164.83432
2013-08-15,162.86754
2013-08-16,163.4446
