Date,Predict
2013-05-06,283.04004
2013-05-07,283.04004
2013-05-08,284.15784
2013-05-09,286.53674
2013-05-10,286.38733
2013-05-13,284.21375
2013-05-14,287.20926
2013-05-15,285.8179
2013-05-16,283.42184
2013-05-17,284.02737
2013-05-20,288.5088
2013-05-21,293.12918
2013-05-22,294.20953
2013-05-23,295.32846
2013-05-24,294.0028
2013-05-27,293.00714
2013-05-28,293.52362
2013-05-29,294.9522
2013-05-30,299.3708
2013-05-31,298.01242
2013-06-03,299.484
2013-06-04,296.38248
2013-06-05,295.25323
2013-06-06,291.75903
2013-06-07,290.3061
2013-06-13,287.91028
2013-06-14,278.90417
2013-06-17,275.4211
2013-06-18,277.70798
2013-06-19,277.04086
2013-06-20,275.8744
2013-06-21,273.75748
2013-06-24,263.3145
2013-06-25,265.81516
2013-06-26,249.04506
2013-06-27,251.29541
2013-06-28,252.66241
2013-07-01,248.71107
2013-07-02,252.39977
2013-07-03,255.66524
2013-07-04,255.43813
2013-07-05,253.57777
2013-07-08,257.78406
2013-07-09,253.83168
2013-07-10,250.12895
2013-07-11,250.92455
2013-07-12,257.99347
2013-07-15,265.7968
2013-07-16,263.827
2013-07-17,264.84354
2013-07-18,266.18204
2013-07-19,262.54623
2013-07-22,261.23956
2013-07-23,252.86172
2013-07-24,258.15732
2013-07-25,261.66885
2013-07-26,262.6468
2013-07-29,258.79495
2013-07-30,256.81052
2013-07-31,255.50171
2013-08-01,257.75674
2013-08-02,256.91058
2013-08-05,262.9303
2013-08-06,261.63232
2013-08-07,263.64392
2013-08-08,265.68677
2013-08-09,264.24814
2013-08-12,265.63174
2013-08-13,266.53983
2013-08-14,271.79193
2013-08-15,273.26807
2013-08-16,271.6813
2013-08-19,268.01822
2013-08-20,264.72443
2013-08-21,269.36978
2013-08-22,268.90985
2013-08-23,267.68747
2013-08-26,269.37897
2013-08-27,267.5038
2013-08-28,271.79193
2013-08-29,271.49695
2013-08-30,273.58197
2013-09-02,271.93945
2013-09-03,272.96344
2013-09-04,272.2991
2013-09-05,275.43036
2013-09-06,275.3194
2013-09-09,274.5335
2013-09-10,279.49808
2013-09-11,286.2753
2013-09-12,291.16827
2013-09-13,289.5288
2013-09-16,291.90915
2013-09-17,291.61835
2013-09-18,289.90332
2013-09-19,284.06467
2013-09-20,284.06467
2013-09-23,284.06467
2013-09-24,286.5087
