Date,Predict
2011-08-15,2366.1648
2011-08-16,2366.1648
2011-08-17,2356.2803
2011-08-18,2359.677
2011-08-19,2359.4893
2011-08-22,2262.2114
2011-08-23,2214.2097
2011-08-24,2259.343
2011-08-25,2267.4111
2011-08-26,2305.0063
2011-08-29,2273.7656
2011-08-30,2266.9731
2011-08-31,2305.3066
2011-09-01,2301.8716
2011-09-02,2356.3425
2011-09-05,2336.389
2011-09-06,2251.7178
2011-09-07,2179.2368
2011-09-08,2178.1904
2011-09-09,2214.9539
2011-09-12,2219.5762
2011-09-13,2124.121
2011-09-14,2102.3655
2011-09-15,2102.719
2011-09-16,2165.6208
2011-09-19,2235.6558
2011-09-20,2193.406
2011-09-21,2159.6235
2011-09-22,2205.7498
2011-09-23,2147.8596
2011-09-26,2099.7993
2011-09-27,2092.3127
2011-09-28,2180.1548
2011-09-29,2241.2236
2011-09-30,2231.7192
2011-10-03,2263.7427
2011-10-04,2213.0852
2011-10-05,2188.236
2011-10-06,2188.9844
2011-10-07,2251.6306
2011-10-10,2302.0215
2011-10-11,2337.1897
2011-10-12,2361.3943
2011-10-13,2357.9783
2011-10-14,2403.026
2011-10-17,2383.237
2011-10-18,2409.502
2011-10-19,2345.9983
2011-10-20,2362.6736
2011-10-21,2358.3806
2011-10-24,2333.3564
2011-10-25,2389.695
2011-10-26,2402.069
2011-10-27,2386.006
2011-10-28,2403.0798
2011-10-31,2511.914
2011-11-01,2477.6794
2011-11-02,2395.0352
2011-11-03,2328.7803
2011-11-04,2307.3657
2011-11-07,2397.9197
2011-11-08,2325.6372
2011-11-09,2329.4375
2011-11-10,2364.6694
2011-11-11,2280.0151
2011-11-14,2311.6016
2011-11-15,2377.5063
2011-11-16,2324.8743
2011-11-17,2302.5247
2011-11-18,2313.9111
2011-11-21,2288.6409
2011-11-22,2282.4404
2011-11-23,2235.4734
2011-11-24,2192.9756
2011-11-25,2180.1118
2011-11-28,2164.9026
2011-11-29,2197.4446
2011-11-30,2272.7043
2011-12-01,2275.1953
2011-12-02,2373.334
2011-12-05,2375.828
2011-12-06,2399.6782
2011-12-07,2398.2083
2011-12-08,2419.3645
2011-12-09,2399.597
2011-12-12,2327.4126
2011-12-13,2376.797
2011-12-14,2322.071
2011-12-15,2305.5188
2011-12-16,2270.5825
2011-12-19,2285.4998
2011-12-20,2253.7866
2011-12-21,2259.8677
2011-12-22,2326.028
2011-12-23,2306.1196
2011-12-27,2335.3218
2011-12-28,2342.5227
2011-12-29,2339.6997
2011-12-30,2313.442
2012-01-02,2345.0354
