Date,Predict
2007-01-02,6203.795
2007-01-03,6203.795
2007-01-04,6294.575
2007-01-05,6302.7505
2007-01-08,6270.4663
2007-01-09,6203.091
2007-01-10,6177.0513
2007-01-11,6178.961
2007-01-12,6143.407
2007-01-15,6213.1514
2007-01-16,6222.109
2007-01-17,6246.781
2007-01-18,6198.666
2007-01-19,6187.403
2007-01-22,6193.2344
2007-01-23,6220.297
2007-01-24,6201.381
2007-01-25,6210.6357
2007-01-26,6298.5117
2007-01-29,6252.624
2007-01-30,6211.0386
2007-01-31,6223.014
2007-02-01,6225.1284
2007-02-02,6185.996
2007-02-05,6265.627
2007-02-06,6294.575
2007-02-07,6301.64
2007-02-08,6330.322
2007-02-09,6353.774
2007-02-12,6330.423
2007-02-13,6367.226
2007-02-14,6337.598
2007-02-15,6366.2144
2007-02-16,6406.101
2007-02-19,6418.3604
2007-02-20,6404.379
2007-02-21,6429.6113
2007-02-22,6397.086
2007-02-23,6341.238
2007-02-26,6365.3037
2007-02-27,6386.151
2007-02-28,6419.7803
2007-03-01,6269.559
2007-03-02,6154.249
2007-03-05,6098.5815
2007-03-06,6098.7827
2007-03-07,6041.2344
2007-03-08,6121.1353
2007-03-09,6139.193
2007-03-12,6210.7363
2007-03-13,6228.3506
2007-03-14,6216.3716
2007-03-15,6143.909
2007-03-16,5983.3174
2007-03-19,6115.8213
2007-03-20,6113.2153
2007-03-21,6172.2275
2007-03-22,6203.2915
2007-03-23,6240.0312
2007-03-26,6301.741
2007-03-27,6323.3506
2007-03-28,6275.407
2007-03-29,6276.113
2007-03-30,6250.5083
2007-04-02,6308.001
2007-04-03,6291.6484
2007-04-04,6299.2183
2007-04-05,6350.3354
2007-04-10,6348.9194
2007-04-11,6381.8994
2007-04-12,6402.6562
2007-04-13,6398.0986
2007-04-16,6401.239
2007-04-17,6447.866
2007-04-18,6502.489
2007-04-19,6483.7964
2007-04-20,6434.681
2007-04-23,6425.7593
2007-04-24,6472.627
2007-04-25,6465.4194
2007-04-26,6414.51
2007-04-27,6447.359
2007-04-30,6454.967
2007-05-01,6403.569
2007-05-02,6434.479
2007-05-03,6404.48
2007-05-04,6470.2925
2007-05-08,6524.4453
2007-05-09,6591.527
2007-05-10,6537.2603
2007-05-11,6536.4463
2007-05-14,6510.5176
2007-05-15,6552.829
2007-05-16,6542.4497
2007-05-17,6555.7812
2007-05-18,6546.519
2007-05-21,6566.6724
2007-05-22,6629.4536
2007-05-23,6625.271
2007-05-24,6594.482
2007-05-25,6604.4697
2007-05-29,6552.5234
2007-05-30,6557.7144
2007-05-31,6594.3794
2007-06-01,6589.897
2007-06-04,6609.567
2007-06-05,6665.9937
2007-06-06,6653.1284
2007-06-07,6621.192
2007-06-08,6509.0947
2007-06-11,6491.211
2007-06-12,6491.211
2007-06-13,6554.661
2007-06-14,6506.7563
2007-06-15,6546.621
2007-06-18,6638.6357
2007-06-19,6722.92
2007-06-20,6693.3716
2007-06-21,6638.9414
2007-06-22,6638.0234
2007-06-25,6583.681
2007-06-26,6554.5586
2007-06-27,6575.94
2007-06-28,6546.316
2007-06-29,6514.0747
2007-07-02,6558.5283
2007-07-03,6595.806
2007-07-04,6578.1807
2007-07-05,6628.3306
2007-07-06,6662.317
2007-07-09,6623.64
2007-07-10,6679.68
2007-07-11,6702.776
2007-07-12,6619.254
2007-07-13,6603.1455
2007-07-16,6687.445
2007-07-17,6706.8647
2007-07-18,6687.445
2007-07-19,6648.0244
2007-07-20,6554.254
2007-07-23,6628.7397
2007-07-24,6572.681
2007-07-25,6612.6255
2007-07-26,6484.7104
2007-07-27,6439.65
2007-07-30,6234.3916
2007-07-31,6198.1626
2007-08-01,6189.012
2007-08-02,6344.2695
2007-08-03,6233.7876
2007-08-06,6283.8794
2007-08-07,6207.3154
2007-08-08,6171.927
2007-08-09,6292.4556
2007-08-10,6378.4585
2007-08-13,6254.5396
2007-08-14,6020.848
2007-08-15,6201.9844
2007-08-16,6126.15
2007-08-17,6091.8696
2007-08-20,5842.297
2007-08-21,6046.7334
2007-08-22,6061.2363
2007-08-23,6068.6416
2007-08-24,6178.86
2007-08-28,6179.7646
2007-08-29,6203.091
2007-08-30,6084.7593
2007-08-31,6114.819
2007-09-03,6194.944
2007-09-04,6286.9062
2007-09-05,6298.915
2007-09-06,6361.1562
2007-09-07,6254.0347
2007-09-10,6296.9976
2007-09-11,6174.0366
2007-09-12,6116.723
2007-09-13,6264.1147
2007-09-14,6289.833
2007-09-17,6348.1113
2007-09-18,6272.7847
2007-09-19,6165.5967
2007-09-20,6266.7354
2007-09-21,6445.431
2007-09-24,6414.004
2007-09-25,6442.084
2007-09-26,6451.4155
2007-09-27,6381.494
2007-09-28,6418.0566
2007-10-01,6472.221
2007-10-02,6452.3296
2007-10-03,6492.3286
2007-10-04,6486.437
2007-10-05,6521.802
2007-10-08,6534.718
2007-10-09,6583.477
2007-10-10,6527.5977
2007-10-11,6603.4507
2007-10-12,6621.396
2007-10-15,6714.8403
2007-10-16,6721.182
2007-10-17,6633.1255
2007-10-18,6602.3296
2007-10-19,6667.0146
2007-10-22,6597.3354
2007-10-23,6514.3804
2007-10-24,6444.7207
2007-10-25,6500.2524
2007-10-26,6467.755
2007-10-29,6563.619
2007-10-30,6650.27
2007-10-31,6695.9272
2007-11-01,6647.9224
2007-11-02,6711.876
2007-11-05,6573.598
2007-11-06,6517.1245
2007-11-07,6446.852
2007-11-08,6460.548
2007-11-09,6369.5537
2007-11-12,6366.316
2007-11-13,6288.5205
2007-11-14,6321.8354
2007-11-15,6346.5947
2007-11-16,6417.1445
2007-11-19,6343.7646
2007-11-20,6274.7017
2007-11-21,6103.3916
2007-11-22,6209.529
2007-11-23,6053.4336
2007-11-26,6137.988
2007-11-27,6245.3696
2007-11-28,6163.287
2007-11-29,6123.342
2007-11-30,6289.833
2007-12-03,6333.152
2007-12-04,6417.55
2007-12-05,6371.071
2007-12-06,6298.915
2007-12-07,6479.7344
2007-12-10,6471.409
2007-12-11,6541.839
2007-12-12,6552.5234
2007-12-13,6523.5303
2007-12-14,6546.8247
2007-12-17,6348.415
2007-12-18,6381.596
2007-12-19,6261.1914
2007-12-20,6262.7026
2007-12-21,6267.946
2007-12-24,6329.615
2007-12-27,6419.1724
2007-12-28,6465.014
2007-12-31,6483.7964
2008-01-02,6462.578
2008-01-03,6442.287
2008-01-04,6401.5425
2008-01-07,6465.1157
2008-01-08,6332.545
2008-01-09,6319.6133
2008-01-10,6340.631
2008-01-11,6256.0513
2008-01-14,6205.706
2008-01-15,6184.8906
2008-01-16,6198.666
2008-01-17,6008.166
2008-01-18,5925.7354
2008-01-21,5885.469
2008-01-22,5884.7744
2008-01-23,5565.687
2008-01-24,5724.803
2008-01-25,5596.1597
2008-01-28,5859.0596
2008-01-29,5852.314
2008-01-30,5772.9927
2008-01-31,5868.39
2008-02-01,5820.889
2008-02-04,5863.0293
2008-02-05,6011.7603
2008-02-06,6008.7646
2008-02-07,5851.3213
2008-02-08,5858.663
2008-02-11,5709.026
2008-02-12,5768.1494
2008-02-13,5692.8657
2008-02-14,5893.0205
2008-02-15,5863.328
2008-02-19,5862.5327
2008-02-20,5929.417
2008-02-21,5949.6284
2008-02-22,5876.729
2008-02-25,5915.091
2008-02-26,5871.6655
2008-02-27,5982.1206
2008-02-28,6069.942
2008-02-29,6059.035
2008-03-03,5948.433
2008-03-04,5867.4956
2008-03-05,5802.372
2008-03-06,5752.0454
2008-03-07,5836.943
2008-03-10,5750.761
2008-03-11,5685.184
2008-03-12,5615.584
2008-03-13,5675.8325
2008-03-14,5760.639
2008-03-17,5677.8003
2008-03-18,5618.1357
2008-03-19,5405.9365
2008-03-20,5592.7275
2008-03-25,5533.792
2008-03-26,5484.5806
2008-03-27,5674.5527
2008-03-28,5646.3257
2008-03-31,5702.521
2008-04-01,5678.2925
2008-04-02,5687.3506
2008-04-03,5836.0513
2008-04-04,5898.884
2008-04-07,5874.4453
2008-04-08,5929.915
2008-04-09,5997.385
2008-04-10,5972.847
2008-04-11,5966.567
2008-04-14,5947.8354
2008-04-15,5878.6157
2008-04-16,5815.2437
2008-04-17,5889.9395
2008-04-18,6028.7417
2008-04-21,5963.0786
2008-04-22,6039.0347
2008-04-23,6035.5366
2008-04-24,6017.2524
2008-04-25,6066.1396
2008-04-28,6033.2373
2008-04-29,6073.9453
2008-04-30,6072.9443
2008-05-01,6071.944
2008-05-02,6069.842
2008-05-06,6069.842
2008-05-07,6198.4644
2008-05-08,6198.1626
2008-05-09,6239.7295
2008-05-12,6254.1357
2008-05-13,6187.605
2008-05-14,6203.5938
2008-05-15,6194.8438
2008-05-16,6198.9673
2008-05-19,6234.995
2008-05-20,6287.9155
2008-05-21,6360.853
2008-05-22,6174.4385
2008-05-23,6180.9707
2008-05-27,6164.3926
2008-05-28,6069.842
2008-05-29,6041.034
2008-05-30,6052.134
2008-06-02,6050.633
2008-06-03,6036.036
2008-06-04,5990.2
2008-06-05,6040.235
2008-06-06,5952.8164
2008-06-09,5977.9326
2008-06-10,5889.841
2008-06-11,5860.8467
2008-06-12,5810.985
2008-06-13,5708.237
2008-06-16,5774.574
2008-06-17,5786.738
2008-06-18,5778.628
2008-06-19,5845.2715
2008-06-20,5741.381
2008-06-23,5693.555
2008-06-24,5607.439
2008-06-25,5653.0103
2008-06-26,5621.0806
2008-06-27,5651.9287
2008-06-30,5507.0234
2008-07-01,5518.449
2008-07-02,5612.443
2008-07-03,5469.664
2008-07-04,5417.4995
2008-07-07,5466.4487
2008-07-08,5404.383
2008-07-09,5501.655
2008-07-10,5431.306
2008-07-11,5518.1562
2008-07-14,5398.5557
2008-07-15,5258.087
2008-07-16,5295.5195
2008-07-17,5171.8384
2008-07-18,5151.4194
2008-07-21,5281.9077
2008-07-22,5369.06
2008-07-23,5396.129
2008-07-24,5357.139
2008-07-25,5440.45
2008-07-28,5355.3945
2008-07-29,5346.0
2008-07-30,5307.3057
2008-07-31,5313.685
2008-08-01,5412.0576
2008-08-04,5403.5083
2008-08-05,5348.033
2008-08-06,5314.652
2008-08-07,5444.9272
2008-08-08,5475.708
2008-08-11,5467.326
2008-08-12,5478.7295
2008-08-13,5530.0767
2008-08-14,5522.9434
2008-08-15,5439.186
2008-08-18,5486.7256
2008-08-19,5445.219
2008-08-20,5440.7427
2008-08-21,5314.8447
2008-08-22,5364.601
2008-08-26,5363.051
2008-08-27,5494.725
2008-08-28,5460.7007
2008-08-29,5516.6914
2008-09-01,5588.2188
2008-09-02,5622.9463
2008-09-03,5589.7866
2008-09-04,5607.3413
2008-09-05,5488.969
2008-09-08,5355.201
2008-09-09,5237.9546
2008-09-10,5436.9478
2008-09-11,5407.1025
2008-09-12,5359.174
2008-09-15,5312.9116
2008-09-16,5408.172
2008-09-17,5202.848
2008-09-18,5032.0654
2008-09-19,4924.6997
2008-09-22,4894.099
2008-09-23,5306.0493
2008-09-24,5233.7188
2008-09-25,5137.532
2008-09-26,5098.8022
2008-09-29,5195.931
2008-09-30,5092.0215
2008-10-01,4836.455
2008-10-02,4915.3438
2008-10-03,4969.383
2008-10-06,4884.948
2008-10-07,4989.017
2008-10-08,4622.093
2008-10-09,4636.9326
2008-10-10,4417.312
2008-10-13,4369.0664
2008-10-14,4026.163
2008-10-15,4317.365
2008-10-16,4442.4604
2008-10-17,4157.569
2008-10-20,3963.6807
2008-10-21,4142.7095
2008-10-22,4340.783
2008-10-23,4292.722
2008-10-24,4122.9546
2008-10-27,4164.9146
2008-10-28,3983.0884
2008-10-29,3955.9268
2008-10-30,4021.113
2008-10-31,4304.313
2008-11-03,4348.871
2008-11-04,4426.9995
2008-11-05,4487.4756
2008-11-06,4668.795
