Date,Predict
2007-01-04,9471.346
2007-01-05,9471.346
2007-01-08,9305.417
2007-01-09,9234.984
2007-01-10,9443.383
2007-01-11,9891.965
2007-01-12,10033.84
2007-01-15,9807.512
2007-01-16,9643.856
2007-01-17,10309.461
2007-01-18,10397.821
2007-01-19,10049.832
2007-01-22,10000.851
2007-01-23,10379.683
2007-01-24,10752.476
2007-01-25,10796.145
2007-01-26,10859.755
2007-01-29,10547.421
2007-01-30,11094.477
2007-01-31,11293.279
2007-02-01,11085.987
2007-02-02,10195.096
2007-02-05,10350.832
2007-02-06,9772.261
2007-02-07,9569.459
2007-02-08,9850.618
2007-02-09,10055.46
2007-02-12,10134.878
2007-02-13,10007.592
2007-02-14,10507.941
2007-02-15,10606.045
2007-02-26,11012.235
2007-02-27,11135.521
2007-02-28,11187.72
2007-03-01,9905.593
2007-03-02,10423.142
2007-03-05,10068.2
2007-03-06,10223.337
2007-03-07,10012.65
2007-03-08,10359.9795
2007-03-09,10620.462
2007-03-12,10718.057
2007-03-13,10668.613
2007-03-14,10633.401
2007-03-15,10508.848
2007-03-16,10390.522
2007-03-19,10626.891
2007-03-20,10232.818
2007-03-21,10872.368
2007-03-22,10882.638
2007-03-23,11003.886
2007-03-26,10956.298
2007-03-27,10961.018
2007-03-28,11118.55
2007-03-29,11088.51
2007-03-30,11277.721
2007-04-02,11359.524
2007-04-03,11408.562
2007-04-04,11701.329
2007-04-05,11803.075
2007-04-06,11814.159
2007-04-09,11809.948
2007-04-10,11909.407
2007-04-11,12216.841
2007-04-12,12389.947
2007-04-13,12526.142
2007-04-16,12660.415
2007-04-17,12627.276
2007-04-18,13007.233
2007-04-19,12849.774
2007-04-20,12698.731
2007-04-23,12187.257
2007-04-24,12704.824
2007-04-25,13141.329
2007-04-26,12942.558
2007-04-27,13220.438
2007-05-08,13294.089
2007-05-09,13766.745
2007-05-10,13839.064
2007-05-11,14044.129
2007-05-14,13991.553
2007-05-15,13845.625
2007-05-16,14256.308
2007-05-17,13609.378
2007-05-18,13948.687
2007-05-21,14104.2295
2007-05-22,13582.779
2007-05-23,14129.921
2007-05-24,14246.975
2007-05-25,14448.518
2007-05-28,14262.58
2007-05-29,14636.404
2007-05-30,14821.511
2007-05-31,14155.362
2007-06-01,13875.937
2007-06-04,14575.383
2007-06-05,14381.463
2007-06-06,12989.842
2007-06-07,13793.472
2007-06-08,13846.568
2007-06-11,14123.674
2007-06-12,14222.243
2007-06-13,14519.621
2007-06-14,14836.459
2007-06-15,14983.979
2007-06-18,14705.779
2007-06-19,15176.524
2007-06-20,15353.219
2007-06-21,15526.62
2007-06-22,15069.055
2007-06-25,15418.489
2007-06-26,15067.873
2007-06-27,14362.063
2007-06-28,14752.768
2007-06-29,15147.224
2007-07-02,14322.012
2007-07-03,14342.951
2007-07-04,14443.187
2007-07-05,14637.869
2007-07-06,14083.654
2007-07-09,13558.905
2007-07-10,14304.993
2007-07-11,14707.098
2007-07-12,14572.331
2007-07-13,14689.801
2007-07-16,14858.417
2007-07-17,14850.572
2007-07-18,14375.4375
2007-07-19,14841.994
2007-07-20,14965.751
2007-07-23,14944.98
2007-07-24,15884.523
2007-07-25,16429.621
2007-07-26,16404.24
2007-07-27,16841.844
2007-07-30,16634.072
2007-07-31,16653.607
2007-08-01,17025.08
2007-08-02,17313.154
2007-08-03,16807.234
2007-08-06,17365.375
2007-08-07,18264.451
2007-08-08,18533.771
2007-08-09,18358.945
2007-08-10,18469.229
2007-08-13,19066.848
2007-08-14,19022.547
2007-08-15,19169.432
2007-08-16,19372.582
2007-08-17,19309.232
2007-08-20,18710.516
2007-08-21,18912.365
2007-08-22,19684.404
2007-08-23,19552.27
2007-08-24,20194.104
2007-08-27,20566.191
2007-08-28,20966.352
2007-08-29,20923.04
2007-08-30,20844.848
2007-08-31,20739.096
2007-09-03,20809.91
2007-09-04,21111.861
2007-09-05,21353.326
2007-09-06,21075.834
2007-09-07,21086.396
2007-09-10,21183.87
2007-09-11,20474.625
2007-09-12,21188.768
2007-09-13,20071.393
2007-09-14,20481.703
2007-09-17,21050.45
2007-09-18,21179.22
2007-09-19,21627.44
2007-09-20,21367.32
2007-09-21,21169.963
2007-09-24,21479.32
2007-09-25,21354.969
2007-09-26,21594.305
2007-09-27,21245.988
2007-10-08,21073.06
2007-10-09,22503.72
2007-10-10,22534.943
2007-10-11,22731.127
2007-10-12,22869.426
2007-10-15,23647.543
2007-10-16,23575.256
2007-10-17,24103.16
2007-10-18,24088.48
2007-10-19,23799.494
2007-10-22,23122.361
2007-10-23,22609.717
2007-10-24,22393.328
2007-10-25,23028.805
2007-10-26,23051.008
2007-10-29,22219.625
2007-10-30,22895.709
2007-10-31,23381.533
2007-11-01,23970.172
2007-11-02,23959.596
2007-11-05,23297.111
2007-11-06,23000.906
2007-11-07,22284.95
2007-11-08,22346.943
2007-11-09,22235.715
2007-11-12,21003.6
2007-11-13,20494.0
2007-11-14,21136.227
2007-11-15,21035.791
2007-11-16,21509.996
2007-11-19,20998.65
2007-11-20,21053.97
2007-11-21,20554.666
2007-11-22,21069.719
2007-11-23,20216.516
2007-11-26,19508.018
2007-11-27,20375.482
2007-11-28,19592.654
2007-11-29,19409.574
2007-11-30,19455.05
2007-12-03,20098.824
2007-12-04,19476.637
2007-12-05,19841.05
2007-12-06,20070.979
2007-12-07,20745.062
2007-12-10,20672.123
2007-12-11,20494.354
2007-12-12,21243.395
2007-12-13,20864.773
2007-12-14,20403.785
2007-12-17,19523.016
2007-12-18,20034.225
2007-12-19,19141.762
2007-12-20,19452.262
2007-12-21,19809.896
2007-12-24,19992.074
2007-12-27,20499.541
2007-12-28,20835.158
2008-01-02,21274.596
2008-01-03,21081.094
2008-01-04,20957.545
2008-01-07,21001.318
2008-01-08,21255.385
2008-01-09,21565.99
2008-01-10,21567.25
2008-01-11,21934.041
2008-01-14,22179.72
2008-01-15,22469.775
2008-01-16,22458.37
2008-01-17,21832.12
2008-01-18,20912.752
2008-01-21,20596.434
2008-01-22,20715.852
2008-01-23,19057.912
2008-01-24,18212.441
2008-01-25,19042.182
2008-01-28,18736.957
2008-01-29,18851.49
2008-01-30,17688.596
2008-01-31,17934.53
2008-02-01,17347.184
2008-02-04,17261.482
2008-02-13,17725.113
2008-02-14,18242.992
2008-02-15,18228.67
2008-02-18,18101.86
2008-02-19,18189.889
2008-02-20,18387.764
2008-02-21,18738.73
2008-02-22,17987.58
2008-02-25,17721.844
2008-02-26,16988.934
2008-02-27,16821.838
2008-02-28,16551.604
2008-02-29,16978.332
2008-03-03,16743.12
2008-03-04,16831.15
2008-03-05,17401.994
2008-03-06,16718.734
2008-03-07,16598.152
2008-03-10,16618.693
2008-03-11,16478.484
2008-03-12,15742.217
2008-03-13,16285.101
2008-03-14,15181.868
2008-03-17,14956.161
2008-03-18,14829.195
2008-03-19,14359.897
2008-03-20,14210.163
2008-03-21,14169.287
2008-03-24,14675.107
2008-03-25,14949.336
2008-03-26,13709.025
2008-03-27,14216.898
2008-03-28,13861.944
2008-03-31,13420.213
2008-04-01,13821.406
2008-04-02,13838.802
2008-04-03,13564.523
2008-04-07,13456.254
2008-04-08,13912.843
2008-04-09,14701.081
2008-04-10,14638.091
2008-04-11,13718.816
2008-04-14,14296.524
2008-04-15,13881.044
2008-04-16,13171.676
2008-04-17,13348.963
2008-04-18,13002.763
2008-04-21,12564.125
2008-04-22,13214.041
2008-04-23,12162.368
2008-04-24,12526.069
2008-04-25,14438.442
2008-04-28,14580.194
2008-04-29,14344.076
2008-04-30,14148.377
2008-05-05,14551.218
2008-05-06,15425.352
2008-05-07,15251.954
2008-05-08,15072.318
2008-05-09,14183.697
2008-05-12,14802.615
2008-05-13,14039.576
2008-05-14,13938.931
2008-05-15,13986.289
2008-05-16,14664.785
2008-05-19,14442.305
2008-05-20,14380.117
2008-05-21,14235.01
2008-05-22,13473.755
2008-05-23,13643.455
2008-05-26,13471.204
2008-05-27,13334.758
2008-05-28,12974.225
2008-05-29,13113.607
2008-05-30,13422.815
2008-06-02,13165.761
2008-06-03,13284.598
2008-06-04,13356.578
2008-06-05,13244.089
2008-06-06,13002.742
2008-06-10,13044.2
2008-06-11,12327.321
2008-06-12,11652.015
2008-06-13,11509.771
2008-06-16,11338.354
2008-06-17,11040.174
2008-06-18,11047.612
2008-06-19,10628.993
2008-06-20,11151.351
2008-06-23,10529.661
2008-06-24,10523.831
2008-06-25,10416.475
2008-06-26,10627.085
2008-06-27,11019.814
2008-06-30,10653.345
2008-07-01,10329.488
2008-07-02,10417.991
2008-07-03,9983.986
2008-07-04,9650.732
2008-07-07,9901.35
2008-07-08,9891.204
2008-07-09,10491.626
2008-07-10,10547.982
2008-07-11,10714.617
2008-07-14,10699.379
2008-07-15,10564.563
2008-07-16,10744.056
2008-07-17,10089.089
2008-07-18,10039.8125
