Date,Predict
2007-01-01,40649.38
2007-01-02,40649.38
2007-01-03,40649.38
2007-01-04,41231.94
2007-01-05,41072.8
2007-01-08,40978.434
2007-01-09,40940.293
2007-01-10,40884.035
2007-01-11,40599.754
2007-01-12,40718.07
2007-01-15,41122.363
2007-01-16,41465.293
2007-01-17,41479.574
2007-01-18,41332.92
2007-01-19,41092.812
2007-01-22,40917.406
2007-01-23,41501.473
2007-01-24,41254.805
2007-01-25,41428.156
2007-01-26,41775.562
2007-01-29,41420.54
2007-01-30,41397.688
2007-01-31,41369.117
2007-02-01,41453.863
2007-02-02,41669.95
2007-02-05,41756.54
2007-02-06,41731.8
2007-02-07,41885.902
2007-02-08,41842.156
2007-02-09,42031.383
2007-02-12,41794.59
2007-02-13,41775.562
2007-02-14,41750.83
2007-02-15,41916.332
2007-02-16,42116.93
2007-02-19,42006.668
2007-02-20,42086.516
2007-02-21,42134.04
2007-02-22,41871.637
2007-02-23,41586.2
2007-02-26,41745.117
2007-02-27,41741.312
2007-02-28,41780.32
2007-03-01,40183.484
2007-03-02,40384.035
2007-03-05,39967.547
2007-03-06,39142.977
2007-03-07,39762.023
2007-03-08,39784.008
2007-03-09,39823.21
2007-03-12,40096.547
2007-03-13,40290.457
2007-03-14,40001.953
2007-03-15,39034.773
2007-03-16,39194.676
2007-03-19,39235.84
2007-03-20,39152.55
2007-03-21,39712.293
2007-03-22,39806.004
2007-03-23,40483.316
2007-03-26,40673.227
2007-03-27,41006.074
2007-03-28,40785.8
2007-03-29,40454.684
2007-03-30,40617.887
2007-04-02,40973.664
2007-04-03,41028.004
2007-04-04,41417.684
2007-04-05,41654.723
2007-04-06,41601.426
2007-04-09,41629.977
2007-04-10,41629.977
2007-04-11,41715.62
2007-04-12,42034.24
2007-04-13,41928.695
2007-04-16,42003.812
2007-04-17,42228.113
2007-04-18,42435.18
2007-04-19,42629.773
2007-04-20,42060.85
2007-04-23,42413.34
2007-04-24,42593.71
2007-04-25,42584.223
2007-04-26,42537.71
2007-04-27,43081.176
2007-04-30,42949.426
2007-05-01,42773.992
2007-05-02,42857.453
2007-05-03,43027.16
2007-05-04,43112.453
2007-05-07,42879.266
2007-05-08,43121.926
2007-05-09,43011.05
2007-05-10,42936.156
2007-05-11,43074.547
2007-05-14,42384.848
2007-05-15,43039.48
2007-05-16,42647.81
2007-05-17,43049.91
2007-05-18,42902.023
2007-05-21,43140.88
2007-05-22,42847.02
2007-05-23,42708.535
2007-05-24,42440.875
2007-05-25,42494.043
2007-05-28,41983.844
2007-05-29,42210.06
2007-05-30,42345.906
2007-05-31,41893.51
2007-06-04,42380.098
2007-06-05,42101.73
2007-06-06,41978.14
2007-06-07,42059.902
2007-06-08,41695.645
2007-06-11,40964.13
2007-06-12,41240.516
2007-06-13,41002.26
2007-06-14,40740.01
2007-06-15,41448.152
2007-06-18,41920.137
2007-06-19,42234.758
2007-06-20,41922.992
2007-06-21,42154.945
2007-06-22,41692.785
2007-06-25,41649.01
2007-06-26,41114.742
2007-06-27,41086.14
2007-06-28,40718.07
2007-06-29,40950.78
2007-07-02,41017.516
2007-07-03,41145.234
2007-07-04,41363.402
2007-07-05,41616.652
2007-07-06,41687.082
2007-07-09,41210.03
2007-07-10,41576.676
2007-07-11,41712.766
2007-07-12,40972.707
2007-07-13,41108.066
2007-07-16,41638.547
2007-07-17,41494.805
2007-07-18,41445.297
2007-07-19,41006.074
2007-07-20,41171.914
2007-07-23,41301.48
2007-07-24,40728.566
2007-07-25,40864.004
2007-07-26,39951.297
2007-07-27,39957.99
2007-07-30,38665.96
2007-07-31,38978.273
2007-08-01,39145.848
2007-08-02,38719.617
2007-08-03,39008.918
2007-08-06,39103.723
2007-08-07,38344.82
2007-08-08,38840.34
2007-08-09,39350.69
2007-08-10,39732.38
2007-08-13,38760.82
2007-08-14,38694.703
2007-08-16,38572.035
2007-08-17,37692.402
2007-08-20,37006.6
2007-08-21,38394.68
2007-08-22,38335.234
2007-08-23,38399.473
2007-08-24,39165.957
2007-08-27,38808.73
2007-08-28,39363.133
2007-08-29,39157.34
2007-08-30,38257.555
2007-08-31,39066.38
2007-09-03,39351.652
2007-09-04,39552.58
2007-09-05,39504.746
2007-09-06,39479.87
2007-09-07,38847.047
2007-09-10,38612.285
2007-09-11,37920.83
2007-09-12,38038.85
2007-09-13,38211.52
2007-09-14,38283.45
2007-09-17,38675.54
2007-09-18,38093.535
2007-09-19,37816.223
2007-09-20,39491.348
2007-09-21,39322.938
2007-09-24,39211.902
2007-09-25,39250.2
2007-09-26,39097.977
2007-09-27,39181.266
2007-09-28,39626.227
2007-10-01,39317.195
2007-10-02,39172.656
2007-10-03,39857.63
2007-10-04,39711.344
2007-10-05,39544.926
2007-10-08,39895.863
2007-10-09,40117.566
2007-10-10,39936.01
2007-10-11,40357.3
2007-10-12,40188.258
2007-10-15,40000.992
2007-10-16,40225.51
2007-10-17,39682.656
2007-10-18,39685.523
2007-10-19,39423.418
2007-10-22,39033.82
2007-10-23,38499.18
2007-10-24,38778.066
2007-10-25,38709.082
2007-10-26,38811.598
2007-10-29,39193.72
2007-10-30,39565.973
2007-10-31,39381.316
2007-11-01,39456.906
2007-11-02,39799.312
2007-11-05,38753.156
2007-11-06,38711.953
2007-11-07,38929.426
2007-11-08,38888.24
2007-11-09,38123.273
2007-11-12,37966.895
2007-11-13,36922.992
2007-11-14,37340.945
2007-11-15,38222.07
2007-11-16,37923.707
2007-11-19,37715.438
2007-11-20,37834.457
2007-11-21,37248.727
2007-11-22,36920.105
2007-11-23,36876.855
2007-11-26,36800.918
2007-11-27,37619.43
2007-11-28,36886.47
2007-11-29,37236.242
2007-11-30,38010.07
2007-12-03,38007.184
2007-12-04,38155.89
2007-12-05,38093.535
2007-12-06,38029.254
2007-12-07,38559.574
2007-12-10,38618.996
2007-12-11,38492.473
2007-12-12,38928.47
2007-12-13,38339.07
2007-12-14,38479.055
2007-12-17,38324.684
2007-12-18,37814.305
2007-12-19,37533.02
2007-12-20,37462.918
2007-12-21,37470.605
2007-12-27,37485.008
2007-12-28,37725.03
2008-01-02,37590.637
2008-01-03,37790.31
2008-01-04,37419.703
2008-01-07,37363.04
2008-01-08,36778.81
2008-01-09,37090.2
2008-01-10,36783.617
2008-01-11,36798.996
2008-01-14,36677.863
2008-01-15,36737.47
2008-01-16,36860.51
2008-01-17,35931.43
2008-01-18,36223.926
2008-01-21,35646.535
2008-01-22,34865.535
2008-01-23,31896.967
2008-01-24,34265.227
2008-01-25,33503.668
2008-01-28,34196.8
2008-01-29,33140.145
2008-01-30,33981.85
2008-01-31,33876.777
2008-02-01,33779.41
2008-02-04,33955.824
2008-02-05,34347.15
2008-02-06,34199.695
2008-02-07,32952.098
2008-02-08,33248.15
2008-02-11,33008.03
2008-02-12,32325.201
2008-02-13,32611.658
2008-02-14,33077.46
2008-02-15,33784.234
2008-02-18,33726.383
2008-02-19,33344.57
2008-02-20,33344.57
2008-02-21,33340.715
2008-02-22,33567.31
2008-02-25,33391.82
2008-02-26,33306.97
2008-02-27,33594.3
2008-02-28,34059.93
2008-02-29,33865.21
2008-03-03,33408.215
2008-03-04,32674.342
2008-03-05,32729.316
2008-03-06,32454.445
2008-03-07,32918.344
2008-03-10,32136.16
2008-03-11,31674.16
2008-03-12,31476.443
2008-03-13,32463.129
2008-03-14,31664.518
2008-03-18,31474.516
2008-03-19,30645.14
2008-03-20,31316.34
2008-03-25,30130.287
2008-03-26,31019.299
2008-03-27,30918.041
2008-03-28,30810.998
2008-03-31,31294.16
2008-04-01,31031.836
2008-04-02,31084.877
2008-04-03,32318.453
2008-04-04,32763.072
2008-04-07,32737.031
2008-04-08,33120.86
2008-04-09,32921.24
2008-04-10,33064.93
2008-04-11,33136.285
2008-04-14,33236.574
2008-04-15,32389.83
2008-04-16,32619.373
2008-04-17,32571.148
2008-04-18,32895.2
2008-04-21,32970.418
2008-04-22,33321.434
2008-04-23,33072.64
2008-04-24,33064.93
2008-04-25,32922.2
2008-04-28,33220.18
2008-04-29,33623.227
2008-04-30,33360.004
2008-05-02,33351.33
2008-05-05,33846.895
2008-05-06,33996.312
2008-05-07,33936.543
2008-05-08,33905.7
2008-05-09,33707.105
2008-05-12,33397.605
2008-05-13,33294.434
2008-05-14,33438.11
2008-05-15,33467.996
2008-05-16,33767.844
2008-05-19,33790.98
2008-05-20,33072.64
2008-05-21,32986.812
2008-05-22,32733.174
2008-05-23,32375.357
2008-05-26,32821.902
2008-05-27,32357.996
2008-05-28,32473.734
2008-05-29,32383.074
2008-05-30,32481.451
2008-06-02,32436.12
2008-06-03,32694.596
2008-06-04,32205.605
2008-06-05,32241.293
2008-06-06,32098.545
2008-06-09,32301.096
2008-06-10,31242.074
2008-06-11,31132.135
2008-06-12,31029.908
2008-06-13,30433.016
2008-06-16,30375.166
2008-06-17,30578.605
2008-06-18,30489.9
2008-06-19,30420.482
2008-06-20,29977.012
2008-06-23,29978.94
2008-06-24,29281.209
2008-06-25,29390.088
2008-06-26,29354.43
2008-06-27,29443.084
2008-06-30,28942.113
2008-07-01,28834.236
2008-07-02,28938.258
2008-07-03,28609.861
2008-07-04,28326.81
2008-07-07,28847.723
2008-07-08,28476.023
2008-07-09,28087.152
2008-07-10,28235.367
2008-07-11,28034.225
2008-07-14,28291.195
2008-07-15,27602.273
2008-07-16,27244.582
2008-07-17,26852.482
2008-07-18,27242.66
2008-07-21,27253.232
2008-07-22,27848.525
2008-07-23,27763.87
2008-07-24,27948.588
2008-07-25,28624.303
2008-07-28,28158.373
2008-07-29,28270.984
2008-07-30,27791.766
2008-07-31,28259.434
2008-08-01,28206.496
2008-08-04,27831.209
2008-08-05,27758.096
2008-08-06,27647.48
2008-08-07,28593.49
2008-08-08,28632.008
2008-08-11,28712.898
2008-08-12,28890.098
2008-08-13,29116.463
2008-08-14,28885.283
2008-08-18,28603.121
2008-08-19,28403.82
2008-08-20,28279.648
2008-08-21,28093.89
2008-08-22,27741.742
2008-08-25,27607.084
2008-08-26,27727.316
2008-08-27,27487.83
2008-08-28,27676.332
2008-08-29,27696.533
2008-09-01,28448.105
2008-09-02,28298.896
2008-09-03,28489.51
2008-09-04,28752.379
2008-09-05,28767.79
2008-09-08,27733.086
2008-09-09,28241.143
2008-09-10,28100.627
2008-09-11,27988.04
2008-09-12,27801.385
2008-09-15,28033.266
2008-09-16,27319.566
2008-09-17,26779.469
2008-09-18,26837.11
2008-09-19,25432.28
2008-09-22,26028.713
2008-09-23,27539.76
2008-09-24,27078.295
2008-09-25,26840.953
2008-09-26,26655.56
2008-09-29,27008.143
2008-09-30,26721.832
2008-10-01,25557.836
2008-10-02,25770.688
2008-10-03,25588.512
2008-10-06,25209.99
2008-10-07,24871.963
2008-10-08,24201.438
2008-10-09,22650.371
2008-10-10,22701.775
2008-10-13,21110.896
2008-10-14,20869.418
2008-10-15,23418.441
2008-10-16,23138.088
2008-10-17,21167.744
2008-10-20,20988.715
2008-10-21,22219.416
2008-10-22,22460.035
2008-10-23,21454.041
2008-10-24,21224.604
2008-10-27,20220.797
2008-10-28,19223.492
2008-10-29,19855.557
2008-10-30,19556.758
2008-10-31,20786.13
2008-11-03,20689.621
2008-11-04,21701.686
2008-11-05,21729.215
2008-11-06,23227.703
2008-11-07,22059.736
2008-11-10,21620.064
2008-11-11,21902.031
2008-11-12,21777.63
2008-11-13,21154.48
2008-11-14,20120.709
2008-11-17,21155.428
2008-11-18,20835.344
2008-11-19,20243.465
2008-11-20,20196.244
2008-11-21,19653.807
2008-11-24,19422.082
2008-11-25,19017.543
2008-11-26,19738.635
2008-11-27,19713.186
2008-11-28,20217.965
2008-12-01,20225.52
2008-12-02,19931.02
2008-12-03,18704.715
2008-12-04,19225.377
2008-12-05,19296.887
2008-12-08,18835.244
2008-12-09,18932.955
2008-12-10,19259.246
2008-12-11,19799.92
2008-12-12,19830.096
2008-12-15,19141.656
2008-12-16,19595.385
2008-12-17,19183.982
2008-12-18,19598.21
2008-12-19,19485.174
2008-12-22,19294.062
2008-12-23,19705.645
2008-12-29,19328.887
2008-12-30,19408.9
2009-01-02,19423.021
2009-01-05,19813.121
2009-01-06,20243.465
2009-01-07,20401.24
2009-01-08,20781.398
2009-01-09,20442.824
2009-01-12,20753.955
2009-01-13,20084.836
2009-01-14,19921.586
2009-01-15,19764.092
2009-01-16,18910.402
2009-01-19,18993.104
2009-01-20,19042.924
2009-01-21,18571.441
2009-01-22,18170.197
2009-01-23,18228.281
2009-01-26,17513.615
2009-01-27,17458.52
2009-01-28,18066.252
2009-01-29,18154.275
2009-01-30,18437.303
2009-02-02,18247.955
2009-02-03,17984.814
2009-02-04,17850.084
2009-02-05,18011.021
2009-02-06,17952.06
2009-02-09,18361.36
2009-02-10,18497.328
2009-02-11,18669.043
2009-02-12,18239.523
2009-02-13,18200.174
2009-02-16,18108.387
2009-02-17,17840.73
2009-02-18,17536.965
2009-02-19,17112.4
2009-02-20,16931.639
2009-02-23,16525.031
2009-02-24,16215.736
2009-02-25,15539.403
2009-02-26,16120.165
2009-02-27,15780.018
2009-03-02,15795.76
2009-03-03,15328.655
2009-03-04,14878.388
2009-03-05,14673.921
2009-03-06,14712.585
2009-03-09,13989.488
2009-03-10,13609.409
2009-03-11,13250.278
2009-03-12,14020.666
2009-03-13,14025.252
2009-03-16,14679.443
2009-03-17,14646.308
2009-03-18,14646.308
2009-03-19,14847.057
2009-03-20,15076.627
2009-03-23,15092.311
2009-03-24,15676.331
2009-03-25,16471.123
2009-03-26,16140.574
2009-03-27,16657.066
2009-03-30,16861.797
2009-03-31,16381.935
2009-04-01,15759.6455
2009-04-02,16146.142
2009-04-03,16794.773
2009-04-06,16981.008
2009-04-07,17367.97
2009-04-08,17069.527
2009-04-09,16539.902
2009-04-14,17479.06
2009-04-15,17825.766
2009-04-16,17821.088
2009-04-17,18252.64
2009-04-20,18569.564
2009-04-21,18625.87
2009-04-22,18014.766
2009-04-23,18000.725
2009-04-24,18204.857
2009-04-27,18439.18
2009-04-28,18610.854
2009-04-29,18712.227
2009-04-30,18901.008
