Date,Predict
2007-01-02,14194.414
2007-01-03,14194.414
2007-01-04,14408.701
2007-01-05,14322.756
2007-01-08,14314.387
2007-01-09,14336.838
2007-01-10,14401.86
2007-01-11,14259.187
2007-01-12,14204.614
2007-01-15,14326.123
2007-01-16,14440.455
2007-01-17,14442.089
2007-01-18,14392.877
2007-01-19,14378.993
2007-01-22,14261.94
2007-01-23,14442.3955
2007-01-24,14379.503
2007-01-25,14445.561
2007-01-26,14597.1455
2007-01-29,14514.191
2007-01-30,14429.018
2007-01-31,14519.809
2007-02-01,14552.3955
2007-02-02,14668.478
2007-02-05,14602.868
2007-02-06,14633.115
2007-02-07,14684.524
2007-02-08,14768.047
2007-02-09,14892.611
2007-02-12,14916.8545
2007-02-13,14867.243
2007-02-14,14852.312
2007-02-15,14903.1455
2007-02-16,14967.188
2007-02-19,14841.776
2007-02-20,14920.844
2007-02-21,14969.747
2007-02-22,14969.234
2007-02-23,14886.573
2007-02-26,14859.573
2007-02-27,14826.946
2007-02-28,14775.817
2007-03-01,14204.002
2007-03-02,14250.923
2007-03-05,14133.233
2007-03-06,13702.116
2007-03-07,13858.076
2007-03-08,13935.555
2007-03-09,14020.815
2007-03-12,14218.791
2007-03-13,14335.309
2007-03-14,14162.497
2007-03-15,13733.64
2007-03-16,13790.301
2007-03-19,13954.398
2007-03-20,14121.406
2007-03-21,14305.101
2007-03-22,14358.374
2007-03-23,14559.342
2007-03-26,14513.781
2007-03-27,14595.407
2007-03-28,14591.22
2007-03-29,14521.341
2007-03-30,14558.014
2007-04-02,14605.422
2007-04-03,14650.489
2007-04-04,14825.514
2007-04-05,15017.838
2007-04-10,14980.694
2007-04-11,15011.598
2007-04-12,15046.186
2007-04-13,15010.474
2007-04-16,14942.0205
2007-04-17,15048.232
2007-04-18,15051.916
2007-04-19,14947.545
2007-04-20,14768.864
2007-04-23,14895.985
2007-04-24,15132.468
2007-04-25,14994.508
2007-04-26,14624.43
2007-04-27,14824.083
2007-04-30,14642.518
2007-05-02,14411.561
2007-05-03,14448.112
2007-05-04,14479.669
2007-05-07,14456.69
2007-05-08,14699.345
2007-05-09,14692.905
2007-05-10,14644.152
2007-05-11,14656.518
2007-05-14,14503.262
2007-05-15,14815.084
2007-05-16,14704.354
2007-05-17,14826.23
2007-05-18,14967.188
2007-05-21,15046.698
2007-05-22,15150.278
2007-05-23,15096.745
2007-05-24,15122.539
2007-05-25,15180.889
2007-05-28,15087.329
2007-05-29,15139.429
2007-05-30,15206.38
2007-05-31,15149.462
2007-06-01,15329.87
2007-06-04,15377.494
2007-06-05,15532.985
2007-06-06,15485.1455
2007-06-07,15325.977
2007-06-08,15024.898
2007-06-11,14675.324
2007-06-12,14945.907
2007-06-13,14958.084
2007-06-14,14755.676
2007-06-15,14975.784
2007-06-18,15163.482
2007-06-19,15284.812
2007-06-20,15153.351
2007-06-21,15101.556
2007-06-22,14956.242
2007-06-25,14947.442
2007-06-26,14703.741
2007-06-27,14760.892
2007-06-28,14711.918
2007-06-29,14841.367
2007-07-02,14906.316
2007-07-03,14825.207
2007-07-04,14899.566
2007-07-05,14920.537
2007-07-06,15061.844
2007-07-09,14938.338
2007-07-10,15143.931
2007-07-11,14991.336
2007-07-12,14733.897
2007-07-13,14837.991
2007-07-16,15096.539
2007-07-17,15081.597
2007-07-18,15118.137
2007-07-19,15087.635
2007-07-20,15178.533
2007-07-23,15240.578
2007-07-24,14971.59
2007-07-25,15060.309
2007-07-26,14882.278
2007-07-27,15023.466
2007-07-30,14415.133
2007-07-31,14633.627
2007-08-01,14648.343
2007-08-02,14537.071
2007-08-03,14708.852
2007-08-06,14745.247
2007-08-07,14430.857
2007-08-08,14610.633
2007-08-09,14754.551
2007-08-10,14993.895
2007-08-13,14634.442
2007-08-14,14598.167
2007-08-15,14636.999
2007-08-16,14469.66
2007-08-17,14276.9375
2007-08-20,13953.48
2007-08-21,14301.224
2007-08-22,14311.528
2007-08-23,14321.325
2007-08-24,14488.655
2007-08-27,14223.278
2007-08-28,14414.214
2007-08-29,14317.957
2007-08-30,14052.606
2007-08-31,14309.387
2007-09-03,14405.638
2007-09-04,14546.062
2007-09-05,14503.363
2007-09-06,14574.87
2007-09-07,14304.591
2007-09-10,14169.531
2007-09-11,13877.315
2007-09-12,13848.61
2007-09-13,13967.332
2007-09-14,13945.435
2007-09-17,14035.69
2007-09-18,13833.8545
2007-09-19,13605.344
2007-09-20,14363.07
2007-09-21,14425.956
2007-09-24,14420.953
2007-09-25,14466.087
2007-09-26,14434.123
2007-09-27,14401.962
2007-09-28,14645.176
2007-10-01,14606.648
2007-10-02,14547.389
2007-10-03,14754.958
2007-10-04,14789.212
2007-10-05,14787.883
2007-10-08,14775.101
2007-10-09,14952.456
2007-10-10,14845.663
2007-10-11,14920.844
2007-10-12,14949.184
2007-10-15,15097.258
2007-10-16,15321.678
2007-10-17,15199.726
2007-10-18,15317.683
2007-10-19,15529.401
2007-10-22,15526.94
2007-10-23,15299.863
2007-10-24,15446.937
2007-10-25,15467.118
2007-10-26,15441.816
2007-10-29,15486.068
2007-10-30,15759.835
2007-10-31,15773.157
2007-11-01,15852.885
2007-11-02,15924.313
2007-11-05,15707.063
2007-11-06,15765.164
2007-11-07,15987.24
2007-11-08,15982.115
2007-11-09,15702.042
2007-11-12,16062.773
2007-11-13,15715.67
2007-11-14,15767.008
2007-11-15,15975.352
2007-11-16,15854.421
2007-11-19,15688.927
2007-11-20,15828.187
2007-11-21,15676.322
2007-11-22,15603.166
2007-11-23,15466.093
2007-11-26,15364.793
2007-11-27,15527.453
2007-11-28,15333.454
2007-11-29,15441.201
2007-11-30,15721.407
2007-12-03,15715.67
2007-12-04,15824.906
2007-12-05,15772.028
2007-12-06,15864.566
2007-12-07,15950.346
2007-12-10,15844.377
