Date,Predict
2007-01-02,1840.9702
2007-01-03,1840.9702
2007-01-04,1859.146
2007-01-05,1866.4601
2007-01-08,1844.9912
2007-01-09,1845.4208
2007-01-10,1848.632
2007-01-11,1775.6978
2007-01-12,1759.0463
2007-01-15,1741.3427
2007-01-16,1724.7571
2007-01-17,1771.1202
2007-01-18,1784.1338
2007-01-19,1793.6438
2007-01-22,1803.946
2007-01-23,1832.3154
2007-01-24,1839.2627
2007-01-25,1842.981
2007-01-26,1831.8667
2007-01-29,1776.5939
2007-01-30,1785.0009
2007-01-31,1800.1348
2007-02-01,1796.3921
2007-02-02,1794.5696
2007-02-05,1803.2737
2007-02-06,1799.394
2007-02-07,1793.3708
2007-02-08,1787.6022
2007-02-09,1788.0211
2007-02-12,1772.1915
2007-02-13,1756.8073
2007-02-14,1763.7292
2007-02-15,1782.2047
2007-02-16,1803.0298
2007-02-19,1821.868
2007-02-20,1826.3452
2007-02-21,1826.989
2007-02-22,1841.1265
2007-02-23,1846.748
2007-02-26,1834.9304
2007-02-27,1818.5618
2007-02-28,1816.8065
2007-03-01,1703.4366
2007-03-02,1781.1625
2007-03-05,1781.7567
2007-03-06,1757.9171
2007-03-07,1744.8555
2007-03-08,1774.8796
2007-03-09,1776.4673
2007-03-12,1810.3417
2007-03-13,1799.1503
2007-03-14,1826.4329
2007-03-15,1786.0725
2007-03-16,1806.5978
2007-03-20,1804.7552
2007-03-21,1819.0104
2007-03-22,1804.1409
2007-03-23,1822.8336
2007-03-26,1840.9509
2007-03-27,1833.3008
2007-03-28,1846.6602
2007-03-29,1838.7747
2007-03-30,1815.6168
2007-04-02,1857.3397
2007-04-03,1864.1357
2007-04-04,1885.5577
2007-04-05,1949.3044
2007-04-09,1950.3615
2007-04-10,1934.389
2007-04-11,1940.0647
2007-04-12,1956.5586
2007-04-13,1937.0409
2007-04-16,1961.6206
2007-04-17,1978.8785
2007-04-18,1997.1249
2007-04-19,1994.2042
2007-04-20,1972.952
2007-04-23,1966.145
2007-04-24,2010.2517
2007-04-25,2005.918
2007-04-26,1999.1442
2007-04-27,2022.6965
2007-04-30,2033.9486
2007-05-01,2040.1401
2007-05-02,2018.754
2007-05-03,2034.6942
2007-05-04,2043.2706
2007-05-07,2060.5764
2007-05-08,2063.493
2007-05-09,2056.2664
2007-05-10,2038.3347
2007-05-11,2067.0967
2007-05-14,2039.875
2007-05-15,2069.3062
2007-05-16,2070.8286
2007-05-21,2060.1738
2007-05-22,2093.6594
2007-05-23,2093.6497
2007-05-24,2105.208
2007-05-25,2116.6714
2007-05-28,2074.04
2007-05-29,2095.6545
2007-05-30,2098.544
2007-05-31,2076.8982
2007-06-04,2098.8484
2007-06-05,2122.3748
2007-06-06,2132.7515
2007-06-07,2108.334
2007-06-08,2106.3188
2007-06-11,2079.757
2007-06-12,2093.4824
2007-06-13,2110.9883
2007-06-14,2109.3958
2007-06-15,2129.3086
2007-06-18,2144.0361
2007-06-19,2156.7415
2007-06-20,2138.2014
2007-06-21,2161.0725
2007-06-22,2170.8982
2007-06-25,2176.452
2007-06-26,2165.119
2007-06-27,2173.8818
2007-06-28,2167.7178
2007-06-29,2152.647
2007-07-02,2139.4902
2007-07-03,2161.673
2007-07-04,2189.1282
2007-07-05,2211.4375
2007-07-06,2219.7769
2007-07-09,2239.7847
2007-07-10,2255.2046
2007-07-11,2300.9937
2007-07-12,2275.7036
2007-07-13,2304.1155
2007-07-16,2337.6873
2007-07-17,2326.833
2007-07-18,2302.1199
2007-07-19,2315.5566
2007-07-20,2310.3691
2007-07-23,2364.9734
2007-07-24,2362.569
2007-07-25,2403.4736
2007-07-26,2394.1375
2007-07-27,2417.5269
2007-07-30,2320.221
2007-07-31,2310.7644
2007-08-01,2346.863
2007-08-02,2337.3608
2007-08-03,2307.8992
2007-08-06,2311.1794
2007-08-07,2230.5044
2007-08-08,2236.964
2007-08-09,2219.6387
2007-08-10,2315.1416
2007-08-13,2178.4314
2007-08-14,2227.4868
2007-08-15,2221.0881
2007-08-16,2143.2883
2007-08-20,1961.3075
2007-08-21,2031.6431
2007-08-22,2063.9053
2007-08-23,2030.6913
2007-08-24,2139.274
2007-08-27,2128.748
2007-08-28,2195.335
2007-08-29,2187.7986
2007-08-30,2107.7837
2007-08-31,2185.5032
2007-09-03,2177.9194
2007-09-04,2214.6804
2007-09-05,2231.9937
2007-09-06,2248.1204
2007-09-07,2217.273
2007-09-10,2249.383
2007-09-11,2222.143
2007-09-12,2231.116
2007-09-13,2243.2866
2007-09-14,2232.6738
2007-09-17,2253.9712
2007-09-18,2250.1526
2007-09-19,2237.1516
2007-09-20,2312.8984
2007-09-21,2339.6448
2007-09-24,2315.3687
2007-09-25,2354.6956
2007-09-26,2359.5227
2007-09-27,2355.2
2007-09-28,2395.9592
2007-10-01,2398.3254
2007-10-02,2384.754
2007-10-03,2443.3364
2007-10-04,2492.2227
2007-10-05,2457.1143
2007-10-08,2494.7625
2007-10-09,2532.4016
2007-10-10,2529.2837
2007-10-11,2579.0059
2007-10-17,2615.9365
2007-10-18,2627.5667
2007-10-19,2668.5364
2007-10-22,2617.7568
2007-10-23,2488.3335
2007-10-24,2502.9583
2007-10-25,2602.3303
2007-10-26,2569.107
2007-10-29,2632.1338
2007-10-30,2671.4639
2007-10-31,2680.1985
2007-11-01,2651.7502
2007-11-02,2708.4539
2007-11-05,2654.876
2007-11-06,2726.7744
2007-11-07,2683.2666
2007-11-08,2724.7703
2007-11-09,2673.4163
2007-11-12,2690.937
2007-11-13,2679.7903
2007-11-14,2685.2585
2007-11-15,2712.879
2007-11-16,2710.098
2007-11-19,2686.683
2007-11-20,2695.6392
2007-11-21,2600.2722
2007-11-22,2624.9792
2007-11-23,2558.962
2007-11-26,2606.2883
2007-11-27,2633.3972
2007-11-28,2621.1492
2007-11-29,2662.7114
2007-11-30,2747.6543
2007-12-03,2725.917
2007-12-04,2719.6265
2007-12-05,2736.635
2007-12-06,2765.759
2007-12-07,2818.2234
2007-12-10,2832.9556
2007-12-11,2798.4033
2007-12-12,2820.7698
2007-12-13,2792.7036
2007-12-14,2814.8276
2007-12-17,2768.8223
2007-12-18,2747.6045
2007-12-19,2660.989
2007-12-26,2683.8042
2007-12-27,2705.783
2007-12-28,2737.4229
2008-01-02,2742.229
2008-01-03,2755.3943
2008-01-04,2722.4377
2008-01-07,2732.9656
2008-01-08,2748.253
2008-01-09,2799.322
2008-01-14,2787.8025
2008-01-15,2846.9023
2008-01-16,2845.3635
2008-01-17,2675.1292
2008-01-18,2633.9543
2008-01-21,2563.3635
2008-01-22,2593.2617
2008-01-23,2393.9297
2008-01-24,2458.562
2008-01-25,2532.1135
2008-01-28,2582.6543
2008-01-29,2586.3523
2008-01-30,2641.2493
2008-01-31,2647.2908
2008-02-01,2625.0493
2008-02-04,2673.2366
2008-02-05,2700.0933
2008-02-06,2703.3813
2008-02-11,2632.1038
2008-02-12,2641.2593
2008-02-13,2639.637
2008-02-14,2643.1802
2008-02-15,2671.066
2008-02-18,2658.0122
2008-02-19,2717.8325
2008-02-20,2727.5718
2008-02-21,2729.0974
2008-02-22,2731.071
2008-02-25,2734.3215
2008-02-26,2779.6787
2008-02-27,2787.9224
2008-02-28,2780.3076
2008-02-29,2754.4666
2008-03-03,2761.2498
2008-03-04,2667.9788
2008-03-05,2695.3901
2008-03-06,2652.278
2008-03-10,2685.2888
2008-03-11,2610.9631
2008-03-12,2519.8416
2008-03-13,2615.7576
2008-03-14,2539.2935
2008-03-17,2491.2007
2008-03-18,2293.7837
2008-03-19,2355.0715
2008-03-24,2407.9102
2008-03-25,2338.2507
2008-03-26,2385.1296
2008-03-27,2434.9233
2008-03-28,2436.0723
2008-03-31,2468.1597
2008-04-01,2485.0698
2008-04-02,2480.9927
2008-04-03,2450.5027
2008-04-04,2367.6248
2008-04-07,2281.3113
2008-04-08,2305.6367
2008-04-09,2293.3486
2008-04-10,2268.3596
2008-04-11,2188.291
2008-04-14,2283.4146
2008-04-15,2265.1912
2008-04-16,2306.4268
2008-04-17,2335.6504
2008-04-18,2389.0198
2008-04-21,2361.6196
2008-04-22,2404.999
2008-04-23,2337.1433
2008-04-24,2306.822
2008-04-25,2348.3364
2008-04-28,2298.8206
2008-04-29,2269.8992
2008-04-30,2293.408
2008-05-02,2319.7861
2008-05-05,2352.055
2008-05-06,2379.1323
2008-05-07,2404.3948
2008-05-08,2396.6326
2008-05-09,2378.588
2008-05-12,2398.87
2008-05-13,2384.1697
2008-05-14,2411.2969
2008-05-15,2441.83
2008-05-16,2485.4368
2008-05-19,2479.4453
2008-05-21,2491.3193
2008-05-22,2498.6719
2008-05-23,2474.0007
2008-05-26,2530.5347
2008-05-27,2441.1562
2008-05-28,2439.6794
2008-05-29,2433.843
2008-05-30,2472.8699
2008-06-02,2467.525
2008-06-03,2465.0159
2008-06-04,2423.2322
2008-06-05,2423.2717
2008-06-06,2376.2722
2008-06-09,2450.2944
2008-06-10,2370.89
2008-06-11,2443.178
2008-06-12,2400.4143
2008-06-13,2363.42
2008-06-16,2425.6492
2008-06-17,2429.5627
2008-06-18,2415.6052
2008-06-19,2396.8604
2008-06-20,2369.069
2008-06-23,2394.1477
2008-06-24,2370.7512
2008-06-25,2380.3892
2008-06-26,2378.5586
2008-06-27,2371.7207
2008-06-30,2339.882
2008-07-01,2352.0847
2008-07-02,2379.6765
2008-07-03,2397.7412
2008-07-04,2342.0078
2008-07-07,2324.342
2008-07-08,2335.799
2008-07-09,2311.3472
2008-07-10,2321.0608
2008-07-11,2287.1963
2008-07-14,2304.0168
2008-07-15,2284.4512
2008-07-16,2257.1877
2008-07-17,2263.7698
2008-07-18,2271.36
2008-07-21,2184.597
2008-07-22,2189.5518
2008-07-23,2214.769
2008-07-24,2256.7637
2008-07-25,2235.6228
2008-07-28,2242.971
2008-07-29,2271.8535
2008-07-31,2273.7688
2008-08-01,2326.23
2008-08-04,2302.1003
2008-08-05,2252.2937
2008-08-06,2247.4692
2008-08-07,2226.6094
2008-08-08,2209.3674
2008-08-11,2221.4136
2008-08-12,2218.7122
2008-08-13,2142.747
2008-08-14,2058.8289
2008-08-15,2110.8801
2008-08-19,2108.688
2008-08-20,2083.0183
2008-08-21,2084.9832
2008-08-22,2101.7874
2008-08-25,2139.3132
2008-08-26,2132.9187
2008-08-27,2127.0464
2008-08-28,2134.7976
2008-08-29,2163.8193
2008-09-01,2175.792
2008-09-02,2177.8208
2008-09-03,2170.6519
2008-09-04,2172.1091
2008-09-05,2121.962
2008-09-08,2043.2313
2008-09-09,2100.372
2008-09-10,2042.9368
2008-09-11,1928.2449
2008-09-12,1913.3386
2008-09-15,1899.5433
2008-09-16,1806.3931
2008-09-17,1660.6337
2008-09-18,1801.7725
2008-09-19,1740.4281
2008-09-22,1868.2863
2008-09-23,1956.3823
2008-09-24,1899.113
2008-09-25,1884.0333
2008-09-26,1902.9646
2008-09-29,1890.8931
2008-10-06,1870.9037
2008-10-07,1795.6027
2008-10-08,1647.6205
2008-10-13,1599.4083
2008-10-14,1402.9957
2008-10-15,1564.2628
2008-10-16,1597.132
2008-10-17,1481.1667
2008-10-20,1505.0509
2008-10-21,1434.7655
2008-10-22,1500.4541
2008-10-23,1461.6023
2008-10-24,1369.7223
2008-10-27,1350.2509
2008-10-28,1234.037
2008-10-29,1170.541
2008-10-30,1196.7186
2008-10-31,1193.4509
2008-11-03,1234.9556
2008-11-04,1325.9927
2008-11-05,1399.8197
2008-11-06,1428.9946
2008-11-07,1346.9174
2008-11-10,1318.1223
2008-11-11,1405.9124
2008-11-12,1364.6753
2008-11-13,1371.049
2008-11-14,1348.7521
2008-11-17,1308.0284
2008-11-18,1306.6086
2008-11-19,1278.4869
2008-11-20,1233.9891
2008-11-21,1195.0752
2008-11-24,1182.5332
2008-11-25,1197.3683
2008-11-26,1218.895
2008-11-27,1207.021
2008-11-28,1258.8195
2008-12-01,1255.2095
2008-12-02,1286.9885
2008-12-03,1252.3848
2008-12-04,1248.9384
2008-12-05,1253.0647
2008-12-09,1245.2817
2008-12-10,1279.7806
2008-12-11,1312.0865
2008-12-12,1357.9475
2008-12-15,1351.0099
2008-12-16,1329.5638
2008-12-17,1394.3828
2008-12-18,1412.5836
2008-12-19,1403.891
2008-12-22,1381.4631
2008-12-23,1386.5803
2008-12-24,1383.5886
2008-12-26,1388.5234
2008-12-30,1379.8857
2009-01-05,1387.2728
2009-01-06,1418.236
2009-01-07,1477.0076
2009-01-08,1478.7736
2009-01-09,1441.0099
2009-01-12,1440.634
2009-01-13,1446.4941
2009-01-14,1435.5751
2009-01-15,1446.2336
2009-01-16,1400.1854
2009-01-19,1391.6405
2009-01-20,1411.9194
2009-01-21,1378.0778
2009-01-22,1369.3857
2009-01-23,1374.8179
2009-01-27,1364.3389
2009-01-28,1363.099
2009-01-29,1382.1364
2009-01-30,1376.0583
2009-02-02,1367.3092
2009-02-03,1372.5969
2009-02-04,1354.5072
2009-02-05,1355.1606
2009-02-06,1362.5029
2009-02-09,1379.8666
2009-02-10,1402.3413
2009-02-11,1384.3774
2009-02-12,1370.0684
2009-02-13,1364.9829
2009-02-16,1369.5684
2009-02-17,1381.0496
2009-02-18,1381.0591
2009-02-19,1355.7372
2009-02-20,1373.366
2009-02-23,1363.5602
2009-02-24,1342.1049
2009-02-25,1349.2228
2009-02-26,1344.7847
2009-02-27,1347.3495
2009-03-02,1336.333
2009-03-03,1329.8038
