Date,Predict
2007-01-02,1417.7041
2007-01-03,1417.7041
2007-01-04,1415.3643
2007-01-05,1390.9143
2007-01-08,1379.6565
2007-01-09,1359.1407
2007-01-10,1359.0939
2007-01-11,1355.1666
2007-01-12,1341.1776
2007-01-15,1361.2412
2007-01-16,1378.0286
2007-01-17,1373.4486
2007-01-18,1373.2135
2007-01-19,1360.6504
2007-01-22,1351.9539
2007-01-23,1347.0402
2007-01-24,1336.9648
2007-01-25,1352.7687
2007-01-26,1373.9657
2007-01-29,1355.0167
2007-01-30,1358.8782
2007-01-31,1348.1256
2007-02-01,1357.2656
2007-02-02,1350.0627
2007-02-05,1368.5436
2007-02-06,1393.9519
2007-02-07,1396.6698
2007-02-08,1410.091
2007-02-09,1404.5485
2007-02-12,1404.0758
2007-02-13,1396.8491
2007-02-14,1392.961
2007-02-15,1409.3055
2007-02-16,1428.7635
2007-02-20,1422.9845
2007-02-21,1429.1527
2007-02-22,1433.1609
2007-02-23,1430.8146
2007-02-26,1447.6783
2007-02-27,1444.3264
2007-02-28,1445.6213
2007-03-02,1377.624
2007-03-05,1387.7466
2007-03-06,1381.7275
2007-03-07,1364.7129
2007-03-08,1395.4427
2007-03-09,1389.4717
2007-03-12,1412.3813
2007-03-13,1408.984
2007-03-14,1420.2727
2007-03-15,1390.0752
2007-03-16,1398.6715
2007-03-19,1407.9906
2007-03-20,1404.7659
2007-03-21,1427.7003
2007-03-22,1424.5116
2007-03-23,1430.2637
2007-03-26,1428.2318
2007-03-27,1429.3047
2007-03-28,1428.2603
2007-03-29,1429.6368
2007-03-30,1413.6216
2007-04-02,1435.4417
2007-04-03,1434.1205
2007-04-04,1440.986
2007-04-05,1451.6901
2007-04-06,1462.0702
2007-04-09,1464.1714
2007-04-10,1466.1398
2007-04-11,1476.6604
2007-04-12,1484.2186
2007-04-13,1485.7427
2007-04-16,1498.7485
2007-04-17,1498.8159
2007-04-18,1513.2467
2007-04-19,1507.1621
2007-04-20,1511.3207
2007-04-23,1493.7155
2007-04-24,1519.5686
2007-04-25,1519.7233
2007-04-26,1531.8752
2007-04-27,1533.8271
2007-04-30,1521.2562
2007-05-02,1513.054
2007-05-03,1524.3341
2007-05-04,1536.9209
2007-05-07,1536.6696
2007-05-08,1547.9932
2007-05-09,1558.3289
2007-05-10,1555.7966
2007-05-11,1574.8862
2007-05-14,1560.8232
2007-05-15,1584.789
2007-05-16,1573.2808
2007-05-17,1563.7168
2007-05-18,1586.0265
2007-05-21,1585.169
2007-05-22,1574.964
2007-05-23,1605.6385
2007-05-25,1618.7041
2007-05-28,1600.8398
2007-05-29,1621.7324
2007-05-30,1634.2808
2007-05-31,1632.8177
2007-06-01,1653.9814
2007-06-04,1683.2228
2007-06-05,1704.3296
2007-06-07,1705.918
2007-06-08,1692.6283
2007-06-11,1706.0071
2007-06-12,1710.4758
2007-06-13,1684.7762
2007-06-14,1691.539
2007-06-15,1712.1254
2007-06-18,1741.9084
2007-06-19,1756.1534
2007-06-20,1783.4445
2007-06-21,1782.7317
2007-06-22,1745.3522
2007-06-25,1771.0782
2007-06-26,1724.1384
2007-06-27,1732.3849
2007-06-28,1718.9746
2007-06-29,1715.8026
2007-07-02,1725.7711
2007-07-03,1711.4198
2007-07-04,1761.555
2007-07-05,1785.6934
2007-07-06,1811.6361
2007-07-09,1825.2224
2007-07-10,1840.7057
2007-07-11,1857.9242
2007-07-12,1851.194
2007-07-13,1868.315
2007-07-16,1917.7115
2007-07-18,1937.747
2007-07-19,1925.0425
2007-07-20,1906.4988
2007-07-23,1921.2075
2007-07-24,1950.4513
2007-07-25,1974.5715
2007-07-26,1964.9435
2007-07-27,1985.4064
2007-07-30,1895.1898
2007-07-31,1844.48
2007-08-01,1886.4722
2007-08-02,1891.1761
2007-08-03,1845.3912
2007-08-06,1845.4823
2007-08-07,1802.5521
2007-08-08,1859.1715
2007-08-09,1850.0795
2007-08-10,1895.1693
2007-08-13,1823.3953
2007-08-14,1810.9607
2007-08-16,1811.2227
2007-08-17,1724.1287
2007-08-20,1673.03
2007-08-21,1670.8768
2007-08-22,1710.8634
2007-08-23,1711.9363
2007-08-24,1771.359
2007-08-27,1763.0363
2007-08-28,1795.9425
2007-08-29,1776.4713
2007-08-30,1743.4655
2007-08-31,1829.6862
2007-09-03,1814.3774
2007-09-04,1847.3553
2007-09-05,1851.6603
2007-09-06,1854.3558
2007-09-07,1832.2628
2007-09-10,1857.1637
2007-09-11,1815.6981
2007-09-12,1814.7809
2007-09-13,1824.1221
2007-09-14,1787.8022
2007-09-17,1826.3737
2007-09-18,1844.045
2007-09-19,1837.934
2007-09-20,1863.4325
2007-09-21,1873.0282
2007-09-27,1880.2863
2007-09-28,1916.4752
2007-10-01,1922.731
2007-10-02,1920.4714
2007-10-04,1963.751
2007-10-05,1971.5256
2007-10-08,1981.0787
2007-10-09,1993.9646
2007-10-10,1988.3953
2007-10-11,2007.7488
2007-10-12,2014.634
2007-10-15,2022.2083
2007-10-16,2018.3376
2007-10-17,1987.7976
2007-10-18,1973.4084
2007-10-19,1962.3121
2007-10-22,1976.3728
2007-10-23,1871.9308
2007-10-24,1908.3562
2007-10-25,1938.6588
2007-10-26,1939.2017
2007-10-29,1959.846
2007-10-30,2026.2982
2007-10-31,2033.7167
2007-11-01,2027.313
2007-11-02,2061.2822
2007-11-05,1988.0966
2007-11-06,1998.815
2007-11-07,1997.1327
2007-11-08,2049.6948
2007-11-09,1982.9333
2007-11-12,1974.1495
2007-11-13,1929.6776
2007-11-14,1900.0519
2007-11-15,1955.4604
2007-11-16,1942.328
2007-11-19,1887.9277
2007-11-20,1907.8052
2007-11-21,1823.5872
2007-11-22,1836.215
2007-11-23,1760.1143
2007-11-26,1775.9098
2007-11-27,1773.6442
2007-11-28,1783.0027
2007-11-29,1852.3591
2007-11-30,1855.8658
2007-12-03,1857.1434
2007-12-04,1878.8422
2007-12-05,1875.162
2007-12-06,1882.8801
2007-12-07,1937.9825
2007-12-10,1941.6719
