Date,Predict
2007-01-03,10092.721
2007-01-04,10092.721
2007-01-05,10100.149
2007-01-08,10216.686
2007-01-09,10194.438
2007-01-10,10380.573
2007-01-11,10446.099
2007-01-12,10393.433
2007-01-15,10384.34
2007-01-16,10468.185
2007-01-17,10521.433
2007-01-18,10615.932
2007-01-19,10674.419
2007-01-22,10672.115
2007-01-23,10695.331
2007-01-24,10752.12
2007-01-25,10763.102
2007-01-26,10912.361
2007-01-31,11071.102
2007-02-01,11162.587
2007-02-02,11292.455
2007-02-06,11352.888
2007-02-07,11636.793
2007-02-08,11631.101
2007-02-09,11747.564
2007-02-12,11913.144
2007-02-13,11842.873
2007-02-14,11589.359
2007-02-15,11671.686
2007-02-16,11436.174
2007-02-19,11462.912
2007-02-20,11315.381
2007-02-21,11589.718
2007-02-22,11429.779
2007-02-23,11523.733
2007-02-26,11546.679
2007-02-27,11559.269
2007-02-28,11384.617
2007-03-01,11266.759
2007-03-02,11190.719
2007-03-05,11252.771
2007-03-06,11128.797
2007-03-07,10953.673
2007-03-08,10974.212
2007-03-09,11179.566
2007-03-12,11271.979
2007-03-13,11374.677
2007-03-14,11429.711
2007-03-15,11374.406
2007-03-16,11263.946
2007-03-19,11334.737
2007-03-20,11401.582
2007-03-21,11191.627
2007-03-22,11380.296
2007-03-26,11309.471
2007-03-27,11338.47
2007-03-28,11320.253
2007-03-29,11339.766
2007-03-30,11217.741
2007-04-02,11230.887
2007-04-03,11273.845
2007-04-04,11274.009
2007-04-05,11439.559
2007-04-06,11412.232
2007-04-09,11585.595
2007-04-10,11668.374
2007-04-11,11668.401
2007-04-12,11781.649
2007-04-13,11893.811
2007-04-16,11898.588
2007-04-17,11969.93
2007-04-18,11994.426
2007-04-19,12004.749
2007-04-20,12174.816
2007-04-23,12084.535
2007-04-24,12074.501
2007-04-25,12034.058
2007-04-26,12161.8545
2007-04-27,12159.1875
2007-04-30,12171.157
2007-05-02,12199.786
2007-05-03,12375.235
2007-05-04,12412.836
2007-05-07,12403.903
2007-05-08,12436.44
2007-05-09,12073.8125
2007-05-10,12343.551
2007-05-11,12379.264
2007-05-14,12282.814
2007-05-15,12054.176
2007-05-16,12372.216
2007-05-17,12356.112
2007-05-18,12258.748
2007-05-21,12239.381
2007-05-22,12276.126
2007-05-23,12262.794
2007-05-24,12411.351
2007-05-25,12503.164
2007-05-28,12676.437
2007-05-29,12717.696
2007-05-30,12779.601
2007-05-31,12800.034
2007-06-01,12777.3545
2007-06-04,12955.973
2007-06-05,12908.573
2007-06-06,12929.77
2007-06-07,13166.183
2007-06-08,13212.624
2007-06-11,13216.131
2007-06-12,13312.156
2007-06-13,13231.126
2007-06-14,13304.363
2007-06-15,13416.855
2007-06-18,13410.795
2007-06-19,13413.302
2007-06-20,13531.45
2007-06-21,13421.553
2007-06-22,13466.702
2007-06-25,13475.949
2007-06-26,13328.694
2007-06-27,13514.665
2007-06-28,13538.116
2007-06-29,13629.221
2007-07-02,13652.498
2007-07-03,13748.191
2007-07-04,13906.046
2007-07-05,13736.466
2007-07-06,13865.466
2007-07-09,13903.705
2007-07-10,13923.166
2007-07-11,13967.985
2007-07-12,13853.802
2007-07-13,13888.391
2007-07-16,14032.708
2007-07-17,14102.25
2007-07-18,13847.177
2007-07-19,13882.162
2007-07-20,13601.4
2007-07-23,13098.567
2007-07-24,13410.64
2007-07-25,13664.337
2007-07-26,13495.433
2007-07-27,13546.804
2007-07-30,13630.041
2007-07-31,13553.228
2007-08-01,13570.289
2007-08-02,13673.484
2007-08-03,13641.02
2007-08-06,13727.256
2007-08-07,13692.038
2007-08-08,13452.423
2007-08-09,13396.569
2007-08-10,13003.285
2007-08-13,13279.849
2007-08-15,12999.726
2007-08-16,12689.84
2007-08-17,12735.31
2007-08-20,12646.254
2007-08-21,12736.077
2007-08-22,12653.736
2007-08-23,12206.032
2007-08-24,12325.776
2007-08-27,11937.489
2007-08-28,12012.583
2007-08-29,11894.131
2007-08-30,12012.893
2007-08-31,12242.583
2007-09-03,12287.384
2007-09-04,12089.514
2007-09-05,12186.756
2007-09-06,12456.434
2007-09-07,12674.892
2007-09-10,12516.82
2007-09-11,12303.183
2007-09-12,12501.407
2007-09-13,12528.99
2007-09-14,12771.432
2007-09-17,12783.71
2007-09-18,12729.797
2007-09-19,12779.063
2007-09-20,12897.62
2007-09-21,13108.33
2007-09-24,12969.342
2007-09-25,12999.96
2007-09-26,13189.296
2007-09-27,13134.349
2007-09-28,13213.054
2007-10-01,13250.934
2007-10-02,13485.31
2007-10-03,13749.802
2007-10-04,13891.807
2007-10-05,13994.931
2007-10-08,14097.944
2007-10-09,14244.27
2007-10-11,14370.146
2007-10-17,14386.66
2007-10-18,14420.204
2007-10-19,14560.858
2007-10-22,14456.627
2007-10-23,14781.6045
2007-10-24,14549.511
2007-10-25,14412.197
2007-10-26,14155.642
2007-10-29,14345.423
2007-10-30,14384.666
2007-10-31,14325.475
2007-11-01,13966.87
2007-11-02,14237.272
2007-11-05,13715.776
2007-11-06,13583.862
2007-11-07,13191.36
2007-11-08,13356.811
2007-11-12,13398.636
2007-11-13,13492.617
2007-11-14,13579.592
2007-11-15,13559.215
2007-11-16,13245.128
2007-11-19,13056.465
2007-11-20,13037.762
2007-11-21,13189.238
2007-11-22,13251.46
2007-11-23,13438.93
2007-11-26,13477.132
2007-11-27,13665.818
2007-11-28,13698.355
2007-11-29,13715.367
2007-11-30,13805.255
2007-12-03,13884.281
2007-12-04,13913.426
2007-12-05,13837.056
2007-12-06,13962.554
2007-12-07,14061.956
2007-12-10,14243.341
2007-12-11,14453.116
2007-12-12,14486.681
2007-12-13,14545.304
2007-12-14,14463.591
2007-12-17,14436.17
2007-12-18,14462.66
2007-12-19,14446.233
2007-12-24,14410.057
2007-12-26,14571.208
2007-12-27,14702.331
2007-12-31,14722.55
2008-01-01,14620.134
2008-01-02,13950.976
2008-01-03,13556.144
2008-01-04,13297.253
2008-01-07,13916.363
2008-01-08,14167.787
2008-01-09,14074.377
2008-01-10,14243.752
2008-01-11,14181.278
2008-01-14,13996.23
2008-01-15,13862.34
2008-01-16,13926.251
2008-01-17,13966.305
2008-01-18,13746.554
2008-01-21,13543.169
2008-01-22,13824.722
2008-01-23,13684.721
2008-01-24,13777.537
2008-01-25,13738.962
2008-01-28,13637.433
2008-01-29,13792.289
2008-01-30,13805.002
2008-01-31,13965.65
2008-02-01,13906.643
2008-02-04,13929.773
2008-02-06,13898.844
2008-02-07,13906.485
2008-02-08,13933.23
2008-02-11,13932.175
2008-02-12,13858.02
2008-02-13,13810.642
2008-02-14,14034.24
2008-02-15,14047.424
2008-02-19,14203.378
2008-02-20,14364.587
2008-02-21,14779.37
2008-02-22,14783.404
2008-02-25,14914.531
2008-02-26,14897.177
2008-02-27,14853.603
2008-02-28,14949.788
2008-02-29,14943.275
2008-03-03,15007.524
2008-03-04,14857.096
2008-03-05,14757.464
2008-03-06,14681.331
2008-03-07,14960.113
2008-03-10,15046.86
2008-03-11,15040.304
2008-03-12,14758.6875
2008-03-13,14904.903
2008-03-14,15111.255
2008-03-17,14993.485
2008-03-18,15012.206
2008-03-19,14941.827
2008-03-20,14704.563
2008-03-24,14893.496
2008-03-25,15070.246
2008-03-26,15111.088
2008-03-27,15125.124
2008-03-28,15126.798
2008-03-31,15169.285
2008-04-01,15178.94
2008-04-02,15003.702
2008-04-03,15153.161
2008-04-04,15220.179
2008-04-07,15292.993
2008-04-08,15397.146
2008-04-09,15336.237
2008-04-10,15347.36
2008-04-11,15292.269
2008-04-14,15219.874
2008-04-15,15262.971
2008-04-16,15350.96
2008-04-17,15423.385
2008-04-18,15441.689
2008-04-21,15540.776
2008-04-22,15614.679
2008-04-23,15547.076
2008-04-24,15454.157
2008-04-25,15382.657
2008-04-28,15199.376
2008-04-29,15341.035
